"Drug","User","Date","Period","Review","Score","Likes","Page"
"Adzenys XR-ODT","LittleCanuck","May 23, 2020","Taken for less than 1 month","After trying every methylphenidate and non-stimulant based medication possible, my doctor told me that she was thinking of me when she read about Adzenys. She thought it would be a good fit.  I can't thank her enough! I know it's only Day 1 but today my head has been clear, focused, I've been able to accomplish so many tasks!  My feet are cold but that's nothing new. I had the same side effect on methylphenidate.",10,1,1
"Adzenys XR-ODT","lianioistad","January 23, 2020","Taken for less than 1 month","My insurance no longer covers Vyvanse (70mg) which has worked wonderfully for me over the last 6 years. My doc gave me an Rx for this along with a coupon that makes it cost only $35.  I took it for the first time this morning, and I hate it!!! My body feels cold, ears are ringing, and I can't focus to save my life. I just want this stuff out of my system.",1,3,1
"Adzenys XR-ODT","Steve","December 1, 2019","Taken for 1 to 6 months","I was taking Adderall IR 20 MG 2x daily from 2005 to 2019. I moved to a new state and had issues filling my old prescriptions until I found my new doctor, so I ran out and was unmedicated for about 2 weeks. I planned on continuing Adderall, but the doctor recommended that I try Adzenys. I can understand the people who switch from Adderall with no time in between saying that they feel nothing because Adzenys isn't such a jolting medicine, and that's what I like about it. You retain your personality, things don't irritate you, and you are able to concentrate. I started with 6 MG and it didn't last long enough (4 hours). The next month was 12 MG, still not long enough. My third month was 15.7 MG, and works from 8 AM - 5 PM. Unfortunately my 4th month of 15.7 mg I suddenly feel like it's not as effective (like I took the 12 MG). I'm going to increase to the next dosage level, and hopefully it continues having the same effect as it used to. Definitely much easier on your body than Adderall.",7,4,1
"Adzenys XR-ODT","Anonymous","November 18, 2019","-","This is a sugar pill.",2,1,1
"Adzenys XR-ODT","Lady","September 18, 2019","Taken for 6 months to 1 year","I have taken medication to help with my ADHD since I turned 8 years old. I have struggled to come to terms with the fact I need a medication everyday to function how society needs me to. I have tried 7 different medications from the start of my diagnoses until now ( I am 23). This medication Adzenys XR- ODT is the best that I have taken so far. The best part is that I am not afraid to have it just starting out at my desk or at home. Now one really knows what it is and so they will be less likely to steal it. It works great and never drowns me out.",10,5,1
"Adzenys XR-ODT","shell","September 12, 2019","Taken for 1 to 6 months","Vyvanse was too expensive and insurance didn't cover. I had a coupon for Adzenys. $50.00 a month with coupon. Both did well at controlling my anxiety related to ADD.  I focus a good 8 hours with Adzenys. The packaging is a pain to open. It tastes really good and I've had NO dry mouth!!!! Makes me wonder how I made it without saliva the previous year.",9,3,1
"Adzenys XR-ODT","Gandhi","August 9, 2019","Taken for less than 1 month","CAUTION!!! THIS DRUG IS DANGEROUS!!! The Cons outweigh the Pros. I took this drug to treat my ADHD. I did make me focus more and that's the only positive thing I could say. Other than the physical side effects like gum bleeding, hair falling, cold sweats and insomnia. The emotional side effects included loss of personality, made me  feel more psychotic. STAY AWAY FROM ADZENYS.",1,2,1
"Adzenys XR-ODT","Emily","August 2, 2019","Taken for 1 to 6 months","I've had ADHD since childhood. When I got to high school it became unmanageable. I went on low dose adderrall. When I turned 18 I stopped going to the doctor. When I started working my ADHD disrupted my work, so I went to a psychiatrist and was prescribed adzenys. Another reviewer described it as an other worldly feeling which sounds about right. After about 6 months on the medication I fell into a psychotic episode. I was taken off adzenys. The psychosis subsided after a couple of days. It was determined that the psychosis was a side effect of adzenys and not a symptom of a mental health condition. Now I'm not allowed to take any amphetamine medications (besides strattera which doesnt work). Adderrall worked for me for years with no side effects, but it just so happened that my new psychiatrist prescribed adzenys as ADHD medicine for all patients. This medication ruined my treatment of ADHD for life and has given me a poor prognosis for the future.",1,3,1
"Adzenys XR-ODT","SymptomSavant","March 10, 2019","Taken for 6 months to 1 year","I’ve taken several medications for my ADD, and none of them worked as well as Adzenys. Vyvanse was good, too, but I still felt a somewhat noticeable crash with it. I didn’t believe my doctor when he said Adzenys didn’t have a crash, but he was right.. at least for me.. I feel no crash; the effect smoothly tapers off, and it’s actually much easier for me to fall asleep now. I highly recommend giving Adzenys a try if your current ADD med is giving you side effects.",10,15,1
"Adzenys XR-ODT","Micah","February 2, 2019","Taken for less than 1 month","I've taken many stimulants, and they all come with a horrible crash. Adderall IR, Ritalin, Vyvanse, Concerta; and they really didn't help me focus on important things. Adzenys-- so far-- has been by far the best stimulant for me. I have a history of brain injuries and struggled w/ fatigue (causes depression). Other stimulants helped me exercise, but my heart rate was too much. On this, my heart rate is normal; and I have my old stamina. If you are someone who struggles w/ fatigue, this is great. It's not for everyone, I don't get that bad taste thing people comment on. Most medications that dissolve are disgusting, this one is painless. Hope it works for others like it did for me.",8,12,1
"Adzenys XR-ODT","UnderCaffeinatedMillennial","October 11, 2018","Taken for less than 1 month","I just recently had to switch doctors because I moved states. Well, she switched my meds. I was on Adderall XR. It worked really well for me, but she insisted this new medication would be much better. I have now been on Adzenys for one week, and I’m miserable. I have a migraine like headache and I haven’t slept more than 3 hours at a time. I will be putting in a call tomorrow for my old adderall.",5,5,1
