"Drug","User","Date","Period","Review","Score","Likes","Page"
"Amphetamine/dextroamphetamine","Mrs G","June 16, 2020","Taken for 10 years or more","I have been taking Adderall for most of my adult life and Walgreens always carried the generic version that worked best for me but recently they changed who they get it from now and the new amphetamine / dextroamphetamine from Lannett MFG SUCK!  They do not work at all - actually the worst next to the  YELLOW ROUND Mp 447's, PINK ROUND Cor 136's, or OCTAGON WHITE ONES.   The TEVA amphetamine/dextroamphetamine Peach Oval B 974's are the ones that work best for me and now I don' t know how to get them - Help..",10,1,1
"Amphetamine/dextroamphetamine","Freckles56","June 15, 2020","-","Notice any BATCH # on your prescription bottle? Nope! BATCH # should be on ALL prescription bottles for purposes of determining what batch of medications had adverse effects. It should be, by law, so why not?  Fillers have horrible adverse effects from these pharma companies.  WHY are fillers NOT listed on pharma company website’s?  Novartis Ritalin BRAND suddenly went from great to fake! And is suppose to be their BRAND? These medications are class II controlled substances, and consumers have the right to know with the various, GENERIC versions, by different manufacturers, to date, have terrible,  ineffective  results! Contact the FDA MedWatch/Consumer Complaint Coordinators; the CCC about the horrible effects with these generics meds.  Online form; FDA Form 3500; or call 1-800-FDA-1088, and or request for Fax Form FDA 3500 fax 1-800-0178.  Site says they WILL listen, document complaint of regulated product.  FDA may not be aware of the effects of many of these generics are.",1,0,1
"Amphetamine/dextroamphetamine","Jame","June 10, 2020","Taken for 5 to 10 years","My concern in taking generic Adderall IR for several years is the effect is has on my heart When I take it, at the prescribed dose,  I most always have sinus tachycardia  (a heart rate above 100 beats per minute) I also have noticed that it effects bladder emptying....and my urinary stream seems slower (and I am fairly young) and I am not usually able to completely empty my bladder.",6,1,1
"Amphetamine/dextroamphetamine","ponyboy","June 7, 2020","Taken for 5 to 10 years","Since the shortage for about 3 months I've been taking generic Zydus 20mg. How do these drugs pass inspection? I think a couple pixie sticks would work better. I wonder if generic adderall from any manufacturer will ever get better. I think charging over $5.00 for this rubbish should be criminal.",1,6,1
"Amphetamine/dextroamphetamine","Jenn","June 5, 2020","Taken for less than 1 month","This medication amphetamine/dextroamphetamine has made me feel VERY JITTERY and sick to my stomach! I take generic TEVA brand orange tab 30 mg. The pharmacy didn’t have any of the TEVA brand so they gave me generic U31 tablet - Aurolife Pharma, LLC brand. This is horrible! People take time off work to be seen by doctor, get put on meds for a reason, spend money for the appointment and meds, all the time you spend doing this &amp; it can’t be returned back to Walmart to get my right medicine because  it’s against the law  supposedly! Even when I have the entire prescription (minus one) to give them back. Why make people feel like this when they do so much to try and make life easier being on their meds. I don’t have insurance so my doc visit is almost $100 &amp; medicine is around $60 every month. My 7 year old daughters meds were switched as well. I’m scared to even give her medicine! How can Walmart just give you a different brand that you’ve never taken and not tell me before I leave it’s different!?",1,11,1
"Amphetamine/dextroamphetamine","John","May 3, 2020","Taken for 1 to 6 months","<b>Adderall XR (amphetamine / dextroamphetamine):</b>			 I am a male in my thirties. Adderall is the third drug I tried to tread ADHD after doing trials on Vyvanse and Concerta. Vyvanse worked but did not last long enough and I had bad crashing (headache, exhaustion). Concerta did not work for me at all, made me lethargic and even more distracted. Adderall at 20mg a day gives me energy to focus on work and my kids. It lasts me until sometime in the evening. I have trouble sleeping some nights on it, other than that the side effects are negligible.",0,7,1
"Amphetamine/dextroamphetamine","Bo","April 30, 2020","Taken for less than 1 month","<b>Adderall XR (amphetamine / dextroamphetamine):</b>			 Activist Dextramp-amphet ER (30 mg.) [ generic for Adderall ]  is HORRIBLE. NOT effective. Causes nausea. HORRIBLE. I have taken this drug for over 3 years and I know what it is supposed to do.",0,10,1
"Amphetamine/dextroamphetamine","Emily1456","April 29, 2020","-","I have 10mg Aurobindo IR, and I took Teva in the past.. I spent 9 hours web surfing, procrastinating when I should have been studying or working on my essay. I had a final that I had days to do and I waited until 1.5 hours before it was due. On a couple questions in the middle of the exam I answered a text did  web surfing. What is wrong with me!!  I am having a hard time self starting important tasks. When I should have been doing school work, I cleaned my room for hours. Why would I do that? This medication sucks and it's going to cause me to bomb my exam due tomorrow. I just had to change from methylphenidate ER because I had an allergic reaction I can't switch again. I want to cry this makes me so upset. Most of the comments are complaints about Barr/Teva. Teva's XR is good, but their IR is terrible. I sent in a complaint to the FDA. Maybe if enough of us complain the bad generics will change the junk filler.",1,18,1
"Amphetamine/dextroamphetamine","Theophilus","March 18, 2020","Taken for less than 1 month","<b>Adderall XR (amphetamine / dextroamphetamine):</b>			 Adderall is very useful but recently I was ignorant and thought it would be okay to take a little extra at night to help clean my house. I took a bigger extra dose then I should have and a few hours later I felt pretty awful. I am very productive and more positive on the right dose of this med, so I recommend trying it or Desoxyn, because it is said to have fewer side effects like anxiety and panic and irritability post dose. Like all meds, Adderall is a blessing when dosed right and a curse when dosed incorrectly. I noticed that I paced around a bit when on it but I didn’t feel that anxious. It isn’t fun and enjoyable to take a big dose, don’t do it. God made everything to be used in moderation and it is much better for the whole society when we obey the wise instructions of our doctors and leaders. Be careful, obey your doctor, and may God bless you all to succeed in your treatment plans and in your lives. Amen",0,17,1
"Amphetamine/dextroamphetamine","Nicki","March 10, 2020","Taken for 10 years or more","These batches have to improve. I can't even focus on anything and have narcolepsy.",1,20,1
