"Drug","User","Date","Period","Review","Score","Likes","Page"
"Amphetamine","LittleCanuck","May 23, 2020","Taken for less than 1 month","<b>Adzenys XR-ODT (amphetamine):</b>			 After trying every methylphenidate and non-stimulant based medication possible, my doctor told me that she was thinking of me when she read about Adzenys. She thought it would be a good fit.  I can't thank her enough! I know it's only Day 1 but today my head has been clear, focused, I've been able to accomplish so many tasks!  My feet are cold but that's nothing new. I had the same side effect on methylphenidate.",0,1,1
"Amphetamine","lianioistad","January 23, 2020","Taken for less than 1 month","<b>Adzenys XR-ODT (amphetamine):</b>			 My insurance no longer covers Vyvanse (70mg) which has worked wonderfully for me over the last 6 years. My doc gave me an Rx for this along with a coupon that makes it cost only $35.  I took it for the first time this morning, and I hate it!!! My body feels cold, ears are ringing, and I can't focus to save my life. I just want this stuff out of my system.",0,3,1
"Amphetamine","Honey88","January 9, 2020","-","<b>Dyanavel XR (amphetamine):</b>			 As an adult with ADHD, I love this medication because it allows me to adjust the dosage as needed. I don't take my medication on weekends and on holidays. So when I get back on my meds for work, I can start out with a lower dosage rather than shocking my system with my regular high dosage. It's the best medication overall in terms of allowing me to concentrate and not making me into a zombie, allowing me to eat even with a decreased appetite, and not making me an insomniac.  However, this medication is WAY too expensive. The new manufacturer's coupon is pitiful, covering only up to a max of $140 when the medication itself is +$400. Previously, I was only paying $20/mo for my prescription the coupon. Of course, my insurance co wants me to use other (cheaper) drugs that I've tried, but don't work for me in terms of helping me concentrate and/or the side effects are too strong. Insurance companies need to stop trying to play doctor and give patients the medications that they NEED.",0,4,1
"Amphetamine","G","December 15, 2019","Taken for less than 1 month","<b>Dyanavel XR (amphetamine):</b>			 My daughter has been on a few other medications. The first one worked well with a few long melt downs. They switched her to quallichew and that made her angry and defiant. She was just switched to this Dyanavel  a week ago, and it's been amazing so far. Not 1 melt down about anything which is huge for her! Seems to be focused and overall a sweet and happy girl. Pray it stays this way!",0,2,1
"Amphetamine","Steve","December 1, 2019","Taken for 1 to 6 months","<b>Adzenys XR-ODT (amphetamine):</b>			 I was taking Adderall IR 20 MG 2x daily from 2005 to 2019. I moved to a new state and had issues filling my old prescriptions until I found my new doctor, so I ran out and was unmedicated for about 2 weeks. I planned on continuing Adderall, but the doctor recommended that I try Adzenys. I can understand the people who switch from Adderall with no time in between saying that they feel nothing because Adzenys isn't such a jolting medicine, and that's what I like about it. You retain your personality, things don't irritate you, and you are able to concentrate. I started with 6 MG and it didn't last long enough (4 hours). The next month was 12 MG, still not long enough. My third month was 15.7 MG, and works from 8 AM - 5 PM. Unfortunately my 4th month of 15.7 mg I suddenly feel like it's not as effective (like I took the 12 MG). I'm going to increase to the next dosage level, and hopefully it continues having the same effect as it used to. Definitely much easier on your body than Adderall.",0,4,1
"Amphetamine","Anonymous","November 18, 2019","-","<b>Adzenys XR-ODT (amphetamine):</b>			 This is a sugar pill.",0,1,1
"Amphetamine","SymptomSavant","October 31, 2019","Taken for 6 months to 1 year","<b>Evekeo (amphetamine):</b>			 For my limited purposes, Evekeo has worked great. I use it as a booster dose late in the day. The difference between this med and Adderall is that Evekeo is 50/50 d- and l-amphetamine, whereas Adderall is 75% d/25% l. Theoretically, that change to 50/50 should decrease the  high  dopamine feeling mg-for-mg and increase norepinephrine release which could increase cardiovascular side effects. But for me, I only take 10 mg, so it’s like a cup of coffee with better focus late in the day. At higher doses, maybe Adderall would be better, but as a booster, I find Evekeo to be effective and free of any significant side effects.",0,2,1
"Amphetamine","Paloma","October 15, 2019","Taken for 2 to 5 years","<b>Dyanavel XR (amphetamine):</b>			 My son has been on this medication for over 2 years and it had been a life saver. He doesn't turn into a zombie on it. He eats and sleeps well. Now my insurance is trying to deny him the meds until he's tried everything else. Except he's already tried everything else.  I'm so over these insurance companies. They don't want to see anyone get better.",0,10,1
"Amphetamine","Ape","September 27, 2019","Taken for 10 years or more","<b>Adzenys ER (amphetamine):</b>			 Have been on adderall for years and so a while back l had a  drug test which is fine I'm on suboxone so l drug test monthly anyway. 3 months ago my psych dr said l tested positive for cocaine which was never anything l did. I also offered to sign a release so she get my records from my suboxone dr so she would know.  Never ever in 10 to 13 years have l tested dirty for cocaine so why would l now. She said she wasn't interested. My blood pressure has dropped dangerously low and the adderall raise it so l need back on it. What should l do?",0,0,1
"Amphetamine","Lady","September 18, 2019","Taken for 6 months to 1 year","<b>Adzenys XR-ODT (amphetamine):</b>			 I have taken medication to help with my ADHD since I turned 8 years old. I have struggled to come to terms with the fact I need a medication everyday to function how society needs me to. I have tried 7 different medications from the start of my diagnoses until now ( I am 23). This medication Adzenys XR- ODT is the best that I have taken so far. The best part is that I am not afraid to have it just starting out at my desk or at home. Now one really knows what it is and so they will be less likely to steal it. It works great and never drowns me out.",0,5,1
