"Drug","User","Date","Period","Review","Score","Likes","Page"
"Bupropion","Em","June 3, 2020","Taken for 1 to 6 months","Been on Wellbutrin for ~6 weeks for Depression/Anxiety/ADHD/PTSD . Was initially on 125MG &amp; didn't feel like I was taking anything. Increased to 150MG &amp; first day of the higher dose, things got bad. Side effects: panic, listlessness, wanted to cry, life was awful. But it was the same the first day with the lower dose too. The next day my mother instigated something &amp; instead of my normal reaction, I completely blew up - threw &amp; broke stuff. I'm in college, was living with her. Not anymore :( Also had another random hair-trigger temper explosion yesterday. Can't tell now if I once again feel like I'm not even on any meds bc the Wellbutrin isn't doing anything for me, or if I'm so stressed about being ostensibly homeless (couch surfing but it won't last) that no medication will help me right now. I'm googling what it's supposed to feel like bc I'm still waiting to wake up with enough energy to take a shower &amp; enough focus to stick to a schedule- but it may have destabilized my mood enough to cost me my home.",4,3,1
"Bupropion","Stig","May 28, 2020","Taken for less than 1 month","I highly recommend staying away from this drug bupropion. I was pressured into trying it for my ADHD. I was very apprehensive but figured what's the harm, I could always stop if I don't like it. After about a month of using it I stepped up the dose as recommended. I developed a twitch when falling asleep that still affects me to this day, almost 2 years without the drug. From what I've read it could be permanent. It completely prevents me from being able to fall asleep about 50% of the time. It's called myoclonus. I'm so mad  and am currently seeking legal representation. I feel I've been injured and should be compensated. Bottom line listen to your gut. If you don't want to try something DON'T!",1,2,1
"Bupropion","Kiwithecat","April 26, 2020","Taken for 1 to 6 months","Prescribed bupropion 150mg XL for ADHD and mild depression. The first 2 weeks were great, both categories of symptoms greatly reduced. Calm, focused and happy mood. After the first two weeks ADHD symptoms returned, yet mood is still improved. Went to 300mg and not much has changed. Typical side effects were minor and manageable. I would recommend for depression, not for ADHD, in my case.",5,8,1
"Bupropion","Chris","April 1, 2020","Taken for 1 to 6 months","bupropion had little to no effect on my ADHD",3,3,1
"Bupropion","nycperson","February 21, 2020","-","I was put on Wellbutrin in place of Adderall after being on Adderall for several years and after a stressful relationship ending. I was having mood swings and just feeling lost. The first couple days off of it I noticed nothing. The 3rd day I had racing thoughts, the urge to talk over people, and a really difficult time sitting down because I felt like I needed to move. The 4th day things got awful. From this point until day 15 I was severely depressed, had dark thoughts, felt completely unlike myself, and experienced such and immense sadness I was unable to function. I stopped the medication and after 2 days I felt back to normal. I don’t really identify as being depressed, this medication made me feel what I imagine being depressed feels like. I gave it a go one more time a couple weeks later. The 1st day I felt great. The 2nd day the crushing sadness set in. Wellbutrin was not a match for me.",1,8,1
"Bupropion","Dee","December 25, 2019","-","Well I started Wellbutrin about a week ago and ever since I been on it I cannot sleep passed 6 hours. My doctor prescribed me bupropion hcl XL tab every morning. I take it around 7am and I’m not going to down talk the medication. It does give me the energy I need and definitely has changed my moods. I also got prescribed .5mg clonazepam she told me to take both twice at night before sleep but in still not getting the sleep I want. I’m just getting aggravated now and am about to stop the meds help?",6,7,1
"Bupropion","Happygal","December 19, 2019","Taken for 6 months to 1 year","After becoming severely addicted to adderall ,now wellbutrin changed my life. It is definitely not the same as adderall (you don’t feel the effects immediately) but it is certainly effective. I am happy that I am able to study, focus, and not be as scatter minded as I was before. It has definitely helped with the inattentive part of my ADHD.",10,31,1
"Bupropion","Hello_friend","November 5, 2019","-","So I was prescribed Bupropion XL for its off label use for ADHD (since it's an NDRI I guess) at 150mg, 2 tablets if after 2 weeks of use one is not enough. First few weeks I noticed a few of the issues others have described here, such as increased irritability and aggressiveness. But after a small withdrawal period (for me it was 2 days of basically having a flu that makes you tired and hungry) and a larger, more steady prescription schedule, I've been on it for over a month and it's been great, I don't even have those aforementioned side effects anymore (I do get a stuffy nose but it's manageable).  Even in the first few weeks I noticed how it helps with my ADHD, but recently I have also noticed that it takes about 4 hours until the effect peaks and it really starts becoming effective. So with my schedule it's around 11 when I feel like it's easier to get stuff done. I've also lost weight, but I'm not quite sure why, since I still get hungry and I still eat regularly.",10,10,1
"Bupropion","samimko","November 5, 2019","Taken for 1 to 2 years","I have been on bupropion for adult diagnosed ADHD for one year and have observed no effect (positive of adverse) to my symptoms",1,11,1
"Bupropion","Nikkittykat","October 5, 2019","Taken for 6 months to 1 year","I was being treated for anxiety but I felt like this medication really amped up my adhd!!",3,2,1
