"Drug","User","Date","Period","Review","Score","Likes","Page"
"Clonidine","foxxyfraya","May 28, 2020","Taken for less than 1 month","Im just as distractable as ever but I am calmer and don't pick a fight every day, so it is a win.",5,1,1
"Clonidine","Chris","January 29, 2020","Taken for 1 to 2 years","I started taking clonidine just over 1 year ago after my anxiety, impulsivity and ADHD was getting out of hand. I also wanted to stop my stimulants because they didn't improve my quality of life like my neurologist kept telling me they would. My PCP recommended Clonidine. It really helps me relax and focus within about 30-40 minutes. I take 1 or 1.5 pills during the day when feeling anxious or overwhelmed and it really helps me relax, focus, and better control my thoughts. If I take 2 during the day, I get too sleepy. I do take 2 before bed and it helps me sleep really well. I really enjoy this medication, especially because it doesn't have addictive qualities. I'd definitely recommend this to others. Worst side effect was dry mouth that went away after the first few months. This med changed my life and is so simple.",9,12,1
"Clonidine","Walker","September 28, 2019","Taken for 6 months to 1 year","Love clonidine! Works well if you have ADHD. Take it if you can’t stand the come down of stimulants. I have an overactive brain and have to stay away from all stimulants even strattera which has a stimulant type effect to it. Clonidine IR helps with ADHD too, not just the ER.  It also helps with anxiety racy thoughts and sleep.",10,17,1
"Clonidine","CD","September 1, 2019","Taken for less than 1 month","Sadly, Clonidine left me feeling lethargic, foggy and ultimately, depressed after 3-4 weeks of daily use.  Rather that persevere, I decided to stop with the trial and felt better within 48-72 hours. I've given it two stars because it did help me to sleep for longer but it didn’t improve my quality of sleep nor did it reduce symptoms of anxiety/RSD.",2,11,1
"Clonidine","NTG898","December 7, 2018","Taken for less than 1 month","Trying this med for numerous reasons. Works for blood pressure but pulse jumps up over 100 at rest. Possibly due to using Diovan (valsartan) as well. Prescribed by psychiatrist to counteract effects from hypertension from taking add meds. BTW, clonidine is prescribed for children, but will lower blood pressure. Be careful if you do have low blood pressure. But give it a try for a week or at least speak with your doctor if you have other symptoms.",7,8,1
"Clonidine","Clau","November 6, 2018","Taken for 1 to 6 months","My son is 9 years old and he takes clonidine for ADHD he takes it twice a day - half in morning and other  half a night. It made him really angry and saying  really Bad Things I tried changing telling the doctor to change the medication but she does not want to so instead of changing it she gave me hydroxyzine for the anger but now she gave me clonidine three times half in the morning half in the afternoon and half in the night",1,14,1
"Clonidine","Vicki","March 22, 2018","Taken for less than 1 month","My autistic/adhd son finally gets rest at night and is much more calm during the day. I was scared to put him on meds so nice he is only 3 but it was for the best. So far so good!",10,38,1
"Clonidine","Pepper Dog","July 31, 2017","-","I have tried so many drugs for my ADHD and nothing has helped. My Med. Doctor gave me a GeneSight and it came back that I can take nothing for ADHD. So we tried Clonidine and I am so thankful we did. I don't obscess with thoughts and actions and have been able to sleep at night and get plenty of sleep. I do wake up with a bit of a hangover but that don't last long and that is okay because I'm sleeping at night. I am so thankful for Clonidine after many years of try different drugs and not getting stable this has been a wonder drug. I take Effexor and Latuda and with these drugs I am doing great. Thank god for these three drugs",10,37,1
"Clonidine","orangetoday","May 25, 2017","Taken for less than 1 month","This review is more frustration with my doctors than this drug. I was diagnosed with inattentive type ADHD over a year ago, although I've had it for my entire life. Because my heart rate was high, I was initially put on Strattera. Didn't work, massive headaches, gross night sweats. Gave up for a while. Finally got a new doctor and she puts me on Catapres because it helps with anxiety (which I have bundles of) and prescribing a stimulant would lead to questions about her qualifications (seriously tho). Taking it at night with my Trazodone does help put me to sleep, but has long-lasting lethargic effects during the day that end up causing ironic panic attacks at work because I hate feeling sedated when I need to be alert. Back to square one",5,22,1
"Clonidine","JLT86","March 29, 2017","Taken for 10 years or more","My son has been on this for the 6 years because he would have fits at night before he started the clondine.. It has helped so much with his sleeping, impulseness.. I give this a ten..",10,34,1
