"Drug","User","Date","Period","Review","Score","Likes","Page"
"Daytrana","Christmasqueen","December 15, 2019","Taken for less than 1 month","I have been on the Daytrana patch for almost a week now. My problem was impulse control. I’m 51 years old and I have to say this patch has helped me so very much. My brain and thoughts would not turn off when I went to bed. Now thanks to Daytrana, I’m focused during the day and can easily fall asleep at night. No more issues with impulse control!! Best medication ever. I put the patches  on my hips and  I also use the back of my shoulders as well.",10,3,1
"Daytrana","Jess","October 9, 2018","-","I am 32 years old and have adult ADD. I also have addiction issues and have been sober for 5 years. I haven’t taken any meds since being sober but have been struggling. Last time I tried to take vyvanse and I ended up relapsing. The daytrana patch has been amazing for me. I rated it a 8 just because no ADD meds are perfect and there are side effects. But in my experience I've had a much better time with daytrana then most other meds and seems to be less likely for someone to abuse. Mainly because it lasts all day and there is no  crash  feeling like I've had with others which always trigger me to abuse them. I just wanted to share my experience because it’s really hard to have ADD and not be able to take meds and  addiction problems make this tricky. However, you should give it time once you start it because side effects will lessen once your body adjusts. I experienced extreme lack of appetite and anxiety, both went away after a month.",8,27,1
"Daytrana","Camp","July 16, 2018","Taken for 1 to 6 months","My son was diagnosed with ADHD, he is 8 yrs old.  This medication changed his world. Unfortunately no pharmacies in five surrounding counties have the patch and we had to switch to a pill medication which doesn't work for us that well. I hope the patch will come back",10,6,1
"Daytrana","Mumreese","September 5, 2017","Taken for 2 to 5 years","When my son couldn't swallow, the patch was the perfect alternative for his ADD. He never did have the hyperactivity. We used it for years but he developed a nasty allergic skin reaction to it and we had to stop using it. We miss the ease of it and the simplicity of the 8am-6pm use of it. By bedtime he was ready to sleep. With Concerta he has to take Benadryl to help him sleep. If only they could have fixed that problem",8,8,1
"Daytrana","To tired to make name Bla bla","June 30, 2017","-","I was trying to fall asleep for 20 minutes then I said ohh crap I forgot to take it off. So now I will be awake for 3 more hours. It is very bad if you are a busy person like me. Uggg so tired but can't sleep.",8,5,1
"Daytrana","Anonymous","April 11, 2017","-","Tips for taking off the patch:  use oil (we use skin so soft, but any oil will work) to rub into the skin around the edges of the patch and let it sit for a little bit... maybe about 20 - 30 seconds... pull it gently while continuing to rub oil into the edges a little at a time, repeat.  The oil dissolves the glue and also helps remove the sticky residue that shows up a day later, easier to just wipe off after being sprayed with a mist of oil than scrubbed off with soap and water.    Breakfast is all ready to eat when she wakes up- sometimes I make a high calorie, high nutrient smoothie and give it to her while she's still in bed,  put the patch on at the same time, let her snooze for 20 more minutes; PM gets high cal/high nutrient snack",8,12,1
"Daytrana","Cory Leigh","April 9, 2017","Taken for 1 to 6 months","First, any doctor that would prescribe 30 milligram patch for a 4 year old should have his/her license removed.   My son who is 7 has never done better in school or socially until we started the patch in 1/17. It may not be for every child but it has changed our lives and I don't say that lightly.   If your insurance doesn't cover Daytrana,  you can use Good RX for better pricing as well as the manufacturer's coupon.",0,10,1
"Daytrana","Catherine Marie","March 28, 2017","-","My daughter has tried almost every ADHD drug there is.  She is a junior in high school and has a very busy schedule.  Daytrana is the only way she is able to get her homework done.  She takes the patch off an hour before she is done and off to sleep she goes.  This is the only medication that does not have harsh side effect for her.  I hate that I have to drive all over town to find a pharmacy that has it in stock.  I sure hope this shortage ends soon!",10,8,1
"Daytrana","dcsmith123","February 24, 2017","-","I was diagnosed with ADD in elementary school.  I have taken 3 different kinds of ADD medication and Daytrana has worked the best BY FAR! Strattera made me feel weird as a child.  Adderall was terrible for me! I was mean and agitated easily, got headaches a lot, just an all around bad experience for me.  I had taken Daytrana in high school and liked it, so when I went home for Christmas break from my first semester at college and told my mom I wanted back on medication  I quit taking adderal, but NEEDED something bad! I went back on Daytrana have been on it for a year and half now and I made the Athletic Presidential Honour Roll for my conference! Daytrana= miracle and a yes, for all ADD people!",10,12,1
"Daytrana","Anonymous","February 18, 2017","-","Hello my son is 4 years old and today was his first time with the daytrana patch. The Dr gave him the 30mg he was going crazy shaking his hands moving his mouth side to side sticking out his tongue couldn't stay still...I think it was to way too high of dosing for him and he doesn't really want to eat.",0,7,1
"Daytrana","Mom of two boys","January 12, 2017","Taken for 1 to 2 years","Hi all, My son who is 12 was diagnosed when he was in 2nd grade. We tried everything before medication. When we tried meds, the first one made him loose weight, fast. The second gave him a nasty tic that thankfully went away as soon as he stopped the med, the third worked for a couple of years and around January of last year we started to have problems so his doctor recommended Daytrana. It has been wonderful for my son! Easy to use, he handles this for himself each day and takes it off when he gets home from school. The patch effects last long enough for him to do his homework. He does have issues with weight gain and sleep but he uses melatonin before bed if he feels like he will not be able to shut down. The shortage is KILLING us!",10,15,1
"Daytrana","For Jesse","December 16, 2016","-","After my 10 year tried about every medication he started Daytrana it is absolutely the miracle medication. He is in honors classes and is able tolerate his day to day routine. We put it on him before he gets up in the morning. Without the medication or on oral doses he is very unmanageable and even aggressive at times. We use Ritalin tablets when he does not have school this helps with his weight but his behavior is out of control. He really can not go to school without his patches. We need the Daytrana!!!!!!!",10,14,1
"Daytrana","Josiah malachi","October 26, 2016","-","My son has been on since 3 he is 12 &amp; this shortage sucks",10,13,1
"Daytrana","Best ADHD medicine for my son","October 22, 2016","Taken for 1 to 2 years","My 8 year old son has ADHD with an anxiety disorder.  We started on Ritalin IR when he was 7 and it was great at first but his body started metabolizing them quickly.  We increased the dose and then he just became more irritable.  We tried adderall next which was awful for him.  His doctor wanted to either try Concerta or daytrana.  I asked if we could try daytrana because I had read good reviews.  This is the absolute best med we have tried.  He has been on the lowest 10 mg patch for over a year.  We put him on a prescription called Vayarin over the summer which is a natural omega 3 phosphatidylserine supplement that fixed the anxiety.  He has no issues and is like the other kids now.  Thankful for both meds that helped him!",10,16,1
