"Drug","User","Date","Period","Review","Score","Likes","Page"
"Desoxyn","Phamphoe","December 15, 2019","Taken for less than 1 month","I have been on every derivative and variation of stimulant, SSNRis SSRI, Tricyclics, beta blockers and all sorts of combinations of above and never have come across such an amazing compound. as Desoxyn.  I think that there is a definable difference in mood thoughts and the way thoughts flow with memory and with present day crises.  I have come to a conclusion that the L1-L4 dopamine transporter in the brain through synergistic medicine can be accomplished by open mindedness and breaking down the  social norm  and trying outside the box treatments.  What if we are letting our deficiencies allow misdiagnosis,  how will one ever get better.  You wouldn’t deny an ex heroine addict methadone or suboxone.  Why does a former addict not get offered the best treatment.? Not the best checked box.",10,22,1
"Desoxyn","Tanko","November 4, 2019","Taken for less than 1 month","First, I’m a male in his 30’s I weigh 195lb and am 5’8.  Currently I’m on 5mg of Desoxyn. I feel a little foggy today but for the first time I’d say in my life I woke up the first time the alarm went off at 5:30 and stayed up. If you don’t feel good on adderall then get off of it. I felt even more panicked on that drug and my doctor and parents said no it’s ok. Listen to your body. I’m co morbid with depression and ADD. I was scared to take meth because honestly  well  it is METH. But from what I read it crosses your blood brain barrier better because the methyl group is lipid soluble. Unlike others that feels like it’s wringing your head out like a dish rag this is like a giant soaked sponge that is just squeezed lightly. I have good insurance through the federal and I only pay $10 for 30 pills. If you have mental health problems and need meds go to the VA or the post office for work for the best insurance.",10,21,1
"Desoxyn","Anonymous","May 18, 2019","Taken for 10 years or more","I have tried Cylert, Adderall, Ritalin &amp; Desoxyn. I found Desoxyn to be the best treatment of ADD (as well as Depression &amp; an Eating Disorder) by far... I may be an anomaly, but I have taken Desoxyn for 25 years without any adverse effects. With Desoxyn I was able to focus on higher education, professional success, etc",10,49,1
"Desoxyn","Anders","March 9, 2019","Taken for less than 1 month","After being prescribed nearly every type of stimulant/ADD medication available, I finally found a doctor who was open minded enough to prescribe Desoxyn for both ADD and treatment resistant Depression. The problem with Ritalin, Adderall,  Dexedrine is that for a necessary therapeutic dose to be reached, the Peripheral Nervous System is triggered, bringing about all those pesky side effects like nervousness/jitteriness, racing heart, ANXIETY/panic attacks were a HUGE problem for me, insomnia and loss of appetite However, a low dose of Desoxyn (10mg) gives me 100%  of the positive effects from, say, 60mg Adderall,  with maybe 10% of the  undesired side effects. It simply is a much more comfortable experience than any other ADD med I’ve ever taken. Hands down.",9,55,1
"Desoxyn","JustAnotherPatient","January 14, 2019","-","With this review, I want to cover two things: 1. Effectiveness of the medication itself First, I have to say, after dealing with depression and ADD for most of my life, and having tried literally every conventional anti-depressant and ADD medication, I can honestly and without hesitation say that Desoxyn is the absolute best medication I've ever used to treat my ADD. Ritalin worked for a brief period of time, then the side effects would dominate the efficacy with concentration. I generally felt like I had consumed too much coffee when I took Ritalin. Dexedrine made me feel hyper and edgy. Adderall was even worse, with Peripheral Nervous System stimulation that made my body sweat, my mind dart back and forth, and my stomach turn in knots. It was a miserable experience. I wanted something different. I met with a new provider, who was very open minded when it came to medication and alternative therapies.....",9,41,1
"Desoxyn","oldkaw","January 15, 2018","Taken for 5 to 10 years","Adderall was originally called Obetrol  before Shire reincarnated it years later. Obetrol was a mix of dextro/levo amphetamine/methamphetamine. The best tool you could have in your tool box to treat ADD would be 10mg of Adderall combined with 20mg of Desoxyn BID or TID. Please speak with your physician.",10,39,1
"Desoxyn","MPGOH","December 12, 2017","Taken for 6 months to 1 year","I have tried Adderall, Dexedrine, Ritalin, and other formulations... all of which had issues. Adderall was the worst, or most notable at least, due to the extreme anger, frustration, tendency towards violence, physical tension, and horrible comedowns. I cannot tolerate more than 20-30mg of this medication, period. Ritalin on the other hand, was very good for some tasks like school work, and math problems. However, it dulled my emotions and made me feel less... like me?  Desoxyn feels smooth, positive, and had the least negative physical side-effects. The focus was not as intense as other Amphetamines, but I felt that it allowed me to have more control over my emotions than any other ADHD medication... while feeling sober.",10,47,1
"Desoxyn","Anonymous","March 7, 2017","Taken for 2 to 5 years","How is this not more widely prescribed? My doc had me on Strattera at first, didn't help at all. Next I switched to Concerta, which worked, but  increased my anxiety, and I had a crash. Next I switched to Adderall, which had almost the same effect as Concerta but on top of that I had no appetite. Finally I switched to Desoxyn and that's when my life started to turn around. My grades instantly went up and homework became fun for me. Math problems became like a puzzle, and history became fun, like watching a real-life movie. Right when I made the switch to Desoxyn, I got caught up on ALL my homework and my grades instantly switched from D's and F's to B's and A's. Not only that, but my social anxiety was completely GONE.",10,89,1
"Desoxyn","Anonymous","November 17, 2016","Taken for 10 years or more","I have been on this drug for 12 years and it greatly improved the quality of my life in a lot of ways . the problem I am having now is that I still have some organization skills not because of the  medication. I was getting my mental health needs thru park nicollet health care . now i can not find mental health care that are willing to prescribe this medication that helped me immensely.the problem with the drug is its unpopularity of the drug from providers because of the abuse of street methamphetamine. those providers do not have the knowledge of the things that they are supposed to when it comes to aadd",10,59,1
"Desoxyn","Bostonholly","November 5, 2016","-","I've used all the first line ADHD meds beg. in 2003 and only 1 was effective but of course my tolerance is depleted  it's not so effective now: Adderall generic 30XRAM,0 regular PM. Yet, without it I'm like a hyperactive confused kid again. I don't want a higher dosage.I want a change-  I asked my older,psychiatrist (been with him since late1980's ) about Desoxyn  which he said I've  never heard of it.  He's 100% Psychopharm. treats kids thru seniors;  MA trained MD, Harvard+ BU Med School,is it possible that MA laws never permitted this medication tb used 4 ADHD ? Should I ask again or  won't find it in MA pharmacies?  Don't want to sound like a druggie either but it's frustrating to be stymied. At my age,62.5, I'd like some relief again",0,41,1
