"Drug","User","Date","Period","Review","Score","Likes","Page"
"Dexedrine","David","December 22, 2019","-","this medication is very good, I take it first thing in the morning 2 capsules of 10mg and one around noon, in exactly one hour I feel that hit, dopamine increasing in my brain, me being able to focus on everything and multitasks at one time, I was just diagnosed with ADHD before Dexedrine I just could not concentrate on anything it was so so bad. But I can't explain in words the FLASH or Hit you feel after one hour it is tremendous, I feel so happy, everything I see, I see with happy eyes. Besides all that positive facts I mentioned I really have to say it has severe side effects. First day I took only 10 mg capsule after a few hours that it kick off I had an anxiety attack like I have never had in my life I felt like my chest is going to explode that feeling was so strong that I had to take Xanax. Besides that I have problems falling a sleep, some nights I don't even sleep at all. As well my hands start shaking and I feel disturbed and nervous.",7,14,1
"Dexedrine","Alfred_swe","November 2, 2019","-","I was diagnosed with ADHD six months ago. I am 30 years old. My whole life has been a big problem with taking school, finance and friendship seriously. I have, on the other hand, been a person with a good mood, charm and with a sense of adventure. All these are good qualities you think? Not really. I've developed alcoholism, I've never had a financial surplus, I've lost touch with most of my good friends, and I've never accomplished anything I've set myself the goal of.   I began to understand why my life has become so miserable. I started exposing myself for all kinds of things - for the first time I felt solid - a sense of integrity. At the same time, it was a great stress. After a month, I began to think that my whole life had just been a big joke.  Before you start taking this medicine: Be prepared to experience identity disorder  NEGATIVE: My hair has gone from thick to thin, my skin is not so smooth anymore and sometimes sleep can be very difficult.",9,15,1
"Dexedrine","mr robot","June 13, 2019","Taken for 1 to 2 years","It's like coffee 2.0 without the jitterness from the other racemics. It's the best tool, which was given to me. I'm thankful for this kind of drug.",10,18,1
"Dexedrine","thomas aquinas","April 9, 2019","-","The amphetamine molecule has two mirror images of itself. Dexedrine is only one of those images whereas Adderall is both. However, Dexedrine is cheaper and just as tried and true as Adderall. Some Dexedrine generic tablets are scored and come in doses as low as 5mg giving you the ideal opportunity to discus proper individual dosing with your doctor. When I was a kid my doctor had me on too high of a dose. Now I take Dexedrine with my breakfast and don't run into any problems with one cup of coffee. Some of the therapeutic properties of Dexedrine diminish, but the core CNS activity stays pretty reliable at the same dose in my experience. strongly recommend monitoring your kid's prescription bottle. Sometimes smart kids can make mistakes.",8,18,1
"Dexedrine","DivingWhileADHD","November 26, 2018","-","This medication is hard to find, which is unfortunate because, quite simply, it works on some ADHD people when other more common medications do not. Dextroamphetamine (generic)/Zenzedi (brand name) acts more on dopamine than norepinephrine. Adderall, which is dextroamp and levoamp, the latter affecting mostly norepinephrine, made me tired and flat--and hungry. Kind of a paradoxical reaction. It helped my emotional overreactivity, but not other ADHD symptoms like initiation of tasks and related anxiety/irritability, procrastination, and negative ruminations (mentally getting stuck). Obviously, my brain needs help with dopamine, and too much norepinephrine is dulling and unpleasantly sedating. Those with similar reactions to Adderall (and/or methylphenidates like Ritalin) might want to give Dextroamphetamine a try. It feels like a totally different class of medication than Adderall to my (admittedly atypical) brain, and works great.",10,58,1
"Dexedrine","MATTHEW","September 14, 2018","-","Great for focus.",9,8,1
"Dexedrine","Squirrel","May 3, 2018","Taken for 10 years or more","Been on it for 21 years being diagnosed at 25. First thing...if your a man and your not getting your significant other pregnant....WATCH OUT!! They can finish the swimmers.  Being on same 50 mg can somedays  be fine or cause me to clench my teeth.   It depends on proper eating and stress reduction. They used to give me huge energy to start but now it's more focusability than anything.  Don't get me wrong...these are not a cure for stopping from losing your keys.",8,20,1
"Dexedrine","Ggahagan","March 21, 2018","-","This is the one--and I only wish I'd found it 20 years ago.  I have been on and off Adderall for years, though I never loved it.  I had a hard time being compliant taking it, because I never felt like myself.  After that, I tried Ritalin, but woah, I don't want that experience again unless it's 2 AM at a rave! Years later, a psych doc told me that she thought Dexedrine might be the ticket.  I finally picked up a prescription a few days ago, and wow.  Un-medicated, it's like I have an angry, frustrated, and stressed out little leprechaun inside me, and on the Dexedrine, he's slowly being replaced by a peaceful Buddha--and believe me, I've never experienced Peaceful Buddha before in my life---except maybe when I'm in nature on my mountain bike, etc. If you're not loving Adderall for similar reasons, I highly recommend trying the Dex. It's been a revelation. I rated it only 9 stars, because I feel spacey for the first few hours.",9,43,1
"Dexedrine","Sf100","March 3, 2018","-","I began treatment for bipolar 2 years ago. It has been successful. I still had severe brain fog, impatience, and lethargy though. Psych dr diagnosed ADHD on top of bipolar. Tried Vyvanse, Ritalin, and Dexedrine. Dex won for me. 10mg in am and 5 at lunch and dinner. Much more patient and clear-headed.",10,20,1
"Dexedrine","JoDominguez","March 1, 2018","Taken for less than 1 month","So I started Zoloft in my 20s it worked really great for a couple of years. So When I got any depression  flare-ups again, I was put on antidepressants, but noticed they weren’t working anymore,   I still feel those symptoms  sadness, low self-esteem, no energy to do anything, forgetting things, procrastinating a lot, hard to concentrate and finish a task. I wondered if I had ADD.  It all pointed to Adult ADD. I told my doc of my beliefs and maybe I was misdiagnosed. I tried more antidepressants which was having no affect.  Then my therapist convinced  my Dr. prescribing me Dexedrine 10mg just in the morning. The first day I took my pill. My eyes were open, the energy was there couldn’t believe it, it worked. Now the 3rd day w/ just one 10mg pill in morning stopped working . In my opinion I believe a lot of people are misdiagnosed, thinking they have depression instead of ADD or ADHD",10,31,1
