"Drug","User","Date","Period","Review","Score","Likes","Page"
"Dextroamphetamine","Les","May 28, 2020","-","I was a horrible student all through High School. I was convinced I was stupid. I became the class clown to hide my shame. That was fifty years ago. Now, at seventy I look back on the career I forged as a successful television writer, knowing I couldn’t have done it without Dexedrine. For me it was magical—smooth and non addicting. Yes, it can get the ticker beating more rapidly at times. Because of this and heart disease in my family my cardiologist suggested I stop. I did and have not been as productive since. Stopping the medication after having taken it daily for over twenty five years was simple. No withdrawal. Zero. I slept a little more initially. That is all. True ADD is a tragedy. It robs people from their potential, leaving them shadows of what they could be.  Don’t give up in yourself. If you really do suffer from it—and I mean suffer—find a doctor who specializes in ADD, get tested and get on this medication. A calmer, more productive you awaits.",10,2,1
"Dextroamphetamine","storm","April 17, 2020","-","I was diagnosed with ADHD at 8.I was on Adderall from 13-15. And it worked very well for me, but you know as a teenager you experiment with weed and I failed my drug test and got pulled off of it abruptly. I got terrible withdraws, and was very depressed. I tried medication like Concerta and Lexapro but they didn't work. I gave up on medicine and didn't try anymore for years. I fell behind in school,I had severe anxiety and depression, and had no motivation to even get out of bed. I finally saw a specialist who prescribed 10mg Dextroamphetamine. I am prescribed to take it twice a day as needed I can finally focus on my school work, I can get out of bed in the morning and look forward to the day again. My anxiety has been the lowest it's been in years. The only downfalls I see at the moment are a little bit of an increased heart rate about 30 minutes after I take it, but it goes away within an hour or so. And it has raised my blood pressure, but not to such a height that I should be concerned.",9,3,1
"Dextroamphetamine","Not working for me","March 31, 2020","-","I have taken amphetamine salts for years and it worked, the pharmacists switched to dextroamphetamine and it does not work. As if I took nothing. My doctor said take it up with the pharmacy and they will do nothing. I will never take it again as a waste of money as I paid cash and unemployed without prescription insurance.",1,0,1
"Dextroamphetamine","Hbass120","March 22, 2020","Taken for 6 months to 1 year","<b>ProCentra (dextroamphetamine):</b>			 I have taken this ProCentra as a booster with my Adderall XR and it's amazing and allows for it to work all day! Expensive and most doctors haven't heard of it but it is great and works",0,4,1
"Dextroamphetamine","Just Me","February 10, 2020","-","I have had great results with this medicine (Dextrostat) for 20 years, until recently when my pharmacy switched to Aurobindo generics. All 3 times I received Aurobindo, I immediately started experiencing severe anxiety, severe headaches and my face broke out with Rosacea and pustules (which I had never had before). I stop taking the Aurobindo pills and symptoms disappear the next day. A full report was submitted to the FDA. If you get Aurobindo brand pills with U39 imprinted on them and have side effects please report them to the FDA.",10,14,1
"Dextroamphetamine","Kit","February 9, 2020","Taken for 10 years or more","I completely agree dexedrine no longer works",1,3,1
"Dextroamphetamine","Juko","January 27, 2020","Taken for 6 months to 1 year","My Prasco Dextroamphetamine generic suddenly stopped working after December. I’ve gotten my prescription refilled 3 times all with the same effect. It was working fine up until this point. Now it’s like I have taken nothing and it makes my focus worse. It think they’re filling it with a watered down or fake version of the medication.",1,14,1
"Dextroamphetamine","Melly","January 21, 2020","-","My doctor change my meds from Ritalin to dextroamphetamineand I have to say dex does absolutely nothing for me I will be going back to Ritalin as  dex is garbage!!",0,2,1
"Dextroamphetamine","David","December 22, 2019","-","<b>Dexedrine (dextroamphetamine):</b>			 this medication is very good, I take it first thing in the morning 2 capsules of 10mg and one around noon, in exactly one hour I feel that hit, dopamine increasing in my brain, me being able to focus on everything and multitasks at one time, I was just diagnosed with ADHD before Dexedrine I just could not concentrate on anything it was so so bad. But I can't explain in words the FLASH or Hit you feel after one hour it is tremendous, I feel so happy, everything I see, I see with happy eyes. Besides all that positive facts I mentioned I really have to say it has severe side effects. First day I took only 10 mg capsule after a few hours that it kick off I had an anxiety attack like I have never had in my life I felt like my chest is going to explode that feeling was so strong that I had to take Xanax. Besides that I have problems falling a sleep, some nights I don't even sleep at all. As well my hands start shaking and I feel disturbed and nervous.",0,14,1
"Dextroamphetamine","Jennifer","November 30, 2019","Taken for 10 years or more","I am sure this medication dextroamphetamine no longer comes through as amphetamine is filled with watered down other stuff and opiates.",1,9,1
"Dextroamphetamine","Alfred_swe","November 2, 2019","-","<b>Dexedrine (dextroamphetamine):</b>			 I was diagnosed with ADHD six months ago. I am 30 years old. My whole life has been a big problem with taking school, finance and friendship seriously. I have, on the other hand, been a person with a good mood, charm and with a sense of adventure. All these are good qualities you think? Not really. I've developed alcoholism, I've never had a financial surplus, I've lost touch with most of my good friends, and I've never accomplished anything I've set myself the goal of.   I began to understand why my life has become so miserable. I started exposing myself for all kinds of things - for the first time I felt solid - a sense of integrity. At the same time, it was a great stress. After a month, I began to think that my whole life had just been a big joke.  Before you start taking this medicine: Be prepared to experience identity disorder  NEGATIVE: My hair has gone from thick to thin, my skin is not so smooth anymore and sometimes sleep can be very difficult.",0,15,1
"Dextroamphetamine","Tarns","November 2, 2019","Taken for less than 1 month","Finding that starting this medication can be very tricky as it will work differently for so many with ADHD. I've found the small dose makes me very tired and lethargic with no motivation. Going up in doses is trial and error and unless you're very patient or have the ability to experiment this could take a long time to find the right dose and top ups. Coming back to your ADHD self can be very depressing to.",0,5,1
