"Drug","User","Date","Period","Review","Score","Likes","Page"
"Dyanavel XR","Honey88","January 9, 2020","-","As an adult with ADHD, I love this medication because it allows me to adjust the dosage as needed. I don't take my medication on weekends and on holidays. So when I get back on my meds for work, I can start out with a lower dosage rather than shocking my system with my regular high dosage. It's the best medication overall in terms of allowing me to concentrate and not making me into a zombie, allowing me to eat even with a decreased appetite, and not making me an insomniac.  However, this medication is WAY too expensive. The new manufacturer's coupon is pitiful, covering only up to a max of $140 when the medication itself is +$400. Previously, I was only paying $20/mo for my prescription the coupon. Of course, my insurance co wants me to use other (cheaper) drugs that I've tried, but don't work for me in terms of helping me concentrate and/or the side effects are too strong. Insurance companies need to stop trying to play doctor and give patients the medications that they NEED.",8,4,1
"Dyanavel XR","G","December 15, 2019","Taken for less than 1 month","My daughter has been on a few other medications. The first one worked well with a few long melt downs. They switched her to quallichew and that made her angry and defiant. She was just switched to this Dyanavel  a week ago, and it's been amazing so far. Not 1 melt down about anything which is huge for her! Seems to be focused and overall a sweet and happy girl. Pray it stays this way!",10,2,1
"Dyanavel XR","Paloma","October 15, 2019","Taken for 2 to 5 years","My son has been on this medication for over 2 years and it had been a life saver. He doesn't turn into a zombie on it. He eats and sleeps well. Now my insurance is trying to deny him the meds until he's tried everything else. Except he's already tried everything else.  I'm so over these insurance companies. They don't want to see anyone get better.",10,10,1
"Dyanavel XR","Dani","August 11, 2019","Taken for 1 to 2 years","My son has been on this for a year. I love this medication since little to no side effects. His focus and constant going has improved dramatically yet not a zombie and can sleep and eat with no problem. No crankies when wears off either. He hates the taste. Only issue is the coupon for$20 a month just expired. They gave new number but the price really went up. This month is now $228!!!! May have to find new type and I’m quite sad about that!!!   I was denied even with prior approval from doctor. Darn it!!!",10,8,1
"Dyanavel XR","Ang","May 13, 2019","Taken for 1 to 2 years","My 10 year old has been on this for 2 years, we were the guinea pigs and were the first to try this medicine at his doctors office and it has literally been a lifesaver. His WHOLE life that he has had ADHD has now changed for the better after starting Dyanavel.  The school has noticed a huge change for the better and he actually enjoys life now. *He is on 7 mg daily*",10,10,1
"Dyanavel XR","Skiguy","February 4, 2019","-","ADHD daughter age 6 was prescribed this after bad temper, audio hallucinations from adderall. Has been on 4ml for almost 2 years. Its worked wonderfully, no crashes or any side effects. As little as 2 ml on weekends helps her focus.  She has kept her appetite. After over 2 years we're going to discuss increasing her dosage and I  think she has built up a tolerance. The drug now tapers off after 4 hours almost, where as before it would last 6-8.",9,7,1
"Dyanavel XR","Rissa","September 28, 2018","Taken for 1 to 6 months","This has been a great medicine for my son. He has tried 6 different meds but never stayed with them because either they didn’t last all day, stopped eating, trouble sleeping, mood swings, crashing hard when meds wore off,  ineffectiveness or turning him into a zombie. He is 5  but almost 6 yrs old and he is taking 3.5 mL at around 7 AM daily.  It wears off around 6:30 PM and there is no hard come down. Before this med, we had to give my son melatonin every night for him to be able to fall asleep before midnight. We don't have to anymore. This is also the only med where he has an appetite. I was having to force feed him his meals because he would never want to eat on other meds. Now he is eating great and healthy. It’s also so great to see my son’s personality and humor shine on this medicine because it works well enough to slow his brain down from the 100 mph it usually goes, so he can focus on saying proper sentences and conveying his thoughts, but without turning him into a zombie.",10,15,1
"Dyanavel XR","AllAboutMyKids","September 27, 2018","Taken for 1 to 6 months","Dyanavel XR has been a blessing to my boys. ADHD highly affected them both by the time they reached third grade. My boys are both honor roll students now in a academic challenge magnet school. I too was against meds, but I had to save my boys life. The best decision I ever made. The  school is very impressed.",10,12,1
"Dyanavel XR","ExhaustedMother","September 13, 2018","Taken for less than 1 month","The pediatrician started her on 2ml, and immediately saw an extreme improvement in school, dance and at at home. I highly recommend  this drug!",10,9,1
"Dyanavel XR","Anonymous","September 12, 2018","Taken for less than 1 month","My son is 7 and has been on Dyanavel XR for less than a month. He was switch because of the shortage on Quillivant XR.  While my son was taking the Quillivant he was doing great in school.  I was not getting any calls from the school or anything. Overall he was doing great. In this last month of taking the Dyanavel my son has been suspend from his after school program, and just today he was suspend from school.  He totally done flipped out on the teacher, the principal and the police at the school. I will be switching medicine",1,4,1
