"Drug","User","Date","Period","Review","Score","Likes","Page"
"Focalin XR","Human","May 5, 2020","-","Took a break then started again and on day 3 I was nausea tired",4,1,1
"Focalin XR","CollegeGirl","February 26, 2020","-","I am 19 year old female in college, and an athlete with extreme ADHD. I usually take Adderall Xr 20-30mg and it has helped me so much in college, I used to drink 6 cups of coffee a day just so I could focus enough to remember where I left my keys and sit down to take a test, but now adderall does that for me. FOCALIN however,  was possibly the worst experience of my life. Focalin took every bit of anxiety and sadness and threw me into several panic attacks. I am a very happy and energetic person, I have never experienced depression or anxiety like this. I didn’t sleep all night and I spent most of the night sobbing uncontrollably. My heart was beating out of my chest and I couldn’t think about anything but how sad and stressful everything was. I suggest to NEVER take this medication, the side effects FAR outweighed the purpose of the medication. I never felt focused or honed in.",1,3,1
"Focalin XR","MT","February 17, 2020","Taken for 2 to 5 years","I've tried almost every single ADHD pill from Adderall to Daytrana to Ritalin to Vyanese to Concerta...Focalin is BY FAR the best for me. I am on the 10mg dose. Was originally on 30mg but my heart was beating way too fast on it. The other meds made me very angry, but this keeps me at bay, yet focused. Only con I have with this is about an hour after I take it, I have a bowel movement. I'm also the same way with coffee. I don't take it everyday and on the days where I don't I can definitely tell, but I don't have cravings.",10,5,1
"Focalin XR","Frankl","January 11, 2020","Taken for 10 years or more","I was on  focalin XR when I was age 5 I think it is a good medication learning wise, but at the same time it drains you it takes your happiness and joy away it’s like you are completely numb to joy, when I’m off of it I can’t focus but I am always so joyous and happy, when I’m on it I focus perfectly but I am very zombied out and it is a horrible feeling",2,9,1
"Focalin XR","ashton","January 7, 2020","Taken for less than 1 month","Today was my first day on Focalin. I took 10 milligrams and it did absolutely nothing. I feel zero difference. The only difference I feel is the fact that I have a headache and sore throat.",1,3,1
"Focalin XR","Better life","November 15, 2019","Taken for 6 months to 1 year","Our son was diagnosed with ADHD and Focalin XR has changed his life for the better.  He is able to focus at school now and he's performance, grades and happiness have all evolved.  It was with heavy hearts we finally relinquished using meds because of the fear of what it might do long term and seeing zombied-out kids who no longer have personalities.  Focalin didn't do this at all.  Our son is still very much himself but without the stress of struggling so hard to focus. It has changed our lives. Teachers, coaches and family have all noticed wonderful outcome.",10,20,1
"Focalin XR","Ev","October 16, 2019","Taken for 6 months to 1 year","I’ve had ADHD for a very long time and didn’t start taking Focalin until (11th grade) I tried other stimulants in middle school but gave up because disliked the way they made me feel. Focalin does its job. It helps me focus and get work done, however, I do get shaky and anxious while on the drug. My appetite is also effected. You just have to decide if the side-effects are worth the outcome.",5,9,1
"Focalin XR","Anonymous","August 29, 2019","Taken for 5 to 10 years","I've taken it on and off since I was in highschool (I'm 26 now). Generally 5-10mg has worked best for me. It helps me a lot when there are tasks I need extra focus on, and a lower dose can help in social situations. I found it to be helpful for school, and more recently at work. The worst side affect for me is a loss of appetite. I find that I have to totally guess how hungry I am and force it down so I don't get brain fog. It relieves anxiety in that I can finally do what I need to, but it raises anxiety in general. I try to take it as little as possible, and haven't experienced any issues taking it sporadically. Just keep the dose low.",8,11,1
"Focalin XR","Wouldn’t you like to know","August 23, 2019","Taken for less than 1 month","The first day I took Focalin XR, it worked fantastic and I had so much energy and confidence was really feeling like myself again. 2nd day of taking it, it was ok wasn’t as good as the first day. Then the third day I felt no difference at all. Made me feel probably worse than when I was off of it. Was extremely exhausted had no effects at all. So I called my doc and he told me to start taking 2 (20mg each) and it did ok I felt the energy but literally no focus at all. Wouldn’t recommend this to anyone may work ok for some but it’s a good chance it won’t.",1,3,1
"Focalin XR","AQ","August 15, 2019","-","Focalin does the trick in getting you less scatter-brained and it helps with focus, but be sure you are only ADHD and  aren't also autistic and/or have motor tics/nervous tics because it is an amphetamine stimulant drug. There it might make you more fidgety if you fidget or have nervous tics out of anxiety and over-stimulation. I'm on the spectrum and this drug makes my repetitive motor movements worse.",7,10,1
"Focalin XR","Max","July 28, 2019","Taken for 1 to 6 months","Long story short I was previously on Vyvanse 40mg a day, and I decided I wanted to try Focalin XR. Before that I was on Concerta and absolutely hated it, when I was a kid I apparently did very well on it, but not anymore. So I decided to give Focalin XR a try, and it works very well! The only 2 issues I have is the questionable quality of the release beads among certain generic manufacturer, and the severity of the crash.",7,5,1
"Focalin XR","Mo","July 22, 2019","Taken for 5 to 10 years","I’ve never commented on a drug before, but I feel compelled to here due the number of negative reviews. Focalin has completely given me a life... I went from not being able to function to a person who is optimistic, looks forward to taking on the day, carries out tasks to completion and enjoys doing so. It has given me the ability to be a much better man, husband and father. Will it do the same for you? Maybe... maybe not. But if it does, the result is priceless.",10,25,1
"Focalin XR","Johnsmith2359","July 13, 2019","-","Whenever I take this medication I feel bored of everything. I will just sit and do nothing instead of doing things I normally enjoy. I am not hungry and become unsociable. Sometimes get shaky. Grades seemed to improve slightly. Not worth it at all.",2,5,1
"Focalin XR","Mom","July 7, 2019","Taken for 2 to 5 years","My daughter with ADHD been taking  Focalin XR 30mg and she has less attitude. Her teachers say it helps her control her self. Without it she has an attitude to her sister she is good when she is on it but when it  but when it wears off her attitude is back and she’s hyper.  Her grades are better though.",8,6,1
