"Drug","User","Date","Period","Review","Score","Likes","Page"
"Intuniv","Whoareyou","February 17, 2020","Taken for 1 to 6 months","43 years old male ADHD and anxiety.  I'm also on dexadrine 10mgs twice a day.  This medication is definitely not for me.  At week 2 I couldn't take my stimulants anymore, had the  D/T's, massive anxiety attacks.  I tried to ride it out for a month but I just got more anxiety depression and insomnia.  I will stop this med and am not looking forward to the rebound hypertension and whatever else nasty happens. Not a good option for me.",1,6,1
"Intuniv","special","January 13, 2020","Taken for 5 to 10 years","While intuniv didn't help me focus as well as vyvance or ritalin It still helps a fair amount with staying focused without any of the irritability. It also takes quite a while to start working, overall I'd give it a try; I've been on it for roughly 10 years now.",7,15,1
"Intuniv","TruJB","November 22, 2019","Taken for 6 months to 1 year","I have a 9 yr old HF autistic that is mixed with some add and ODD. He use to have huge meltdowns at school to the point he was harming himself and whoever was in the way. He would go hot to cold in seconds we believed it was a mood disorder. They tried to prescribe resperidone at first but I refused because of all the research I did on it.. once the doctor gave me intuniv ALL the meltdowns literally STOP!  In May it will be a year he has been on it I give him 2mg every night because when I gave it in the morning he was falling asleep in class. And if he was to miss 1 dose it throws him all off. If he doesn't eat enough on it he does get nauseous with headaches but it's only those random days he doesn't feel like eating anything specially at school so I always try to remind him eating and drinking water is a must! That is my only downfall about it is those random times he does get sick.",9,45,1
"Intuniv","TiredWolf","November 22, 2019","Taken for less than 1 month","I DONT RECOMMEND TAKING THIS DRUG Intuniv 18male 63kg 170cm Was prescribed for my ADHD and anxiety  2mg all the way first 2 weeks only tired but concentration improved. 3rd week was real bad, I got extremely anxious random panic attacks all the time, heart pain ,dark  thoughts , started crying every other hour , were exhausted and  irritated also lost control of my emotions got angry out of nowhere  And worst of it was that I forgot who I were sometimes panicked because I couldn’t remember my parents. Pls don’t take this drug look for something else stimulates or whatever but inutniv can destroy your life or make it much worse.",1,15,1
"Intuniv","Aussie Mum","October 26, 2019","Taken for 6 months to 1 year","My son has anxiety and mild ADHD. He had about 3 months on Ritalin and Concerta and after coming off it I know he is far worse than he was before. Intuniv is a better option for him and helps him when struggling to focus at school. He is also on Lexapro for anxiety. He can only take 1mg Intuniv as it makes him tired. I have just started to give him his dose straight after school as I figure it might help him stop feeling so tired in the last period of school as this is a problem for him. We live in Australia so it only costs me $5.50 for 28 tablets.  I feel for you all having to pay those ridiculous prices for medicine and hospitalization.",6,23,1
"Intuniv","Anonymous","October 16, 2019","Taken for less than 1 month","I love Intuniv! It takes time to help with focus but it started helping with my anxiety within the first week of taking it. I take it in the morning since I take clonidine at night to help me sleep. It made me tired at first but that eventually went away. Definitely try Clonidine and Intuniv if you respond poorly to stimulants!",10,23,1
"Intuniv","LG97","October 14, 2019","Taken for 1 to 6 months","I have been on this medication for about 6 months that I can recall for my Anxiety and ADD . First few times I took it at night but could not fall asleep as the doctor told me it would.  Now I normally take it around 1 to 3 pm in the evening and I get very productive. I love this medication for this. I have depression, anxiety and ADD and it helps with the ADD a lot. I even notice at work I become way more focused and awake ready to do work. This medication has also helped me lots in school as I would be quieter in class and listen more. I do see that my emotions are calmed down as well. I would say this is the best medication I have ever had in my life and I believe so. It has truely changed my life for the better. I have also been on many stimulants and my emotions were all over on those. This is an amazing medication. I take 1 mg as well.",10,45,1
"Intuniv","Ann","September 2, 2019","Taken for less than 1 month","So far so good. My 14 year old just started this drug. He’s ADD and has had major set backs in life because of it. Stimulants helped however this drug has made him able to verbalise thoughts, think clearly, remember (most noticeable), engage with friends and make friends, be much more organised, plan things, be attentive in a calmer way, recognise when he needs the bathroom, communicate feeling and sensation in his body, the list goes on. Wish we’d known about this drug (and dr) 7-8 years ago.",10,47,1
"Intuniv","T","August 25, 2019","Taken for less than 1 month","Well I was taking ritalin just by itself which has helped immensely, but I needed something to make it last longer as i would get mild comedowns between doses and need to take another dose before the 3 hour mark, roughly about 2 hours &amp; 40 mins I would feel the comedown, so I've started intuniv with it. 1mg has been amazing making it stretch out longer without having to also deal with comedown &amp; faster heart etc. Now that I've  started on 2mg I notice I get really slow and tired, also sometimes a faster heart rate but oxygen levels are still good. I think 2mg for me is to much, I might stick to 1mg. Overall I think it's great but yeah for me 2mg makes me feel like rubbish.",7,15,1
"Intuniv","Jer","June 26, 2019","Taken for 6 months to 1 year","I'm an 18 year old male, I've been taking ADHD medications since I was 7 years old. The big problem I had with them is anxiety. I was taking 80mg Vyvanse previously and was able to drop it to 60mg with 1mg Intuniv. This worked great and helped solve some of my anxiety. Since, my workload has increased dramatically so I had to once more increase my doses slightly. It's my first day on 70mg of Vyvanse and 2mg Intuniv. Honestly this medication is very good. As a little bonus I find it really helps control and notice one's own impulsive behaviors. Over all very good. I'll keep posted on how the 2mg on intuniv works. (I'm 155lbs) 5'10 Started Intuniv 5 months ago",9,47,1
