"Drug","User","Date","Period","Review","Score","Likes","Page"
"Metadate CD","Whatever","September 13, 2018","Taken for less than 1 month","I hated this medication. It was so hard for me to sleep in the evening on the day I had taken  it.  Also I would hear random things and see random things and I would over think. My eating went from eating just fine to maybe a banana and some chips a day . When you take this protein shakes will help . Also drink  a lot of water. The good thing about it is it kept me focus. I got stuff done unlike some other add medicines that made me just sit there. Also a little depression and over thinking did occur. The only real complaint I got is ZERO sleep and you may become paranoid.",4,9,1
"Metadate CD","Anonymous","April 10, 2018","Taken for 2 to 5 years","Hi my son has been taking Metadate since he was 6. He is 8 years old now a complete turnaround in school his grades went from E's to A's and B's straight-A sometimes. He eats very well he gained his weight we haven't lost any weight with this medicine. But I'm make him eat lunch whether it be a pack of peanut butter crackers. He's growing like a weed. The only side effect is he ill when it comes off of it.",9,9,1
"Metadate CD","P. Greene","March 2, 2018","Taken for 10 years or more","Yes its the only thing that works for me, and now my insurance will not cover it. I've tried everything else for ADHD. I wish there was a way that the maker would help in lowering the price of this drug . I'm disabled from stage 4 cancer. I've been in remission for 12 yrs and 2 months 2 days. It helps me to complete all the everyday tasks. I'd really appreciate if their was some kind of help",10,8,1
"Metadate CD","Gricelda","February 20, 2017","-","My son is currently on 20mgs once a day. Diagnosed and medicated September 2016. We noticed he does this blank stare where his eyes roll up and makes a tasting motion with his mouth. I notified Dr and he had a EEG done. Turns out they were seizures. He is doing super well in school, complete 180 but I don't think  it worth it. He's now on liquid keppra. I feel like has just going down hill. Super irritable, mood swings which they said was a side effect of being on both. Very disheartening. Waiting for MD to call back to change his med to a non stimulant.",3,8,1
"Metadate CD","Maggie747422","February 8, 2017","-","This made my son so extremely tired.  Also changed his personality",3,4,1
"Metadate CD","William D","February 23, 2016","Taken for 2 to 5 years","I was on metadate 60 mg from 9-14 and it created a very intense anxiety and paranoia threw out my teenage years. Worst CNS medicine I've ever taken. I was on CNS medication from 6-16 and it did nothing but worsen long term. And leave me like a zombie while I was on it.",1,12,1
"Metadate CD","Jonahs Mom","August 11, 2015","-","My son has been on this medication for 4 years. He's now on 40 MG and it has been a Godsend! He went from Ds and Fs to As and Bs.  It wears off after school but as long as he makes it through school that's all that matters to me!!! I would recommend this medication to any parent. It truly has helped our son and brings out the best in him!",10,78,1
"Metadate CD","luke's mom","February 10, 2015","Taken for 2 to 5 years","My son has been on this since 2nd grade.  He is now in 5th and is on 60 mg. He has had great success on this medicine.  He is more focused, can keep it all together, and as I describe pretty much all that I can ask for on the meds.  Off meds it's a whole different story.  He has no side effects other he is not as hungry during the day.",10,59,1
"Metadate CD","Anonymous","October 8, 2014","-","My 9yr old son has been on it Metadate 20mg for over a year now. Only side effect is lost of appetite so I make him eat a big breakfast. He only takes it on the week days for school it has really helped him to focus. My sons grade improved from 60's to 90's. I like Metadate because by the time he's out from school the medication has warn off and he's back to his normal active self. During the summer I also give him a break from the med and we do not have to tapper off in order for him to stop. We've tried other medications that which had not so good side effects. Metadate so far is the best.",9,84,1
"Metadate CD","tachy-heart","July 18, 2014","-","My 11 year old took 3 doses. On the 4th day she woke up (10:15am)  feeling weak and dizzy. She came to me and told me her heart felt like it was going to jump out of her chest. Her heart rate was 100. It remained elevated for about an hour. The MD could not see her until 2pm. By then her heart rate was 88. She was diagnosed with dehydration.",0,28,1
"Metadate CD","Anonymous","March 7, 2014","Taken for 6 months to 1 year","My 7 year old grandson has had great progress in school on Metadate 20 mg  combined with 2 mg Guanfacine.  He is focused and homework time and evenings are fine.  The only drawback is he's very grouchy and uncooperative when he wakes        up.  He has very little appetite until late evening and everyday at school his belly hurts.",7,32,1
"Metadate CD","SammyW","February 7, 2014","Taken for 2 to 5 years","My son is 11 and has been taking Metadate CD for 4 years.  He is now taking 30mg in the morning.  He is very thin and has no appetite during the day, but when his appetite comes back at bedtime we always let him eat as much as he wants.  When he doesn't take this medication he says he can't do any of his work at school so we feel it really benefits him.  He still has a lot of trouble with disorganization and being moody and sometimes aggressive, especially in the evenings when he is coming down off the medicine.  He also has some headaches still, but not too much trouble sleeping.  His behavior and ability to finish his school work all depend on whether he has had his medication though.",9,43,1
"Metadate CD","ADHD for 22 years","October 13, 2013","Taken for 10 years or more","I'm 31 and diagnosed with ADHD for 23 years. When my parents started me on Ritalin in 3rd grade their only regret was letting me struggle for so long. I was always being sent home from school for playing in the mud, walking out of class, etc. I was talkative and happy, but my grades were well below satisfactory - I had very few teachers encourage me, rather I was written off as a disruption. My first year on medication was hard, I had no appetite and trouble sleeping. After about 6 months all the side effects went away. I could eat and sleep no problem. I have been on Adderal now for 17 years. I graduated college, have amazing job - not sure where I would be if nobody saw the signs and helped.",8,128,1
"Metadate CD","Jsoucie","April 25, 2013","-","My 7 year old son was on this for a few months. It wasn't until summer and he was in my care full time when I started to notice his strange characteristics. He became more of a loner, didn't talk much with anyone, and started staring off with a fearful look. At my mothers I noticed he was staring into the bushes, rocking back and forth while standing. I asked him what he was doing and he told me he was seeing eyes in the bushes and they were all staring back at him. Well I immediately called his pediatrician and had him taken off that day. We started seeing improvements by the next couple of days. He became more social, wanted to actually get of the house and was my boy again.",1,40,1
"Metadate CD","Twintriptwo","April 12, 2013","Taken for 2 to 5 years","My 8 yr old has been taking this medication since he was 5 years old. Started at 10mg. Took him to the Doctor to see about upping it to 20mg. While at the doctors office the doctor said he needs 30mg. We tried that for a week or so. My son lost his appetite and complained with his heart hurting. Took him back, put him on 20mg. When he started the medication everyone could see a huge difference in his behavior. They said he was like a different child. Straight As for the past 3 report cards. The medicine runs out near the end of the day. If he has issues that's when it happens. At times he hits himself, makes strange noises, and can be moody. He sleeps well and he is @ 85% in his weight. It has worked for him.",9,55,1
"Metadate CD","CDoc21","March 18, 2013","Taken for 1 to 2 years","My son was having alot of trouble in school and we ended up having him repeat the first grade. At the end of his first year in first grade we put him on the medication and saw an immediate difference on his focus. He is finally above goal in his classwork. So as far as school goes he is doing amazing. The con for us is my son is very thin to begin with so the medication hasnt helped with weight gain. Also he does strange things like hitting himself in the chest not hard just looks strange. He just does odd things at times. But he doesnt have any issues sleeping.",8,30,1
"Metadate CD","Anonymous","December 6, 2012","Taken for less than 1 month","My 5 year old has been on this medication for about 2 weeks now we switched him from Adderall to this because Adderall had to many side effects but other than the side effects he did really well at first. So we switched to Medadate we had high hopes that we found the right medicine for him but we saw no response at all his behavior on the medicine was as if he was not on it. We moved his dose up to 20 yesterday I hope this will help or else we have to try something else.",5,19,1
"Metadate CD","Sheri Lynn","November 3, 2011","-","My son (7 years old now) was diagnosed with ADHD last year and was started on 10mg of Metadate. We've slowly progressed to 60mg now which I was told is the maximum dosage available for this medication.  It seems to work fine on a new dosage for about a month and then nothing.  Our doctor is now talking about putting him on Adderall which makes me a little nervous since he is already underweight (been reading all the side effects).  He is only 49lbs and 49inches.  We're feeding him Pedisures daily to help boost the weight but still to no avail. Just want my son to be able to focus in school!",6,14,1
"Metadate CD","Mom with a Question","October 17, 2011","-","My son has gradually come up to 40 mg and now he is telling us that he does not feel anything anymore. Can this happen? We do give him 3mg of melatonin to sleep at night when it was working to help him sleep. It works great.",0,13,1
"Metadate CD","Anonymous","September 16, 2011","-","My Grandson was diagnosed with ADD and was placed on Metadate CD which from school reports about behavior in class seems to be helping there. But he does seem to behave some reflex issues being slowed down in sports and acts much more insecure in wanting a constant approval which we are quick to give.",5,8,1
"Metadate CD","Anonymous","May 27, 2011","-","My son is 8 and we just started this medication. Started at 10mg and it was not enough so we went up to 20mg a few days later. His teacher noticed right away that things were better at school, but at home he was a nightmare. Very emotional when coming off medicines in the afternoon. We got a booster of Ritalin but now he is not sleeping. I am going to try Concerta again to see if we can get rid of the emotional outbursts.",6,19,1
"Metadate CD","Anonymous","May 20, 2011","-","My 8 year old son was diagnosed with ADHD nearly 1 year ago. We tried 4 different medications - 2 gave him side effects of not being able to sleep AND a high anxiety.  2 did nothing for him.  Then we tried Metadate CD. We started with 10 mg, which didn't really do anything. 20mg was better, but still some issues in the attention area.  We are now at 30 mg, and it's great. His teacher has also said that school is much better. He makes sense in his answers, he's not blurting out or disrupting the class.  We give it to him at 6:45 am, and can get through a bit of homework until 5:30pm.  Then it's worn off. I think that's a great amount of time and NO side effects of lack of sleep, lack of appetite, or mood/anxiety issues.  I hope it continues.",8,47,1
"Metadate CD","Anonymous","March 2, 2011","-","My son is 5 1/2. We've always noticed his short attention span, impulsiveness, always in trouble. Last year he started preschool, he to has a July birthday. His teacher asked if I had considered holding him back. We decided not to. Kindergarten has been a roller coaster. We started seeing his pediatrician about a month into school. He was in time out everyday distracting the class, loud outbursts, not able to sit still. Now it is March he's been taking Metadate 20mg for about 3 months, his report cards has improved about 80%. Although it does wear off around 2 or 3 in the afternoon we can really see a difference in school. I still am interested in investigating other avenues. Overall my son has shown a significant improvement.",8,27,1
"Metadate CD","Aric","December 18, 2010","-","I wrote a former review on this medication a while back. I want to re-edit my review with a new one thats founded upon newer trials.  I took the medication, how my doctor told me to (* not how it was perscribed on the bottle *). He said, take this 1x daily (* 30mg *) when you have work or school. Well, having ADHD-PI I need to take this DAILY - meaning everyday. Without it, I'm a mess. I can't focus on social conversations (* I always feel like I'm lost in translation *) With this medication, I am confident I can pursue my studies at college - without experiencing defeat, and hold down a job and friendships. I may not be my wacky spontaneous self when I'm on it but it's worth it I guess.",8,34,1
"Metadate CD","Aric","November 29, 2010","-","I've been taking stimulants for ADD almost all of my life... Except for high school - man, did, I fall apart then. Parents, never take your children off these medicines if they're on them for a reason and doing well. I'd continue the route.  This medicine is alright but I do not like the come down of it at all. Makes me very irritable and angry, then extremely depressed. It does give me a burst of energy which gets me motivated to start doing things and what not - which I like, but, just the come down is brutal. I don't like methylphenidate. I want to try Adderall as I heard it is less intense. Anyways, make sure you drink a lot of water on this medication and try to eat something.",5,40,1
"Metadate CD","Anonymous","October 20, 2010","-","My 7yr old daughter was having a horrible time focusing in school and was very overweight. The doctor started her on Metadate 20mg and had to eventually move her up to 50mg a day. It worked great, she lost the weight and focused great in school until this year. She went to a new school and the days are a little longer. The teacher and I noticed that the medicine was not working as well as it used to and was wearing off before the end of the day! The doctor said that she could not up the dose because 50mg was the maximum and wouldn't let the school give a second dose so she has switched her to Adderell XR and it worked great but she can't sleep. I miss the Metadate and am thinking about getting a second opinion.",10,10,2
"Metadate CD","MYonker","August 30, 2010","-","My son is 7-1/2 and has been taking 20mg of Metadate CD for the past 4 months.  He started a new school this year, private school, and we had high hopes for him to succeed.  But within the first week of school the teacher was already reporting lack of focus and inability to work independently.  So the Doctor recommended a higher dosage.  We had just filled the prescription ($47/month) so I asked if we could simply double the dose instead of a new prescription of 30mg. Doctor was Okay with that so we did it over the weekend.  I saw a major difference at home, he sat in his room and played Lego's for over 3 hours, very focused on it.  But he was so quiet it scared me.  Today will be his first day in the classroom with 40 mg, I hope it works.",6,13,2
