"Drug","User","Date","Period","Review","Score","Likes","Page"
"Methylphenidate","nathan","May 4, 2020","Taken for 1 to 6 months","highly addictive but try using the extended release ones they work well.",9,0,1
"Methylphenidate","Pat1414","May 3, 2020","Taken for 1 to 6 months","<b>Concerta (methylphenidate):</b>			 Having suffered with Depression and ADHD as an adult, honestly this medication is a godsend. I'm only on 18mg (Extended release) and take it with Wellbutrin (for the depression) and I must say it's a life changer! (The X release makes a big difference - blood levels are more stable) No more emotional moods, no more crying, no more feeling like dying, no more negative thoughts. Also, you can concentrate for long periods of time and not get frustrated and be very clear minded. I can study for 6 hours straight! After trying so many medications, this just works.  Side effects: Fast heart beat, LOTS of energy and maybe a libido boost. Really good for adult ADHD and Depression.  Please note. Everyone is different. You might have a different experience.",0,5,1
"Methylphenidate","Animal Girl","April 16, 2020","Taken for 2 to 5 years","<b>Aptensio XR (methylphenidate):</b>			 I started on Concerta and take 60mg because I developed a tolerance to it. That was back in high school. Now I am in college and take Aptensio XR. Aptensio lasts all day for me and it makes a lot easier to focus. I love not having to take two pills a day like I had to in high school.",0,0,1
"Methylphenidate","Robyn","March 23, 2020","-","Krill oil with the METHYLPHENIDATE 10 mg every 4 hrs (but only up to 2x day) When I was taking the 36 mg of methylphenidate 8 hour release my appetite increased to an all time high. METHYLPHENIDATE 10 mg I'm on has already decreased my craving for sugar and wanting to binge eat.",8,0,1
"Methylphenidate","Tessa","March 18, 2020","-","My pharmacy switched brands of methylphenidate without telling me. The first day after taking it, I knew this brand was useless! I couldn't focus and wanted to eat more than I usually eat. I gained 10 pounds before I made the switch to a different manufacturer.",1,0,1
"Methylphenidate","Sunny","March 9, 2020","Taken for 1 to 2 years","<b>Concerta (methylphenidate):</b>			 It took a while to get used to but I weigh about 160 lb. and take 54mg daily now. Overall, it just makes it so much easier to be focussed and organized, with the meds I can actually keep routines. Biggest side effect for me is the appetite loss, I lost 30 lb within the 1st 6 months. Thankfully, that has lessened a lot and I’ve gained some of the weight back but definitely something to consider if you have concerns about being under weight or disordered eating. As well, if you try to have caffeine, nicotine, sativa, or any stimulants you’re going to feel like absolute garbage, so follow the doctors order and avoid them. Only other warning you might not find online is that the brand name Concerta is expensive and not always covered (in BC, Canada). It wasn’t covered by my university health plan but it’s covered by my work plan with blue cross. For 90 tablets of 54mg Concerta (brand name, my doctor told me not to take the generic) it costs 400$.",0,9,1
"Methylphenidate","Fanta","March 4, 2020","Taken for less than 1 month","I tried a lot of anti-depressant medicines. Lastly, my angel psychiatrist prescribed this medicine methylphendiate. I felt as if I was born again at age 41. Since I knew myself, until I got this medicine. I was not a happy and organized person, never wished to see the next day. Now, I am a normal human being. I am also angry that my parents never helped me with my ADHD since I was little.",10,4,1
"Methylphenidate","Old(ish) Fella","March 1, 2020","-","<b>Ritalin (methylphenidate):</b>			 I'm 56 year old male. 87kg. Recently diagnosed ADHD as Im easily distracted &amp; can't concentrate easily. I'm in good health, and successful &amp; don't get depressed. Unfortunately Ritalin has NO effect on me at all. I have no feeling of it coming on or wearing off. All I get is a dry mouth at higher doses. I began fast release 10mg @ 8am &amp; 10mg @ 1pm.  The upped to 20mg am &amp; 20 mg pm. Then 30 &amp; 30. Nothing. No affect or change in how I feel. Then tried Slow release SR 40 mg am &amp; 40mg arvo. Still nothing. Then tried 20mg Fast with 40mg SR in morning. But was distracted on phone &amp; mistakenly took same dose 15 min later. So 120mg in one hit. I expected to have heart racing &amp; some sort of 'buzz', but NOTHING Very disappointing Would like to try Adderall or similar",0,7,1
"Methylphenidate","Cl","February 29, 2020","-","Getting off of methylphenidate sucks. I had terrible withdrawals and while I was on it I couldn’t eat and developed an eating disorder. Made me very depressed and made me not want to interact or do anything. I overall hated being on it.",1,2,1
"Methylphenidate","Anonymous","February 23, 2020","Taken for 6 months to 1 year","<b>Concerta (methylphenidate):</b>			 I was diagnosed with mixed type ADHD at 25, far later than most. I started at 18mg and have been slowly bumped up to 36mg. Overall, my working/short term memory, energy levels, and mood have improved moderately. Unfortunately, I somehow burn through the medication in less than 6 hours and crash halfway through work almost every day. This drug has helped a lot but it isn't perfect for my brain chemistry.",0,6,1
"Methylphenidate","John","February 20, 2020","Taken for less than 1 month","<b>Concerta (methylphenidate):</b>			 I am in my early thirties and very recently started drug trials for ADHD. After trying Vyvanse which didn't work out I moved to concerta. On the lowest dose I had concerns, as it seemed to make my ADHD symptoms worse. I became more irritable and more distracted. After a week I moved the dose up the next level and had a terrible day. Extremely irritable, so lethargic I could do almost nothing all day, difficult time sleeping... I had difficulty dealing with my children if they did the slightest thing wrong. Concerta is not for me, I will try something else.",0,7,1
"Methylphenidate","Joe","February 19, 2020","Taken for 1 to 6 months","<b>Concerta (methylphenidate):</b>			 Does what it’s supposed to do, but makes me miserable while it’s at it.",0,4,1
"Methylphenidate","Maythe","February 19, 2020","Taken for 1 to 6 months","<b>Concerta (methylphenidate):</b>			 I used to take the 36 mg dose, but it didn’t really help my forgetfulness and sleepiness symptoms.",0,1,1
"Methylphenidate","Storm","February 16, 2020","Taken for 1 to 6 months","<b>Concerta (methylphenidate):</b>			 I was diagnosed a year ago after numerous diagnoses, with ADHD. I was put on Concerta 54 and I'm a different person. I'm happy, calm, still bit anxious but I'm better everyday. Fantastic medication",0,9,1
