"Drug","User","Date","Period","Review","Score","Likes","Page"
"Mydayis","Nicole","January 9, 2020","Taken for less than 1 month","I've had ONE DOSE.  Let me be clear.  I took one 25mg pill 6 hours ago and I'm so sleepy I can't see straight.  I slept 7.5 hours last night so I don't understand the drowsiness.",5,21,1
"Mydayis","Aiden","October 20, 2019","Taken for 6 months to 1 year","I’ve been taking meds for ADHD/ADD close to 8 years now.  Tried Adderall at many dosages, types and amount of times per day over a period of many years.  My biggest issue. I forgot to take them.  Tried Vyvanse. It helped but I got nauseous, dizzy every day.  Tried Adderall again and forgot to take them.  One day my doctor mentioned Mydayis. I wouldn’t have to remember taking more than one in the AM.  After a week I could tell that it was helpful but wasn’t able to tell if a BIG difference.  I ran out due to scheduling once &amp; my brain went into hyper drive. I hadn’t felt that chaotic for awhile.  WHILE talking to my doctor she legit wrote out the prescription, handed it to me. ‘go fill it NOW.’ Even had others asking how long I would be without it.  It was clear it helped at that point.  I don’t notice any side effects.  My results with Mydayis are pretty good. No worries of forgetting it, which was the major factor in my switch.",8,4,1
"Mydayis","Prius","October 14, 2019","-","I'm making this review one year after trying Mydayis for only a week. I switched to this drug from Adderall IR 20's BID to the 37mg capsule, you don't really think your buzzing, but you indeed are, and more so than with Adderall for the same dose. What prompted me to write this review was that I noticed someone else who reviewed this mentioned that they would be returning the bottle to the pharmacy because they didn't want insurance to think they were keeping it. This is an effect of the drug, I too, even though I bought it on the $5 coupon, did not want the pharmacy (who does not care) to think that I wanted to keep this drug so I returned the remaining 23 capsules to them. It works well, puts you in a different state of mind, and doesn't provide the sense well being of some other ADHD products offer, but it does work better than some generics. Perhaps give this a try if you're on generics that don't work. It is pretty strong, but doesn't feel like it. if that makes sense.",7,5,1
"Mydayis","Thank you lord","October 3, 2019","-","I have suffered my entire life with ADD.  For a while Adderal helped. Then as I turned 49 it seemed to make me more anxious, irritable,  short tempered, and I had No patience for stupidity! Upon trying the Mydayis,  I was immediately impressed. I was finishing projects.  Getting things done right! Able to focus for longer durations of time. Long enough to complete tasks at hand. I feel so much better.",10,16,1
"Mydayis","molly","August 5, 2019","Taken for less than 1 month","I've finally found it. - Mydayis it is that little reminder I never had; the missing piece of my conscience that was never there before to tell me stop mucking and go do the stuff you should be getting on with",7,20,1
"Mydayis","Allie","July 27, 2019","Taken for less than 1 month","I asked my doctor about Mydayis because it lasts 16 hours.    The first week I was so calm, never been so calm in my life, even with antidepressants. I was able to focus during conversations. I organized my desk (a little). Cleaned my car out (a little). My second week i was still focusing but I couldn't eat. I was repulsed by anything other than fruits, vegetables, cereal. But then I felt dizzy...sick to my stomach. My eyes seem to move involuntarily   Nystagmus )mand I got the worst eye strain I've ever had. My neck muscles felt extremely tight and I just kept massaging my neck trying not to panic. I tried to tough it out for the next 2 days but could not. It's been day 2 days since I quit taking it and my eyes are still involuntarily moving a little. I had big hopes for this med but this is how it worked it for me and I was only taking 12.5 mg.  I just needed to let everyone know about this possibility because I couldn't find any info about it. It would probably be considered a tic.",3,19,1
"Mydayis","Faifai","June 20, 2019","Taken for less than 1 month","Wow. This stuff is so effective I don't even notice it coming or going. I've tried most of all of the ADHD medications and this one helped a lot of my major symptoms but it I still find myself randomly starting a project without finishing it. Usually I take both or switch around adderall IR zenzedi then a long term one like this or vyvanse. I like it loads more to vyvanse. I've been on all of these for the most of 12 years and if its helping my dry mouth without affecting my appetite I'm happy. Note I do not even feel Adderall or anything kick in, but with this one I just notice I'm randomly being more productive and so even at max dose I have no idea what your tolerance is. Way better than the  generic adderall XR. It's like the adults adderall XR that lasts a really long time.",10,15,1
"Mydayis","The chaiwallah","June 14, 2019","Taken for 1 to 6 months","I have been taking Mydayis for 2 months. I switched from 25 mg of generic Adderal XR because of the afternoon crash, to 37mg of Mydayis for more support in the evening. I was expecting it to have the same effect, but I didn't feel like it was working at first. I was starting to feel more and more tired, along with a slower and slower processing speed. I struggle with sluggish cognitive tempo, which is currently diagnosed as ADHD inattentive subtype. I asked my doctor to try 50mg because it felt weak. I have been on it for 2 weeks now and I feel like myself again and I and really appreciate the support it provides in the evening. I'm still just a little confused as to why the generic version at 25 mg felt stronger than the brand name at 37! The only negative side effect at this point is that my scalp had been really itchy. I'm hoping that will go away after a few more weeks.",8,15,1
"Mydayis","Anonymous1989","May 8, 2019","Taken for 1 to 6 months","I have had ADD my entire life (I'm 30), starting treatment with dexedrine in kindergarten. I've tried literally every ADD drug there is except Zenzedi and Desoxyn (methamphetamine HCL). I've even tried modafinil. Chemically Vyvanse, dexedrine, and Zenzedi are the same with just different absorption. Adderall is 80% dexedrine with 20% levoamphetamine, which is more physically stimulating than dextroamphetamine. If you are like me, hate stimulants because of the crash at night and morning exhaustion, I  need a drug that lasts all day and is smooth then consider Mydayis. I only wrote this to help anyone who's considering Mydayis. I would never waste my time helping any pharm company with a review. Mydayis is unique and different from Adderall and the other dextroamphetamine stimulants because it has amphetamine in addition to other dex salts. Give it a try... If you have trouble with insomnia from taking it then your dose is too high!! Just drop it. Good luck",9,41,1
"Mydayis","Madison Grooters","April 25, 2019","-","I am diagnosed  Concurrent Concussion Syndrome with ADD symptoms. I took Vyvanse for over a year and I thought I loved it, until I realized it gave me anxiety because I was trying to cram 16 hours worth of homework and chores into the short period of time the medication worked. My neurologist had me switch to taking Mydayis and I have loved it because I do not feel the  high  that vyvanse gives you, and in turn I also do not feel the medication slowing down either. Now, I still take it at 5:30am, but I can do homework or concentrate on other tasks well past 8 or 9 pm.  Advantages: -long lasting -continuous feeling throughout day (no ups and downs) Disadvantages: -makes me not feel hungry -loss of appetite can make low blood sugar hit me all at once if I forget to eat  -if I sleep in on the weekends I can’t take it because it will last too long Hope my experience helps! I would definitely recommend it to anyone looking for longer lasting stimulants, but I know that everyone reacts to things differently so it might not work for you",9,26,1
