"Drug","User","Date","Period","Review","Score","Likes","Page"
"Ritalin","Old(ish) Fella","March 1, 2020","-","I'm 56 year old male. 87kg. Recently diagnosed ADHD as Im easily distracted &amp; can't concentrate easily. I'm in good health, and successful &amp; don't get depressed. Unfortunately Ritalin has NO effect on me at all. I have no feeling of it coming on or wearing off. All I get is a dry mouth at higher doses. I began fast release 10mg @ 8am &amp; 10mg @ 1pm.  The upped to 20mg am &amp; 20 mg pm. Then 30 &amp; 30. Nothing. No affect or change in how I feel. Then tried Slow release SR 40 mg am &amp; 40mg arvo. Still nothing. Then tried 20mg Fast with 40mg SR in morning. But was distracted on phone &amp; mistakenly took same dose 15 min later. So 120mg in one hit. I expected to have heart racing &amp; some sort of 'buzz', but NOTHING Very disappointing Would like to try Adderall or similar",1,7,1
"Ritalin","M. Y.","February 6, 2020","-","I'm 24 y.o male that self diagnosed ADHD about 6 months ago. From as far back as I remember I was restless, inattentive, depressed and forgetful but I didn't know that what was wrong with me. I thought that everybody has a unique behaviour and mind and so this unusual type is mine and I should control it by myself! From childhood I was the kid who study hard but gained little, who is forgetful, who is weak in math! Who is lazy. Anyway, now I'm medical student and I found that I have ADD after a long story.  I told this to my attending physician and he confirmed that I have ADD, then prescribed ritalin 10mg per day and increased that to the dose 10mg ×3 a day. The best word I can tell you about Ritalin for ADD patients is Miracle. Now for the first time in my life I understand the meaning of being calm, being happy, being focused, being organized and many other good 'Being's'. It was a huge change in my life and I'm happy for that. The side effects for me was very mild and gone with the time and I want to continue it.",9,40,1
"Ritalin","Ali","January 23, 2020","Taken for less than 1 month","I'm a 20-year-old woman, 179 cm and 61 kg, who just got diagnosed with ADD for the first time in my life, after living with it untreated for so many years. So, my doctor wanted to prescribe me with Ritalin, though in a small doses, so I didn't just go all in from the start. I started with 10mg, which didn't have an affect. Then I took 20mg, I felt a little more energized but nothing else. Then I tried 30mg today. I felt extremely fresh in my mind, instead of the weird slump I'm usually in. Very happy, which suggests that what I lacked before was dopamine. Still no difference with anything else, like my poor concentration and focus, but on the other side there is no side effects as of late. Other than the things, that I've already struggle with, like depression and anxiety. Not a bad experience thus far, but I'm still a little bit nervous, about how 40mg and 50mg will affect me.",7,7,1
"Ritalin","Sherie","December 22, 2019","Taken for less than 1 month","30, female, ADD, 95 lbs. Just to share what I have experienced for starting on Ritalin (5mg) today for the very first time. I did not feel anything on the first pill (at 1:10pm) and I took the second one around 7 hours later (around 7:50pm). The second one kicked in around 2 hours later. I was alert and could stay patient at one task before jumping onto the next one. I also felt talkative so I responded a couple of emails efficiently ( it usually takes me a while to draft an email) and got on the social media to greet friends (I do not chat on social media much I am never good at keeping in touch with people.) It was until 4am and I felt my body needed rest but my brain was still alert. I put myself to sleep but then I woke up with a fast heart rate just 1 hour and 10 min later. At this moment, I finally feel it is wearing off as I am typing. I know this because has taken me 20 min so far to write this comment - I am reverting to the attention-deficient and anxious myself.",7,15,1
"Ritalin","net","December 13, 2019","-","I have ADHD and today was my first day on Ritalin and it sucked! The effects lasted for an hour and when it did work I felt like a zombie and didn't want to move. It also made me tired and kinda sensitive to sound. And, it didn't even make me feel focused so really, whats the point?",2,9,1
"Ritalin","MG","November 19, 2019","Taken for 1 to 6 months","Let me start off by saying I suffer from anxiety to start with on top on my ADHA. Ritalin made me feel more anxious and jittery.",1,10,1
"Ritalin","eleven","November 13, 2019","Taken for 6 months to 1 year","22, Male, ADD, Anxiety-disorder  Ritalin (Methylphenidate) is amazing. However, there's a catch: - it enhances focus but does not direct your focus towards a subject that you're not interested in - I experience extreme euphoria/confidence/optimism for about 1 hour (it builds up gradually, peaking at 2 hour mark with 10mg  - if you use this daily, tolerance builds up quickly after every 2 weeks (for me) -when I stop taking it I feel depressed for days but it will wear off as naturally occurring chemicals reach equilibrium again I suggest cycling it according to your productive days:  - 3/4 days a week and the rest off (avoiding tolerance and dependence) - it enhances your CURRENT focus, so start working/studying for 15/30 min THEN take it (I've researched the most irrelevant topics which excite me the most for hours, only to find that within 30 min the Ritalin's effects are going to wear off)",7,21,1
"Ritalin","ADHD Gal","November 13, 2019","Taken for less than 1 month","I started Ritalin 10 mg 3 times daily yesterday as I have ADHD. I feel calmer and less anxious, but it is not a huge difference. I also seem to be in a more positive mood, and getting myself motivated to do things seems easier, but that could just be the placebo effect at work. First thing I did when the first dose kicked in was have a nap, so it must be calming me down. I expected my tourettes or anxiety to get worse, but I haven't noticed any side effects so far.",7,9,1
"Ritalin","ADHD girl","October 27, 2019","Taken for less than 1 month","I started taking these pills 3 days ago, 20 mg each morning. I LOVE THEM. I’ve been more calm, no fidgeting, peace in my head from all of the thoughts, feeling happier and no side effects at all!",9,20,1
"Ritalin","Rae","October 26, 2019","Taken for less than 1 month","I'm 19, female and i've been on this medication about 3 weeks and have slowly upped the dose from 10mg twice a day to 20mg and I feel like when I just started it it worked wonders but now I need more and more for it to help. My pyschiatrist told me to take it everyday. The last couple days I've been on 40mg a day and it doesn't do anything for me anymore, maybe my tolerance is high and I shouldn't be taking it everyday. But I'm still figuring out what works for me, I find I am quite resistant to most drugs like I need more than most people but I only weigh 40kg so I'm a little disappointed at the moment but I think it might just be a tolerance thing and maybe I should only take it when I need it like for university.",4,4,1
