"Drug","User","Date","Period","Review","Score","Likes","Page"
"Strattera","Anonymous","May 2, 2020","Taken for 1 to 6 months","This Strattera is  the best ADHD medication I've had so far. It takes a LONG time to kick in. I was supposed to feel the full effects a month into taking it, but I didn't get them for maybe 2-3 months. However, it was worth it for me. Instead of just giving me energy and turning me into an emotionless robot like stimulants, it reworked my brain.  My whole brain functions better now. I don't procrastinate, and I can pay attention and work better. I have branched out into different hobbies because it gives you motivation. This is in effect 24/7 because it doesn't leave your system or wear off like stimulants. Now, the side effects. I still zone out and dissociate. There is a decrease in appetite (not as bad as the stimulant in that area, though). I have vivid dreams/nightmares. I feel tired often, and nap a lot. Also, I feel more depressed in general. None of these side effects are very severe, but they can be difficult at times. However, I really do recommend giving Strattera a good chance.",7,16,1
"Strattera","K","February 27, 2020","-","Strattera has changed my life!",10,8,1
"Strattera","Maher","February 27, 2020","Taken for 1 to 6 months","Didn't feel anything but side effects",1,12,1
"Strattera","Dream","February 24, 2020","Taken for 1 to 6 months","I have Manic bipolar / anxiety/ VERY POOR FOCUS and I take this with Buspar 15mg . It was really good the first 2-4 weeks I could focus I had a burst of energy I felt so good I could feel it working I no longer had racing thoughts I was so much calmer. But after the 4 weeks my poor focus came back I am now on 60mg  once a day and still feel nothing I’m extremely agitated and annoyed with everyone yet calm as hell still but waiting to blow if u get that. It definitely helps with impulsive behavior and calming the mind and feeling low but maybe it’s the combination of pills I take cause I swear I rarely feel low anymore never been better I just hate that It doesn’t work as potently as in the beginning",6,6,1
"Strattera","Philip V.","February 12, 2020","Taken for 1 to 6 months","I’m 18 years old, suffering from chronic depersonalization/derealization disorder (DPDR) and ADD. I was really thankful when I finally found out, that I have ADD. It explained every aspect of my life that I, my friends and my family couldn’t understand (you all know what I’m talking about). So I started using Strattera. On 10 mg, I didn’t feel anything.  On 25mg I started having some problems with insomnia and little bit of anxiety. On 40mg I finally got to know, what real anxiety is. Staying up ‘till 3 am, sitting on my bed with racing thoughts, fast heart beat and high blood pressure. Being sure, that I have Schizophrenia and that I’m going to loose control of my brain. Waking up a few times per night, sometimes with hypnagogic hallucinations and feeling like a total trash throughout the next day. Also wasn’t feeling any relieve from ADD and my DPDR got significantly worse, ‘cause of all the anxiety.. Can’t blame the drug, every brain is different. I hope It will work for you. ;)",1,20,1
"Strattera","Lizard","February 10, 2020","Taken for 1 to 6 months","I have been taking strattera 40 mg for a couple months now and so far so good. The main thing that I have noticed is how much calmer and less restless I am. I am not as easily irritated, I've been sleeping better, I talk slower, I interrupt less, I fidget less. My cravings for salty, sugary, greasy foods has also decreased substantially, and I am more inclined to eat healthy and more nutritious or filling food. I have not noticed many effects on my attention span, so even though my body has slowed down my mind still feels like it is zooming right along. For this I have been re-prescribed a low dose of vyvanse at 10 mg to take every so often (I took 40mg vyvanse for a few years prior to starting strattera). I am also on 150 mg of Wellbutrin.",8,21,1
"Strattera","Anonymous","February 8, 2020","Taken for 5 to 10 years","I have been on Stattera for about 6- 7 years now! I had developed a viral infection which developed disability in my legs, arms, and most of all my brain. It can have some bad side effects. The best I have experienced from this prescription is that's it's a very great pill ! It can help you focus more, relax, and controls up and down mood swings. When I need to focus or calm my anxiety down I can use this medication. I have been on this medication for about 8 years now and I'm 21 going on 22! A very great medication!",8,15,1
"Strattera","Barb","January 28, 2020","Taken for less than 1 month","I am 55 years old and, I have been taking 40 mg of Strattera a day for 2 weeks now, but I haven't noticed any changes or that it has helped in any way. I took 20 mg of Concerta/Ritalin when I was younger, and it always helped me within an hour of dosing. I read that it may take longer like 3 to 6 weeks to help me with my ADHD. I am going to continue taking it for 6 weeks and see what happens. Does anyone else have any experience to share?",1,21,1
"Strattera","KB","January 23, 2020","Taken for 1 to 6 months","I've been on Strattera for two months now for ADHD. It took about 6 weeks for it to kick in and start working. I don't feel that it helps with all my ADHD problems, but it does help with a few. I've had terrible side effects, including loss of appetite (I've lost 10 pounds since starting the drug due to loss of appetite). I also get really bad hot flashes and any time I go into a moving vehicle I feel nauseous. I can't sleep at night and I can't stay awake in the day. The side effects are not worth the small benefit I get from this drug.",3,14,1
"Strattera","Mikey","January 11, 2020","Taken for 1 to 2 years","It does work. But, give it two or 3 weeks. You will feel weird in the beginning and a little nauseous. It goes away. I do feel like I concentrate better and focus longer. Be careful with caffeine! It makes caffeine much stronger and last longer. After a few months while on it I get very irritable and tense. I need a break and let it wash out. No problems stopping cold turkey. Take 80mg a day. Overall, its good. Not perfect tho. Orgasms seem delayed for some reason and slightly less of a sex drive. No changes in weight.",7,26,1
"Strattera","Mature Female","January 5, 2020","-","At 34 I started Ritalin.  It had up &amp; down effect. At 46, I began Staterra.  Hated it. Gained 35 lbs; anxiety soared; was fatigued &amp; lethargic.  My current dose is 60mg 2x/day. I never lost weight, but I feel normal.  I don't limit caffeine intake. I drink tea, no coffee. Anxiety &amp; depression are better w/Straterra. Just added 40 mg Adderall as menopause dulls the effect of Straterra.  It has caused high BP &amp; urinary retention. Yet I haven't stopped Straterra in 14 yrs as alternative is dysfunction  With my daily dose(120 mg)over the max, changing insur. &amp; MDs involves much hoop jumping. Cost of Straterra (&amp;generics) is very high. Some generics are not as effective.  Overall, give it time to become fully effective, carefully weigh pros and cons, don't expect to eliminate all ADD behaviors, set realistic behavioral goals, &amp; closely monitor self.  Med is NOT a panacea; it  is one tool on the journey to living as your authentic self.",9,18,1
"Strattera","Ragedabyss","January 5, 2020","-","I will admit there has been a huge improvement in my ADHD since I started taking this Rx. And since I already take a depression and anxiety med I don't have issues with those. No the problem is that it's killed my sex life. My girlfriend and I used to have a healthy sex life but since I started this med my libido has all but gone, strange things happen during intercourse, and I have painful orgasms. I can't decide if it's worth it yet but I'm leaning towards no",4,10,1
