"Drug","User","Date","Period","Review","Score","Likes","Page"
"Alprazolam","kappa kappa gamma","May 31, 2020","-","<b>Xanax (alprazolam):</b>			 I’ve had benzodiazepine prescriptions (ativan, k-pin, &amp; xanax) since 15 y/o until now (20 y/o). Over the past 5 years, it’s been rough managing physical and psychological dependency issues. I’ll blackout for a week at a time and proceed to buy fake xans from friends (usually cut with fentanyl and other bad stuff). During my attempt to wean off the drug, I ended up having a grand mal seizure at a party (Dec. 2019). Since then, managing sobriety from all benzos has lead to self medicating through other substances  (cannabis, ketamine, cocaine, kratom, norcos). I was living in my sorority’s chapter house but moved into a fraternity house about 3 months ago, in which 3 brothers are active xanax users. It is really rough  Basically, if you’re prone to addiction (runs in the family, other psychiatric conditions, etc) watch out dude",0,7,1
"Alprazolam","Reinier","April 17, 2020","Taken for 10 years or more","<b>Xanax (alprazolam):</b>			 I have used Xanax for 20 years. Always taken it as needed, and it works wonderfully, no side effects at all, no getting used to it as evidenced by not using it for days and no withdrawal. I tried everything else suffering severe side effects like Seroquel. I only need 1mg twice a day, maybe on real panic day three times.",0,31,1
"Alprazolam","Noel Garnet","March 10, 2020","Taken for 1 to 6 months","<b>Xanax (alprazolam):</b>			 This drug has saved me on a thousand occasions, from generalized anxiety to panic attacks or somatic tension, up to situations of severe insomnia where the next day I had to get up early in the morning. I have always considered it a godsend, it is an excellent anxiolytic and it is very useful also for those suffering from sleep disorders, because it does not leave heaviness or numbness the next day, due to its short duration of action in the body. My average dosage is 20 drops (0.50 mg). What can I say, to me it is the best anxiolytic!",0,33,1
"Alprazolam","Vin","March 9, 2020","Taken for 1 to 6 months","<b>Xanax (alprazolam):</b>			 I have Poliaradiculoneuropathy (when polyneuropathy and polyradiculopathy occur together).  Xanax is not so great for general anxiety, but I appreciate this drug, since I discovered its off label use for my terrible neuropathy. It reduces my legs pain and stiffness by ca. 70% and set me free from being bedridden. Now I can walk several km with the help of crutches and feel more like human again. I am getting addicted to it, but I could care less.",0,24,1
"Alprazolam","PANICATTHEDISCO","February 26, 2020","Taken for 2 to 5 years","<b>Xanax (alprazolam):</b>			 3yrs on and off as needed.  Not sure why this is a popular recreational drug?  It really just make me feel normal again when I start getting high bp spikes from anxiety and panic attack symptoms.  It definitely works, no side effects that I have been aware of.",0,51,1
"Alprazolam","Brokey","February 25, 2020","Taken for 10 years or more","<b>Xanax (alprazolam):</b>			 I have been on xanax for 30 years and it worked great for my anxiety and panic attacks.  I am not addicted but it help with everything bothering me. Well my Dr.  just cut me off abruptly !  The withdraw is terrible.  I was willing to wean myself off of them but cut off.",0,43,1
"Alprazolam","LB","February 25, 2020","Taken for 10 years or more","I was given kalma (generic alprazolam) for anxiety, panic attacks and agoraphobia, I've been on it now since 2004 after the Dr finally talked me into taking them as I didn't want to be taking an addictive medication.  Started on 1mg 3 times a day and increased to 2mg 3 times a day. After all these years I am 1 million times worse than I have ever been, totally addicted to the kalma, severe anxiety disorder, severe panic attacks and agoraphobia like you wouldn't believe. I haven't left my house now for over 6 years and totally house bound. The fear the panic attacks has left me so scared that I can't handle being on my own so I have someone with me 24 hours a day, 7 days a week. I've lost my wife, my 2 beautiful children all of my friends. This would have to be one of the worst medications I have ever had.",1,8,1
"Alprazolam","Anonymous","February 16, 2020","Taken for 5 to 10 years","<b>Xanax (alprazolam):</b>			 I have been on xanax for over five years. I am not addicted. I take them as prescribed. I don't drink and I have positive results. I have no side effects",0,47,1
"Alprazolam","Sandy","February 7, 2020","-","Had first anxiety as a young child and then sporadically throughout puberty and into adult life.  Was not diagnosed until I was in my 20's. My first medication was Valium for the first 40 years.  Became ineffective, then prescribed alprazolam 1 mg as needed.  I have no side effects whatsoever and and have continued with alprazolam up to and including present time.  I am very functional with it.  My life is good, normal, see my PCP regularly.  This drug has basically been a great help for a very misunderstood chemical reaction in my brain.",10,13,1
"Alprazolam","Anonymous","February 2, 2020","Taken for 1 to 6 months","I started having severe anxiety back in September. I think it was triggered by nicotine withdrawals, but I was horrified. I couldn’t believe this was happening to me at 27 years old. I was on vacation in Aruba and had to go to the ER over a panic attack! Once I got home, things were better UNTIL November... I stopped  Juuling (electronic cigarette)  again and the anxiety was even worse than it was before. I was having panic attacks daily that lasted for hours. My mind was I'm the darkest place. I even started to smoke cigarettes again to take off some of the tension. The only thing that made me feel better was alprazolam! I split a .25 into four little pieces and take them as needed (that is how it was prescribed to me.) I hate admitting this, but it’s really a miracle drug. I try really hard not to take it unless I desperately need to because I fear getting addicted. This stuff works, no doubt about it.",9,7,1
