"Drug","User","Date","Period","Review","Score","Likes","Page"
"BuSpar","Anonymous","June 8, 2020","Taken for 2 to 5 years","I didn't read all the reviews but I was surprised to see people with intense reactions to BuSpar, maybe they took higher doses than I did.  I've taken this drug on and off for a few years and it kind of works - it's hard to explain. I have taken probably 15-20 anxiety and depression meds in the last 10 years and many have bad side effects, buspar had none of those other than drowsiness - the only reason I keep buspar around is that it is very mild in my book - the effect is mild but the side effects are also mild or nonexistent",7,15,1
"BuSpar","Mmbwdpnz","June 3, 2020","Taken for less than 1 month","Do not take this drug. Had a horrible experience. Nightmares, intrusive thoughts, mood swings, apathy, angry, made me the opposite of who I am. Withdrawals are even worse so much buzzing and brain zaps. I would have rather had the anxiety/panic attacks! Still dealing with all the bizzare effects. This is coming from someone who never was on any medication. Have to take other meds just to sleep and make it through my day now. Hoping to be back to normal soon. Thank goodness for the ER staff who helped me!",1,11,1
"BuSpar","Chas","May 31, 2020","Taken for less than 1 month","I took Buspar for two days. On the first day my sleep was not deep and a I had weird dreams. On the second day I had a massive panic attack after my third dose of 5mg, and was unable to sleep at all that night. It was a horrendous experience. It is an awful drug for me.",1,9,1
"BuSpar","Anonymous","May 7, 2020","Taken for 1 to 6 months","I’m an Iraq Veteran who has been diagnosed with PTSD and chronic anxiety. When I first started taking the buspar it would generate some level of anxiety for me because it’s a new chemical being introduced into my body. I would fight through the anxiety and keep taking the pills. After about a week I no longer had to fight the anxiety that was generated by taking buspar. I started off at 5mg and now I’m up to 30mg a day. I’ve been taking it for about 4-5 months now and have seen great progress. I know the list of  potential  side effects can generate anxiety for you by just reading them. However, the only  side effects  I noticed was a little weight gain and an increase in my sex drive.( which isn’t bad for me and my spouse). I would recommend buspar to anyone. It’s one of those drugs that it will either work for you, or not.",9,34,1
"BuSpar","Drugs","March 12, 2020","-","I took Buspar for about 3 and a half months, and noticed very mild effects if any at all. I suffer from severe anxiety, and panic attacks. After taking Buspar I can honestly say, it doesn't do much.",4,47,1
"BuSpar","California woman","March 11, 2020","Taken for 1 to 6 months","I took Buspirone when I had a back surgery and my father was sick from cancer, it was a very stressful time. I was in a panic. It helped me immediately (though I know it is supposed to take a few weeks). I remained on it for a few months as I dealt with the trauma of losing a parent. Then tapered off and went on about my business for a year. I’ve returned to the psych because I have regular anxiety and mild depression, he prescribed lexipro, I took that for 4 days and got increased anxiety and diarrhea, I decided to try to go back on the buspirone because I know that worked for me in the past. Here’s hoping it works again!",10,46,1
"BuSpar","Keno","March 10, 2020","Taken for less than 1 month","I wouldn’t say this medicine is horrible but it didn’t help me. I feel like this is for people with very mild anxiety. My anxiety is very high so it only helped a little. Made me dizzy, and gave me a headache I tried it for 8 days and stopped. I’m now on Zoloft 25mg and really liking it so far.",3,17,1
"BuSpar","Bud","February 28, 2020","Taken for 1 to 6 months","I just wanted to say how UPSET I am that so many doctors are afraid to prescribe benzodiazepines for anxiety relief. They are putting us on meds such as Seroquel, and others that are NOT designed to treat anxiety. Buspar, like other SSRIs and SSDNRIs, are not effective to treat attacks of anxiety. It’s out of hand how too many docs are not prescribing REAL anxiolytics.  Buspar did not help me. I only want a PRN dose— not a maintenance med.",1,120,1
"BuSpar","Better","February 25, 2020","Taken for 1 to 6 months","Buspar from what I read is for anxiety directly related to over thinking. This is what causes my anxiety. It’s chronic. I’ve read reviews that it doesn’t work, but maybe other people get anxiety from triggers. I just constantly over think everything to the point I avoid certain situations because I fear the outcome. This drug has allowed me to overcome this and talk about issues I have with someone, resolve issues faster, be more productive, etc. it’s drastically changed my life. Friends say I’m more cordial. Basically makes you feel very calm and more carefree and to stop thinking 24/7 about silly things",10,198,1
"BuSpar","Annie","February 18, 2020","Taken for less than 1 month","Buspar should be classified as a hallucinogenic drug! I took it for one day (15mg.) with Zoloft to get off Ativan.  It made me lightheaded, nauseas, nervous, speedy, and when I tried to sleep I saw terrible images moving around in my head- I couldn’t sleep at all! These awful hallucinations gave me panic attacks- I was so scared!  I also had some uncontrolled jerky movements of my limbs when lying down! I called the nurse line for help because I could not reach my psychiatrist! This experience was a nightmare! I also read an FDA report that stated that Buspar can cause Tardive Dyskinesia- uncontrolled involuntary jerking movements of face and body. Who wants that?  Do not take it!",1,41,1
"BuSpar","acirod","February 18, 2020","Taken for 6 months to 1 year","Buspar DOES help with anxiety, but it you have another comorbid illness like depression, it might feel like it is not helping on that area. I was on this medication for a few months and my anxiety felt really better, but my depression was still bugging me a lot so I was switched to Zoloft. Buspar helped me with the palpitations and chest pain related to anxiety, I felt like I could think better and even breathe better. It was a great medication. The only downside to it is that you can get headaches or brain zaps if you forget a dose, so put an alarm on your phone!",9,40,1
"BuSpar","KONNOR","February 17, 2020","Taken for 1 to 2 years","Have been taking Buspar 15mg 3 times a day for 3 months and didn't notice anything therapeutic at all, going to the doctor's tomorrow might ask for the max of 20mgs 3 times a day. Not sure if it is a  very ineffective med, or whether I would go as far and say it's a rubbish med",3,23,1
"BuSpar","Theanxietyfreak","February 16, 2020","Taken for less than 1 month","I have had emetophobia since I can remember (the fear of vomit). For the past couple months I have been dealing with horrible stomach problems and nasty anxiety attacks. When I went to the doctor they suggested I take Zoloft for the anxiety. Zoloft was the first SSRI I tried and the first night I tried it I felt extremely sick. I went to the doctor again and they put me on prozac. I took that the first day and felt okay. The second day I took it I couldn’t even get out of bed. I was super nervous to try anything else (especially SSRI’s). So my doctor prescribed me BusPar. It is not an SSRI and doesn’t have as bad side affects. I’m taking this pill 2x’s a day and I started taking last night and am now on the third dose. I haven’t felt sick at all and I hope it stays that way!! But so far so good!",8,44,1
"BuSpar","kkheflin3","February 15, 2020","Taken for 6 months to 1 year","I have been taking this medicine BuSpar for about 8 months. Because I also suffer from Bipolar I disorder I also take Lamictal, Provigil, and Seroquel. I take the Buspar three times a day and it took about a month to kick in. I've been on several of the benzodiazepine group before for anxiety (Valium, Xanax, Ativan) and the only advantage to those is that you can take as needed for anxiety and they work quickly. They are also highly addictive. Buspar is not addictive but must be taken regularly--not just for an anxiety attack. It doesn't work for an immediate attack. But if you take it regularly three times a day you won't have anxiety and you won't need the benzos. I think it is wonderful!",9,64,1
"BuSpar","Chris","February 13, 2020","Taken for 1 to 6 months","My 17 year old daughter was put on this Buspar a month ago it heightened her anxiety it made her have angry outbursts. Her entire demeanor has changed she isn’t my daughter on this med. Needless to say the doctor disagreed with me but I took her off it last night . This med is horrible !!!",0,36,1
"BuSpar","Micki","January 31, 2020","Taken for less than 1 month","I took 10 mg of Buspar in the morning, then in evening.  My anxiety was worse and my sleep was terrible.  I only got 4 hrs of sleep and will not ever take it again.",1,31,1
"BuSpar","ScooterO","January 24, 2020","Taken for 6 months to 1 year","For the first month it had no effect but after that, the results have been more than satisfactory. Before being prescribed Buspar, I was prescribed only Klonopin while was effective it had worse side effects. For me or anyone like me I cannot recommend this drug enough, it's actually changed my life, for the better.",10,59,1
"BuSpar","Mehr","January 13, 2020","Taken for less than 1 month","I take Buspirone for GAD. I'm bipolar type 2 also. Buspirone doesn't have any effect on me separately. But I augument  it by venlafaxine after 2 weeks it has an affect",7,17,1
"BuSpar","Anonymous","January 13, 2020","-","In my experience the only think that works for anxiety is Benzodiazepines. I don't like how doctors are so quick to throw all sorts of different psychotic medications at patients when for the most part they don't really work. Just because something isn't a narcotic doesn't mean it should be overprescribed and just because Benzodiazepines are narcotics doesn't mean they shouldn't be prescribed.",0,118,1
"BuSpar","JD","January 12, 2020","Taken for 2 to 5 years","The VA has had me on Buspar for anxiety  for over 2 years,  at a dose of 10mg 3 time's a day, I feel nothing from it that I can tell, I do use lithium, prozasion and paxil, maybe they dull the buspar, I don't know but I know my wife and I are sick of the up and down moods several times a year, my wife and kids and grandkids just don't need that anymore, I have an appointment in a few days at the VA, I'm hoping the Dr will allow me to explain my situation past and present and work with me, with the VA you may have 3 different Dr's in a year. Everyone wants to reinvent the wheel.",5,30,1
"BuSpar","aj","January 7, 2020","Taken for 6 months to 1 year","I was on this medication for about 6 months. It made my heart race and worsened my anxiety.",1,38,1
"BuSpar","Alli","January 7, 2020","Taken for 1 to 6 months","Doctor prescribed this Buspar to me for my anxiety I got which worsened with Wellbutrin XL (I take that for depression). I used to take Xanax but decided to discontinue the use of it. My doctor prescribed me this and told me to take it when needed or everyday which ever I prefer. I have zero complaints about this medication. When I first took it, I got super dizzy and light headed. But other than that it does calm me and make me feel much better.",0,46,1
"BuSpar","Googalslosh","December 30, 2019","Taken for 1 to 6 months","Buspar is supposed to take a month to work give or take. I've been on 10mg dose 2 x day for 7 weeks and I'm MORE anxious now. Ugh.",3,46,1
"BuSpar","ALZ","December 25, 2019","Taken for 6 months to 1 year","Out of the few meds I have tried Busapr has been helping me tremendously! I have initially started out on paxil then tried all three different doses of zoloft. I also had hydroxyzine added into the mix to slow down my panic attacks. My doctors were more worried about treating my depression more than anything. The anxiety was so crippling I was  literally having panic attacks almost every day and sometimes more than once a day. I finally had enough and told my doctor to take me off of the SSRI drugs(I honestly don't think that class of drugs agreed with my body anyway) and treat just my anxiety.  So far the results are amazing. I am now on 10mg twice a day and feel  a lot better. Yeah I may have some of the random side effects that come with the meds but in my case the benefits outweigh the risks.",8,76,1
"BuSpar","Cinders","December 17, 2019","Taken for less than 1 month","The people who have been on this, are you on a separate medication for depression while on buspar? If not I can see how many feel no use from it.",0,21,1
"BuSpar","Aaa","December 16, 2019","Taken for less than 1 month","I have not taken Buspar seriously for the past few years. I thought probably is enough. Now I have been taking it and I feel a difference. I feel like getting a new life. I am not worrying about problems rather focusing on solving them with planning. It a great med.",8,62,2
"BuSpar","Patty","December 14, 2019","Taken for less than 1 month","I took this med Buspar for 2 weeks. My anxiety skyrocketed, could not sleep more than 3 hours.  Felt zombie like.  Developed a fast heart rate and upset stomach.   After about 7-9 days did calm down a bit. I went off too many  bad side effects for me On my second day of withdrawal body aches. My dose of Buspar was  5mg 2x a day",2,34,2
"BuSpar","Sunflower09","December 12, 2019","Taken for less than 1 month","Tried buspar for anxeity and stopped after 4 days. I had horrendous heart palpitations and was so light headed. I was on 5mg a day and the only options were take 2.5mg or stop. I choose to stop.",1,17,2
"BuSpar","Nervous Rex","December 12, 2019","Taken for 1 to 2 years","Back in the early 90's I had been going through a few years of being a hypochondriac.  I had had a severe depression, and just when I was starting to feel good, my mother was diagnosed with lung cancer and only lived about 4 more months. A year or so later I started to feel bumps and lumps and all sorts of things..driving to my doctors, walk-in clinics and hospitals over and over again...just to find out I was ok and this circle went on and off from 1988 - 1991.  Thank goodness my doctor gave me a script for buspar.  I don't remember what dose I was on.  It wasn't a high dose.  But 3 weeks after taking it I literally woke up one day feeling really good and realising I didn't have to fear being sick the way I had been.  Like night and day.  I have never been on an antidepressant or any similar drug that had such a major and wonderful effect.  I didn't feel high or not myself, just the opposite.  Please try it if you have crippling anxiety!",10,88,2
"BuSpar","MimzyBug","December 7, 2019","Taken for 1 to 6 months","This  med is the only anti-anxiety med I can take in order to use a Rx sleep med. Once stable, I'll go off my current anti-anxiety med. - Initial side effects: sore throat, dizziness, feeling excited (over-reacting) and bad nausea. As a result my psychiatrist told me to stop my 3 weeks of 20 mg/day. My pharmacist concurred. Unfortunately, I listened. I had 2 days of migraines. Less than a day later I was in the ER. Stiffness of the legs...excruciating pain and could barely walk. I had pain...weakness in the hands and feet. The pain in my hands was almost unbearable! I saw my PCP 4 days later. Still in horrible pain she told me to go back to the 20mg; my body was craving it. I felt relief and within 2 weeks I was fine. I'm still on 20mg. I now have had depression for a few weeks. I'm continuing buspar so I can get a sleep med due to 40 years of insomnia.",5,16,2
"BuSpar","Erika","December 1, 2019","Taken for 1 to 2 years","My new dr wouldn't prescribe my usual combo of Prozac with Xanax as needed.  I was mad but gave the buspar for anxiety a try and it works out to be  BEST COMBO EVER!! I actually felt euphoria and a bit light headed the first few days. Then in the first few months when I had had alcohol in addition to wine one night, I got EXTREMELY SICK. But as a social drinker  decided to try again lol but only with wine. Everything has been fine since. I can even have margaritas etc again. (But I can't stress enough how scary and extreme that sickness was in the beginning, so drinkers BE EXTREMELY CAREFUL.) My family says they have never seen me so happy in all my 46 yrs. I am sure that I've never had such an easy going attitude. Things I used to take personally have no effect on me now.  I take two 5mg tabs at night before bed. This works for me even though it isn't what is recommended (I.e.2 or 3x daily doses) No more obsessive worries, thin skin reactions or depression!!",10,65,2
"BuSpar","Suzi Q","November 28, 2019","-","Taking 15 mgs twice a day caused insomnia x 1 week, now I have broken sleep, only 2 - 3 hrs a night, with hypnic jerking that jars me out of even falling asleep. I cut down to 7.5 mg twice a day, so we will see how that works.",7,12,2
"BuSpar","WapoIts","November 27, 2019","Taken for 6 months to 1 year","It's an excuse drug for doctor's to write because,  because the drugs that actually work are controlled substances. Buspar does very little for anxiety and, depression. I feel you are better off smoking or drinking to calm you down. Thanks to government regulations everyone has to suffer.",2,87,2
"BuSpar","Ju","November 26, 2019","Taken for 1 to 6 months","I was prescribed 5mg buspirone 3 times a day for anxiety. I understood that the medication would take up to a month to start having an effect. This is due to the need for buspirone to build up in your brain's receptors. I had a great improvement with my overall generalized anxiety after about 3 weeks. This is not a medication that will give you a high effect.  Sure everyone's chemical makeup is different but this is not the reason you see so many negative reviews about buspirone.",10,36,2
"BuSpar","GirlinNM","November 21, 2019","Taken for 1 to 6 months","Horrible!  Was almost working and then boom!   Hyped up my anxiety and ocd, worry and panic.   My doctor said to stay with it a few more weeks.  Started to get depressed and very sad.  Beware!  It might work for some, but for the ones it doesn't, it is a dangerous drug!",1,35,2
"BuSpar","Wapo","November 19, 2019","Taken for 6 months to 1 year","Taking Buspar at a dose of 10mgs 3 times a day  for anxiety does very little. It's a substitute to shut you up because your doctor's hands are tied to right prescriptions that work. Like Xanax and Valium.",4,46,2
"BuSpar","Anonymous","November 18, 2019","-","Genetic testing for the correct medication is essential in 2019!  Finding the medications to avoid saves so much time and distress. Buspar is the right medication for me genetically and I am experiencing positive results.",9,56,2
"BuSpar","Nan","November 14, 2019","Taken for less than 1 month","Nope! I was prescribed Buspar 15 mg  at a dose of 1 tablet 3 times a day. A nightmare for sure. After the first few initial days and it getting in my system that nightmare began! Side effects of not sleeping over 3-4 hours a night. Shaking inside and out, dizzy and faint, full blown panic attacks, pacing the floor and body having to keep moving to stop that feeling of jumping out of my skin  (Akathisia)!! Tried Buspar for 3 weeks and gained 9 lbs and more ANXIETY than before.",1,28,2
"BuSpar","younameit","November 8, 2019","Taken for less than 1 month","Been on it for two weeks now. Felt benefits on day 2.  I started with 5mg/2x day. At first, my insomnia got much worse but I stuck with buspar with the occasional assistance of ambien and melatonin (not on same night of course). Now I am sleeping through most of the night without sleep aids or waking up with that nervous feeling in my stomach. I am now motivated to do things again too. I'm really sensitive to drugs but I did up my intake to 7.5mg/2x day. My history of taking drugs with serotonin has been so-so, so I'm not over the top excited about this drug, but I am definitely able to function and my relationships are way better!",8,43,2
"BuSpar","Anonymous","November 6, 2019","Taken for less than 1 month","Been on 10mg Buspar twice daily for 2 days. I have already experienced terrible insomnia on both nights. First night I  was able to get 4 hours of broken sleep. Second night did not sleep one wink. Experienced panic attack last night along with increased heart rate and racing thoughts. The thought of continuing on with this drug is unbearable.",1,23,2
"BuSpar","DJ","November 4, 2019","Taken for 1 to 6 months","Dr added this medication BuSpar and  5 weeks later I feel very little improvement. I will feel somewhat for a short 30 minutes ok, then bam, starts all over again. The side effects are the physical symptoms of anxiety. Who thought, oh, this is a great medication.",0,14,2
"BuSpar","DG","October 30, 2019","Taken for less than 1 month","Was hesitant to take this pill after reading all the reviews and then finally decided to give it a try. HUGE mistake. My mind felt like it was getting electrocuted. I felt dizzy, light headed, and it was extremely unpleasant. I called my doctor immediately! I ended up forcing myself to take a nap and when I woke up, thankfully they had subsided. It’s been about an hour since I awoke and I feel extremely tired and exhausted! I do not recommend this if your are highly sensitive to medication!",1,23,2
"BuSpar","Bex","October 29, 2019","Taken for 1 to 6 months","I was on Buspar for 7 weeks. The first week was foggy, sleepy, high, sluggish, and no appetite. Then the two three week point I felt great. Until after the 4th week mark? My sleeping schedule was bad. I had arm tingles, face spasms, no appetite, not drinking a lot of water. By the 4th week I was a mess. I have never had such really dark thoughts before but on this drug for two weeks I was scared to even be alone because I didn’t know what I was capable of. I wanted to live but my mind would tell me different.  I had high hopes but reading these reviews I'm glad I’m not alone. I just got off of it cold turkey, 6 weeks and 4 days. I’ll be back to update about how I feel being off. I hope this helps anyone. I felt alone and scared but if you feel this isn’t for you don’t hesitate to stop! God bless!",3,41,2
"BuSpar","Silverlion","October 19, 2019","Taken for 1 to 6 months","I was weaned off clonazapam which I took for many years. Buspirone is utterly useless. Prescribed to placate patients who require benzos to live a normal life. It has the effectiveness of a placebo.",1,35,2
"BuSpar","Anonymous","October 9, 2019","Taken for less than 1 month","Tried many different anti-depressants over several years and none of them worked. A new doctor prescribed Buspar and I’m so thankful! Works really well. I feel like a different person with a lot less anxiety bogging me down. I have been taking it for 2 weeks. My only negative is that I was originally prescribed 10mg twice a day and at around 3PM everyday I felt drained. I told my dr and she added a dose in the afternoon. It has a short half life so As a result you do feel it wear off. It has been a miraculous change! I’m very pleased!",10,37,2
"BuSpar","Staffiexo","October 1, 2019","Taken for 1 to 6 months","BuSpar did nothing more than placebo for me. If it did anything for me, it may have calmed my nerves during a panic attack once. My GAD might be too severe for this medication and this may be a good starter medication for someone who is just starting with a doctor and is unsure how severe of a medication they need. For me, this is not an option and should not be taken daily, as it does even less. When taken As Needed the placebo affect was quite effective.",2,15,2
"BuSpar","28yo Female","October 1, 2019","Taken for less than 1 month","The first week and a half my anxiety was up and I was irritable but after two weeks I could really tell a difference in my anxiety. I can tell when it starts to wear off but I’m on a very low dose. I will probably talk to my Dr. about upping the dosage soon.",9,15,2
"BuSpar","Hope6","September 25, 2019","Taken for 1 to 6 months","I tried Buspar, it helped with obsessive thoughts but it didn't help with depression. My doctor didn't want to prescribe an antidepressant and I felt lousy. Plus it increased my blood pressure. Not good!",6,13,2
"BuSpar","A old hippy","September 10, 2019","Taken for 1 to 6 months","This medicine is very good for long time control for GAD. I also take 900mg of gabapentin with the 30mg buspar daily. New laws and good reason forbids benzos long term I still take 2mg of xanax during panic attacks which after months on buspar they are very rare. Give it a try its a funny meds 30mg your fully up and 30mg later tired but a good relaxing kind takes awhile for it to help tho.   My advice if you have anxiety  is get off benzo's they will ultimately ruin your life and brain",8,47,2
"BuSpar","SJJ","September 5, 2019","-","Buspar is the worst drug I have ever taken. It was prescribed several years ago for anxiety to cope with an upcoming surgery- and health risks associated with it. Prior to Buspar, I had never taken any depression medicine nor struggled with extreme anxiety. And I exercised often and was not taking medicine for any other health issue. Buspar sent me into a horrible, deep pit of despair, unlike I had ever known, or could even imagine anyone having. The doctor kept telling me it would take awhile to work, but after two weeks, Buspar never did. I got off of it and, while still anxious about surgery, had no more extreme depression. The despair, caused by Buspar was far worse than the surgery. If I had to choose, I would gladly have that surgery again rather than take another round of Buspar. Seriously, be careful with this drug.",1,40,2
"BuSpar","Anonymous","September 4, 2019","Taken for 1 to 6 months","Did not work for me.",2,12,3
"BuSpar","Wilbursa","August 25, 2019","Taken for less than 1 month","I always have a lot of anxiety, &amp; was optimistic about buspar. Lately I've been taking 10mg 4 times/day (as well as ativan &amp; seroquel to help the insomnia), &amp; I feel depressed &amp; no less anxious. Last night I dreamt that one of my cats fainted. I'll be talking with my doc about getting me off this. I feel no benefit whatsoever.",3,16,3
