"Drug","User","Date","Period","Review","Score","Likes","Page"
"Buspirone","PESP","June 16, 2020","Taken for less than 1 month","Took buspirone for a week. Got diarrhea, woke up earlier than I usually did, and got extremely fatigued by around 8 PM every night. Just wasn't for me.",2,1,1
"Buspirone","Anonymous","June 8, 2020","Taken for 2 to 5 years","<b>BuSpar (buspirone):</b>			 I didn't read all the reviews but I was surprised to see people with intense reactions to BuSpar, maybe they took higher doses than I did.  I've taken this drug on and off for a few years and it kind of works - it's hard to explain. I have taken probably 15-20 anxiety and depression meds in the last 10 years and many have bad side effects, buspar had none of those other than drowsiness - the only reason I keep buspar around is that it is very mild in my book - the effect is mild but the side effects are also mild or nonexistent",0,15,1
"Buspirone","themoth","June 6, 2020","Taken for 1 to 6 months","I have CPTSD and a very stressful life as a single parent. I started on buspirone 5mg 2x a day because I am sensitive to meds and wanted to reduce any possible side effects. I felt a little off stomach-wise for the first two doses but nothing intolerable. I then went up to 5mg 3x a day. Zero reduction in anxiety symptoms. Then my doc raised it to 7.5mg 3x a day. Still nothing. It feels like a placebo or something. I'll give it some stars for not giving me side effects like the SSRIs I can't tolerate. Doc said they would try the max dose soon but I'm not hopeful. I'm still having trouble falling/staying asleep, huge startle response, easily triggered and trouble focusing.",4,6,1
"Buspirone","Timtom","June 4, 2020","Taken for 1 to 6 months","This medication buspirone was recommended to me for anxiety after taking Lamictal for around 6 months. During that time my depression got better but anxiety got worse. To combat this my doctor put me on 10mg twice a day. Unfortunately my anxiety appears to have gotten even worse and the side effects have been terrible even after 2 months. Sensations of dizziness, headache, disorientation, and disassociation occurred daily. Almost always twice a day, but sometimes up to 4 times lasting 30-45min but at most 2 hours. Abdominal pains, loss of appetite also. Physiological panic attacks have occurred daily as well. I don't act anxious but my body is seething. Heart rate, heated flushedness, agitation, fear, uncontrollable inner narrative etc. I feel awful on it and fear after quarantine this side effects will be detrimental for my job in commercial electric work with large machinery and power tools.",3,5,1
"Buspirone","Mmbwdpnz","June 3, 2020","Taken for less than 1 month","<b>BuSpar (buspirone):</b>			 Do not take this drug. Had a horrible experience. Nightmares, intrusive thoughts, mood swings, apathy, angry, made me the opposite of who I am. Withdrawals are even worse so much buzzing and brain zaps. I would have rather had the anxiety/panic attacks! Still dealing with all the bizzare effects. This is coming from someone who never was on any medication. Have to take other meds just to sleep and make it through my day now. Hoping to be back to normal soon. Thank goodness for the ER staff who helped me!",0,11,1
"Buspirone","Copper","June 3, 2020","Taken for 6 months to 1 year","A godsend. My anxiety  on buspirone went from an 8 to a 1 1/2. I can do things now without worrying. At 15 mg twice a day. Give it a try!",10,5,1
"Buspirone","Chas","May 31, 2020","Taken for less than 1 month","<b>BuSpar (buspirone):</b>			 I took Buspar for two days. On the first day my sleep was not deep and a I had weird dreams. On the second day I had a massive panic attack after my third dose of 5mg, and was unable to sleep at all that night. It was a horrendous experience. It is an awful drug for me.",0,9,1
"Buspirone","Anonymous","May 7, 2020","Taken for 1 to 6 months","<b>BuSpar (buspirone):</b>			 I’m an Iraq Veteran who has been diagnosed with PTSD and chronic anxiety. When I first started taking the buspar it would generate some level of anxiety for me because it’s a new chemical being introduced into my body. I would fight through the anxiety and keep taking the pills. After about a week I no longer had to fight the anxiety that was generated by taking buspar. I started off at 5mg and now I’m up to 30mg a day. I’ve been taking it for about 4-5 months now and have seen great progress. I know the list of  potential  side effects can generate anxiety for you by just reading them. However, the only  side effects  I noticed was a little weight gain and an increase in my sex drive.( which isn’t bad for me and my spouse). I would recommend buspar to anyone. It’s one of those drugs that it will either work for you, or not.",0,34,1
"Buspirone","Drugs","March 12, 2020","-","<b>BuSpar (buspirone):</b>			 I took Buspar for about 3 and a half months, and noticed very mild effects if any at all. I suffer from severe anxiety, and panic attacks. After taking Buspar I can honestly say, it doesn't do much.",0,47,1
"Buspirone","California woman","March 11, 2020","Taken for 1 to 6 months","<b>BuSpar (buspirone):</b>			 I took Buspirone when I had a back surgery and my father was sick from cancer, it was a very stressful time. I was in a panic. It helped me immediately (though I know it is supposed to take a few weeks). I remained on it for a few months as I dealt with the trauma of losing a parent. Then tapered off and went on about my business for a year. I’ve returned to the psych because I have regular anxiety and mild depression, he prescribed lexipro, I took that for 4 days and got increased anxiety and diarrhea, I decided to try to go back on the buspirone because I know that worked for me in the past. Here’s hoping it works again!",0,46,1
