"Drug","User","Date","Period","Review","Score","Likes","Page"
"Chlordiazepoxide","Maverick","February 21, 2020","Taken for less than 1 month","<b>Librium (chlordiazepoxide):</b>			 I was given Librium yesterday in place of Ativan. I took one at noon yesterday and then worked an 8hour shift and had more anxiety than I felt I could handle. I took another Librium this morning and still have a lot of anxiety. It’s just not helping. I am not a fan of this medication.",0,1,1
"Chlordiazepoxide","Jack sprat","January 28, 2020","Taken for less than 1 month","<b>Librium (chlordiazepoxide):</b>			 On Librium to help my cannabis withdrawal. Been taking librium for 2 days and the second day the dose was increased I feel like I had been given some kind of amphetamines or something I can barely sit still for 5 minutes and I feel like I could walk for ever or dance all night long no sedative effect what so ever, I'm currently taking 160mg today, I'm wondering if this has happened to anyone else.",0,6,1
"Chlordiazepoxide","Raja","December 28, 2019","Taken for 1 to 6 months","I use librium very good results",10,1,1
"Chlordiazepoxide","Bo","December 10, 2019","Taken for 1 to 2 years","<b>Librium (chlordiazepoxide):</b>			 I had a car accident closed head injury but severe 3 rd grade concussion, heart stopped E M. brought be back. I  have a traumatic  brain injury and am now not the same person. All kinds of meds and none worked. Some made me more violent. I  prayed  all the time that I would not hurt someone ; have short term memory loss too. Librium was God sent calmed me down slept through  the night for the first time in years, petite  Mal-seizures controlled.",0,8,1
"Chlordiazepoxide","anniess","November 9, 2019","Taken for 2 to 5 years","<b>Librium (chlordiazepoxide):</b>			 I have a 30-capsule prescription for Librium (5 mg) that I use for anxiety and panic attacks.  I've had the same bottle for about four years and still have some left.  Librium calms me down but allows me to function, too.  Works in about 20 minutes for me, reaching maximum relaxation at about two hours.  I use it mostly before medical procedures but occasionally when severely upset and unable to calm down.  I tried to get my mother a prescription but her doctor insisted SSRIs are better but they weren't.  SSRI caused my mother to be unable to function, to walk or even stay awake.  Librium is great! I told a doctor who was going to do a spinal injection for me that I'd had a Librium.  He remarked, that's stuff's pretty good but no one prescribes it anymore.  I know I had a hard time getting it but it's great so I use it judiciously.",0,13,1
"Chlordiazepoxide","butch53pig","October 10, 2019","Taken for 10 years or more","Works very well to ease my anxiety, one 10mg capsule twice a day.",10,1,1
"Chlordiazepoxide","Bob_FL","May 10, 2019","Taken for 10 years or more","<b>Librium (chlordiazepoxide):</b>			 Librium is different from other benzo's - it has a much longer half-life as opposed to its successor meds (Valium, Xanex, etc.). It's an oldie but goody. Have been on it almost 20 years and it does not lose its effectiveness. Also, it's synergistic with most antidepressants and has very  few side effects (for me).  Mylan makes a good generic. Most Dr.'s don't prescribe it because they think newer is better - not necessarily so.",0,33,1
"Chlordiazepoxide","Kay","January 31, 2019","-","<b>Librium (chlordiazepoxide):</b>			 So I went ER and was given Librium and zofran for the nausea. It worked great til about 3 pm the next day. I still have to take it  but not as often",0,6,1
"Chlordiazepoxide","Shawn","August 10, 2018","Taken for 1 to 6 months","<b>Librium (chlordiazepoxide):</b>			 Librium worked like a charm for me. It is the original benzo discovered completely on accident. It led to Valium and then eventually all the others. Unlike the more modern medications in the benzodiazepine class, Librium is not fast acting, which was fine for me. Ativan, Klonapin, or Xanax would work, but kick in quickly, (which I assume is good for panic attacks) and had me feeling loopy and dizzy. With Librium, there was less side effects. I felt normal, just minus the anxiety. Also easy to stop taking altogether without any withdrawal symptoms.",0,42,1
"Chlordiazepoxide","MJDA","January 16, 2018","-","<b>Librium (chlordiazepoxide):</b>			 I used to suffer from panic attacks.  They occurred mostly at work.  I tried Clonazepam, but it just made me have sleepy panic attacks.  Clonazepam worked perfectly for regular anxiety though.  Librium worked like a charm.  My psych put me on 2 doses per day of 25 mg.  I would take one dose 1/2 hour before getting to work and another 2 hours later.  That didn't cover a long enough period so she increased to 3 doses per day.  I'm finding that I need 4 doses per day as my panic attacks would normally happen any time between 9am and 1pm.  Since taking it I have not had any panic attacks.",0,19,1
