"Drug","User","Date","Period","Review","Score","Likes","Page"
"Clonidine","Levithan","June 3, 2020","-","Thanks to all the comments and I'm on .01 twice a day I take it at once and it works great but that's just the morning and by the afternoon it kinda wears off.  I'm wondering how much you can take I'm confused about it being so low and if I tell my psychiatrist I know she help me out I just need to figure out a good dose is",0,1,1
"Clonidine","Joe","April 29, 2020","Taken for 6 months to 1 year","It does not even touch my anxiety. I was on Xanax for 23 years. When my psychiatrist retired, the new psychiatrist I got informed me that Xanax was habit forming. She placed me on clonidine and it did nothing. I suffer with severe anxiety constantly.    Xanax helped me with my occasional episodes of panic attack and my severe anxiety. I also have ADHD and over compulsive disorder.",1,6,1
"Clonidine","Buzz","April 26, 2020","Taken for less than 1 month","clonidine worked great for about a week the my anxiety kicked into overdrive. I felt I was going to go nuts. I began completely not well and felt I was at risk. Very scary situation!",1,4,1
"Clonidine","Jay","April 15, 2020","Taken for less than 1 month","Clonidine helped a lot with my anxiety and sweats. I would sweat in public situations or even going to a corner store, embarrassing. This really helps even more than the xanax for my sweats. Anxiety doesn't go away completely but still an amazing drug. Does nothing for depression so looking to try something on top of this medication.",7,4,1
"Clonidine","Ag","February 17, 2020","Taken for less than 1 month","I am pretty sure this drug is going to save my life. I have tried everything for anxiety. Benzos, buspirone, ssri's, snris, beta blockers. I almost gave up then I thought I would try one more. I get horrible med side effects so I started with 1/4 a .1 mg and within 20 minutes I was more normal than I have felt in years. I tried a higher dose the next day but was too tired so for now I will stick to the small dose. 3 days in and I feel like my life has already changed. I can focus at work, I'm happy, I have more energy, no anxiety. beautiful!",9,31,1
"Clonidine","GabrielRD","February 13, 2020","Taken for 1 to 6 months","I hate taking this medication it makes me extremely sick. I also get extremely groggy, weak feelings, fatigue, mood swings, and anxiety. I do not recommend for anyone unless you're having trouble sleeping.",1,9,1
"Clonidine","Meg","January 28, 2020","Taken for 2 to 5 years","This drug clonidine was a game changer for my anxiety. I love this drug- it helps me sleep, it calms me down from full blown panic attacks (it takes about 20-30 minutes to do this). It helps with my ADHD because it calms down my body and lets me focus. I can't take benzos, so it has been really helpful. It takes a while before it stops making you drowsy. I only take half a tab if  I'm super anxious during the day. I only take full tabs if I'm having a panic attack or going to bed WARNING: DO NOT STOP TAKING THIS DRUG COLD TURKEY. I had horrendous withdrawals. I stopped cold after 3 years and was shaking and tremoring, did not sleep for a week, and had severe panic attacks all day every day.",10,18,1
"Clonidine","SuzieQ","January 14, 2020","Taken for less than 1 month","This clonidine  was prescribed in conjunction with TCAs and beta blockers for agoraphobia with panic disorder. It caused even more severe panic and dark thoughts.",1,10,1
"Clonidine","Red","January 14, 2020","Taken for less than 1 month","I get very down and depressed in the Dark Winter months. About a month ago I went into Manic Panic Depression and anxiety was off charts for the last month. I'm scared of Benzos and refuse to take them because of how good they are and addicting. Was prescribed Paxil 20 mg . They gave me Hydroxyzine 50mg until Paxil Kicks in. Paxil has not worked and went back to see about something stronger than Hydroxyzine. They gave me clonidine and it worked within an hour at .10 mg clonedine I was eating and even smiled after 3 weeks of nightmarish living. I think this will be the one!",10,21,1
"Clonidine","Anonymous","November 22, 2019","Taken for 1 to 6 months","I took clonidine for a month to help with tapering off xanax. The first week was ok. It helped me motivate and feel somewhat better. After that, all downhill. My hair started thinning excessively, especially when I washed it. Then, I just felt overmedicated and aggravated. This is my own personal experience. I don't recommend it to people highly stressed. I think in my opinion, it should be used under a dr supervision only. The night sweats were AWFUL. And my peaceful nights sleep turned into vivid nightmares and dreams so odd.",3,8,1
"Clonidine","Anonymous","November 12, 2019","Taken for less than 1 month","In my opinion clonidine is the best prescription for panic and anxiety. Nothing else worked.",10,31,1
"Clonidine","don","October 29, 2019","Taken for 1 to 6 months","clonidine is the best medication for my anxiety.  I take in am and then at bedtime, my anxiety is gone, a GOD blessing for me, better than benzos......",10,38,1
