"Drug","User","Date","Period","Review","Score","Likes","Page"
"Clorazepate","Pipes","April 3, 2020","Taken for less than 1 month","<b>Tranxene (clorazepate):</b>			 Have been taking tranxene now for about 3-4 weeks and it's worked great for my general anxiety but not for underlying anxiety. Still have panic attacks but this med still works great. I take 15 mg at night and it knocks me out",0,2,1
"Clorazepate","cl","March 25, 2020","Taken for 2 to 5 years","Why is this so uncommon now? This is by far the very best anxiety med I have ever taken. Yes at first it will make you feel like a zombie but I do not experience any side effects or withdrawals when I don’t take it. It’s not like klonipin that causes psychosis. Valium has an 8 day half life so you’re fine until day 9. This one is quick acting but also short lived, which is fine for PTSD. It works in @30 minutes and wears off in about 4 hours. I take 15 mg 3 times a day if needed. Valium is almost as effective but the others are not.  Makes PTSD anxiety manageable.",10,5,1
"Clorazepate","FurrFurrGurrl","March 12, 2020","Taken for 10 years or more","<b>Tranxene (clorazepate):</b>			 I have been taking generic Tranxene since 2010. 7.5 mg up to 2x a day as needed. This medicine is a lifesaver. It stops panic attacks and, most importantly for me, it stops the ruminating thoughts in their tracks. This allows me to go about my day unimpeded by going over and over things that make me feel bad about myself. I've had no side effects from taking it.  I did have 1 perscription for Xanax in the mid '90s. It did nothing. No help what-so-ever.",0,5,1
"Clorazepate","Tomas","February 29, 2020","Taken for less than 1 month","<b>Tranxene (clorazepate):</b>			 Tranzene A wonder drug for me, my anxiety got so severe that I couldn't eat, daily chest pain, shortness of breath, confusion, fear and just a few to name. For me, tranxene is better than common benzodiazepine. A dose of a 5mg tablet does wonders. If I take in the morning, it lasts till late evening. So next pdoc appointment I'll ask for 2x5mg dose during the day. Recommend.",0,8,1
"Clorazepate","Bob","January 1, 2020","Taken for 10 years or more","Great medicine that works and proven over time.",10,6,1
"Clorazepate","Benny","December 2, 2019","Taken for 10 years or more","General Anxiety Disorder is a chronic disorder. The appropriate treatment for life is Tranxene. I take 15mg QID daily even at age 64. Anything less does not work. Maintenance dose even for elderly. I do experience sleepiness.",10,6,1
"Clorazepate","Juju","July 10, 2019","Taken for 2 to 5 years","Four years ago I started clorazepate 3.75 at night to help with a burning tongue and panic attacks. My dr said the burning tongue was from an overactive nerve and allergies I didn’t know I had to mint. Within three months the burning was gone and I didn’t have any more panic attacks.  About three months ago my pharmacist started using a different manufacturer and at first I felt great... no problems. Then about a week ago (three months later) I started having very vivid dreams.  Nothing that would cause me harm... just nightmares or very realistic dreams which I didn’t have before. I’m wondering if it started due to change of manufacturing pharma? I still feel good , no panic attacks... but I don’t like that these dreams have started and I’m wondering if they will go away once I get use to these pills from this manufacturer or if I should try to find another pharmacy that carries the other manufacturer pill?",9,6,1
"Clorazepate","DeDe59","May 24, 2019","Taken for 1 to 6 months","<b>Tranxene (clorazepate):</b>			 Back on Tranxene (I have anxiety) and it feels great. I am calmer and feel much better. I also started taking 20mg of Paxil  now I'm taking 30mg my the therapeutic is 60mg. So when I go back next month the dosage may go up again. Tranxene calms me down physically but not mentally. I hope keeps doing what it's suppose to.",0,8,1
"Clorazepate","ogemaw","May 12, 2019","Taken for 10 years or more","<b>Tranxene (clorazepate):</b>			 I have had a prescription for tranzene [3.75 mg] for 40 years and it works for anxiety tremendously. Earlier in my life, it also helped with panic attacks and anxiety. At this point in my life, I use it to help with sleep. I take 1/2 tab. with 1 Tylenol and it's ZZZZ time",0,12,1
"Clorazepate","Human","February 27, 2019","Taken for 1 to 6 months","The iliac crest pains with this stuff is crazy, I cannot use on a regular basis, I don’t know if anyone else has had the same experience but please let me know.",1,2,1
"Clorazepate","DeDe59","January 17, 2019","Taken for 1 to 6 months","<b>Tranxene T-Tab (clorazepate):</b>			 Worked great on my anxiety. I had to stop talking Tranxene because my insurance ended. Will start back February 1st. I already have an appointment set up. It calms you naturally and stays in your system longer.",0,4,1
"Clorazepate","Paintrmann","June 23, 2018","Taken for 10 years or more","<b>Tranxene (clorazepate):</b>			 This generic drug has had a drastic jump in price in the last few years, I would like to know why.",0,18,1
"Clorazepate","Stressful job","April 24, 2017","Taken for 10 years or more","It is better than nothing. But Xanax works much better. My previous dr in another city prescribed Xanax. I took it as needed for about 20 yrs. It kicked in almost immediately so I only took it when a bad situation occurred. I never became dependent or addicted. Current dr (different location) refuses to prescribe Xanax &amp; will only let me have Tranxene.   Since it doesn't kick in quickly I have to take it in anticipation of the occurrence of a bad situation. So I take it every day 1st thing when I get up so it will be in my system by the time I get to work. So I take more of it &amp; it works less well than Xanax. More drs need to know that Xanax is not really addictive &amp; it works far better than Tranxene.",3,16,1
"Clorazepate","SK_okay","March 26, 2017","-","I have tried various medications for anxiety/social phobia over the past 16 years. I have been prescribed several different antidepressants but none of them fix the anxiety. My doctor prescribed clorazepate 3.75 mg 1x a day (at bedtime) after my mother passed away and my anxiety got worse and I could not sleep at night. This medicine plus an antidepressant works so much better than an antidepressant alone. When I moved out of state my new Dr. wanted to take me off clorazepate because she said it is addictive. More Drs. need to realize this drug is a lifesaver for those who cannot tolerate valium, klonopin, etc. Clorazepate causes no side effects and I have never needed a higher dose in 8 years.",10,31,1
"Clorazepate","Mloww","January 31, 2017","-","Good experience it worked for me well",9,19,1
"Clorazepate","Ex-medic","December 6, 2016","-","I have been on traxene for about a year and a half. They started me on 7.5mg 2x a day. That helped but was not quite taking care of all of my symptoms. I was a paramedic in N.C. for 17 years and also worked at ground zero in 2001. Was diagnosed with PTSD. I asked my doctor if I could go on a higher dose so he moved me up to 15mg 2x a day and it has worked wonders. I feel like a normal person like I did when I was a child and did have to worry about everything. I am no longer a paramedic. Had to get out of that field because I do believe that is what caused my problems. But I live a happy healthy life now thanks so much to tranxene...",10,46,1
"Clorazepate","Crispy 38","November 4, 2016","-","<b>Tranxene (clorazepate):</b>			 I took it for a month to come off my valium it was great  no longer on any benzos Its great",0,21,1
"Clorazepate","Jackie Blue","July 14, 2016","Taken for 10 years or more","I have taken TRanxene/Clorazepate since 1972, when my doctor had me try it after a suicide attempt due to severe anxiety and needing out of my marriage to a violent, threatening man.  It works in half an hour, and no side effects. Just lets you survive some terribly sad circumstances like friend being shot, worry about son serving overseas, behavior of bipolar second son, tornado hitting home, severe pain from two injuries to spine...you name it. I don't know why it isn't prescribed more. No headaches, no stomach cramps, no mania, etc. just lets you quit the tears and fears and get back to work. Especially love that you can just take as needed vs taking a pill that DOESNT help, 3x a day for all eternity.",0,55,1
"Clorazepate","liccione","November 30, 2015","-","<b>Tranxene (clorazepate):</b>			 15 mg as needed no more than 2 times a day was absolutely the right dosage for me.  Side effects NONE.  Very effective for panic attacks and general anxiety.  I have tried most benzos, this is by far the best.",0,72,1
"Clorazepate","makrysx","April 23, 2015","-","I take 5mg for generalized anxiety disorder in an as needed basis. It makes sleepy and it doesnt help with the anxiety as I want it too. It is perfect for insomnia but for anxiety, it doesnt do much for me.",6,17,1
"Clorazepate","RoeMB","March 27, 2015","-","<b>Tranxene SD (clorazepate):</b>			 I had taken this medicine in place of Xanax.  I found Tranxene to be a life saver. Thank you",0,59,1
"Clorazepate","amandacruz1983","March 20, 2015","-","I take Tranxene 7.5 2x a day. It has helped my anxiety and panic attacks a great deal. Unfortunately my doctor feels like it is addictive so he is weaning me off of them as he slowly tapers me onto Buspar. Not sure how I feel about this because I've always lived by the rule, leave well enough alone.",8,43,1
"Clorazepate","bebe25","October 21, 2014","-","I started on clorazepate 7.5 mg  over 25 years ago. I suffer from panic attacks and anxiety, I lost my son from cancer in 1988 at age 18 and lost another son in 2013 at age 47, I use this medicine as needed and it has helped with anxiety, sadness and other issues, no side effects other than helps me feel normal. Some days it is so hard to go on this medication keeps me from dwelling on the sadness. The only other medication I am on is a blood pressure pill.",10,84,1
