"Drug","User","Date","Period","Review","Score","Likes","Page"
"Desvenlafaxine","Bob","April 1, 2020","Taken for 5 to 10 years","I felt the need to provide my experience here after reading so many other comments. This drug  b has quite honestly saved my life. Anxiety, nervousness, control issues, and related anger issues would rule my behavior and was taking a major toll on my family. I've been this drug for many years now and it turned everything around for me completely. I'm able to live a somewhat normal and happy life specifically because of this medication. I know everyone's situation is different, but taking this medication was one of the best decisions of my life, and I have no problem continuing to take it for the rest of my life.",10,23,1
"Desvenlafaxine","Anxiouschick","March 29, 2020","Taken for less than 1 month","I have decided to come off this medication desvenlafaxine after 10 days of nightmarish living. I haven't had panic attacks in over 10 years and yet on this medication I have had 3 in the last 10 days. If anything this medication has made me realise that my symptoms are probably really mild and that I don't need medication. My partner came home one night and literally thought I was on drugs because of how wired I was from this medication.",1,4,1
"Desvenlafaxine","Mousie","February 20, 2020","Taken for 1 to 6 months","I have only been on this for 11 days, I’m really tired during the day ,and can take a three hour nap, my doctor said about three weeks and it would be a great change for me. I’m looking forward to the serotonin clicking in my brain!!! I get a bit shaky, and a bit dizzy, Little bit of brain fog. I figure after three weeks if this continues then I won’t be taking it. But honestly I’m looking forward to it working. So I’m doing this with a positive attitude!!!",8,10,1
"Desvenlafaxine","JM","February 18, 2020","-","This drug has been amazing for me. I have always been a little anxious but no issues. Then I had appendicitis that hospital failed to diagnose despite repeated visits for 8 days. This progressed to peritonitis and sepsis and I was in hospital for 5 weeks, after nearly dying. I went back to work ASAP and then realised I was on the brink of a breakdown. Constant crying and hospital flashbacks and unable to sleep.  I went to a new GP desperate for help and he recommended Pristiq. I had the first four days of side effects - bad headache, feeling out of sorts, constipation - but after two weeks I felt better. The anxiety? Turned off like a tap. No more constant running of negative thoughts or traumatic flashbacks. It has been amazing. Only issue I have with it now is some days I feel utterly exhausted but it’s not every day, and the freedom from the anxiety is the best - I am a better partner and better colleague.  I’ve never taken anti depressants before and I’m a convert now.",10,18,1
"Desvenlafaxine","Anonymous","February 8, 2020","-","<b>Pristiq (desvenlafaxine):</b>			 I'm in love with prestiq.I had a breakdown where I was just over stressed and I couldn't stay awake. I slept for 3 days straight. My doctor put me on lexapro which made me feel annoyed. I went back and asked him for some Valium.  For 2 years I took Valium every couple of days but wanted to get off it as it's not good long term but I couldn't stay awake without it, and my anxiety was really peaking when I didn't have it. I was scared to try anti depressants again but my doctor said pristiq should work so I tried it and fell in love with it. I've been on it for 3 years and it has done wonders for me. I only take a  50mg dose which has really calmed my anxiety down and dulled my flight reflex. My doctor wanted me to start coming off it but I have no interest in doing so until my kids are big. I feel I cope so much better when I am on it. Im so grateful to that doctor for convincing me to try it. In the beginning I felt a bit out of it and high for about a week, the tight jaw and shaking that went away soon",0,29,1
"Desvenlafaxine","Harold","February 6, 2020","Taken for 1 to 2 years","Great, life changing. I'm so glad I agreed to go on Desvenlafaxine, I feel like my old self again. It suppresses those feelings you have no control over regardless of how hard you try.  Some side effects included initial constipation, jittery jaw, feeling a bit dizzy, but all subsided after a few weeks. Dry mouth still persists and if I forget to take it for a day I get the dizzy type feeling, but this goes when I get back on track with it. Side effects are well worth the positives.  I have now halved the does to 25 mg (I cut a 50 mg myself as thats the lowest dose) and feel it still helps me. I am slowly working towards reducing the dose, I will see how I go through winter on 25 mg, but I will have no concerns to go back up to 50, and/or even stay on it forever if needed! It has improved my quality of life immensely.",9,11,1
"Desvenlafaxine","Igor","January 8, 2020","Taken for 1 to 6 months","I took desvenlafaxine for a few weeks, for moderate-to-severe anxiety and mild-to-moderate depression. Side effects were horrible from the beginning, increasing my anxiety and making the dizziness and the brain fogs worse. It improved over time, but in the end I was still worse than before, so I stopped it and changed the medication.",1,4,1
"Desvenlafaxine","Naninzoo","January 5, 2020","Taken for 5 to 10 years","I used to have terrible panic attacks and have had anxiety since I was a kid. Pristiq took my anxiety away. A lot of people say it didn't help them or gave them terrible side effects but for me, it was a life-changer.",9,15,1
"Desvenlafaxine","32 y/o male","October 2, 2019","Taken for 1 to 2 years","I’ve been on pristiq (50mg) for 18 months &amp; it’s helped reduce my anxiety immensely.  First week was tough feeling nauseous, tired, &amp; dizzy, but that all went away. However, I’ve noticed that my weight loss plateaued &amp; has hovered around the same weight since. This is besides a healthy diet &amp; gym 3-4 times a week.  I also have a minimal libido/sex drive &amp;  issues with maintaining an erection or  finishing . However, the improvement in my mental health meant I didn’t care while I was single, now that I’m dating it does get frustrating.  I’ve also noticed jaw tension as I saw another reviewer write. I also have some detachment from emotions in general, but not so severe that I feel like a robot. Missing a day can also be hell; I usually take my tablet in the morning and if I forget I feel dizzy and cannot focus by 2pm. About to talk with my GP about coming off to see how I go without meds again.",9,8,1
"Desvenlafaxine","MomOfTwo","September 6, 2019","Taken for less than 1 month","I was prescribed this medication desvenlafaxine for anxiety and depression. Ever since I started taking it, I can’t sleep at night. Eyes wide open and my brain can’t shut down! Horrible! I will not be continuing...",1,10,1
