"Drug","User","Date","Period","Review","Score","Likes","Page"
"Diazepam","Monkey","June 8, 2020","Taken for 10 years or more","Hi Unfortunately I was put on valium 48 years ago as I was told by GP I had a nervous stomach.  After 3 years I had an ovarian cyst that burst so had cyst and ovary removed.  Heyho after operation I didn't have stomach ache so stopped taking valium. But then I had panic attacks, shakes  and agoraphobia. I went to GP who told me you must always take valium or you will end up in a mental health facility. I have tried on occasions to cut down stop them.  Side effects shaking tight band round head throat huge weight loss bedridden.  For a long time I have taken  25mg daily.   I wouldn't want anyone to take them regularly I don't want OTHERS to suffer.  After having osteoporosis spine fractures x 3 etc  I have needed opioids BUT ONLY HAD 1 WHEN DESPERATE AS I KNOW HOW ADDICTIVE THEY ARE.  GOD BLESS YOU ALL",2,1,1
"Diazepam","kate","June 6, 2020","-","diazepam 1mg was not really working well for me, so I've taken 2mg, and half an hour later I feel really hyper and it's not doing anything for me",3,0,1
"Diazepam","shapel","June 3, 2020","Taken for 5 to 10 years","<b>Valium (diazepam):</b>			 Valium is a drug that can be a life saver or destroyer. This drug for me helps me as long as I have it under control. I find myself always having to be wary of my dosage. This allows me to pretty much go about my normal life, allows me to function, think and gives me the motivation and willingness to do the things I need to do. When on these and under control I find a lot of aspects of my life all coming together where as without it I feel helpless. Too much valium daily however leads to depersonalisation and impulsiveness. Before you know it you will be turning into something else, it is only in hindsight that this becomes apparent. As quickly as this can help improve your life it can crumble it. CONTROL YOUR DOSAGE. So if you can control yourself absolutely I would recommend but be wary it is very easy to lead yourself down the path of a benzo addiction, I have done this become clean and reused several times now.",0,9,1
"Diazepam","Jade","May 29, 2020","Taken for less than 1 month","I could have sworn I was taking sugar pills, I don't feel any change from these pills after a week of taking them as my doctor suggested.",1,4,1
"Diazepam","swingerofbirches","May 25, 2020","Taken for 5 to 10 years","Teva diazepam had worked well for me for many years at just 2 mg dosage three times a day, not a really large dose. Now I have been having withdrawal symptoms, and after I take the tablet I feel no different at all. Something has changed with it. I used to feel it work within a half hour, and now it never works. I am having serious withdrawal symptoms. Teva's quality assurance department seems to be just one individual, and there was a language barrier. Eventually they replaced the bottle with a new one also from Teva, but it's the same problem. The Teva had worked well but no longer seems to do anything at all. I had two tablets left from an old bottle, and the difference was too great to even compare. The withdrawal symptoms went away. That bottle had a much older expiration date (6/2020). It seems like the new stuff is much weaker if there is anything in it at all.  My rating for this (1) is based on current Teva formulation. Prior to this would have been 10.",1,5,1
"Diazepam","Sully","May 23, 2020","Taken for 2 to 5 years","Teva diazapam is not generic equivalent.  Reported to FDA. All pharmacists said other patients said same thing. Tell FDA they want to hear it. A brand I used to get worked. Only sold to hospitals now. I found an old one bottle from other brand that had 2 in it. And it was over a year old. I slept with one tablet.",2,4,1
"Diazepam","Sully","May 2, 2020","-","Teva diazapam don't work Teva took over the diazapam market it don't work. My headaches, Anxiety attacks,  panic attacks are back. It is like taking nothing and an ingredient that makes me sick   I feel like suing, no active ingredient in it. I can prove that. God my head hurts and dizziness will return tomorrow, this I know  I hope FDA takes this garbage off the market. There are others out there.  Mayne I have been taking but some reason hospital pharmacy it's like no active ingredient.  I miss Mylan it worked for many years. I haven't slept in 2 days. Now I have to attempt to see my doctor for change in medications because of Teva. Now i know why I have been having horribile head pain panic not real diazapam. Any brand is better than this.  No sleep this month for me Shaking badly.  Teva is not diazepam.",1,7,1
"Diazepam","Anonymous","March 8, 2020","Taken for 2 to 5 years","Connected to dysthymia and anxiety, for some strange reason this medication makes me feel more awake sometimes. I feel more tired when I'm not taking it.",6,7,1
"Diazepam","AnxiousGuy","February 22, 2020","Taken for less than 1 month","<b>Valium (diazepam):</b>			 very calming and peaceful drug, no bad side effects, lasts pretty long and helps me fall asleep.",0,49,1
"Diazepam","BMW Guy","February 17, 2020","-","I was prescribed Valium (Diazepam) 10mg as needed up to 3x daily 4 1/2 years ago for tension headaches. I also am diagnosed with GAD/PTSD and Panic disorder. After taking the drug for so long I have discovered how affective it is. I can enjoy life in a way I have never experienced. Going to the Movies, out in crowds, traveling by plane, I even lost my stutter, the list goes on. I suffered an Aortic Aneurysm rupture in 2014 because of a stressful phone call. Now there seems to be draconian measures in place to stop all use of this drug. For those of us who don't abuse it I don't care if it is physically addictive. The benefits out weigh the negatives in my case. Now I must find a Doctor that understands that my case is Mental/Physical. I still have an abdominal aneurysm and must fear my own adrenaline because that one can rupture the same way. I was lucky last time but next time there is no way to save my life.",10,27,1
"Diazepam","Quinn","February 9, 2020","Taken for 10 years or more","<b>Valium (diazepam):</b>			 I have been on Valium since 2011 after the sudden passing of my husband. I have always had severe generalized anxiety and was never adequately treated for it, just given seroquel which made me non-functional.  The loss of my husband exacerbated the anxiety condition and I began suffering from insomnia as well. My Dr tried me on a variety of benzodiazepine meds which didn’t last long enough in my system to give me adequate relief. We eventually gave diazepam a try and it worked so well. I started on 20mg a day and over the years I have tapered to a comfortable dose of 10mg daily. It does not make me sleepy or loopy but takes the edge off enough that I can care for my children and function in daily life. Yes there is a bit of a dependence but for me it’s worth it to be somewhat addicted rather than struggle to cope with terrible anxiety symptoms every day. I do recommend Valium as an effective anxiolytic however I would say to be aware of the potential for abuse and dependence.",0,75,1
"Diazepam","Sierra","February 8, 2020","Taken for 1 to 2 years","Have been withdrawing from a 5mg diazepam dose of valium for 10 weeks (took a maximum of 15mg a day for 14 months).  Made the bad mistake of taking on and off different mgs during that time!  When I take a .75 mg in the a.m., I get a crushing headache with nausea.  Thoughts?",1,13,1
"Diazepam","John","February 3, 2020","Taken for 6 months to 1 year","Diazepam work very good for my anxiety with no side effects. But I'm sick of doctors trying to take me off it. Why? I don't abuse it, I often just take 10mg. And because Diazepam is long lasting it often builds up in your system so sometimes I skip a days dose. Most of these doctors have never had severe anxiety &amp; have no idea how debilitating it is when you cannot sleep, concentrate or even swallow food because of severe anxiety. Without this drug I often cannot go outside. That is no life. I hope some day people with mental health conditions get proper support instead of cruelty.",9,66,1
"Diazepam","Tomas","January 29, 2020","Taken for less than 1 month","It is a wonder drug for me. I had severe anxiety symptoms and they weren't passing by taking a hot bath, camomile tea, CBD oil. So doctor prescribed diazepam. 2 pills in one day and I feel almost anxiety free. No longer debilitating anxiety, and now I can be relaxed because if anxiety strikes again, I can take it again, until my AD starts working. No longer need to be in hospital to get good anxiety med. I can do this on my own at home. Fast acting, longer duration than xanax, completely different feeling from xanax. I like diazepam more.",10,21,1
"Diazepam","Patti","January 16, 2020","-","<b>Valium (diazepam):</b>			 Valium is highly addictive and dangerous even deadly.",0,22,1
"Diazepam","DrSteel","January 15, 2020","Taken for 10 years or more","I'm a 74 year old Vietnam vet. I've had moderate anxiety issues since 1970. I didn't go on Diazepam until 1975. I've been on it ever since. It changed my life. I was able to have a very successful career and productive life. I've been in and out out therapy off and on over the years. It did not really help. The only thing the keeps me calm and functional is the once a day 5mg dose of diazepam. I would like to get off it and have tried several times without success. My anxiety level ramps up to the point where it's not manageable. This is probably the only major drawback. I have not experience any bothersome issues or side effects. It has been a life saver for me. I've never had to increase the dosage after all these  years.",10,49,1
"Diazepam","Lolly","December 30, 2019","Taken for 5 to 10 years","<b>Valium (diazepam):</b>			 I have been suffering with Bi-polar, Severe Depression &amp; Severe Anxiety for many years now &amp; have been put on &amp; tried many different drugs by Dr's BUT the only thing that works is Valium &amp; I take up to three 5 mgs per day &amp; I feel so so GOOD. I can function I  am way more productive &amp; I actually get out &amp; talk to people which is normally a no no for me. I also get a great appetite which I don't have if I don't take any.  I was under a great Psychiatrist for many years until he retired I then had to move to the country where it was extremely hard to even find a GP but I finally did but have had to go private &amp; he has put me onto a barrage of new Dr's to see in the New Year who are all private as well so I am stressed about paying for all of these at the moment &amp; getting the new GP to give me any Valium is like asking for his kidney but on 2 rare occasions he has given ten 10mg Temazepam's which did help but I had to stretch them out.",0,39,1
"Diazepam","Valium","December 28, 2019","Taken for 10 years or more","<b>Valium (diazepam):</b>			 Been taking Valium since April, 1969 after I blacked out while working for NASA. This is Jan., 2019, tried to lower the dose so limit my use. During Two weeks I had another blackout. Once I started talking Valium I had no other issue's with think clear, nor had any more black outs. I am a Viet Nam Veteran, 77 years old.  Some doctors will not give you Valium if you are 75 years old.",0,56,1
"Diazepam","Ty","December 24, 2019","Taken for 6 months to 1 year","Most doctors had been reluctant to prescribe it. Got given 10 x 2mg prescribed at urgent care and 10 x 2mg from the local gp surgery. So far since January only taken 28mg worth when really needed. Also on amitriptyline and sertraline. Pretty much the only thing that genuinely works to help me calm down.",10,18,1
"Diazepam","Painman","December 21, 2019","Taken for 1 to 6 months","<b>Valium (diazepam):</b>			 I have been dependent on morphine and oxycodone in high doses for 20 years than someone suggested suboxone worst decision of my life. I was on it for 8 months and it worked as directed,I was very happy but started reading about PAWS (Post-acute-withdrawal syndrome) and started to wean down well anxiety, panic attacks and confusion hit me like a ton of bricks. Bupernephrine is a horrible drug to get off of. I would rather have gone thru full opiate detox than those. Tried Klonopin, Xanax both were a waste and very addicting! But I was tried on  one 10 mg Valium and I have not felt that normal in ages. I am very leary of any pharmaceutical and don’t take it daily sometimes I put it away for a month. It has truly given my life back but I’m still on a drug. I want to be off everything and I don’t know if that will ever be. But for now I’m not clenching my teeth all day and tossing all night so I’m grateful. Thanks doc for taking a risk on me.",0,49,1
"Diazepam","Ttiny","December 15, 2019","-","A drug I would never think of taking again !!! I'm not addicted to it but I feel sorry for those who are, deeply sorry.",2,13,1
"Diazepam","Penny","December 12, 2019","Taken for 2 to 5 years","<b>Valium (diazepam):</b>			 I have suffered with extreme social anxiety for as long as I can remember. Valium has been the only medication that has given me some peace of mind &amp; comfort.",0,77,1
"Diazepam","DJ","December 2, 2019","Taken for 1 to 2 years","<b>Valium (diazepam):</b>			 This drug almost killed me, as did the psychiatrist who prescribed it.  In early 2017 I started with this new doctor who completely changed my psych regimen after a difficult move and sudden loss of a sister to a drug overdose. He started me on low dose Valium. It did work, but right away problems were showing.  Soon enough I was hooked and popping these like life savers. My wife expressed concern about it, and what did the doctor do? He increased the dosage and quantity. Soon I was getting through the day with up to thirty pills. I experienced multi organ failure earlier this summer, and subsequent heart failure.  My primary doctor recommended a new psychiatrist, who was shocked at my regimen. He said he wouldn’t see me until I had beaten the addiction. It was tough. He has since switched me to buspirone, although maxed out at 60mg.  Valium may work in the short term, but just don’t do it. It’s a destroyer.",0,18,1
"Diazepam","CJ","November 30, 2019","Taken for less than 1 month","I have taken many types of diazepam, these are genuine in my opinion, no more panic attacks, and a good sleep. Thanks",9,26,1
"Diazepam","luna","November 29, 2019","-","I suffer from crippling panic attacks and anxiety I'm 18 with diagnosed complex PTSD and a severe fear of death, I was put on 2mg of diazepam after a visit to A&amp;E when a panic attack became totally unbearable and they made me take it there and then, they suggested I originally take it every 8 hours at the start and then just as needed, I’ve been on it for roughly 4 weeks now but I've stretched out the dosage to as needed, so every other day at least and if I can then every 3-5 days, I'm hoping to only need it on a once a week basis. Usually it calms me right down even with just 2mg (I'm allowed to take up to 5 pills a day every 2 hours but the most I've had has been 2 pills in a day) I do sometimes start panicking after taking it just because the pill itself scares me with all the horror stories regarding it. It really has helped my insomnia as well but it does make me feel very ill, give me headaches and at the very start it made me light headed",8,24,1
"Diazepam","Country","November 29, 2019","Taken for 1 to 6 months","Have taken alprazolam for several years. Recently switched to Diazepam.  I used to rarely take them.  But with age comes pain , from massive car accident.  Diazepam is more broad range , longer lasting than alprazolam.  It also helps with pain.  I have noticed it makes me more talkative.  I believe all benzodiazepines  do as well . Dry mouth is a side effect.  It can cause bilirubin in liver to elevate.",0,12,2
"Diazepam","Eyebeautyblogs12","November 27, 2019","Taken for less than 1 month","<b>Valium (diazepam):</b>			 I can’t say this medicine Is horrible for everyone but I can say that I got the unlucky end of the stick. This medicine actually made my anxiety worse! I literally felt like I was losing my mind. I couldn’t sleep at night because my fight or flight response wouldn’t stop rushing through my body and It made me have horrible panic attacks. It got to a point I had to call the EMS because my heart rate went up to 170....I was excited to try the medicine from the reviews because I wanted the relief and calm mind but I will never take this medicine again.",0,17,2
"Diazepam","Relaxed","November 26, 2019","-","<b>Valium (diazepam):</b>			 I'm a Vietnam vet. Panic anxiety attacks. This medication  Valium works very well with me. it is truly the only medication that I have taken that takes the insomnia away I can relax I can go about my day it works very well I'm very well pleased with it I have no more anxiety panic attacks. I take 10 mg two times a day... And since I'm a veteran all my medication is free so I paid nothing for it..",0,63,2
"Diazepam","Kennycoco","November 22, 2019","Taken for 1 to 6 months","<b>Valium (diazepam):</b>			 Helps great once it kicks in for my anxiety would not recommend this medication for panic attacks as it can take 35 min to An hour to kick in",0,33,2
"Diazepam","Sable","November 11, 2019","Taken for 10 years or more","I started having panic attacks at age 35.  After taking 10 mg diazepam per day  for months I gradually had fewer attacks.  I now rarely have a very minor attack.  I have taken 5 mg per day for 37 years with no problems, not sleepy if keep fairly active.  I also have been taking 12.5 mg amitripline at bedtime for 35 years.",0,28,2
"Diazepam","Much better now","October 29, 2019","Taken for 2 to 5 years","A couple years ago I was on 30mg Valium, 120 mg Morphine, and 60 mg Percoset a day for back issues for 5 years. It got me through Grad school. Then my Dr got shut down and I was screwed. The morphine was extended release (lasted all day), so withdrawing from that was brutal. The lack of valium, though, put me into crazy benzo withdrawal syndrome, so I had to get back on it to taper off, which still was bad. I have general anxiety so I'm taking 5mg of Valium a day again, which is excellent. I refuse to take anything that lasts 24 hrs a day for pain, only as needed. I like Valium, versus other benzos, because it kicks in slowly and lasts longer as opposed to Xanax, Klonapin and Ativan. So, be careful, expect horrible withdrawal of you take daily, don't cold turkey benzos or alcohol ever (seizures can happen), and fight for your right to not suffer.",10,24,2
"Diazepam","Anonymous","October 23, 2019","-","<b>Valium (diazepam):</b>			 Yes very helpful",0,20,2
"Diazepam","peachy","October 23, 2019","Taken for 5 to 10 years","Highly effective &amp; reliable for anxiety &amp; panic with no side effects. I take 5mg as needed, usually once every few days, and have done for years with no addiction or need to increase the dose. This drug has an undeserved bad reputation due to abuse by a minority, which is a shame as it has become harder for people who would benefit to access this valuable tool.",10,45,2
"Diazepam","Zlav","October 19, 2019","-","I have used diazepam most of my life (since age 20) but now my Dr. decides that my age of  72, I have to get off it.  I will have to try to find someone else to help me.  I have generalized anxiety that I had since I was a little kid.  It wasn't until I was 18 that I was able to get medications.  My doctor is younger, and has no idea about the older patient.   If not for a benzodiazepine, I could see where I would have died at some point.  Doctors should not be the ones to prescribe medication because Pharmacists are actually chemists and they can tell you what a drug will do to you and how it would interact with other drugs.  Pharmacists should be the ones prescribing.  There are too many doctor  prescribing mistakes - I worked in several large hospitals and saw too many people who died due to a doctor not knowing the chemistry, thus, why a pharmacist should be with the doctor in prescribing.   I would like the U.S. put Pharmacists in charge of prescribing.",10,31,2
"Diazepam","TrustingDoctorsToMuch","October 14, 2019","Taken for 10 years or more","I was a long term user of diazepam. I had numerous problems arise while taking this med that left me with other diagnosis's requiring additional medication, when I came off the diazepam I found the drug caused them all and issues began going away during the 3 year protracted withdrawal.  Diazepam made me have extreme personality changes after many years on it along with depression, suicidal thoughts, this med caused me to have bladder, bowel and uterine issues as well as extreme forgetfulness, and the false sense of security the drug provided made my decision making very poor, under the influence of this drug I dated people I would of never had a relationship with otherwise, and I trusted people that hurt me because the drug made me not feel normal emotions so I would trust them over and over again..",1,11,2
"Diazepam","Magwell68","September 26, 2019","Taken for 2 to 5 years","<b>Valium (diazepam):</b>			 In 2015, my surgeon gave me 10mg Valium to help with post-op anxiety. I took it twice, but 10mg  knocked me out, so I’d split the pill and take 5mg. I also have severe anxiety and depression and am prone to panic attacks, but I’d never taken meds for it (never asked). I had a couple panic attacks during recovery, took 5mg Valium, and it was like night and day. In 15 minutes I felt calm, relaxed and  normal  again. I rarely have panic attacks now, but my anxiety can be severe, so I’ll take a 1/4 pill (2.5mg), and it takes the edge off. I find the effects last for quite a while, and rarely have to take more than 2.5mg/day, and rarely take it more than 2 days in a row. I feel  normal  most of the time, but when my anxiety is too high, I’m glad I have it to take the edge off.  I don’t have an addictive personality, so I don’t know if I’d ever feel like I  had to  take it to feel good, I just take it when nothing else is helping my level of anxiety go down.",0,131,2
"Diazepam","Sklawz","September 23, 2019","Taken for 5 to 10 years","Best treatment for panic attacks out there in a time tested medication.  Recently been found to be closest to body's natural neurotransmitters compared to other benzos. You can get addicted to any drug. I've tried many antidepressants. Bad side effects.  Terrible side effects.  Look at risperdal. If I have a headache I take some tylenol or motrin and 9 time out of 10 my headache goes away. I can take an drug that they tell me might take 2 weeks or longer to start working. Maybe. If I'm having a panic attack I can't wait 2 weeks. I need something that works quickly. And if I have a seizure I don't wanna wait weeks for that either. I consider this drug like my insulin. I was diagnosed with severe anxiety disorder among other  things and I have taken seizures before. Valium works best for me. 5mg in the morning and I am productive and fine for 8 to 10 hours.  This medication has been a lifesaver for me for a long time. I do not believe it deserves the bad reputation it has for being SO addictive.",10,48,2
"Diazepam","Annie boo","September 15, 2019","Taken for less than 1 month","My gp reluctantly prescribed me 2mg diazepam to help with heightened anxiety due to starting sertraline 50mg. The side effects from sertraline were horrendous and still are at times. I have bad days and suffer the anxiety, sweating. Shaking panic then i think to myself why am I doing this to myself? My gp has told me they are very addictive and after this course of 14 he will not give me anymore. They relax me and help the anxiety while waiting for sertraline to kick in which I have been on 2 half weeks. I'm so scared to be without. I've even searched the Internet to buy them myself.. I only take half of 2mg or full one when needed. Gp should be more sympathetic.",9,37,2
"Diazepam","Pleasebecareful","September 14, 2019","Taken for 6 months to 1 year","<b>Valium (diazepam):</b>			 Valium is a great anti-anxiety medication, but please be aware and take the medication very sparingly, like if you are going out or driving or going to a gig ONE TIME. Whatever you do, DON'T take these pre-emptively and NEVER EVER take these daily. 2.5mg of Valium for once-off anxiety is great. Use it no more than ONE time for ONE month, and you should be fine. I recommend not using Valium for more than two days in a row, otherwise you will get addicted, and Valium is a nightmare to get off of if you are addicted. You will need to slow taper off of it if you have been taking this long-term, and this can take months or years. Check out Benzo Buddies for the horror stories. Don't drink any alcohol whilst taking this either, as both substances potentiate each other, making both stronger. Please, please be careful.",0,45,2
"Diazepam","BS1976","August 26, 2019","Taken for 1 to 2 years","<b>Valium (diazepam):</b>			 After taking Xanax off and on for years, I developed a problem with it making me more anxious when it wore off, like a lot of heart palpitations, sweating, fear. I was switched over to Valium 6mg for two years and then advised to withdraw to see how I went. I’ve spent the last six months tapering and been off for 7 weeks and I’m miserable. I have returned PTSD and depression. So, I guess I didn’t go well and am going to reinstate 2mg a day to get my life back. When I take it I have no side effects and feel alive. I didn’t hit tolerance before. I say yes to Valium if you need it to feel normal and don’t abuse.",0,79,2
