"Drug","User","Date","Period","Review","Score","Likes","Page"
"Doxepin","Marcie","February 19, 2020","-","Just started on this. I hope it works. I am struggling.",10,6,1
"Doxepin","QBaBoy","January 25, 2020","-","Today is day one- Took my first dose of Doxepin 25 mg last night. Woke up feeling very very depressed and VERY angry. I am ready to punch someone in the face and I haven’t even left my house yet today. I was just taking this for insomnia, but I am stopping this medication and calling my doctor because I can’t be cursing people out or punching them or being  angry for no reason. I screamed at and hung up on my boyfriend about an hour ago when he didn’t even do anything at all except interrupt me to remind me of something. Thank goodness he is understanding about what is going on and isn’t upset. Not to mention my thoughts are clustered and I only slept for 4 hours last night. So no, this stuff did not help me at all. It really messed me up. I’d rate this medication a NEGATIVE 10 if that were possible, but unfortunately this website makes me she was between 1 and 10 only, so I was forced to choose 1.",1,2,1
"Doxepin","bobby","December 31, 2019","-","<b>Sinequan (doxepin):</b>			 Sinequan didn't help my anxiety at all I had a horrible experience with it in general on 25 mg I believe tightness in my chest and I got light headed. Don't take this med",0,6,1
"Doxepin","Diana","November 11, 2019","Taken for less than 1 month","A dermatologist put me on Doxepin because she thought my skin problems might be caused by anxiety. I took it at night; when I got up in the morning, I was so dizzy I had to hold on to walls and furniture to keep from falling! I felt kind of drunk all day; not good for people who have a job and/or other responsibilities. Oh well, my dermatological problems weren't caused by anxiety anyway. I gave this drug a 3 rating because it seems like it would be effective as a sleep aid and to reduce anxiety.",3,4,1
"Doxepin","Anon05","November 2, 2019","Taken for less than 1 month","Been on doxepin 10mg for insomnia and anxiety attacks. In only three days it has changed my quality of life for the better. I take it at 9pm, and I’m asleep by 10:30 or 11pm the latest. I sleep all night. I do feel a little groggy in the morning but it goes away after an hour of moving around. It keeps me centered and functional throughout the day. No anxiety, or panic. It has relieved my palpitations too. A bit of a dry mouth but my pharmacist suggested I drink water or suck on ice cubes. It relieves the dry mouth. I was put on sertraline 50mg and buspirone before this and that combo totally messed me up. They caused me mild serotonin syndrome (rapid heart rate and high blood pressure). I’m so glad my doctor put me on doxepin. It has helped so much! I will not touch sertraline or buspirone ever again.",9,17,1
"Doxepin","BrianB","June 8, 2019","Taken for 6 months to 1 year","This drug doxepin has definitely decreased my anxiety and panic attacks. After years of trying nearly every drug out there, I've finally found one that works well (for me). The one downside I have with this drug is the grogginess in the mornings. However, I've been running in the morning to help ease the grogginess and it certainly helps.",8,15,1
"Doxepin","pcworkman","June 7, 2019","Taken for less than 1 month","Was on Doxepin many years ago, and did not have one anxiety attack or panic attack at night, when they mostly happened.  Then I went off it. Today, I am back on it, 25 mg at night.  I do not know why my doctor took me off it.  I am now back on it, so here's hoping.  Will let you know how things go.",10,10,1
"Doxepin","cyncyn","May 22, 2019","Taken for less than 1 month","I am just starting doxepin and so far anxiety is higher hoping it lessens. Will reevaluate in 2 weeks.",5,6,1
"Doxepin","Twiggy","May 7, 2019","Taken for 1 to 6 months","I started doxepin for GAD eight weeks ago started on 50 mg and it took away all anxiety, and I felt like the old me. Now last two days I have all the bad thoughts and anxiety again.  Going to try to go up in dosage praying this helps...",9,11,1
"Doxepin","Anonymous","April 16, 2019","Taken for less than 1 month","I started on doxepin 75 mg 15 days ago. I have notice a decrease in my anxiety, excitableness, and obsessive thinking and thoughts.  I use to have a problem sleeping. Not anymore!! I am asleep in about 20 min and I stay asleep. I use to be such a light sleeper, and never got more than 5 hours of sleep. I use to take Gabapentin for nerve pain. However, I haven’t needed it since taking Doxepin. I noticed it also takes my appetite away.  Now for the horrible side effects.....I have to force myself up. It takes me a few hours to fully be awake. I was in a horrible brain fog for the first 10 days. The first four days I felt like I had the flu. Now I am still dealing with the tiredness. I don’t want to stop it. However, I will if the tiredness doesn’t subside. I am glad I have had no headaches on the medicine, as other meds have given me.",8,18,1
"Doxepin","Bb","October 7, 2018","Taken for less than 1 month","I took this for anxiety and slept great, but the next day I kept having blood pressure drops and passed out while driving and had to call into work for the next two days to recover I was passing out from blood pressure drops over and over and having random anxiety attacks over and over for 24 hours. It was so so so horrible. I've never had blood pressure issues or passed out or anxiety to that level until I took this.",1,11,1
"Doxepin","Ht1990","August 10, 2018","Taken for less than 1 month","I started 10mg about 3 weeks ago for anxiety. It works but makes me extremely tired! I have two little ones at home and can't function well on it. I suggest taking it at home first to see how you feel. I don't drive when I take it especially with my children.",6,10,1
"Doxepin","Mary","April 27, 2018","Taken for 1 to 6 months","I’ve been struggling with PTSD for well over 10 years. Incapacitating anxiety, insomnia, depression. I could no longer function at all. I’ve tried everything! Nothing worked unless it made it worse and gave me extremely bad side effects. It was so excruciating that I really wanted to throw in the towel. I started Doxepin about 6 or weeks ago. Then suddenly the intensity of my disorder severely decreased. Almost overnight and has continued to without any dips in its time. I’m absolutely stunned! I’m still on the low starting dose too. I’m overjoyed by relief. I’ve become myself again. I can actively participate in daily activities like showering, leaving my house, answering the phone, basic things that people take for granted. Before, I was totally immobilized. I hope this continues",10,39,1
