"Drug","User","Date","Period","Review","Score","Likes","Page"
"Escitalopram","That Shadow","June 9, 2020","-","I was prescribed this medicine for anxiety. I always worry about something and recently got troubles sleeping. I took 1 pill escitalopram 10 mg today and started to feel awful. I lost the ability to enjoy anything, I don't want to do anything, cannot get comfortable and all this makes me anxious. Now I realize that I didn't have depression before. I felt much better. No need to say that I cannot sleep in this state. I certainly won't be able to tolerate this for weeks. I'm not taking it.",1,1,1
"Escitalopram","Em","June 6, 2020","-","I started this medication escitalopram on 10mg. It actually worked ok at first. After a couple months it didn’t seem to work for me anymore so I asked my doctor to increase my dosage. He took me to 15mg for a bit then 20mg. I stayed on 20 mg for a few weeks and started having endless energy and insomnia. I began having terrible restless leg syndrome and mania. I decided to taper myself off without talking to my doctor. I went down to 10mg then 5mg. I went back to my dr to tell him everything and he told me to stay on 5mg. After a few more weeks I went off it. I started having other symptoms being off it so my family told me to go back on it. A few days later I had immense energy, where I felt on top of the world and not in a good way. I believe I was experiencing extreme mania. After days of this I had a horrible anxiety attack. I stopped the medication immediately and called my doctor. All the back and forth may have led me to the severe anxiety attack/ nervous breakdown.",1,8,1
"Escitalopram","Nks","June 4, 2020","-","<b>Lexapro (escitalopram):</b>			 I took Lexapro 2 times over my 21 years of life.  1. 13 y.o. HORRIBLE panic attacks, despersonalization, couldn't breathe, couldn't walk and thinking I'm going to die. Started to take Lexapro. No side effects and it helped me a lot. Took it for 1 year and I started to change my lifestyle to have little to none stress. 2. 19 y.o. Stress came back and so did the anxiety. No panic attacks tho. Begun to take the med, started to enjoy things again. Had side effects this time. Gained 30 pounds over 8 months! Had EXTREME loss of libido. After one year and a half, I really can't say it did more good than bad this last time. I've been off it for 2 months now. I have insomnia and struggle to lose weight. I'm eating healthy on a C.D, exercising 6/w and yet I hardly lose any weight. I still have really dark thoughts when I go to sleep and overthinking are still there.  So I have mixed thoughts about this medication. First time it helped, years later it came back and it did little to nothing.",0,7,1
"Escitalopram","Wallaby","June 4, 2020","Taken for 1 to 6 months","<b>Lexapro (escitalopram):</b>			 Lexapro changed my life for the better.  My severe depression and anxiety are under control and don't bother me now. The first week was hard but the benefits have been absolutely incredible for me.",0,17,1
"Escitalopram","Daisy","June 2, 2020","Taken for less than 1 month","I started to take escitalopram today and I did feel the side effects like nauseas and drowsiness but beside that I feel like I’m choking on my tongue whenever I yawn or when eating. I'm not sure if is a side effect or if I’m really choking on my tongue. Couldn’t find any related side effect symptoms of choking with this medicine on the internet.",0,4,1
"Escitalopram","Indie","May 31, 2020","Taken for 1 to 6 months","<b>Lexapro (escitalopram):</b>			 I was unsure whether or not this medication Lexapro was working because I was still having bad days and anxiety daily however I let myself run out somehow and ended up being off them for a week, oh boy did I notice it. I was having outbursts that I hadn’t had to that severity in months. I think my dosage potentially needs tweaking but I am doing so much better on this than I was on mirtazapine or fluoxetine. My side effects were minimal - nausea on and off and some insomnia",0,6,1
"Escitalopram","Alborg","May 29, 2020","-","Have suffered symptoms of depression and anxiety for the last 22 years just limping along in life .  Have had a lot of stressors in the last two years including a long term relationship breakup and moving to a new country.  Realizing I was getting worse in my new life and they were affecting my ability to work (insomnia), I visited the doctor and was prescribed 5mg for 1 week then 10mg after.  First day felt my symptoms were worse, then felt jittery for a week or two, but after 2 weeks I could sense subtle improvements.  So far my top 4 symptoms of insomnia, dissociation, emotional flatness and irritability/edginess have improved to the point where I don't notice them anymore.  I'm more relaxed and more myself.  It's not a magic pill and I don't expect it to be but the subtle improvements have had snowball affect improving other areas of my life eg. relationships, work etc.   I expect to be on them for at least 2 years should my improvement continue.",0,6,1
"Escitalopram","Carla","May 27, 2020","Taken for less than 1 month","After battling MAJOR depression and anxiety for about 4 years I finally decided to call someone about getting help. I've been on this for 5 days now the 3rd day in a felt like total rubbish. The fourth day was okay and now. One thing i noticed is my sex drive is total gone. I'm a female and I can no longer orgasm which people experience but I think that is total abnormal and I'm not okay with that. As for my depression and anxiety I haven't noticed a difference yet, good luck to everyone taking jt",5,2,1
"Escitalopram","Doodlebug","May 27, 2020","Taken for 1 to 6 months","<b>Lexapro (escitalopram):</b>			 So I’ve been on this Lexapro for almost a couple months and I’ve been trying to stick it out and see where it gets me I started taking whole pills which was and is terrible the side effects suck so I started taking a half in the morning and a half at evening time I felt like I was finally getting somewhere and my moods were getting better but I keep having what seems like more attacks and for a few days now I’ve just been not myself, dizzy, brain fog, frequent urination, fatigue &amp; it’s so hard to get out of bed in the mornings even when I get plenty of sleep And my sex drive has drastically went down to almost nothing and it’s horrible to where I would rather just deal with attacks and take a Xanax everyday rather than deal with the side effects of this medication. Will be calling my doctor and weaning off it. I want my life back. For all of you that it has worked for I’m happy it worked for you unfortunately everyone’s bodies don’t take things as well as others.",0,13,1
"Escitalopram","KRAZYTRUKER","April 30, 2020","Taken for 1 to 6 months","<b>Lexapro (escitalopram):</b>			 About 3 weeks in. I was on Sertraline for months prior. I maxed out on it. I was given a second med to go with the Lexapro the other day. I have anxiety and PTSD issues it seems. I still have issues but am working through them. The meds do help but my night sweats are still prevalent nightly.",0,11,1
