"Drug","User","Date","Period","Review","Score","Likes","Page"
"Hydroxyzine","NatS","June 10, 2020","Taken for 2 to 5 years","<b>Vistaril (hydroxyzine):</b>			 I’ve been taking Vistaril for anxiety on and off for years. More consistently for the past two years, it truly does help with anxiety, and is far safer than Benzo’s. I got hooked on benzos and had to withdrawal over a year- that was fun (insert sarcasm). The only negative I can list for Vistaril, is that the day after I take a Vistaril (I only take PRN) I’m in the worst mood. I even tell my husband, I had a vistaril yesterday, so leave me be. (32y/o female).  You’re not alone. :) God bless.",0,4,1
"Hydroxyzine","Ptsd","May 27, 2020","Taken for 1 to 6 months","I suffer from  from a Traumatic brain injury. This medicine hydroxycine  has really helped me in so many ways I can describe.  I would definitely recommend giving it a try. So glad I could find something that’s not Benzo related and works because those others meds out there are a nightmare to get off.  This you only take it if you need it.",10,2,1
"Hydroxyzine","Stephie","May 27, 2020","Taken for less than 1 month","I was prescribed hydroxyzine to take as needed for anxiety. I took it once and it did not work at all. It didn't make me feel sleepy at all and it didn't help my anxiety, it made my anxiety a thousand times worse and I had a panic attack that lasted about 3 hours and I would not calm down. It didn't help me cope, it cancelled out my ability to cope",1,0,1
"Hydroxyzine","Ian","May 25, 2020","Taken for less than 1 month","Hydroxyzine is Vile.  I’ve been suffering from severe allergies to my emgality injections so am trying to find a safe effective medicine for rashes and pain.  I took a 25mg capsule and felt ok for 4 hrs after. Just tired.  By the 6th hour my face, chest and neck were beet red. Breathing was labored all into the night. Felt just like a Zyrtec overdose.  24 hrs later it seems to be out of my system.",1,1,1
"Hydroxyzine","Insomniac","May 25, 2020","Taken for less than 1 month","I have had insomnia for the past 14 months. I have been to two sleep specialist. I have tried all kinds of drugs and I also I tried CBTI and meditation.  I am 70 years old. Just  last week my sleep doctor finally prescribed this  hydroxyzine for me. I take 10 mg at bedtime – literally at bedtime, It works within 15 to 20 minutes.I cannot believe the difference it has made. I sleep through the night, prior to this if I slept at all I had at most six hours. I could easily sleep eight hours now. I wake up feeling very good. I’m taking nothing else with it. It’s not been quite a week yet, and I hope to continue this fabulous response. I had never heard of it before this, but I would suggest if you have problems with sleep and you might ask your doctors to let you try it.  From my reading there are no long-term side effects, and no withdrawal symptoms. It is so much better than taking diazepam or Ambien.",10,3,1
"Hydroxyzine","Anonymous","May 5, 2020","Taken for less than 1 month","<b>Atarax (hydroxyzine):</b>			 Was prescribed 10mg Atarax tablets with directions to take 1-2 as every 6 hours as needed for anxiety and panic attacks. Taking 1 pill did nothing, so I took 2 the next time I felt anxiety creeping in. It made me very tired and dizzy, then sent me into a panic attack. I am better off not taking this medication when I feel anxiety coming on because it usually does not develop into a panic attack, let alone as worse as this one got.",0,9,1
"Hydroxyzine","Jake","May 2, 2020","Taken for 1 to 6 months","I been on hydroxyzine 50mg for about a month now wicked dreams good and bad lol. But that's normal for an antihistamine. My lexapro gave me a huge panic attack hydroxyzine 50mg did nothing 100mg took edge off. I'm still taking it with clonidine idk which one is working better but I know if I'm having a moment I'll take 100 mg it seems to do ok . Idk I just been feeling weird and haven't been sleeping well. My pcp labeled me as an addict so I cant get what really works (benzos,) anyway it helps enough to get me by until i see a psych doctor.",5,10,1
"Hydroxyzine","Stylist1","May 2, 2020","Taken for less than 1 month","I was prescribed hydroxyzine 50 mg  to sleep. I took only half, and I had the worst night of my life. I woke up with a sharp pain in my lungs. Since then, I have shortness of breath, which ended up in Costochondritis.",1,7,1
"Hydroxyzine","CurlyHurly","April 25, 2020","Taken for 1 to 6 months","<b>Atarax (hydroxyzine):</b>			 I was taking Atarax before going to sleep 5 years ago and taking sertraline (in the morning).  Then  one day I got mixed up took Atarax instead of sertraline (they look a like) I was ready to go to sleep in the middle of the mall. This drug made me very sluggish and just straight up sleepy. Wouldn't recommend operating while on it.",0,6,1
"Hydroxyzine","lennon","April 20, 2020","Taken for 2 to 5 years","<b>Atarax (hydroxyzine):</b>			 Take when having a particularly anxious day. Makes me feel drowsy and relaxed. This medication does a good job of easing intrusive thoughts correlated with OCD when I’m having a hard day.",0,23,1
"Hydroxyzine","Dandi","April 10, 2020","Taken for less than 1 month","<b>Atarax (hydroxyzine):</b>			 This medicine Atarax is useless for anxiety. All it did was dry me out. I have Sjögren’s syndrome and this is not a medication to be taken if you already have that immune system disorder.",0,6,1
"Hydroxyzine","Laura","February 29, 2020","Taken for less than 1 month","Been taking  hydroxyzine 25 mg 3x a day for a few days and it’s just making me tired. Trying to give it a chance to get better but probably will be asking my doctor to try something different next visit",2,12,1
"Hydroxyzine","Readergirl3","February 28, 2020","Taken for 1 to 6 months","I have been suffering from severe anxiety attacks Since last February I believe caused by my stressful job as the line cashier in a very busy retail/discount store.  Dizziness followed by projectile vomiting for several hours.   At first I thought this Med was working but now I think it makes me even more dizzy and anxious. I have also not been able to lose the 10 lbs I have been trying to lose although reduced my calories down to 1350/day and exercising daily.   This is my fifth day not taking the Visteril at all and I am much more clear headed.   Anxiety is such an awful thing to have. I wouldn’t wish it on my worst enemy. I ended up quitting said job and have now been off work for two months. I am close to retirement anyway and just trying to take care of myself.  Especially my mental health.",4,19,1
"Hydroxyzine","anxious annie","February 28, 2020","-","<b>Vistaril (hydroxyzine):</b>			 my dr prescribed me this  Vistaril and I hate it. Does absolutely nothing for panic attacks. It didn’t even make me drowsy like Benadryl does. I upped the dose and nothing happened. Pretty pointless medication",0,19,1
"Hydroxyzine","LoonyKlepto","February 27, 2020","Taken for 1 to 6 months","Doesnt work for my anxiety. I still feel completely anxious when I go to class, and completely alert and aware as if I hadn't taken any prescription. I take three 25mg tablets in the morning before class and nothing. Only the first time did I feel better and less anxious.",4,6,1
"Hydroxyzine","Milmil4248","February 24, 2020","Taken for 1 to 6 months","Was prescribed hydroxyzine as an alternative to Xanax for anxiety. In my experience it doesn’t help with an anxiety attack that’s already in progress, however it does help with stopping that on the edge feeling that anxiety gives especially at night (were my anxiety is the highest). However prepare to be very tired and wanting to sleep, I haven’t had any dreams or anything similar that others have referenced. It also really does help with allergies and especially Itchiness that I get when at the gym.",8,16,1
"Hydroxyzine","Tranquilthought","February 21, 2020","Taken for less than 1 month","<b>Vistaril (hydroxyzine):</b>			 I have suffered extreme anxiety, panic disorder, and PTSD. I've been using this for over a week now (Prescribed at up to 100mg a day as needed but the highest dose I've taken has been 75mg). Just messing around with dosage to figure it out.  This has been my saving grace for the time I've been in it. I'm glad it's not a benzo as I had a hard time coming off of it.  With Vistril my panic attacks are fewer now in the week that I've been taking it. I do recommend this medication because I believe it fully works for anxiety. At least for mine :-)",0,41,1
"Hydroxyzine","CherOT","February 20, 2020","Taken for less than 1 month","I took very low dose hydroxyzine for anxiety before bed twice.  It sedated me so much. But, I woke up with tension, anxiety and rebound adrenaline rush all day. Ended up in ER 1st morning after not realizing it was effects from the drug. Be careful, everyone reacts different.",3,19,1
"Hydroxyzine","TD","February 18, 2020","Taken for 1 to 6 months","I’ve been taking Hydroxyzine for approximately 3 months now.  The doctor started me out on  50 mg 3 times a day.  After taking it for a month it did absolutely nothing for me.  Over the next several weeks I’ve slowly up the dosage.  I so badly wanted it to work!  If anything it’s made mean more anxious.  I’m not sleeping.",1,7,1
"Hydroxyzine","QueenB","February 17, 2020","-","I been on this for about a week now my anxieties get the best of me at nite and it makes me sleep good and it does help me relax. Its been the best for me so fair hope it keeps it up .",8,17,1
"Hydroxyzine","MissLeopard83","February 11, 2020","Taken for 1 to 6 months","When I went inpatient for mood swings, suicidal ideations, and anxiety attacks, the doctor prescribed this to help with anxiety so I didn't rely on benzodiazepines (Ativan).  At first, it seemed to help, but not as well as the Ativan.  After a few weeks, I needed a higher dose for it to work again, and then again, it had to be raised.  I eventually went up to 100mg from 25mg because it was ineffective.  I stopped it because I was gaining weight like crazy (side effect) and it wasn't working.",5,6,1
"Hydroxyzine","Dalis","February 4, 2020","Taken for less than 1 month","I have been on this medication for 2 weeks and so far so good.  I am 37 years old and I have never suffered from anxiety/ stress that I know of until the last couple of months. My job had me on 55 hours  week, for 8 months straight and I was constantly crying, dreaming about my job, and waking up out my sleep thinking about work! It has been awful. I literally checked myself into ER cause I didn't know what was wrong with me. I was put on some other medications but they put me in a zombie like state and I am a wife and mother so that was not going to work. So my doctor put me on this medication so I can stop my mind from racing and get some sleep.  Before that for 30 days straight I typically only had 2-3hours of sleep and now on prozac for the last 1.5 weeks I get 8-9 hours of sleep and I don't think about nothing - my mind is blank. Between this medication and the intermediate FMLA  (Family and Medical Leave) I am in a better place mentally",8,15,1
"Hydroxyzine","ddhernandy","January 31, 2020","Taken for 1 to 6 months","<b>Vistaril (hydroxyzine):</b>			 I’m on 100mg of vistaril for anxiety and it doesn’t work for me. it used to help with sleep now has more a placebo effect. s. o. s.",0,12,1
