"Drug","User","Date","Period","Review","Score","Likes","Page"
"Lamotrigine","Kate","June 4, 2020","-","I never review meds but I feel like I’m doing a disservice but not sharing. SO PLEASE READ! I was prescribed lamotrigine at my lowest point. I was struggling with anxiety, panic attacks, depression and PMMD. I was facing constant intrusive thoughts about death and sadness. I came home from the doctors after being prescribed and read these reviews and bawled my eyes out. I was so afraid of taking this medication. Yet, I needed something to help ASAP.  I have now been taking lamotrigine for 3 months and my anxiety is much lower, my emotions are not out of control before my period and I have more peace of mind.  I don’t have any bad side affects. My biggest recommendation is to start with a low dose (50mg) and after two weeks (100mg). I feel like taking more than this ups your chance of having a bad reaction. We are all different so there is no guarantee. Just know that this website is usual used if you have had a relatively bad experience so take that into consideration.",10,6,1
"Lamotrigine","Anonymous","May 11, 2020","Taken for less than 1 month","My anxiety is severe where I experience nerve pain. I was prescribed to the medication lamotrigine from my psychiatrist 2 months ago but, I was scared to take it. I recently got over the fear of taking this medication and started it 8 days ago - I feel no difference, just feel more anxious and jittery. No problems in sleep but, I would wake up feeling super jittery from chest to legs. Will continue to take it and see how it goes in the next few weeks",4,4,1
"Lamotrigine","Meli","May 4, 2020","-","I had tried lamictal about a year ago for anxiety and depression, and worked my way up to 100mg dosage. Mostly I noticed that I would get very emotional while on this medication, to the point that it was completely overwhelming and uncontrollable.     My first two days on the medication, I felt good. But I started having very violent and vivid nightmares and insomnia. I would have a panic attacks daily. I experienced some uncontrollable tremors and shaking over my whole body for hours. I felt very sick, and nauseous. Recently I’ve noticed I had strong impulsive thoughts, which triggered panic attacks and just left me unable to function.    At this point I feel like I’m not able to function in my daily life. I have had to take clonazepam multiple times daily since I’ve been on this medication when I had gone over two months without taking any.",1,6,1
"Lamotrigine","Gypsy G","March 22, 2020","Taken for less than 1 month","I have started lamictal and have been taking for approximately 3 weeks. It has got me out of bed and given me life again. I was prescribed this by a psychiatrist. I was depressed.",10,13,1
"Lamotrigine","Trinak","February 8, 2020","Taken for less than 1 month","Lexapro worked for years then stopped. Tried multiple other meds without success. Dr though we’d try lam as a mood stabilizer. First 2 days I felt a weird   disconnected  feeling but that left. I had internal tremor in the mornings which lasted till noon followed by a mild mania/ restlessness in afternoon. I was definitely cognitively sharper. By evening I would feel a bit of a crash/ low.  But then it started to cause nightmares for me, waking multiple times at night in panic and sweating (I have prior trauma). So too sum things up, tremor, mania and nightmares were not doing my anxiety and depression any good. I slowly reduced and stopped this med as it wasn’t right for me.",2,6,1
"Lamotrigine","Sel","February 7, 2020","Taken for 1 to 6 months","Have only been on this drug for a month or so, but I've been extremely dissociated and slow, and my relation to time has gotten much, much worse. It was prescribed to help me sleep, which it has not done at all, I find it actually keeps me up longer.",1,7,1
"Lamotrigine","caro","February 3, 2020","-","Lamictal completely changed my life. Before I started it, I'd have bursts of anger due to pent up anxiety over the nit-pickiest things. I thought I was just a jerk and didn't understand why. Quickly after I started taking Lamictal (250mg for anxiety) I noticed a huge difference. I felt relaxed for once. Not euphoric, or like a different person, just... Normal! Calm, collected, but still sharp. Lamictal was like a valve that drained my anger out when I was just about full of rage. I personally haven't noticed many side effects, at least none that I don't already have from SSRIs. Loss of coordination is a big one and I only get tremors if I haven't eaten but that might just be low blood sugar. In conclusion, being someone who suffers from chronic general anxiety disorder and major depressive disorder, I can definitely see Lamictal being an effective long term medication. Works great for me.",10,25,1
"Lamotrigine","naibaf","January 9, 2020","Taken for 1 to 6 months","lamotrigine didn't work for me and my anxiety. I've been on 300mg  dose for 3 months but there was no improvement neither in my anxiety nor in my depression symptoms. At least I had no significant side effects either.",1,3,1
"Lamotrigine","laedybird","November 21, 2019","Taken for less than 1 month","I just started taking Lamictal about 2 weeks ago. I have severe anxiety disorder. I was prescribed this medication to help as a mood stabilizer. As far as that goes it has helped quiet my mind but I have noticed it gives me anxiety attacks mostly after I eat and fluttering in my heart when I lay down at night as well as shaky vision at times.I am supposed to move up to 100 mg this coming week as I started 2 weeks ago on 50 mg.It has helped stabilizer my thought but I still have bad anxiety on it so I am not sure if I will stick with it or not.I hope this helps someone.",5,19,1
"Lamotrigine","goodhands","November 11, 2019","Taken for 1 to 6 months","Have been suffering from anxiety, panic and bipolar depression for 20+ years. Have been on every cocktail imaginable and was my best on Klonopin, Remeron and Zyprexa. Zyprexa caused me to gain 60 lbs over 4 years and made my blood sugar crazy. Trying to come off was really awful, I dropped from 10mg to 5mg to 2.5 to 1.25 for months. After several failed attempts trying to cross with Latuda, Abilify and Seroquel, my doctor prescribed Lamictal and it's changed my life completely. My depression is all but gone, my moods are better, anxiety is lower and I've been Zyprexa free for 2 months and lost 19 lbs. I am currently at 50 mg and our goal dosage is 100mg. Took a few days to kick in and getting better by the day. Finally getting my life back!!!!!",10,29,1
