"Drug","User","Date","Period","Review","Score","Likes","Page"
"Lexapro","Nks","June 4, 2020","-","I took Lexapro 2 times over my 21 years of life.  1. 13 y.o. HORRIBLE panic attacks, despersonalization, couldn't breathe, couldn't walk and thinking I'm going to die. Started to take Lexapro. No side effects and it helped me a lot. Took it for 1 year and I started to change my lifestyle to have little to none stress. 2. 19 y.o. Stress came back and so did the anxiety. No panic attacks tho. Begun to take the med, started to enjoy things again. Had side effects this time. Gained 30 pounds over 8 months! Had EXTREME loss of libido. After one year and a half, I really can't say it did more good than bad this last time. I've been off it for 2 months now. I have insomnia and struggle to lose weight. I'm eating healthy on a C.D, exercising 6/w and yet I hardly lose any weight. I still have really dark thoughts when I go to sleep and overthinking are still there.  So I have mixed thoughts about this medication. First time it helped, years later it came back and it did little to nothing.",7,7,1
"Lexapro","Wallaby","June 4, 2020","Taken for 1 to 6 months","Lexapro changed my life for the better.  My severe depression and anxiety are under control and don't bother me now. The first week was hard but the benefits have been absolutely incredible for me.",10,17,1
"Lexapro","Indie","May 31, 2020","Taken for 1 to 6 months","I was unsure whether or not this medication Lexapro was working because I was still having bad days and anxiety daily however I let myself run out somehow and ended up being off them for a week, oh boy did I notice it. I was having outbursts that I hadn’t had to that severity in months. I think my dosage potentially needs tweaking but I am doing so much better on this than I was on mirtazapine or fluoxetine. My side effects were minimal - nausea on and off and some insomnia",8,6,1
"Lexapro","Doodlebug","May 27, 2020","Taken for 1 to 6 months","So I’ve been on this Lexapro for almost a couple months and I’ve been trying to stick it out and see where it gets me I started taking whole pills which was and is terrible the side effects suck so I started taking a half in the morning and a half at evening time I felt like I was finally getting somewhere and my moods were getting better but I keep having what seems like more attacks and for a few days now I’ve just been not myself, dizzy, brain fog, frequent urination, fatigue &amp; it’s so hard to get out of bed in the mornings even when I get plenty of sleep And my sex drive has drastically went down to almost nothing and it’s horrible to where I would rather just deal with attacks and take a Xanax everyday rather than deal with the side effects of this medication. Will be calling my doctor and weaning off it. I want my life back. For all of you that it has worked for I’m happy it worked for you unfortunately everyone’s bodies don’t take things as well as others.",2,13,1
"Lexapro","KRAZYTRUKER","April 30, 2020","Taken for 1 to 6 months","About 3 weeks in. I was on Sertraline for months prior. I maxed out on it. I was given a second med to go with the Lexapro the other day. I have anxiety and PTSD issues it seems. I still have issues but am working through them. The meds do help but my night sweats are still prevalent nightly.",8,11,1
"Lexapro","Heck","February 29, 2020","-","I had issues with random fainting and severe vertigo. Drs couldn't find anything wrong and my anxiety was intense from these which led them to believe it must be panic attacks. First week low dose felt really messed up but I was encouraged to keep it up.  Then one day I suddenly dropped into paralysis and felt a fear I that I didn't know I was capable of feeling. I've been bad before many times and never felt this kind of fear. It felt like my organs were shutting down. I couldn't scream. I couldn't breathe. I was deaf and blind, while sweat poured off me. Everything was paralyzed.     It lasted a few minutes and I hyperventilated when it finally stopped as I had been unable to breathe that whole time.  The Dr told me it was a panic attack and to keep taking them. I said I couldn't and he said it's just a placebo anyways. He didn't believe my reaction and became angry with me. Because of this I now have a huge fear of SSRIs and distrust in the medical system.",1,43,1
"Lexapro","Freedom","February 23, 2020","Taken for 2 to 5 years","Lexapro saved my life. Prior to starting the medication, my anxiety was severe. I couldn't leave the house and get into a car without a full blown panic attack-- sobbing, nausea, the works. Therapy wasn't cutting it, and neither was meditation or any of the suggestions people threw at me.  The first week of Lexapro, the nausea was very intense. But I could feel it changing my brain, and it was such a weird yet hopeful feeling.  For three years, I had my life back. I was able to travel and enjoy taking risks without crippling anxiety. At the three year mark, my Lexapro stopped working. I haven't found a resolution yet, but I hope I can find another alternative that will help me feel the way I have these past few years.",9,83,1
"Lexapro","Gail","February 13, 2020","-","I started on  Lexapro in November on 10 mg dose. Then January  moved up to 15mg, and I am now  at 20mg dose. I feel and always felt horrid.  Diarrhea and achy and nausea. The docs say each time that I increase the dose I should give it time  and that the side effects will get better. I don’t know what to do. Help me  anyone have these side effects and do they go away.",0,34,1
"Lexapro","Anonymous","February 12, 2020","Taken for 2 to 5 years","Lexapro just did not work for me. Took it for three years and it did nothing to help my anxiety and depression - I  still had anxiety attacks and I got angry to the point of breaking things. I cried a lot. Had diarrhea a lot too. Finally switched to Effexor and it’s been 100 times better. Everyone’s bodies react differently but lexapro just wasn’t for me.",1,22,1
"Lexapro","Mulls","February 12, 2020","Taken for 1 to 6 months","Been on lexepro for 6 weeks now no side effects but a little bit of a runny nose otherwise nothing been noticing a little bit of relief from anxiety slowly but surely can't wait for week 8 but otherwise it's been good",8,23,1
