"Drug","User","Date","Period","Review","Score","Likes","Page"
"Mirtazapine","Jasmine","June 2, 2020","Taken for 1 to 6 months","I switched from being on Sertraline (Zoloft) for 4 years to Mirtazapine because sertraline caused a stomach ulcer. It was hard to get used to Mirtazapine as I felt dizzy and very tired for almost 2 weeks. I slept 12-14 hours a day, and even more over the weekend.  I've always struggled with sleeping too little, this only got a little bit better over time and therefore I decided to stop as there was little left of the day. Also, I was constantly hungry, particularly for chocolate, and gained probably about 2 kilos over 6 weeks' time.",3,5,1
"Mirtazapine","Laurenjade08","May 24, 2020","Taken for 1 to 6 months","I was given this drug for stomach pain that was attributed to anxiety. This drug is awful, easy to take but hard to get off. I took it for 3 months, gained 24lbs, and was so angry I couldn’t cope and peppermint oil sorted the stomach issue out. I’ve now been tapering a year and only at 10.8mg, avoid at all costs. Find Facebook group remeron should be illegal if you need help.",1,4,1
"Mirtazapine","debdob","May 22, 2020","Taken for 6 months to 1 year","This is a very good antidepressant. it worked for severe anxiety within 3 days initially. Sertraline took a few weeks, Mirtazapine was instant. No side effects except a bit more hunger but only in the few hours after you take it, so take it at night.",9,10,1
"Mirtazapine","Mat","May 2, 2020","Taken for less than 1 month","I took 15mg mirtazapine after dinner 7.50pm...fell asleep by 9pm and tried getting up at 5am as I had an early start. I couldn’t even sit upright I was so drowsy with it, so collapsed on the sofa and checked my watch which showed a heart rate in the early 30’s ! It’s like a sedative .  It’s now 24hrs later and I have more or less slept all day and still feel zoned out but recovering.  Maybe my body needed the rest, but I won’t be taking the rest of the 10 day course the doc gave me.",1,8,1
"Mirtazapine","Yeet66","April 30, 2020","Taken for 1 to 6 months","I’ve been on this for about 3 months and I honestly don’t feel any better or any improvements..",2,8,1
"Mirtazapine","Cassidy98","April 1, 2020","Taken for 1 to 6 months","I have been on this medication mertazapine 30mg dose for 3 months now and it is not helping in any way my depression and anxiety. I struggle with an eating disorder and this is primarily why I was given this medication from outpatient. It is only worsening my ED . I am putting on a lot of weight and it is really effecting me because it is encouraging me to not want to eat . And even when I don’t eat a lot I still put on a lot of weight because of this medication. My depression and ED has worsened since taking Mirtizapine",1,10,1
"Mirtazapine","Julia","March 9, 2020","-","Started taking Mirtazapine December 31st because of my eating disorder that makes me picky with food and lack of appetite.  My main goal was to get rid of my major anxiety.  First month: nothing major happened with my anxiety. More headaches than usually. I wasn't depressed in the first place, but Mirtazapine made me feel like my life actually got more manageable and that I had more energy to do things, like study.  They increased my dose every 3 weeks because I was still having anxiety. I am now on 40mg and my anxiety is better. I do however think it's because I have a better outlook on life.  My appetite is a lot better, during these 3 months I have gained around 4kg. I never have bad eating days now so I eat regularly. About my sleeping habits: I've always been a night owl. Nowadays, if I take it around 8 PM, then I am asleep by 11:30. On the weekends I wake up around 8-10 AM on my own. I don't feel tired throughout the day.",9,40,1
"Mirtazapine","Dana","March 9, 2020","Taken for less than 1 month","I have been on this med mirtazapine for 11 days I have anxiety and panic attack and PTSD I have had very little anxiety and no panic attacks I am on 7.5mg  I also suffer from health anxiety it has also taken the edge off that the only thing I don’t like is I am tired almost all day but I will take that over panic attacks any day",9,43,1
"Mirtazapine","Anonymous","March 2, 2020","-","I'm a 35 year old male with a history of panic and anxiety. Have tried a number of meds, including SSRI's and Benzos. Today is day 14 on this medication the dose is a half a tablet (15mg) mirtazapine.  I have been taking it around 8pm every night, and it certainly reduces then amount of time it has taken to get to sleep every night. I am also sleeping throughout the night. Some sleepiness and flu like symptoms during the day.  On day 11, I woke up with a desire to clean my house. I haven't had a desire to carry out any activities to completion for a while. On day 12, I went and had a coffee with a friend, and proceeded to spend the entire day away from the house, seeing a movie, doing some grocery shopping, then having dinner with another friend. This kind of desire to get out and do things, or complete tasks is a fairly new thing for me. I am also finding that this is having an impact on reducing pain. I have a separate chronic pain issue and have had zero desire to take my opiate medication for pain.",8,59,1
"Mirtazapine","Paulalass","February 25, 2020","Taken for 1 to 2 years","Hi after reading the comments I thought I would share my experience of mirtazapine. After suffering from anxiety and panic attacks I finally went to doctors and was prescribed antidepressants - I think they were citalopram not sure of name but they made me worse. I was then prescribed mirtazapine they took a good few weeks to kick in. I've been taking 15mg for nearly 2 years now and feel miles better in myself. I am now able to go to the shops on my own, get a bus alone and even got a full time job.   Here comes the down side, I've put a stone and a half on gone from 9 and half to 11.  The actual drug doesn't make you gain weight it's the food you crave.  So I'm determined to try and combat that with a healthier diet. She says haha...also the dreams are horrendous and it does take me a good hour to ^come round^ when I get up. Saying this  but it is all worth while as I now feel I have my life back . I hope this helps.  Keep at it as it will be worthwhile in the end. Wishing you all well Paula x",10,56,1
