"Drug","User","Date","Period","Review","Score","Likes","Page"
"Oxazepam","Teri","May 16, 2020","Taken for 1 to 2 years","Hi, I use Oxazepam only to help me falling asleep and it does work for me. I tend to take half of a 10mg tablet ( I only took few times in my life the whole 10mg tablet as it has too strong effects on me) in the night or early morning after I wake up. So I try to train myself to fall asleep on my own initially in the evening without the drug. But I have big problems to fall asleep again (Meaning if I wake up between 2-6am). When I take it after waking up, just 5mg, I tend to fall asleep within an hour again. I used to take it only twice a week or so, but am doing and experiment in taking it daily (during the night) for about a week now. I feel good, as waking up rested, though a bit drowsy. I think that any drug works for me in small quantities. Even the 10mg would be too much. And I can't believe that there can be even stronger dosages than 10mg. I would be so drowsy if I took that.  I need to catch up on sleep before I want to withdraw from taking it.",10,1,1
"Oxazepam","kefeasy","March 4, 2020","Taken for 1 to 6 months","Was prescribed Oxazepam for mild anxiety which became worse the more I took the drug, but I  was totally unaware it was the drug actually making the problems worse, I have just started to try and slowly come off the drug after 6 months and the withdrawals are horrendous! Be so very carefully people. Much love",2,6,1
"Oxazepam","liv","January 11, 2020","Taken for 1 to 6 months","I was given oxazepam to help with panic attacks. Before Istarted on this drug, I was having at least one panic attack every day, and I would get them every day before work.  They also help with my racing thoughts too, which is incredible. This drug slows my thoughts down which allows me to think clearer and more rationally. This drug works a little too well. No unwanted side effects as of yet.",10,13,1
"Oxazepam","SeanJ","November 28, 2019","Taken for 2 to 5 years","I have severe depression and anxiety and tried every benzo. Oxazapam just works for me, it has a slow onset which allows you to relax.  This medication also does wonders for me when I'm at work and feeling stressed! One before work and at lunchtime allows me a clear head and gives me a sense of confidence, like my anxiety is all of a sudden gone in an instant!",10,13,1
"Oxazepam","Chris.","November 6, 2019","Taken for 1 to 6 months","I have been taking this medication oxazepam for the last month and a half. My dosage is a half of a 15mg tablet 3 times a day. I find it has had some unwanted side effects, like muscle twitching, confusion, dizziness (feeling like I'm on a boat even when I'm sitting or lying down) jumbled speech, memory loss, and I seem to wake up and can't get back to sleep!. My honest advice would be to use this medication cautiously!!.",0,14,1
"Oxazepam","Sarah","August 31, 2019","-","Due to suffering fairly crippling anxiety about 12 months ago, I was prescribed oxazepam by an excellent doctor which has definitely assisted me  returning to normal life. Initially the dosage of oxazepam was 30mg to take as needed on the basis of not to take more than 3 times a week, then reduced to 15mg and now finally I can manage to have my anxiety dissipate on 1/4 tablet ie 4mg and would only take 1-2 times a week.   For me it's been a life saver knowing that I can take this as needed to function when I am about to face a stressful situation.  It also has been  helpful to keep the medication within reach during the day and then see if I can manage without to help manage the anxiety over the long term as well as using other relaxation techniques as recommended by my psychologist.  No side effects noticed, no drowsiness on the lower dosages, it actually gives me clarity of thought as I'm relaxed.",10,28,1
"Oxazepam","Grasshopper","June 16, 2019","-","I was in several inpatient mental health wards over the past 8 years, both public and private,  initially they diagnosed me with schizophrenia and depression (then later anxiety). I think there aren't many benzodiazepines I have not tried. During inpatient treatment I was given highish doses of Lorazepam which was somewhat difficult to cease, Lorazepam more so than Xanax! Following this I was prescribed Diazepam  for years as an outpatient, I abused it, but with little consequence! stopped taking it abruptly and no withdrawals. Then my Psychiatrist prescribed me Oxazepam, and well it is difficult/pointless to abuse for me personally, but excellent for managing anxiety symptoms without much sedation or amnesia. I currently take 30mg mane daily and rarely 15mg extra nocte. This magic pill (Alepam/Serapax) has also reduced my desire for other drugs of abuse both medical and illicit, Thank you Lord for oxazepam!",9,26,1
"Oxazepam","Eddie14","March 15, 2019","-","Oxazepam turned me back to myself, without feeling high. However, after 8 hours, I begin to torture myself by thinking negatively about the negative comments in here and I got so scared. My anxiety without this pill is almost constant. I struggle with the notion of being on a drug and feeling better but being addicted and needing more. I am 61 years old. The anxiety has turned me from a powerfully confident guy to the Cowardly Lion. My family sees the suffering and says: just take the pill. They respect my trying to be strong: but: the anxiety really takes over. So, I will try to approach it positively. My doctor says: why would you want to get off it? Just stay on it forever because nothing else has worked and you are suffering miserably. I see her point. Why would any of us take this: with a goal of stopping it?  Just let it do it’s work. Be thankful. Enjoy the freedom from the anxiety. I am talking myself into this. Does anyone see what I mean?",8,78,1
"Oxazepam","BipolarBabe","February 4, 2019","-","WONDERFUL prevention of panic attacks.  However, SERIOUS memory loss!!  My adult daughter says I always seem out of it or confused.  The med is doing what I need it for...preventing panic attacks. Therefore, overall its great, except for memory loss.",10,19,1
"Oxazepam","Hiya","February 2, 2019","Taken for 2 to 5 years","Absolutely worse when you hit tolerance after 4 years! As with all benzos not worth it. I see all the good reviews and think I feel sorry for these people when they don't address the underlying issues and pop a pill that is ohhh so fantastic until one day bang! It just won't work. I was prescribed these and never abused them. At my worst I was taking a massive dose just for 4 hrs sleep. Please think twice or do research. Unfortunately not much comes up about oxazepam but the withdrawals are like any other benzo and hell.",1,24,1
"Oxazepam","hoot","January 13, 2019","Taken for less than 1 month","I have had a cancer diagnosis which caused insomnia and stress. This has calmed me down but I'm having to take more and more. Is that bad? I just want to feel free from this cancer feeling.",10,8,1
"Oxazepam","Judy","September 21, 2018","Taken for 5 to 10 years","I am now 65 years old and at the age of 16 I was prescribed valium for anxiety. My doctor continued to increase the dosage and eventually put me on serepax (Oxazepam). I   was addicted to both of these medications and it took me at least 10 years to come off these suffering huge withdrawals. When my daughter died in 2006 in a fire I was offered tranquilises which I refused knowing my addiction to them.  I was later refused any compensation by the Melbourne Medical Board because I refused any medical help in the form of antidepressants, be very careful don't take any of these drugs because they might seem great at the time but you will pay for it in the long run.",1,29,1
"Oxazepam","OCD-patient","February 9, 2018","Taken for less than 1 month","I was put on this medication a couple of weeks ago. I take medicine for my OCD and I also take Remeron to sleep. Lately I haven't been able to control my anxiety/intrusive thoughts and was put on Oxazapem 15 mg one hour before bedtime. It is great - it makes me really sleepy and gives me the munchies - I literally eat everything I can think of 5 minutes before collapsing in my bed. I can see why people would want to abuse this drug. My only problem is that my concentration levels have gotten really bad after taking Oxazapem. I am working daily and not many people know what I am struggling with (OCD and intrusive thoughts), so it is hard to maintain the normal looking me at work. Hopefully people will just think I am a bit tired or stressed out and it will pass soon.",7,17,1
"Oxazepam","Cather","January 25, 2018","-","I was given this to replace xanax for panic attacks because xanax is so addictive, apparently. Unfortunately for me, who only takes it on an as-needed basis, oxazepam does not have the same ability to quell panic attacks instantly once they have started. Instead, I have to take this in anticipation of an event happening, which I don't really like to do, because I'm never sure. In general, though, it does calm me down if I plan ahead before certain panic-inducing events (like plane trips), but doesn't help for unexpected panic attacks.",7,25,1
"Oxazepam","Asdf12321","January 18, 2018","-","It's a strange one for me. I am prescribed them for acute anxiety, whenever the bouts come. The thing is, they work. The relief is beautiful and it's nice to regain what feels like a normal perspective of things, to bring an end to the myriad of worried thoughts. But once it starts to wear off, the anxiety slowly returns, but more so, gets worse. On top of that, I can feel so hopeless for days after taking just one pill, which can turn into depression if I'm not careful.  It's a pill that gives relief, but the adverse symptoms are not worth it. I maybe take them a couple of times a year at points where I'm otherwise unable to function at all (I don't like medication )",5,20,1
"Oxazepam","Jackiboy","January 13, 2018","-","I’ve been on so many different medications but nothing is more effective with my anxiety than this. I can go out and slowly gaining my confidence back. Never give up hope everyone reacts differently to different medications. Stay strong everyone out there you will find your way ??",10,41,1
"Oxazepam","Danielrh52","June 23, 2017","Taken for 10 years or more","<b>Serax (oxazepam):</b>			 After 43 years of anxiety/panic disorder, serax has helped me have a life. Dr's tried many other treatments until I ended up in ICU with my heart enzymes elevated. Theme 25 years ago Dr started me on Serax, which finally let me have a normal life.",0,57,1
"Oxazepam","Genes","May 7, 2017","-","I have been on Oxazepam 10mgs  for over 15yrs now.  It works. Only one problem. My memory is gone. At age 64yrs old. I can now see the difference. My life is not the same anymore.  I have no life.  I don't recommend long term use of this drug as it habit forming. I have tried many times to come off.  Not easy - Most doctors today do not give out this drug.It is not common in the USA as they would rather give you another benzo. My advice is stay away from all Benzos  But if I had to have one (and I know this does not make sense) but this one works the best for anxiety, stomach problems and high blood pressure.  Better then Valium.",10,37,1
