"Drug","User","Date","Period","Review","Score","Likes","Page"
"Paxil","Anonymous","February 11, 2020","-","I was very skeptical about taking paxil as I’ve never taken a daily medication before. I started taking it and was on it for 4 days. On the fourth day I work up with this dizzy/ groggy feeling. I didn’t think much of it and then I took my medication for the day. I decided to take a nap due to the dizzy feeling and when I woke up I had the worst suicidal thoughts, my head felt even worse, my eyes couldn’t focus on anything, my pupils were dilated, my body felt extremely limp but I was shaking and I also had cold sweats. I called my doctor and she recommended I go to the hospital. I ended up not going because one of my friends had gone through the same thing and told me to stop taking the medication and just drink some water and eat some food. I felt better for the rest of the day but that night I only got 3 hours of sleep due to nightmares and suicidal thoughts.",3,13,1
"Paxil","Kjls","February 4, 2020","Taken for 10 years or more","I started Paxil over 15 years ago after an unexplained bout with extreme anxiety and depression that did not respond to hypnosis, yoga, nothing!!!   After trying a few other meds that didn't work, my dr suggested Paxil.  When I first started it I also took Klonopin for the horrible anxiety.   Within about 6 weeks I totally felt the dark cloud disappear so I went off Klonopin.  I have never had to increase my dose!!   I'm still on 10 mg, 15 years later.   I tried weaning off of it 3 times already and each time I would get really weepy and depressed, so I've decided to stay on it!!   Yes, I've gained weight but that is nothing in  comparison to how I was feeling prior to being on Paxil",9,37,1
"Paxil","Lemony","January 10, 2020","Taken for 1 to 6 months","My doctor prescribed me Paxil as she felt I had anxiety (and that I was depressed as a side effect). For what little anxiety I felt I had, it works great. I flew for the first time and felt no anxiety at all, I was like,  Wow, this is what it feels like to be normal.  However for depression, I still do get sad, although that may just be me (my therapy sessions are rather useless). At first when taking this I was on cloud 9. I was feeling great, and I had no appetite at all so I lost 8 pounds. Once I got used to eating without being hungry, my appetite got back to normal. I also started getting constipated while taking this, so my Dr. prescribed me Miralax. I also have noticed that it seems to have dulled my senses  down there , it takes longer to have an orgasm which is frustrating. I have heard about how this is a difficult drug to get off of, which I am nervous about. All in all I think it works okay but this is also the first anti-depression medicine I have ever taken.",7,23,1
"Paxil","bean","January 5, 2020","Taken for 6 months to 1 year","Worst medication i have EVER been on in my entire life. Constantly tired, sleeping 16+ hours a day on short school mornings; cried when I had to work job at night due to exhaustion. Could physically not bring myself out of bed, worsened depressive episodes and dark thoughts. Depression went from a 5 to a 10 within a few weeks. I would genuinely not recommend this medication to anyone suffering from depression or any other ailments for that matter; I wouldn’t risk it even if the doctor was sure it was going to work. You might have a good reaction unlike me, but I would not wish the risk of feeling this way on anyone I know.",1,16,1
"Paxil","Anonymous","December 24, 2019","Taken for less than 1 month","This is my first day of taken paxil and I'm on 20 milligrams and I'm still really dizzy and lightheaded and feel very weird since this morning. I called my doctor she told me to take a half of one in the morning I pray it works for me",1,14,1
"Paxil","Chris_m","December 15, 2019","Taken for less than 1 month","Hi everyone. I have a question. I feel very sad, depressed and above all anxious...  I went to the ER here in my country because I was convinced something was really wrong with me At the ER they checked my heart, my blood pressure and everything was fine. My doctor wants me to start Paxil, I  took it for three days already, and  I have Xanax for when it gets worse. My question to you all is; how do u cope until the Paxil starts to work? Thank you in advance.",0,20,1
"Paxil","Fredz","December 11, 2019","-","This drug works, but not without consequences. It took 17 years of my life. Taking this drug put you in the grey zone. It masks all your feelings, and all the side effects....  I also used 1,5 years tapering of this awful drug, every time I reduced my dosage, the withdrawal came. Now I'm older I know I will do anything to not be dependent on such drugs.",1,15,1
"Paxil","Shelby","November 14, 2019","Taken for less than 1 month","HI, I have been on Aropax for 7 days now due to depression and anxiety. In the first few days of taking it I was incredibly shakey and when I spoke my voice sounded distant from my own like I was in a dream like state. I was yawning all the time. Although the symptoms seem to be getting better. I have restless legs, dry mouth, a stiff jaw and neck, I am cold all the time and my skin feels like it is itchy or crawling. I wish I did more research before taking it as I have just read how bad the withdrawal symptoms are.  Do you think if I stop taking them now only after 7 days it would be OK? Also I feel like I am gaining weight but eating a lot less due to no appetite and drinking lots more water due to dry mouth.  what to do?",4,22,1
"Paxil","Ken","November 5, 2019","Taken for 2 to 5 years","After years and years of trying and failing with different medications, my doctor finally recommended paroxetine for my anxiety. No side effects unless I DON'T take it, no groggy feeling or haze over my memories anymore. I can function without feeling tired out half way through the day, I don't get dry mouth, I don't gain weight on this medication. All of which have been an issue with other meds in the past. Im very grateful to have found this.",8,42,1
"Paxil","JustMe","October 10, 2019","Taken for less than 1 month","Resisted taking any antidepressant for my anxiety Started paroxetine in July/ 10 MG, 2 -3 weeks. Stopped due to side effects.  Restart in Aug, (4 weeks) at 5 mg. Quit again due to I got hyper. Restart again, slowly increase dose 2.5 to 5 mg work up to 10 mg. Dr. say I need antidepressant. I get panic attack and OCD. I had death in family in March. It may relieve OCD and lessen Panic. But I got very dizzy In past. One vertigo attack I fell over. Still assessing if it's for me.",2,10,1
"Paxil","Stillhopeful","October 2, 2019","Taken for less than 1 month","I was really hoping that paxil would work for me since it worked for my sister. I have intrusive thoughts and anxiety.  This medication ramped my anxiety up bad . Thoughts way worse. I'm stopping after 6 days. I know there are those who say keep with it. I am getting 1 hour of sleep on this drug. I cant stay on it. It's not for me. I realize it may help people, but my comments are for those it didn't work for. You are not alone. I have insomnia, increased anxiety, I am a mess.",4,25,1
"Paxil","Hope989","September 26, 2019","Taken for 10 years or more","I took Paxil for 19 years and it relieved my anxiety and depression. I gained 40 lbs over those 19 years but I was happy. In May I decided to try Lexapro and sure enough I've lost 25 lbs. But at the expense of anxiety and depression returning. My Dr increased dosage from 10 -20 mg 5 weeks ago and now I can't sleep. I'm going back to Paxil, I'd rather be fat and happy, than skinny and depressed!!",9,73,1
