"Drug","User","Date","Period","Review","Score","Likes","Page"
"Prochlorperazine","Sally","June 10, 2020","Taken for less than 1 month","I was given this medication prochlorperazine yesterday afternoon through IV. Supposedly for nausea I didn't even have. About 10 mins after the drip finished I started getting anxious, got home couldn't sleep as my legs were so stiff and I felt so restless. Now all this morning I'm all jittery and my head feels awful like it's working overtime and my anxiety is unbearable. Anyone know how to flush this out of my system cause I can't cope and I'm struggling to get my kids organised, and luckily I took the rest of the week off work cause I would not cope.",1,0,1
"Prochlorperazine","Momma bear","May 14, 2020","Taken for less than 1 month","I took it for vertigo and about to lose my mind severe restlessness had to be given another drug with took care of it foe 1 hour have to take Benadryl  to help calm me down",1,2,1
"Prochlorperazine","Cat","March 2, 2020","Taken for less than 1 month","<b>Compazine (prochlorperazine):</b>			 I should not have been given this drug in the emergency room. As soon as it was given, an extreme heat went through me. I immediately felt panicked, like the walls were closing in. I didn't feel like I was in my body. I kept begging for a reversal. I kept saying I was allergic. My skin felt like it needed to be taken off. I heard voices in my head and couldn't stop moving. I was crying and screaming for help. This medication made me feel like it was the end of me, like everyone was trying to hurt me. This didn't go away in an hour. It took days. I am still scared and frightened.",0,17,1
"Prochlorperazine","Oxy-Alex","February 10, 2020","Taken for less than 1 month","<b>Compazine (prochlorperazine):</b>			 (Male, 24) I have severe Crohn's disease and have been around the block a few times when it comes to nausea meds. At one point while admitted in the hospital, I was given Compazine intravenously to alleviate my nausea symptoms. After about 10 minutes or so, I started to experience a SEVERE panic attack. I was convulsing, I started to rip out my hair, and I no longer could speak words. Therefore I wasn't able to properly tell the nurse what was wrong with me. The physical sensations of panic and the illogical thought process I was experiencing were so powerful, that for a moment I considered taking my own life, just to make it stop. I endured this feeling for more than 15 minutes before the night Doctor was able to arrive and properly sedate me. That was one of the most traumatizing experiences of my life.. I literally wanted my life to be over.",0,10,1
"Prochlorperazine","Robert","February 3, 2020","Taken for less than 1 month","<b>Compazine (prochlorperazine):</b>			 Just got out of the ER with my daughter. She got the migraine cocktail with Compazine as well. She became irritable at the hospital and just wanted to leave. They finally discharged her and she started feeling nauseous on way home. Has been vomiting for an hour now and full of anxiety. She's begging for it to just stop. Nothing online for a counter agent. I am  annoyed because my wife mentioned the drug gave her lock jaw as a child but the Dr said drug allergies/reactions are not hereditary. And he also never mentioned any side effects until we got home and called back to find out if she needed to return. It may work for some people but be wary. My family is no longer taking it. Two strikes and you are out.",0,8,1
"Prochlorperazine","Riah","January 7, 2020","Taken for less than 1 month","<b>Compazine (prochlorperazine):</b>			 Gave me a horrible panic attack in the ER. I wanted to just scream. Everything was terrible.",0,7,1
"Prochlorperazine","Bmr22","December 17, 2019","Taken for less than 1 month","<b>Compazine (prochlorperazine):</b>			 Last week I was sent to the ER for a terrible migraine and anxiety/panic attack. They gave me tylenol, Benadryl, and Compazine as a migraine cocktail they called it. As they gave me Compazine they told me that it would cause me to have more anxiety. I have never experienced the feeling that I had after being given Compazine. I was extremely panicked and couldn’t stay still. I wanted to rip out my IV and just felt like I had to leave and go home. I told the nurse I was feeling like I had to leave and extremely panicked and restless. I couldn’t calm down and felt like I was fighting against my own body. The nurses just told me that they warned me that it would cause more anxiety. I still can’t figure out why they would give me that knowing I was already having anxiety. I will never ever take Compazine again.",0,16,1
"Prochlorperazine","Em","November 19, 2019","-","<b>Compazine (prochlorperazine):</b>			 Like many on here, I too went to the ER for severe migraine. I have been given phenergan and toradol and that always does the trick but this time I went to a different hospital and they gave me compazine and Benadryl. Within seconds I felt anxious. I wanted to rip my IV out and I felt severely claustrophobic. One of the worst experiences of my life. I would have rather kept the migraine than go through that again. When I got home I still had anxiety and it didn’t completely go away for a day or two. I’m still scared to go to a hospital after this experience and I’m actually scared of IVs now.",0,9,1
"Prochlorperazine","James","November 17, 2019","Taken for less than 1 month","<b>Compazine (prochlorperazine):</b>			 I was given compazine this while in the ER for my appendix. I was still nauseous, and couldn’t have zofran yet, so they started this. This drug made me CRAWL out of my skin. One of the worst feelings I have ever had.",0,5,1
"Prochlorperazine","Luna","November 7, 2019","-","<b>Compazine (prochlorperazine):</b>			 I went to the ER last night for a migraine and other issues. I was given a Compazine cocktail. My migraine was much better. But a few minutes later while I was talking to the dr I started getting extremely panicked. Like I couldn’t be there anymore. I wanted to rip my IV out. I canceled my ultrasound test so I could get out quicker. My husband told the dr and nurse I was have extreme anxiety and they both kept shrugging it off. I just kept yelling I want to go home! I took off my blood pressure cuff. My heart monitor &amp; I would have ripped that IV out too. I attributed it to my panic attacks I get occasionally. My husband kept saying I bet it’s the medications. Well. The new nurse comes in and knew what was wrong with me. Saying it can cause  uneasiness  in people. I am now suffering PTSD. Severe panic of ending up in the hospital for what’s wrong with me. I have been up and down all day even though my body is exhausted. I can not believe this many people have had the same experiences.",0,20,1
"Prochlorperazine","RN","November 4, 2019","Taken for less than 1 month","<b>Compazine (prochlorperazine):</b>			 I’m sorry you all have gone through this but at least I feel I am not alone! I went to the ER last night for a severe migraine and they gave me toradol, Compazine and dexamethasone. The crawling out of my skin and restlessness, fidgeting constantly was the worse! It’s been 12 hours now, and seems slightly better, how long does it last? Hang in there my  fellow suffers, try to remember it won’t last forever. XO",0,3,1
"Prochlorperazine","Iknowwhathappened","October 23, 2019","-","<b>Compazine (prochlorperazine):</b>			 Everyone on here. I know exactly what you experienced it's a gruesome condition called akathisia.. and the doctors know about it. But they will not tell you!! It is a serious side effect. Because people can't stand the way they feel with akathisia. Please join akathisia group in Facebook. There is help and support if you're still suffering.",0,8,1
"Prochlorperazine","William","October 1, 2019","Taken for less than 1 month","<b>Compazine (prochlorperazine):</b>			 These experiences listed for this drug are not exaggerated.   Had some numbness and headache issues that caused me to visit the ER.  Was given a benedryl, toradol and compazine cocktail for the headaches.  After the toradol wore off I had the most horrid anxiety.  My body would not let me calm down and my mind wanted to calm down.  It was a constant struggle for more than a day to get back to normal.  I wanted to rip the IV out and run out of the hospital while I was waiting to get an MRI.  It was hands down the worst experience of my life.",0,1,1
"Prochlorperazine","Espeon","September 30, 2019","Taken for less than 1 month","Took this over a month ago, and it caused still having high anxiety and panic attacks. When does it end? Never ever had them before they gave me this at the ER. Do not let them give it to you. Told them I had to go RIGHT NOW, was so anxious and my heart rate was up, couldn't breathe. Extreme restlessness. Still bad for me at night. Went to ER they gave benedryl and said it just had to go away. Please listen to the reviews this is the worst medicine ever.",1,2,1
"Prochlorperazine","Manda","September 17, 2019","-","<b>Compazine (prochlorperazine):</b>			 I was given Compazine about 3 weeks ago most horrible experience of my life I tried to pull out my IV I felt like I was literally going to die and now thanks to this medication I suffer from PTSD because it was so traumatic I have constant panic attacks Compazine has ruined my life",0,7,1
