"Drug","User","Date","Period","Review","Score","Likes","Page"
"Propranolol","Dani","May 25, 2020","Taken for less than 1 month","I was prescribed 10 mg propranolol when required but I take it every morning because it lasts all day and I can actually socialize without anxiety for the first time in years. I’m amazed. I am able to be relaxed. No more racing heart, no shaking, no stuttering, no sweating, and I can look people in the eyes. I can just be chill. I am so grateful. I haven’t noticed any side effects. I have been on it for a week.",10,29,1
"Propranolol","John","May 23, 2020","Taken for 1 to 6 months","This propranolol has been a life-saver for me.  I have a thyroid condition which triggers anxiety, because my heart is always racing, even when I’m not nervous, and this caused me to basically have anxiety from knowing that I sound nervous all the time — even though I’m really not.  Since taking a small dose, my heart beats normally, and the world has gone back to a regular pace.  Really good stuff.",10,17,1
"Propranolol","Bundle of anxiety","March 3, 2020","Taken for 1 to 2 years","Doc said my anxiety is off the charts. On a scale 0-100 it’s 150 all the time. Certain situations are worse, so I take a few before and it’s much better. Can’t live without these.",9,19,1
"Propranolol","Jojo","February 28, 2020","-","I've been taking propanolol for a week. Dr prescribed 10mg per day but I only take 5mg. It has been stressful past months that cause bad anxiety. So Dr recommended to take 5mg if I didn't want to take 10mg is what am doing. It helped lower bp &amp; heart rate due to anxiety for sure. My concern was I didn't take for a day bcuz my bp was normal and I felt good the whole day the next day at 530am woke up with fast heart beat, my left arm went cold and my wrist hurt a bit too, I panic because it felt like what a heart attack symptom sounds like but I don't know if was due to not taking the medicine for a day or it was just anxiety while sleeping which I haven't experienced the arm feeling before. I took 5mg it help me calm down but my arm still feels cold. I'll talk to my dr about it and see what is suggested for me to do or maybe ask to see a cardiologist because that feeling in my arm scared me bad. Side effects for propranolol are minimum like dizziness &amp; diarrhea right after taking it.",8,12,1
"Propranolol","Catty","February 25, 2020","Taken for 6 months to 1 year","I take 30mg dose propranolol before I go to my university to help my social anxiety that give me heart palpitations and chest pains. This medication has done nothing for the mental aspects of my anxiety, but it has stopped my physiological symptoms caused by it. After about 5 hours I have to take another one. My psych says I should take one if I feel I'm about to have a panic attack, but it hasn't worked for me to help control them.",9,10,1
"Propranolol","jack","February 24, 2020","Taken for less than 1 month","I've been on propranolol  for 2 years now and it works wonders on my anxiety",8,25,1
"Propranolol","Anonymous","February 11, 2020","Taken for 2 to 5 years","Well I have been on this medication propranolol for anxiety for over 3 years now. I take 40mg 3 times a day it helps my anxiety no end before I wasn't on this medication I would get severe anxiety attacks to the point where I was experiencing physical symptoms such as heart palpitations and chest pain and a racing heart rate which was scary due to anxiety.  Ever ever since I have taken this medication I feel more calmer and spaced out I do get 1 side effect though and that is tiredness but that is normal I can live with that side effect I am so pleased with this medication would highly recommend if you have anxiety. And stage fright",10,33,1
"Propranolol","Jarbles","February 3, 2020","Taken for 2 to 5 years","This was added to my Adderall XR doses. I am not sure it works but these two have been hand in hand for years now.  I know others who taken it for speeches and have felt no anxiety. I guess I am less angry all the time.  I am now taking bipolar meds and I guess it’s supposed to help with certain side effects of those, so kudos I guess.  I’ll say the only side effect I noticed was an initial over heating and sweating when I first started but that went away pretty quick.",7,12,1
"Propranolol","Janbee","February 2, 2020","Taken for 1 to 6 months","I’m a female, 23, 125 lbs, taking propranolol 10mg for anxiety. This medication has worked really well for treating my fast heart rate when I get anxiety (120-145 bpm). I was very hesitant at first to take this as I was nervous for the side effects (darn you anxiety!) but I did not get any side effects! I have found that it’s better to take this before you know you’re going into a situation that will make you nervous. However, if you take it in the morning it will help all day. I have taken two 10mg while having a panic attack and it did work within 5-10 minutes. I definitely think this med is a short term solution for anxiety but I will continue taking as it has saved me so many times.",10,42,1
"Propranolol","Benzene","January 30, 2020","Taken for less than 1 month","Been on it for about a week and I love it. This was prescribed to me for anxiety as well as citalopram and I could tell the effects of it from the first day. No elevated heart rate from a stressful situation, no increase in blood to brain, no anxiety! I stay completely grounded and in the moment. Plus, so far no side effects. It's a god send! I'll share my experiences after a month or two as well.",10,34,1
