"Drug","User","Date","Period","Review","Score","Likes","Page"
"Risperidone","Deb","March 22, 2020","Taken for 5 to 10 years","I am tapering off risperidone 1/2 mg per week I was on 2 mg to start with now I’m on 1 mg.  Tonight I felt like I was sliding across the bed. But I sleep with my dog and I wasn’t running into my dog and my dog isn’t being pushed off the bed so I know I cannot be moving. But I swear I was. I also have so much saliva that it’s giving me really bad heartburn. Help",5,5,1
"Risperidone","Jd","February 1, 2020","Taken for 1 to 6 months","Risperidone literally ruined my life before taking this drug I was outgoing and social but now I can't even talk to people or socialise it also makes me super depressed and anxious I wanna know if the side effects go away or is it permanent Ps:I wish I never took this drug",1,18,1
"Risperidone","Artazanasss","January 27, 2020","Taken for 2 to 5 years","risperidone is pure poison almost single-handedly ruined my life it was prescribed for me for anxiety symptoms and I have used it for 3 years I gained 30 kgs.  I also have memory loss, involuntary arm movements, impotence and that's just starting it - DON'T use it under any circumstances.",1,9,1
"Risperidone","mark","December 23, 2019","Taken for 2 to 5 years","This drug should be the last choice, once you have tried all others. I don't recommend it. I was on 4 mgs at night and it made me sleep and eat better, but when you come off it its nightmare. I'm lucky if I sleep 4 hrs a night and the anxiety is worse than when I started. I was and am still on it now for 2 and a half years. I'm thankfully down to 1 mg at night. I can't wait to get off it. Slowly my sex drive and emotions are coming back. I don't feel like as much of a zombie. Also I have more energy.",1,13,1
"Risperidone","Anxiousannie","November 18, 2019","-","Risperidone is a miracle drug for me.  It has quite literally changed my life.   My anxiety followed me everywhere I went, all day, every day.  I felt like I had no control over myself or my life. I switched from abilify to risperidone about three months ago, and I'm like a new person. Night and day.  I went from constant paralyzing anxiety and weekly panic attacks to having only occasional anxiety, and at a much more manageable level when I do get it.  I actually can't believe how much better I feel.  I'm crying as I write this because I am just so happy to be feeling the way I'm feeling.  My thoughts no longer race, I can concentrate on one thing at a time, use logic to make calm and rational decisions, I'm no longer constantly nauseated, my compulsive behaviors have all but disappeared, and I have become a much happier and more open person.  I feel a million pounds lighter.  I am so grateful to risperidone for giving me my life back.",10,53,1
"Risperidone","Phani kanth","September 9, 2019","-","I faced many side effects..I gained weight and very hard to sleep.",1,12,1
"Risperidone","Zil","July 7, 2019","-","Was put on it at a rehab for anxiety. Erectile dysfunction and my brain feels like it's hot when I dont take it. Super upset with them thinking this was a good drug to put me on",1,12,1
"Risperidone","sam","July 6, 2019","Taken for 1 to 6 months","I weight gain and groggy in the morning. Side effects are not great. Im already overweight and gained 15 in a month.",4,9,1
"Risperidone","Ginkgo Leaf","June 16, 2019","Taken for 1 to 6 months","I was put on 2mg of risperidone as an adjunct to Mirtazapine for anxiety. I was incredibly reluctant to take it, it's an anti-psychotic after all, and I was terrified it would make me into a drooling zombie. For the first few days I felt awful. My anxiety turned into full-on paranoia and I could hardly think or speak clearly. Then suddenly I woke up and felt calm and collected. No more racing thoughts, no more battles inside my own head.  I'm so grateful for this medication. My only regret is that I took so long thinking I could cure myself with exercise, faddy diets and supplements. I should have gone on this a long time ago. To anyone who is worried about going on this - don't be. When it works, it works brilliantly.",10,53,1
"Risperidone","Khaleesi","June 10, 2019","Taken for 6 months to 1 year","For me, risperidone was horrible. It made me feel like my skin was crawling and gave me a horrible feeling I can't even describe. Taking this med was like drug-induced torture. I took it for severe panic attacks, depression, and autism spectrum disorder. It did not help at all. Luckily, my doctor found something (Remeron and Pristiq) that actually works.",1,22,1
