"Name","Generic","HTML","Reviews","NumReviews","Score","Popularity","Classes","Off Label"
"Xanax","alprazolam","https://www.drugs.com/xanax.html","https://www.drugs.com/comments/alprazolam/xanax-for-anxiety.html",507,"8.6",107,"benzodiazepines  ","No"
"clonazepam","clonazepam","https://www.drugs.com/clonazepam.html","https://www.drugs.com/comments/clonazepam/for-anxiety.html",682,"8.5",80,"benzodiazepines, benzodiazepine anticonvulsants ","Yes"
"alprazolam","alprazolam","https://www.drugs.com/alprazolam.html","https://www.drugs.com/comments/alprazolam/for-anxiety.html",753,"8.7",71,"benzodiazepines  ","No"
"lorazepam","lorazepam","https://www.drugs.com/lorazepam.html","https://www.drugs.com/comments/lorazepam/for-anxiety.html",586,"8.1",62,"benzodiazepines, miscellaneous antiemetics, benzodiazepine anticonvulsants","No"
"Ativan","lorazepam","https://www.drugs.com/ativan.html","https://www.drugs.com/comments/lorazepam/ativan-for-anxiety.html",305,"8.1",61,"benzodiazepines, miscellaneous antiemetics, benzodiazepine anticonvulsants","No"
"buspirone","buspirone","https://www.drugs.com/buspirone.html","https://www.drugs.com/comments/buspirone/for-anxiety.html",840,"5.9",46,"miscellaneous anxiolytics sedatives and hypnotics  ","No"
"Lexapro","escitalopram","https://www.drugs.com/lexapro.html","https://www.drugs.com/comments/escitalopram/lexapro-for-anxiety.html",727,"7.5",46,"selective serotonin reuptake inhibitors  ","No"
"hydroxyzine","hydroxyzine","https://www.drugs.com/hydroxyzine.html","https://www.drugs.com/comments/hydroxyzine/for-anxiety.html",701,"5.6",40,"miscellaneous anxiolytics sedatives and hypnotics, antihistamines ","No"
"BuSpar","buspirone","https://www.drugs.com/buspar.html","https://www.drugs.com/comments/buspirone/buspar-for-anxiety.html",440,"6.1",39,"miscellaneous anxiolytics sedatives and hypnotics  ","No"
"Valium","diazepam","https://www.drugs.com/valium.html","https://www.drugs.com/comments/diazepam/valium-for-anxiety.html",166,"8.8",32,"benzodiazepines, benzodiazepine anticonvulsants ","No"
"diazepam","diazepam","https://www.drugs.com/diazepam.html","https://www.drugs.com/comments/diazepam/for-anxiety.html",382,"8.4",27,"benzodiazepines, benzodiazepine anticonvulsants ","No"
"escitalopram","escitalopram","https://www.drugs.com/escitalopram.html","https://www.drugs.com/comments/escitalopram/for-anxiety.html",1162,"7.4",24,"selective serotonin reuptake inhibitors  ","No"
"Cymbalta","duloxetine","https://www.drugs.com/cymbalta.html","https://www.drugs.com/comments/duloxetine/cymbalta-for-anxiety.html",242,"6.7",23,"serotonin-norepinephrine reuptake inhibitors  ","No"
"gabapentin","gabapentin","https://www.drugs.com/gabapentin.html","https://www.drugs.com/comments/gabapentin/for-anxiety.html",387,"7.9",23,"gamma-aminobutyric acid analogs  ","Yes"
"Effexor XR","venlafaxine","https://www.drugs.com/mtm/effexor-xr.html","https://www.drugs.com/comments/venlafaxine/effexor-xr-for-anxiety.html",197,"7.1",17,"serotonin-norepinephrine reuptake inhibitors  ","No"
"propranolol","propranolol","https://www.drugs.com/propranolol.html","https://www.drugs.com/comments/propranolol/for-anxiety.html",257,"7.5",15,"non-cardioselective beta blockers, group II antiarrhythmics ","Yes"
"Paxil","paroxetine","https://www.drugs.com/paxil.html","https://www.drugs.com/comments/paroxetine/paxil-for-anxiety.html",224,"7.1",14,"selective serotonin reuptake inhibitors  ","No"
"trazodone","trazodone","https://www.drugs.com/trazodone.html","https://www.drugs.com/comments/trazodone/for-anxiety.html",102,"7.0",14,"phenylpiperazine antidepressants  ","Yes"
"bupropion","bupropion","https://www.drugs.com/bupropion.html","https://www.drugs.com/comments/bupropion/for-anxiety.html",131,"6.1",13,"miscellaneous antidepressants, smoking cessation agents ","Yes"
"clonidine","clonidine","https://www.drugs.com/clonidine.html","https://www.drugs.com/comments/clonidine/for-anxiety.html",55,"7.1",10,"antiadrenergic agents centrally acting  ","Yes"
"venlafaxine","venlafaxine","https://www.drugs.com/venlafaxine.html","https://www.drugs.com/comments/venlafaxine/for-anxiety.html",316,"6.7",10,"serotonin-norepinephrine reuptake inhibitors  ","No"
"duloxetine","duloxetine","https://www.drugs.com/duloxetine.html","https://www.drugs.com/comments/duloxetine/for-anxiety.html",293,"6.5",9,"serotonin-norepinephrine reuptake inhibitors  ","No"
"paroxetine","paroxetine","https://www.drugs.com/paroxetine.html","https://www.drugs.com/comments/paroxetine/for-anxiety.html",294,"7.2",9,"selective serotonin reuptake inhibitors  ","No"
"mirtazapine","mirtazapine","https://www.drugs.com/mirtazapine.html","https://www.drugs.com/comments/mirtazapine/for-anxiety.html",363,"6.7",8,"tetracyclic antidepressants  ","Yes"
