"Drug","User","Date","Period","Review","Score","Likes","Page"
"Tramadol","K","May 31, 2020","Taken for less than 1 month","Maybe I’m the only person here with this reaction but tramadol makes me feel terrible. It gives me awful panic attacks and actually causes me anxiety. I am prescribed it for cervical herniations and I don’t even take it for that because of how much it makes my heart race and the debilitating panic attacks I have when I take it, I’d rather just be in pain. I really wish it worked for me.",1,4,1
"Tramadol","Harlan Thrimplestock","May 30, 2020","Taken for 6 months to 1 year","Tramadol is a life saver. Like most I was prescribed it for pain and when I first took it I noticed I just felt a bit happier. NOTHING like a buzz, just a better mood. Time went on and I realized even taken early in the AM, it would keep me up at night. So I stopped. A couple of years later a friend mentioned he had it and my anxiety had been worsening so I figured I'd try it. Game changer. I take 2-3 (I'm a 190 lb male) and the difference it makes in my mood is incredible. I highly recommend this for people with anxiety and even depression.",10,3,1
"Tramadol","Skip","May 21, 2020","Taken for less than 1 month","I've been taking low doze transform for a long time for pain and klonopin for anxiety.   I can wake up with anxiety so bad I can't talk so now I asked my doc to up it.   He said,  and google it,  take tramadol with 2 Tylenol it ups it.   I don't know but it sure helps anxiety.  I hardly take it now.  I had to google to see that it does help people.. I'm not stopping!",7,4,1
"Tramadol","Rick","May 17, 2020","Taken for 1 to 2 years","Works great for my anxiety and mood",10,3,1
"Tramadol","Bob","May 7, 2020","Taken for 2 to 5 years","Like many others I was initially prescribed this for pain but found its major benefit was in treating my longstanding anxiety. I have come off the SSRIs and only use 50mg Tramadol as required, Certainly not every day or even every week. I have no side effects and definitely no dependency. Given the amazingly positive reviews from anxiety sufferers I am very suspicious of the bad press this drug receives - it must not be a profitable one for the drug companies.",10,5,1
"Tramadol","Sticky","April 30, 2020","-","I never usually respond with comments but feel I must in this case as a duty to help others with anxiety. I realise there are different forms of anxiety? I too suffered anxiety for about 30 years.  I exercise regularly, run, cycle, meditate, gym work, eat all the recommended foods...all the right things. I have been on several serotonin medications which made symptoms worse, almost suicidal, until accustomed after a month.  But only partially successful. I had a new knee operation last year and took a Tramadol-Paracetamol combination for pain for a few weeks (37mg Tramadol per pill, 2, pills 3 times daily.  Also with the depression/anxiety meds. The anxiety totally disappeared. Now I am on  50mg Tramadol nightly, and no other medication, and I have felt so good for 3 months, and no negative side-effects.  I have a new life. I will think about trying 25mg (half tablet) daily My doctor is surprised, but is happy to prescribe based on my feedback !!",10,10,1
"Tramadol","Mikey","April 15, 2020","Taken for 5 to 10 years","I've been taking Tramadol for about 5 years now. I was initially taking it for shoulder pain from a fall. At the time I was taking clonezapam for anxiety along with the tramadol for pain. I no longer take the clonezapam. I take the tramadol for pain and anxiety, I take 50 millegrams and I have had no side effects, I can go days or even weeks without it. It works for me.",10,6,1
"Tramadol","Diego227","April 1, 2020","Taken for 6 months to 1 year","Tramadol helped me tremendously to feel more present and thus less anxious. It is a good idea to expose people to tramadol in low to moderate dosage. Psychiatrists are under pressure to exclude it and are backed by research funded by pharma companies that recommend their drugs.  Where is the money, you ask? Nobody wants to hear about how tramadol helped your depression and or anxiety. Pharma doesn't send  your psychiatrist  to Maui to prescribe tramadol for your depression.  It is sad that such a powerful medication, not less habitual or addictive than the other stuff, is labeled as addictive, habit forming and plain dangerous. Those who know tramadol  (up to 100 mg a day, or just 50mg) will attest to its life changing qualities. Much less anxiety and much better spirits.",10,17,1
"Tramadol","Fox","February 16, 2020","Taken for less than 1 month","Tramadol does wonders to treat anxiety. If you do a search online you will find  stories of horrible side effects and withdrawal symptoms. But keep in mind that happens when taken way too much per day. I stick to 50-100mg per day",10,17,1
"Tramadol","Someone","January 4, 2020","Taken for 1 to 6 months","Tramadol is the 1st med  that really helped my anxiety!",9,12,1
"Tramadol","Rafael","November 17, 2019","Taken for less than 1 month","Life savior. Help a lot, not just with anxiety, but with the bad mood too. Make you wanna do lots of things. Its really great.",10,28,1
"Tramadol","Cat","September 20, 2019","-","I’ve been taking many prescriptions because I have been through many traumatic experiences. I was given tramadol for low back disc herniations. Wow! It helps with my pain, depression, anxiety as well . I’m allowed to take 100mg 3 times a day. I don’t notice the improvement until the second dose and it’s something I would have to have everyday. Drawbacks for me are constipation and insomnia.",9,36,1
"Tramadol","Sky","September 15, 2019","Taken for 1 to 6 months","Omg!! Wow! I started taking Tramadol for pain for my autoimmune condition and RA and I kept noticing that my pain was at a minimum. I USUALLY have a SEVERE case of anxiety and fatigue and probably a little depressed too. Welp, I started asking my family...WHY DO I FEEL SO GOOD? It is definitely a HUGE change for me but I couldn't figure out Why. Finally,I narrowed it down to Tramadol by not taking it for a day. I went right back to my feeling horrible self...so I took it the next day...and HOLY CRAP! My anxiety is low, I feel GOOD and I am sold! I will now gladly take this instead of suffering so badly. So thankful I realized this side effect. It has helped me so much!",10,60,1
