"Drug","User","Date","Period","Review","Score","Likes","Page"
"Trazodone","Momma90","May 23, 2020","Taken for less than 1 month","I got on trazodone just recently literally  Day 3 at half a pill I will begin a full  pill this weekend. I am on it for anxiety, depression, and lack of SLEEP !! Well, it has kept me WIDE AWAKE &amp; miserable. I work 12 hour shifts almost DAILY so when I get off and tend to the home I wanna SLEEP, so I took this pill it did NOT help or MAKE ME SLEEP !! So disappointed !!  My dr said it’s not normal for it to make you stay awake considering what’s in it to help you sleep !!! Calling dr back and I am going to STOP IT ASAP, while I can.  - sincerely sleepy PARENT",1,4,1
"Trazodone","Greg","May 22, 2020","Taken for 1 to 6 months","I have mixed feeling about trazadone.  It helped me a lot, and at that time it was a life saver for me. My insomnia, anxiety, depression just disappeared completely. Before that I had suicidal thoughts, I couldn't get out of the bed, I had social anxiety, panic attacks, but after trazadone I was already a functioning, happy human being. I started to go out with my friends again, I had motivation etc. So far so good BUT it had too many side effects... I needed to sleep like 10-11 hours, I was numb for hours after awakeing, I felt constant dizziness, my sex drive disappeared. And the withdrawal was tough... I had to reduce the amount very slowly. So basically nothing seriously bad, and it is still a decent antidepressant, but there are better SSRIs out there. It will sure help your depression/anxiety, but you will have to pay the price for that (that is true for every medicine btw)",7,7,1
"Trazodone","LUCY","March 31, 2020","Taken for less than 1 month","I have been using Nuzak for many years, started gaining weight and experienced some hair loss  so my Dr prescribed Trazodone 50mg (30).  I took my first pill last night before 8pm. Within 20 min's after taking the pill I started feeling a tingling sensation in my fingers, legs and feet. I looked at my husband and said there is something wrong with me.  I then literally collapsed on the floor. HUBBY said I was unconscious for almost 10 min's . He explained that I felt cold and looked very pale and the weight of my body felt double than normal as he was trying to lift me up.  Eventually I gasped for air and immediately started to vomit. I remember I felt weak and vulnerable (worst feeling ever)!",1,13,1
"Trazodone","Anonymous","March 8, 2020","Taken for 2 to 5 years","I have been taking Trazodone for chronic insomnia and anxiety now for over 3 years. It helps me fall to sleep and lets me sleep quite well for about 7 hours. The only side effects I have noticed are mild headaches and slight dizziness after first taking it",9,19,1
"Trazodone","Middleoflife","February 25, 2020","Taken for 1 to 6 months","I’m a 45 year old female who suffers from mild anxiety and mild depression but is also going through peri menopause. I went to my doctor suffering from insomnia due to night sweats from mid-life body changes but also from anxiety. Hormonal imbalances affect sleep. No fun but  it is what it is. I was prescribed trazadone and take 50 mg 2 weeks during the month and I sleep like a baby. I do get dry mouth but an easy side effect to live with. The first night I took it my heart beat a bit weird but did not the 2nd night on. Additionally it has dialled down my anxiety and depression to barely noticeable levels. I think if it as Diet Lexapro.",10,19,1
"Trazodone","pastasalad","January 14, 2020","-","I started taking it about 3-4 months ago, at first I loved it and it helped me sleep through the night. It’s less effective at keeping me asleep but I now have terrible dizziness and vertigo during the day and have started having terrible panic attacks. I will be cutting my dosage in half and then I’m never taking this again.",2,18,1
"Trazodone","DeeZee","December 12, 2019","Taken for 6 months to 1 year","I started taking Trazodone as my anxiety was so bad it was keeping me from sleeping. I started small, taking only half of the 50mg pill, and worked my way up to a level I now take every night. I never exceed one and a half pills though, I found that if I take too much waking up the next morning is rough and I feel like a zombie. But all in all my sleep schedule has been regular since I started taking Trazodone. There are even some nights where I don't have to take it at all, especially since starting therapy. I enjoy the fact that Trazodone isn't addictive.",9,21,1
"Trazodone","Ash","November 30, 2019","Taken for less than 1 month","Horrible. I'm in my twenties and trazodone 1) Does not help me sleep and 2) Zaps the energy right out of my body even after I wake up. It feels like when you have a really nasty cold and you're drained physically and emotionally; worst feeling ever.",1,17,1
"Trazodone","Homeboy44","November 13, 2019","Taken for 5 to 10 years","Trazodone is the only drug that manages periods of acute anxiety at night. I use it as required up to 200 mg at night and, fortunately, I haven't had any side effects.",10,23,1
"Trazodone","Klg","October 31, 2019","Taken for 1 to 6 months","I am on 150 mg of Zoloft per day to help me with anxiety. It helps. However, the 100 mg tablet of trazodone that I take nightly to help me sleep is a godsend! It stops my racing thoughts and feelings of panic. And now I sleep between six and seven hours per night. Such a relief. I hope it can help you too. By the way, I do get dry mouth. For myself, I feel it is a small price to pay for peace and rest. Do know that trazodone can have drug interactions with some people.",10,26,1
"Trazodone","Ck95","October 27, 2019","Taken for 2 to 5 years","Been on this drug trazodone  for over 3 years for anxiety, insomnia and horrible IBS. I took this drug for granted when I decided with my doctors help to stop them. It’s been a month with some nights having 0 sleep, constant butterflies in my tummy, crying spells and bile and blood in my stool. The gut and brain do work together and I messed it up by stopping. Will be going back on this drug to sort it all out.",8,12,1
"Trazodone","Hammy","October 14, 2019","Taken for 1 to 6 months","I suffer from anxiety and now on 150 mg of trazodone, I’ve always had trouble falling asleep but these knock you out within half a hour and get a full nights sleep, what people forget is anxiety and depression can only be helped so much by taking any pills and requires some will power, I usually go on a 2 mile walk in the morning and in the afternoon, drink plenty of water and also helps me lose a little weight . The only side effects I’ve had is the bad dreams but I wake up and feel good during the day unlike when before I started taking them.",10,25,1
"Trazodone","Mj","October 14, 2019","Taken for less than 1 month","I was given a low dose of Xanax for panic attacks and 100 mg dosage of trazodone for the insomnia at night. The first night I took the 100 mg trazodone I had horrible night terrors and woke up often. The Xanax definitely helped but noticed my panic attacks were getting worse and more frequent. I eventually lowered the dose of trazodone to 50 mg a night and slept well and I found a massive reduction in panic attacks and overall felt better during the day.",8,14,1
"Trazodone","Ragged","October 8, 2019","Taken for less than 1 month","For me it didn't help at all it gave me an increased sensation of fear took it for less then a week the effects of the fear lasted a month+ it was worse at nights nothing like sleeping with the lights on because the fear made me paranoid",1,15,1
