"Drug","User","Date","Period","Review","Score","Likes","Page"
"Valium","shapel","June 3, 2020","Taken for 5 to 10 years","Valium is a drug that can be a life saver or destroyer. This drug for me helps me as long as I have it under control. I find myself always having to be wary of my dosage. This allows me to pretty much go about my normal life, allows me to function, think and gives me the motivation and willingness to do the things I need to do. When on these and under control I find a lot of aspects of my life all coming together where as without it I feel helpless. Too much valium daily however leads to depersonalisation and impulsiveness. Before you know it you will be turning into something else, it is only in hindsight that this becomes apparent. As quickly as this can help improve your life it can crumble it. CONTROL YOUR DOSAGE. So if you can control yourself absolutely I would recommend but be wary it is very easy to lead yourself down the path of a benzo addiction, I have done this become clean and reused several times now.",8,9,1
"Valium","AnxiousGuy","February 22, 2020","Taken for less than 1 month","very calming and peaceful drug, no bad side effects, lasts pretty long and helps me fall asleep.",10,49,1
"Valium","Quinn","February 9, 2020","Taken for 10 years or more","I have been on Valium since 2011 after the sudden passing of my husband. I have always had severe generalized anxiety and was never adequately treated for it, just given seroquel which made me non-functional.  The loss of my husband exacerbated the anxiety condition and I began suffering from insomnia as well. My Dr tried me on a variety of benzodiazepine meds which didn’t last long enough in my system to give me adequate relief. We eventually gave diazepam a try and it worked so well. I started on 20mg a day and over the years I have tapered to a comfortable dose of 10mg daily. It does not make me sleepy or loopy but takes the edge off enough that I can care for my children and function in daily life. Yes there is a bit of a dependence but for me it’s worth it to be somewhat addicted rather than struggle to cope with terrible anxiety symptoms every day. I do recommend Valium as an effective anxiolytic however I would say to be aware of the potential for abuse and dependence.",10,75,1
"Valium","Patti","January 16, 2020","-","Valium is highly addictive and dangerous even deadly.",1,22,1
"Valium","Lolly","December 30, 2019","Taken for 5 to 10 years","I have been suffering with Bi-polar, Severe Depression &amp; Severe Anxiety for many years now &amp; have been put on &amp; tried many different drugs by Dr's BUT the only thing that works is Valium &amp; I take up to three 5 mgs per day &amp; I feel so so GOOD. I can function I  am way more productive &amp; I actually get out &amp; talk to people which is normally a no no for me. I also get a great appetite which I don't have if I don't take any.  I was under a great Psychiatrist for many years until he retired I then had to move to the country where it was extremely hard to even find a GP but I finally did but have had to go private &amp; he has put me onto a barrage of new Dr's to see in the New Year who are all private as well so I am stressed about paying for all of these at the moment &amp; getting the new GP to give me any Valium is like asking for his kidney but on 2 rare occasions he has given ten 10mg Temazepam's which did help but I had to stretch them out.",10,39,1
"Valium","Valium","December 28, 2019","Taken for 10 years or more","Been taking Valium since April, 1969 after I blacked out while working for NASA. This is Jan., 2019, tried to lower the dose so limit my use. During Two weeks I had another blackout. Once I started talking Valium I had no other issue's with think clear, nor had any more black outs. I am a Viet Nam Veteran, 77 years old.  Some doctors will not give you Valium if you are 75 years old.",0,56,1
"Valium","Painman","December 21, 2019","Taken for 1 to 6 months","I have been dependent on morphine and oxycodone in high doses for 20 years than someone suggested suboxone worst decision of my life. I was on it for 8 months and it worked as directed,I was very happy but started reading about PAWS (Post-acute-withdrawal syndrome) and started to wean down well anxiety, panic attacks and confusion hit me like a ton of bricks. Bupernephrine is a horrible drug to get off of. I would rather have gone thru full opiate detox than those. Tried Klonopin, Xanax both were a waste and very addicting! But I was tried on  one 10 mg Valium and I have not felt that normal in ages. I am very leary of any pharmaceutical and don’t take it daily sometimes I put it away for a month. It has truly given my life back but I’m still on a drug. I want to be off everything and I don’t know if that will ever be. But for now I’m not clenching my teeth all day and tossing all night so I’m grateful. Thanks doc for taking a risk on me.",8,49,1
"Valium","Penny","December 12, 2019","Taken for 2 to 5 years","I have suffered with extreme social anxiety for as long as I can remember. Valium has been the only medication that has given me some peace of mind &amp; comfort.",10,77,1
"Valium","DJ","December 2, 2019","Taken for 1 to 2 years","This drug almost killed me, as did the psychiatrist who prescribed it.  In early 2017 I started with this new doctor who completely changed my psych regimen after a difficult move and sudden loss of a sister to a drug overdose. He started me on low dose Valium. It did work, but right away problems were showing.  Soon enough I was hooked and popping these like life savers. My wife expressed concern about it, and what did the doctor do? He increased the dosage and quantity. Soon I was getting through the day with up to thirty pills. I experienced multi organ failure earlier this summer, and subsequent heart failure.  My primary doctor recommended a new psychiatrist, who was shocked at my regimen. He said he wouldn’t see me until I had beaten the addiction. It was tough. He has since switched me to buspirone, although maxed out at 60mg.  Valium may work in the short term, but just don’t do it. It’s a destroyer.",2,18,1
"Valium","Eyebeautyblogs12","November 27, 2019","Taken for less than 1 month","I can’t say this medicine Is horrible for everyone but I can say that I got the unlucky end of the stick. This medicine actually made my anxiety worse! I literally felt like I was losing my mind. I couldn’t sleep at night because my fight or flight response wouldn’t stop rushing through my body and It made me have horrible panic attacks. It got to a point I had to call the EMS because my heart rate went up to 170....I was excited to try the medicine from the reviews because I wanted the relief and calm mind but I will never take this medicine again.",1,17,1
