"Drug","User","Date","Period","Review","Score","Likes","Page"
"Venlafaxine","Rajin","May 3, 2020","Taken for 1 to 6 months","I found it very effective with almost no side effects. I had certain  events that I had to go through that raised my blood pressure to very high levels. Venlafaxine helped to sleep really well at its maximum dosage of 150 mg to 9-10 hours. After almost a week, my BP started to drop. My doctor gradually reduced the dosage  by 25% and my BP returned to normal. I would highly recommend it to anyone to talk to their doctor. Its cost is almost too low to mention. Monthly bill about 15-20 Canadian dollars. 70% comes back from insurance.",9,4,1
"Venlafaxine","K","April 19, 2020","Taken for 2 to 5 years","<b>Effexor XR (venlafaxine):</b>			 I knew my IBS was directly affected by my anxiety and depression, so I went to a doctor to be put on meds to help with that.  Effexor worked wonders! I was able to put back on the 40lbs. I had lost from being sick ALL the time. And zero panic attacks. It's not as good at helping my depression, but it is noticeably better still.  The only issue I have with it is that it absolutely WRECKS my stomach if I miss even a single dose, so I have to be really careful about that. But I mean, it's made my life so much more liveable that I consider that a small issue.",0,13,1
"Venlafaxine","Anonymous","March 14, 2020","Taken for less than 1 month","<b>Effexor XR (venlafaxine):</b>			 On effexor for 2 weeks anxiety has increased when I take it. Hoping it will kick in soon  Not many side effects.",0,8,1
"Venlafaxine","Sara Jane","March 14, 2020","Taken for 1 to 6 months","<b>Effexor XR (venlafaxine):</b>			 Effexor is helping me calm down and it’s helping my relationship with my boyfriend. I got put on it for my agitation, irritability , anxiety, social anxiety.  I no longer am snappy and argumentative.  I know people say it’s hard to withdraw off but it’s saving my life and I plan to stay on it for a long time.  Thumbs up",0,33,1
"Venlafaxine","Maxxi","March 7, 2020","Taken for 1 to 6 months","<b>Effexor XR (venlafaxine):</b>			 Put on lots of weight on this tablet  Apart from that it’s pretty good",0,7,1
"Venlafaxine","Dani","February 27, 2020","Taken for 6 months to 1 year","I've been on venlafaxine 75mg for 7 months. Have been dealing with general anxiety and OCD all my adult life but never taken meds before. First positive effect was not tearing up all the time over a sudden wave of grief. At 2 months I wasn't depressed at all anymore. I don't get stuck in the obsessive anxiety spirals anymore. I think I still experience the feelings of fear and sadness and regret but they don't consume me every day and color my every thought. During the first 2 weeks I experienced dry mouth, nausea and headaches. I take the dose in the morning and if I forget, the next night I will wake up in cold sweat. I haven't noticed other side effects. If I forget for ~12h I don't notice a difference. I'm a 30-year-old woman.",9,16,1
"Venlafaxine","aimeejuniper","February 25, 2020","-","<b>Effexor XR (venlafaxine):</b>			 I'm a 27 y/o female, good health but have GAD and MDD. I began taking Effexor XR when I began having panic attacks while driving. I began with 37.5mg for 4 weeks, then upped to 75mg after that. After 3 months, I began to sweat in my sleep despite not feeling overheated. I began to suffer from sexual dysfunction, lost my libido and had difficulty reaching an orgasm (neither had been an issue previously). My appetite increased and I gained 25lbs in 1 year. I also noticed I felt very flat emotionally. I wrote this because I feel like positive reviews are lacking. Effexor absolutely improved my anxiety. The side effects were unpleasant but not severe. Stopping this medication suddenly can cause withdrawal symptoms, so when I switched to a new one, I slowly tapered off it by opening the capsule and counting the granules, reducing them by about 4 per day. I did not suffer from any brain zaps or any withdrawal symptoms.",0,33,1
"Venlafaxine","FreeTrog","February 24, 2020","-","When I was first prescribed Venlofaxine X-ray 75mg it zombified me and I spent the next 2 months feeling hungover, headaches, dizziness and wanting to sleep ALL day. During the 3rd month I started to feel a little better. At my next check-up my dr upped the dose to 150mg. Again I spent about a month and a half feeling tired, dizziness, headaches. Now 9 months later I still have days where I feel emotionally exhausted, and I’ve noticed when I haven’t slept well the night before I get the  whooshing  sound in my head, and can ‘hear’ my eyes move when I look somewhere a little too quick (so relieved to read others have experienced this too haha), other than those I am honestly feeling so much better. The worst side effect for me to deal with is a nil sex drive.  Yes there are a lot of horror stories out there regarding this medication, but one persons bad experience shouldn’t discount it for you.",8,11,1
"Venlafaxine","Anonymous","February 14, 2020","Taken for 6 months to 1 year","I never understood why antidepressants were linked to suicidality, until I tried Effexor. I had been on lexapro for 8 years for anxiety, but got fed up with the apathy and loss of libido, and it just wan't working well. Switched to Effexor XR, was on 75mg for a total of 6 months. I slowly became more and more depressed, agitated, and began to have suicidal thoughts daily- I've never had any of these problems before- I was taking these drugs for anxiety after all, not depression. I was extremely numb emotionally, and lacked any semblance of empathy, compassion, or affection as a result. In a way, this medication numbed me to the idea of death, whereby suicide seemed ok. Tapering off and feeling back to normal. Horrible, horrible drug, for me at least...",1,6,1
"Venlafaxine","Anonymous","February 12, 2020","Taken for 1 to 2 years","<b>Effexor XR (venlafaxine):</b>			 I’ve tried many different drugs for anxiety and depression, the last being Lexapro which did nothing to help me. Gave Effexor a try and I’ve noticed a big difference. I’m able to go out in public more without getting anxious, I rarely get depressed, and my mood has improved tremendously. No side effects. Just be careful to take it every single day and don’t miss a dose; my nurse practitioner said people feel terrible if they do",0,32,1
