"Drug","User","Date","Period","Review","Score","Likes","Page"
"Vilazodone","Paila","February 26, 2020","Taken for 1 to 6 months","Less sleepiness. I feel more energetic and am focusing better.  My function is better. Not depressed or down even with 10 mg a day. However, It does not cover my anxiety and an hour after I take it, I start having worries and butterflies.  It kind of makes me tense, but definitely targets depression and psychomotor retardation.",7,0,1
"Vilazodone","Cookie","February 7, 2020","Taken for 1 to 6 months","My experience was mixed.  I suffer from anxiety and depression. I felt better mentally, but became very agitated at work because of some stupid choices management has made for several years and I went off on my manager 3 days in a row before I decided Viibryd was not for me.  At least I managed to get things off my chest without getting fired.",3,1,1
"Vilazodone","So","November 25, 2019","-","I have been on anti depressants and benzos for over 30 years, the benzos still work the best but this is by far the best anti depressant I have ever come across for reducing my anxiety and calming me down. Have been on tofranil, Effexor, Paxil, Zoloft, over the years and Viibryd is head and shoulders above the other anti depressants!",9,11,1
"Vilazodone","Daneel","November 20, 2019","-","Bad experience taking this drug vilazodone for anxiety and depression.  1) Side effects starting it were mostly stomach upset and some headache.  Not too bad. 2) Switched from Lexapro to this, then on Viibryd 20 mg for 1 month. At first I thought it was working, but as time went on my anxiety got worse.  It got much worse than it had ever been without medication.  My depression got worse as well. It got to the point where some days I would feel intense anxiety all day, couldn't eat, and had to take a clonazepam just to calm down enough to sleep.  3) Getting off of this medication was so hard for me. Dropping down from 20 mg to 10 mg, over four days I went from irritable, to moody, to severely depressed and crawling out of my skin.  I went right back up to 20 mg, and over the course of a couple of days those severe side effects went away. Eventually got off it, but very slowly.",1,3,1
"Vilazodone","Dee","September 28, 2019","Taken for less than 1 month","I started on viibryd September 24 on 10 mg. I am currently day five on 20 mg. So far no tangible changes. My anxiety is through the roof because of work and this hasn’t made a dent in it. My sleep is ok, the nausea is awful and increased because I’m anxious. I’m hopeful though. I been off and on meds since I was 16. Zoloft for years! Tried Paxil which was horrid. Escitalopram probably has been the best anxiety wise, but it too ran it’s course. I tried it with abilify but that wasn’t good either. Can anyone post if they tried something that really made a difference for high anxiety? Currently I  dread each day, cry uncontrollably and am a constant state of fight or flight.",1,6,1
"Vilazodone","jmw12345","September 12, 2019","Taken for less than 1 month","I have had social anxiety all of my life. I am a 38 year old female. My biggest concern taking SSR's is the sexual side effects. Viibryd had the same effect, unfortunately. I was very hopeful and sadly disappointed. I took Viibryd for 3 weeks, with sexual side effects after one week. One top of extreme nausea and insomnia almost instantly. I could have managed the nausea and insomnia, but no way I can manage a healthy marriage with no orgasm, EVER. So, once again I am searching for an anti-anxiety medication that won't kill sex and my marriage.",1,2,1
"Vilazodone","manonthemooon","September 6, 2019","Taken for less than 1 month","Started out on a trial pack of  vilazodone 10mg first week, 20mg second week until insurance approved coverage. Most noticeable side effects were: feeling sick, diarrhea, having to urinate more often, agitation/anger, worse memory and I occasionally had sleep issues on it. These side effects for me amplified when moving on to the 20mg. I'd recommend anyone considering this medication to really review other options, while on this medication even for just a short while, I've developed trust issues with others, and anger that I never displayed while not on this medication. It did seem to help my anxiety symptoms for about the first week (could completely be placebo effect), but since my anxiety has only gotten worse, and in-turn has made my depression come back. However this is just my experience, many others have had different positive experiences, and you could too.",2,5,1
"Vilazodone","Anonymous","September 1, 2019","Taken for 1 to 6 months","I was switched to Viibryd 20mg. My depression had decreased significantly but I was still anxious. After 1 month My doctor updated dosage to 40 mg and after only 10 days my anxiety turned to panic attacks and nightmares.  Because my anxiety had increased my depression started showing up again. Talking to my doctor now to switch off of this medication.",5,4,1
"Vilazodone","lala","August 29, 2019","Taken for 1 to 2 years","I started vilazodone because of the sexual side effects of SSRIs.  I have been on meds for depression for almost 30 years.  I recently went on vacation and got sick and had to stop because of the nausea that Viibryd causes me to have daily.  I feel calmer and have more insight to my problems instead of catastrofying everything.  I had a really bad spring where I really alienated my daughter with obsessive anxiety. I'm not sure why I took it so long. I guess when you are in the middle of something you don't see it.  I still have anxiety but I'm calmer.  I'm on 150 mgs of Lamictal.  I had zero withdrawal, but I would check with Dr.  I gained 10 lbs when I went from 10 mgs to 20 mgs.",2,0,1
"Vilazodone","Penny","August 25, 2019","Taken for less than 1 month","After 3 weeks my anxiety has increased so much that I am spending e night waking up over and over in a state of panic.  It has caused me to lose several nights of sleep.  Cannot do this anymore but now I have to taper off.  It even gives serious   stomach issues.  I  have-to continue to take it while reducing and not just quit. I am dreading the next couple of weeks.",1,2,1
