"Drug","User","Date","Period","Review","Score","Likes","Page"
"Xanax","kappa kappa gamma","May 31, 2020","-","I’ve had benzodiazepine prescriptions (ativan, k-pin, &amp; xanax) since 15 y/o until now (20 y/o). Over the past 5 years, it’s been rough managing physical and psychological dependency issues. I’ll blackout for a week at a time and proceed to buy fake xans from friends (usually cut with fentanyl and other bad stuff). During my attempt to wean off the drug, I ended up having a grand mal seizure at a party (Dec. 2019). Since then, managing sobriety from all benzos has lead to self medicating through other substances  (cannabis, ketamine, cocaine, kratom, norcos). I was living in my sorority’s chapter house but moved into a fraternity house about 3 months ago, in which 3 brothers are active xanax users. It is really rough  Basically, if you’re prone to addiction (runs in the family, other psychiatric conditions, etc) watch out dude",3,7,1
"Xanax","Reinier","April 17, 2020","Taken for 10 years or more","I have used Xanax for 20 years. Always taken it as needed, and it works wonderfully, no side effects at all, no getting used to it as evidenced by not using it for days and no withdrawal. I tried everything else suffering severe side effects like Seroquel. I only need 1mg twice a day, maybe on real panic day three times.",10,31,1
"Xanax","Noel Garnet","March 10, 2020","Taken for 1 to 6 months","This drug has saved me on a thousand occasions, from generalized anxiety to panic attacks or somatic tension, up to situations of severe insomnia where the next day I had to get up early in the morning. I have always considered it a godsend, it is an excellent anxiolytic and it is very useful also for those suffering from sleep disorders, because it does not leave heaviness or numbness the next day, due to its short duration of action in the body. My average dosage is 20 drops (0.50 mg). What can I say, to me it is the best anxiolytic!",10,33,1
"Xanax","Vin","March 9, 2020","Taken for 1 to 6 months","I have Poliaradiculoneuropathy (when polyneuropathy and polyradiculopathy occur together).  Xanax is not so great for general anxiety, but I appreciate this drug, since I discovered its off label use for my terrible neuropathy. It reduces my legs pain and stiffness by ca. 70% and set me free from being bedridden. Now I can walk several km with the help of crutches and feel more like human again. I am getting addicted to it, but I could care less.",7,24,1
"Xanax","PANICATTHEDISCO","February 26, 2020","Taken for 2 to 5 years","3yrs on and off as needed.  Not sure why this is a popular recreational drug?  It really just make me feel normal again when I start getting high bp spikes from anxiety and panic attack symptoms.  It definitely works, no side effects that I have been aware of.",10,51,1
"Xanax","Brokey","February 25, 2020","Taken for 10 years or more","I have been on xanax for 30 years and it worked great for my anxiety and panic attacks.  I am not addicted but it help with everything bothering me. Well my Dr.  just cut me off abruptly !  The withdraw is terrible.  I was willing to wean myself off of them but cut off.",10,43,1
"Xanax","Anonymous","February 16, 2020","Taken for 5 to 10 years","I have been on xanax for over five years. I am not addicted. I take them as prescribed. I don't drink and I have positive results. I have no side effects",10,47,1
"Xanax","Js","February 1, 2020","Taken for 5 to 10 years","I've taken xanax to help me sleep for several years. I try to take it as little as possible so I won't get addicted. It makes me tired, even at.25 so I don't take it during the day. Luckily, I don't suffer from panic attacks very often.  I probably take it a few times a month just before bed. It works better than it antihistamines although I frequently wake up after 6 hours which is all it seems to last. I have heard about it leading to Alzheimer's though. I'm afraid of that.",9,27,1
"Xanax","tiger","January 22, 2020","-","I have been on Xanax for about 20 years, 1mg for sleep. I am not addicted to it but dependent like a person with high blood pressure is dependent on meds., or diabetic dependent on insulin, or humans dependent on oxygen.   I have had no side reactions and am 78 years old.  It has saved my life.  Try not sleeping for a week and see what happens. You will be inside your worse nightmare Why the uproar over physical dependence, I do not know.  It must come from the Gov.",10,107,1
"Xanax","sunnyrayod","January 19, 2020","-","I have been using this drug for several years for my anxiety attacks, and it great. But anxiety has been getting worse and worse especially during work which causes heart stress (thanks so much anxiety..), so my doctor is now letting me take it during my 5-day work week. It works excellently. I am so much more calm and present at work. I will say I am a lot more lethargic, and that is noticeable. But otherwise I have no side effects, so I will continue with this treatment and I am so glad that it is so effective. The good outweighs the bad for me, but I will say that if you tend to be more dependent on drugs like these, I don’t recommend it for you. I have no addiction to it and no withdrawal symptoms when go days without after taking it for multiple days in a row. So just be aware, and pay attention to your body. If you are struggling with learning the difference between wanting another dose and needing another dose, talk to your doctor.",10,41,1
