"Drug","User","Date","Period","Review","Score","Likes","Page"
"Aripiprazole","Jay P","June 9, 2020","Taken for less than 1 month","<b>Abilify (aripiprazole):</b>			 I just started this Abilify at a 5mg dose and am going up to 10 mg today. Side effects were - nausea briefly -  restlessness that might keep waking you up at night. Both of these went away. I was told by my psych that I might feel shaky but that should pass. Positives so far are less rumination and constant thinking. Less daydreaming. It doesn’t affect my actual ability to think. I haven’t gone manic on this yet. My temperament seems to be even and my energy level is good. I'll check back in in a month with the 10mg review. Thanks all.",0,9,1
"Aripiprazole","ailik","May 28, 2020","Taken for 1 to 6 months","<b>Abilify (aripiprazole):</b>			 I took this medication for about two months I'd say. The highest I ever went to was 5mg. While it did work on the depression, it made the mania a lot worse to the point where I went psychotic and ended up in the hospital. The biggest issue I had was that the doctor was very intent on keeping me on this drug despite the fact it was not working.",0,4,1
"Aripiprazole","pay123","May 4, 2020","Taken for less than 1 month","I was diagnosed with Bipolar 1, and this medicine was unfortunately a nightmare for me. Within the first night of taking it, I was up with vomiting and diarrhea to the point I was glued to the toilet. I was so weak I could not even stand up without getting dizzy, chills, and nauseated. I would nearly pass out anytime I even moved. I was stuck in bed for a whole week and had to miss work. I did not notice any good effects, but since I was so sick I wasn't particularly paying attention to my mental status. I only took the meds for 3 days before I had to stop because I literally could not function. I hope this was not a common occurrence and others are able to get relief from this medication- but for me it brought on very very bad side effects.",1,2,1
"Aripiprazole","gs","April 26, 2020","Taken for 6 months to 1 year","aripiprazole is the worst antipsychotic I ever took. It managed mania and psychosis well but I barely had thoughts or motivation and it did nothing for my depression.  Then I got horrible akathisia so I refused to take it anymore.",3,1,1
"Aripiprazole","Cookie","March 7, 2020","Taken for 1 to 6 months","<b>Abilify (aripiprazole):</b>			 Abilify and zoloft work well for my bipolar depression. My mood was never been so controlled, I feel like a new and normal person. It kills my sex drive so I also take a supplement for women which helps a lot.",0,14,1
"Aripiprazole","Fernando Wong","February 17, 2020","Taken for 1 to 6 months","<b>Abilify (aripiprazole):</b>			 Abilify helped with my manic episodes, but gained 15 pounds after a month and spiralled into a horrible depression that saw me in bed for weeks after I tried to come off the drug. Felt near completely disabled. Not for me.",0,17,1
"Aripiprazole","Dunker","February 15, 2020","Taken for 2 to 5 years","I have been on Zyprexa, Aripiprazole and both at the same time. Zyprexa was awful. I gained weight, lost my libido, and had ED. Coming off Zyprexa was the hardest thing on earth. Now that I am on the Aripiprazole 10 mg I am doing so much better and have lost 60lbs. My mania rarely bothers me and my depression is less of an issue too. I have major depressive disorder as well as being bipolar. I also take lamotrigine. I'm actually starting to enjoy life again.",10,9,1
"Aripiprazole","Hellokittie","February 6, 2020","Taken for 6 months to 1 year","<b>Abilify (aripiprazole):</b>			 This medication has ruined my self esteem and essentially my life. I have gained 50 lbs from this medication. That wasn’t a typo 50 freaking lbs!!! I’ve recently stopped taking it but no weight has come off yet. I’m beside myself. I don’t know what to do. I hate the way I look now.",0,24,1
"Aripiprazole","Bill","February 2, 2020","Taken for 1 to 2 years","<b>Abilify (aripiprazole):</b>			 Be careful, Abilify caused a massive compulsive gambling addiction where I lost tens of thousands over time. I mentioned it to the doctor early on but she ignored it, didn't note it or change the meds. Guess I was hooked on the buzz. Stopped taking Abilify.  Stopped gambling recklessly. Compulsive gambling addiction is a mental health disorder itself.  Who'd have thought that the NHS would prescribe this dangerous drug that can cause it? Sounds ridiculous but true.  There was a guy with Parkinsons prescribed it in England, went full on the National Lottery online games and scratch cards etc ... but won his case for not being advised properly of the potential side effects and got most of the losses back. They don't care for my complaint.   A class action lawsuit is underway in the United States because it wasn't on the label.  Suing a big Japanese pharmaceutical company seems okay. Lost all interest in work and drifted for 18 months.",0,12,1
"Aripiprazole","Parliament625","January 25, 2020","Taken for 10 years or more","<b>Abilify (aripiprazole):</b>			 I am diagnosed with Bipolar 1 and in my 20s suffered through 3 major manic psychotic episodes which led to at least month long hospitalizations each time. After the first episode, I was put on zyprexa in which I felt zombified and depressed on which led me to go off of it entirely. Less than a year later I was hospitalized again and at that point I was introduced to Abilify. Three years passed during which I was stable. I then went off of it which led to my third and final hospitalization. Ever since then I took the 20mg tablets religiously and would soon combine it with Lamictal. This combo has worked wonders for me. Years ago a doctor told me that I’m on the Rolls Royce of bipolar medication and I firmly agree. About a year ago I started taking the 400mg injection which helped me lose at least 30 pounds. I find the injection the most effective method of taking Abilify. It has been a life saver for me!",0,25,1
