"Drug","User","Date","Period","Review","Score","Likes","Page"
"Bupropion","Zedbazi","May 23, 2020","-","One of the bests any  meds if used responsibly and keep the dosage as low as possible especially for bipolars.",9,1,1
"Bupropion","JBakes","April 8, 2020","Taken for 6 months to 1 year","Prescribed Bupropion (Zyban) for my depression associated with Bipolar II Disorder. We started at 150mg some time ago and it must not have worked as when I went back we increased to 225mg. Still complaining of depression we later increased to 300mg at which point I started to experience unpleasant side effects (sleep disturbance, racing thoughts, anxiety). I can safely say this drug did not do its job and I am disappointed I was not put on other drug/s recommended by the literature before this one. It has taken me 6-12 months to work this out. Plus it is hideously expensive.",2,2,1
"Bupropion","K","April 7, 2020","Taken for 6 months to 1 year","So I have a history of Bupropion. I first started it in July 2019 for bipolar disorder and lasted only 3 days on 150XL. My doctor was sure that after months of other meds not working that this would be the one for me. It caused tremors in my hands and face and it was horrible. I then started taking Latuda 60mg. I decided for anxiety to start taking the bupropion again after my doctor recommended it. I started out on 100mg. I then upped it to 150 but it caused manic episodes. So I lowered it back to 100mg. It’s been very beneficial since then and it’s very helpful in my cocktail of meds. This plus Latuda and Zoloft have changed my life and all my anxiety is pretty much gone and the bipolar is under control.",9,3,1
"Bupropion","Riley","March 10, 2020","Taken for less than 1 month","My doctor put me on bupropion XL 150mg and it was awful! Two weeks in I started having terrible anger and irritability spells to where I would just scream. After 17 days I had to stop taking it. The worst side effect I’m actually STILL having though since stopping is actually weight GAIN !?! I have even decreased my calories and increased my exercise to bring my weight back to normal but nothing is working! I’ve become so frustrated and my doctors are no help. Has anyone else experienced weight gain from this medication not related to overeating ? I am so desperate for answers :(",1,5,1
"Bupropion","Whaddup","November 23, 2019","Taken for 6 months to 1 year","I LOVE THIS MEDICATION!! After trying Lexapro which ended up not working at all, (I found out I genetically don’t respond to SSRI’s), my psychiatrist prescribed 150mg of Wellbutrin XL(Bupropion HCL). This is the only thing that was able to pull me out of a deep  depression! Before this medication I had constant suicidal ideation, and would always be upset/having crying episodes. I would hate everyone and everything. Even though I still experience a little irritability from time to time, I’ll take it over the symptoms I was experiencing before. I did have to bump up my dose to 300mg though eventually because I was still experiencing breakthrough symptoms on 150mg. This medication combined with Lamictal changed my life!!! Currently, this is the best I’ve ever felt.",10,13,1
"Bupropion","A-nonny-mouse","October 13, 2019","Taken for 2 to 5 years","If you have Bipolar Disorder type II, please learn as much as you can about this condition from professional, reputable sources so you can make informed decisions about treatment and management options. This is a treatable, manageable illness, take hope in that.   After 20+ years struggling to cure myself naturally &amp; being miserable, dangerously depressed &amp; dysfunctional, I finally decided to try psych medication.   I found a doctor who SPECIALISES in this disorder and is up to date with the latest research findings in this specific condition. If you don't like your current GP or Psych's attitude, find someone else! I started a combo of Lamictal (AM &amp; PM) &amp; Seroquel (Only PM - makes you drowsy). I kept a daily mood diary &amp; it took 3 months for my mood to fully stabilise. To help the bipolar depression, we added bupropion &amp; N-Acetyl Cysteine, a supplement (all based on clinical research!). For 5 years now, I’ve had my life back.  Deciding to take this medication saved my life.",10,5,1
"Bupropion","Darktragedy","August 28, 2019","Taken for 6 months to 1 year","After having a breakdown and realizing I'm bipolar, not major depressive like I was diagnosed with over twenty years ago, my Dr started me on this. I had been on it years ago and had done well until it started making me anxious. This time it completely stopped my impulsivity, my compulsive behavior and brought me out of the horrible pit I was in. It took a good two months to get me stable and I lost weight in the beginning. Then I started craving carbs bad, but I switched from the 12 hour to instant release and it's much better now. I have better energy with the instant and no more headaches like the SR gave me. Still not quite where I want to be, but better than I was.",9,2,1
"Bupropion","MEH","August 15, 2019","Taken for less than 1 month","How much was your guys starting dose with bupropion I am put on very low doseage of 75 MG SR because I am bipolar and my dr always seem to put low dose on different meds before increasing and how long did it take for you to work. thanks",0,1,1
"Bupropion","Deco","July 17, 2019","Taken for less than 1 month","I've been on this for almost 4 weeks. I am overweight as a result of other meds &amp; emotional eating, which I do when depressed- for some reason especially when someone else is eating-- it's almost an impulse. I have lost five pounds now and find myself able to turn down sweets, be satisfied on normal portions, and generally able to control saying No to mindless and emotional eating. I can see why this would help smokers- I was becoming addicted to food. This alone has made me feel optimistic, but it was only after a couple of days that I began to notice certain other behaviors changing toward my self but more importantly others who deserved better from me. I hope that this proves to be what I need, I'm tired from trying so many other meds that haven't worked!",8,10,1
"Bupropion","Mongo","July 4, 2019","Taken for 1 to 6 months","I was always a Crazy Child and people envied my character and confidence. Although they all saw me as that, I was actually going through a lot in my head. I would be the happiest person alive in the room, while my mind was thinking of how I could end it all. I lived with that for 19 years no medication. I hate medication, but after being in a 2 month slump of depression I decided it was time. My DR told me it might or might not work but it would help with that nicotine addiction so I was for it. After taking it 3 days I felt hot, different, and had a horrible date (she doesn't talk to me now), so I stopped. I felt good the next week but felt depressed again so I tried again for a few weeks and felt good for the most part except the anxiety just ruined my confidence and sex drive. I am still feeling like I'm not right and I and in a continuous cycle of not knowing what to do. It is great for depression but for Biplar Disorder it its a hit or miss..",3,3,1
"Bupropion","Anonymous","June 21, 2019","Taken for 6 months to 1 year","I started this medication bupropion to treat the depression of my bipolar type 2 disorder. It really works! My mood stabilized and my outlook on life significantly improved. However, I completely lost my appetite and got down to 96lbs. I’m a 25 year old woman and I’m now severely underweight. Bupropion is still worth it to me though. It helped me pick myself up and change my life.",9,11,1
