"Drug","User","Date","Period","Review","Score","Likes","Page"
"Clonazepam","Greatful","March 2, 2020","-","I have bipolar and am a rapid cycler, every 2 weeks. Take depakote daily, and 1 mg klonopin at night.  Since my cycle is  predictable, I take 1 extra 1 mg klonopin 2 days before my cycle starts and it prevents me from going up. I am really tired the next day, but worth it.  1/4 klonopin under tongue helps me with panic attacks, especially in traffic.",10,6,1
"Clonazepam","D","February 10, 2020","Taken for 5 to 10 years","I need klonopin to function but the Veterans hospital that I go to doesn’t believe in giving them out. I have to beg my psych dr to prescribe them to me and he will give me fifteen 5mg tabs for the month. They help but if he would give me 1 mg at night I would be able to function like a regular human being. Sometimes I even have to resort to buy some off a friend. I don’t care! They help get me out if bed and live in the real world. I would never abuse these. They are a life saver for me.",10,6,1
"Clonazepam","PS","January 5, 2020","Taken for 2 to 5 years","I was overcome 24/7 with severe anxiety and had panic attacks.  Was on Lithium and Paxil.  Added Serroquel for about 1 year.  Bipolar 1; took about 6 years to recover, get off SSDI and get my life back.  Was on up to 3mgs clonazepam a day, reduced over the 4 yrs I took it and was on 1mg at night for the last couple of years.  Recently tapered off completely.  I did not rush the tapering and had little difficulty.  Mainly had some issues with insomnia.",9,3,1
"Clonazepam","Miss S","August 30, 2019","-","I have bipolar and borderline. Clonazepam doesn't help treating my diseases, but is very helpful at minimizing many symptoms as anxiety, panic attack, insomnia and similar, so it makes life much easier.",10,13,1
"Clonazepam","ow7en","April 16, 2019","Taken for 1 to 6 months","Along with taking clonazepam for anxiety and panic disorder, my doctor has prescribed clonazepam to help my mood due to bipolar depression. This medicine is a miracle for me, it makes me clear-headed, motivated, calm, and ready to face the world. It helped me get my life back.",9,17,1
"Clonazepam","Anonymous","May 17, 2018","Taken for 1 to 2 years","I suffered for years with anxiety due to Bipolar. Finally saw a pdoc that prescribed me with Clonazepam. I take 0.5mg daily though am only suppose to take it when things are bad. I notice when I take it daily then everyday is good. When things are really bad I take 1.5mg per day split throughout the day. So far after 2 years everything is going well and I can function like the norms do.",9,16,1
"Clonazepam","Marissa K.","March 13, 2018","-","Since a teenager I was thought to be just depressed (2 suicide attempts and months in hospitals). I spent my early years on Welbutren(sp?) at 18 after another episode, I was switched to Zoloft.  I stayed on that for almost 2 years, but would go from feeling  nothing at all, to pacing in my room not able to sleep for days.  Scared to death about everything.  After I’d come out of these phases, that some times lasted months, I would sit back and be embarrassed for all my outrageous actions (quitting colleges, acquiring far too many ferrets, because I honestly believed they’d save me, only wearing one outfit but insisting to do my laundry every day etc...)  Finally at the age of 24 I was prescribed Klonopin.  .05 mg up to 3 Times a day.  90 a month.  Suddenly I could sleep again.  I didn’t believe in mysterious rituals, I could actually hold down a job.  I was diagnosed with Bipolar depression and got prescribed Klonopin paired with lexapro.  It has literally been life changing.",9,19,1
"Clonazepam","MyFightSong","May 7, 2017","Taken for less than 1 month","I have bipolar 2 with rapid mood cycling occasional suicidal ideations.  After taking citalopram for 12 years for what doc thought was regular depression, I went off that and now searching for mood stabilizer for bipolar moods.   Clonazapam 0.5 2x daily helped stabilize my anxiety after all of this and Ativan 0.5 as needed for panic attacks.  Clonazapam is great because it stays in your system much longer than Ativan.  Overall, Clonazapam is a life saver for me (especially at time with PMS moods!)  Still searching for a good mood stabilizer bc I still have 'bad' days though but always stay POSITIVE THIS TOO SHALL PASS keep going to your doc and psych!  Peace.",10,23,1
"Clonazepam","Kirk01","March 3, 2017","Taken for 2 to 5 years","I have been using 2 mg of clonazepam at night for over 3 year with 60 mg of fluoxetine in the morning.  I have found I feel much better than the regimen of seroquel, clonazepam, wellbutrin, fluoxetine and atarax I was previously on.  I find the clonazepam works better than tegretol, valproic acid or lithium for me.  Clonazepam has anti-seizure properties as well as anxiolytic properties that work well for me along with with the mood lift Prozac gives.  I recommend it if you have Bipolar Disorder.",10,25,1
"Clonazepam","roseofsharon-butterfly","February 4, 2017","-","I went without night time sleep for 3 months even more.  I was about ready for the hospital.  Clonazepam was the miracle that gave sleep back to me.  I am grateful to this medicine.  I have bipolar disorder.  The other mood stabilizer that is now working better than any others I have been on is Lamictal.  I am really happy to where I've come to be.  It's a good place.",10,17,1
