"Drug","User","Date","Period","Review","Score","Likes","Page"
"Escitalopram","Rosie","April 5, 2020","Taken for less than 1 month","I have cyclothymia and I’m under 18. I was also in a depressive episode at the time. I’ve tried other ssris and all they did was make me depressed. My doctor put me on lexapro because I have really bad anxiety. It caused me to be in a very dark placel, very depressed, emotionally numb, and felt almost robotic like. I was also on seroquel and lamictal. I think ssris just make me more suicidal for some reason.",1,4,1
"Escitalopram","potato","February 4, 2020","Taken for 2 to 5 years","Hello, I've been long diagnosed bipolar II (since a preteen) I've tried many medications with awful outcomes - escitalopram has been the only thing that has ever helped. I started out on 10 mg which was eventually increased to 20 mg which I continue to take to this day. My disaster plan with my doctor is to start quetiapine once daily along with my escitalopram which has worked great. This plan has kept me out of the hospital and psych ward. My only complaint about escitalopram is the sexual dysfunction side effect. I am lucky that I am still able to achieve orgasm but it takes 4x as long as I do unmedicated. I know this is such an awful side effect but you have to look at the pros and cons... don't give up on your medication for a partner.",10,4,1
"Escitalopram","Morticia","January 27, 2020","Taken for 1 to 6 months","I've been of escitalopram for a month now, and I can't explain I just feel so... ok. I'm bipolar type II and before starting therapy and the meds I used to deeply love or hate myself. I used to think I was amazing, beautiful, great at everything, and then the hypomania would pass, enters the depression and hating myself for being rude to others, arrogant, talking too much, believing that was me. Anyway, the drug made me nauseous and sleepy for the first week, but after that I'm really happy with it. I'm more calm, I'm stable and feel in control of my life and emotions for the first time ever. The only negative point in my experience is that it makes me drunk way faster, but since I only drink occasionally and with friends it isn't a huge problem.",10,3,1
"Escitalopram","Jk","November 28, 2019","Taken for 5 to 10 years","6 year use stalopam (escitalopram brand Lupin) 10 mg medicine good experience",0,0,1
"Escitalopram","dreamer428","September 19, 2019","Taken for 2 to 5 years","This (escitalopram) is the third drug I tried for anxiety and depression before I was diagnosed with bipolar ii. I feel like myself. I no longer overthink minor setbacks or inconveniences and have an easier time managing stress. I’ve been taking Lexapro for two years. Tried other mood stabilizers in conjunction but stopped as they didn’t help. Side effects: I get very tired early evening always and experienced nausea first few months.",9,10,1
"Escitalopram","thankful","July 27, 2019","-","After battling anxiety and depression since childhood (recently diagnosed as bipolar ii), and trying COUNTLESS drugs as therapy, lexapro is the first to have such a profound effect on me. I feel like myself, and not just every now and then, but everyday. Things that would have thrown me for a loop of overthinking in the past no longer do, I can rationalize and talk myself out of negative thinking, and I'm not constantly spiraling. I feel like I have my life back thanks to this miracle of a medicine. I recently applied and got accepted for my dream job, am moving to my dream city, and am handling it like I've wanted to but never could. Finding the right medication is a JOURNEY and can be such a frustration, but stick with it because when you do, it helps so much.  ALSO, my only downside thus far (have been taking for 3 weeks now) is that I am VERY sleepy.",9,12,1
"Escitalopram","Luke","July 2, 2019","Taken for 1 to 6 months","It didn’t really help me at all, it only minorly helped my OCD.",1,2,1
"Escitalopram","LOL","June 25, 2019","Taken for 2 to 5 years","Escitalopram was good  for bipolar until it stopped to work after 3 years",9,3,1
"Escitalopram","tomnik","February 25, 2019","Taken for 6 months to 1 year","Had to stop it because of loss of libido",7,5,1
"Escitalopram","Ogre","October 25, 2018","Taken for 1 to 6 months","I don't rapid cycle,  really.   I have been on lithium for 7 years and it has done wonders for my mania and insomnia issues.   I do go through short bouts of depression,  but not something I can't power through.   However I was hit with a very long lasting depression that severely hampered my work attendance and aspects of my family life.   My Psychiatrist put me on Lexapro and it did wonders for me.   However,  it really cut into my lithiums ability to control my insomnia and mania.  I was really only getting 1 to 2 hours a day sleep,  if that.   Doc had me halve my dose and it helped a lot.   After a few months I left the lexipro and feel pretty good. I can see that this is not for all.   We all have different needs that is why there are different meds.   Hopefully,  everyone can find their balance.",8,6,1
"Escitalopram","Twitch","August 26, 2018","-","This drug caused me one of the worst times of my life. While it seemed good at first, and I thought it was, people began to see a difference in me. The difference was I entered the manic phase, which lasted for months. It caused me quite a few friendships, my life savings and nearly had me jailed. I have now been off of lexapro for several months and am trying to piece my life back together...if it ever happens. Taking this med led to a living nightmare",1,14,1
"Escitalopram","Anonymous","July 28, 2018","Taken for 1 to 6 months","Hello I am bi polar and manic depressive I generally drink  to keep my mood swings to remain level. I’ve been on Escitalopram for over a month, which has been rough. I'm drowsy and start noticed instead of holding in any aggression I just immediately snap. Mood swings did shift  away and I’m finally focused in life and calmer each day. I am pretty much  the same person just now generally chill. It’s been a life changer and helped me and my fellow employees lol. However low libido, has been terrible I feel numb a lot but that does improve and it will be worth it!. Also the dreams are crazy and super intense best of luck to u lucid or active dreamers u r in for it!.",8,13,1
