"Drug","User","Date","Period","Review","Score","Likes","Page"
"Fluoxetine/olanzapine","kel036","February 12, 2020","Taken for 6 months to 1 year","I had a bit of drowsiness when I started taking fluoxetine but this resolved and it really helped my symptoms",9,2,1
"Fluoxetine/olanzapine","Twotammies","January 13, 2020","-","<b>Symbyax (fluoxetine / olanzapine):</b>			 I have been taking for five years now. I was in a manic out of control state when I was given this med.  From day one I was a different person. All my obsessiveness went a way. My original psychiatrist retired and it gets harder to find someone who still uses this drug. It saved my life. I swear",0,7,1
"Fluoxetine/olanzapine","Hen122013","January 1, 2020","Taken for less than 1 month","I’ve been taking this for a week now, everybody else seems to have had a rapid improvement, I haven’t noticed anything yet, I’m really disappointed. Anybody else had no improvement?",2,1,1
"Fluoxetine/olanzapine","Bowensss","August 5, 2019","Taken for 1 to 6 months","<b>Symbyax (fluoxetine / olanzapine):</b>			 I figured I would wait a couple months to leave a review so I had actual experience urging this medicine. I have come to the conclusion that this medicine is a GOD SEND. I'm able to handle life a lot better now, I’m not sad, aggravated, upset and bitter towards the world anymore. I’m happy, content and excited for what life brings. I started on 3.5/25mg and now I’m at 5mg/20mg. This is the perfect dosing, I’m able to sleep through the night (I do sleep at lot harder now then I did) &amp; I’m not near as anxious as I was. This is a great medicine .  I have gained 10 lbs in just a few months but it’s worth every pound.",0,8,1
"Fluoxetine/olanzapine","Gerald Hicker","July 16, 2019","Taken for 1 to 6 months","Was previously put on a plethora of medications before coming to this  combo fluoxetine/olanzapine. I find this one manageable with my symptoms as it has helped me a lot. I am starting to gain a little bit of weight but it's worth it to be sane.",10,1,1
"Fluoxetine/olanzapine","Von","January 14, 2019","Taken for less than 1 month","<b>Symbyax (fluoxetine / olanzapine):</b>			 Day 4. Wow!!! I feel alive for the first time in 25 years. Tired first few days but am full of energy. No excess hunger yet either. Just feel great after feeling at the end of the road for so long. Wish I would have been put on this much sooner!",0,24,1
"Fluoxetine/olanzapine","Anonymous","March 11, 2018","Taken for 10 years or more","I took symbyax for 11 yrs.  But last year I couldn't afford it so Dr switched me to 2 seperate pills fluoxetine and olanzapine. It still seems to stabilize my moods and haven't been way up manic or way down depressed since I've taken it all these years. And like everyone says it definitely makes you gain weight. Rather increased appetite..hence 40 pd weight gain. But I prob would've never gotten married and had kids if it weren't for this medicine mixture. Nobody could handle me with my severe mood swings before I started this.",9,4,1
"Fluoxetine/olanzapine","BMW335i","January 3, 2018","-","I've been using a combination of 5mg olanzapine with 40mg prozac per day for about 3 months now and the changes have been incredible. I started going back to the gym, I'm able to read without my brain bouncing all over the place, I picked up guitar again, I quit smoking, I changed my diet and lost approximately 15lbs, my interactions with people are far better, I have a better sense of well-being all around. I highly recommend this combination.",10,11,1
"Fluoxetine/olanzapine","Dadvocate","August 4, 2017","Taken for 6 months to 1 year","I've been suffering from Bi-polar since diagnosed as a teen. I'm almost 40 now and I spent a better part of those years unmedicated. I had a lot of therapies however, and did well managing with the tools given to me over the years.  In 2014 I began to exhibit signs of OCD and in 2016 Anxiety (both can be bed fellows with Bipolar)  It was the anxiety that landed me at my doctors office. 2 weeks before departing for Europe and I began to have severe anxiety attacks. I was prescribed effexor, which did NOT work for me, then down the line of SSRIs , finally we tried Prozac.   It worked very well for me, it even helped a little with the mania. But it did help wonders with depression and anxiety and I am functioning about 75% better than I was.",8,7,1
"Fluoxetine/olanzapine","Loglady","May 26, 2017","Taken for less than 1 month","<b>Symbyax (fluoxetine / olanzapine):</b>			 Day one.  Exhausted/lethargic  Mild Headache  Brain fog Slight elevation in mood. Less irritated.  Pooped my pants. Seriously. Just as company rang the doorbell. Hopefully this junk passes and gets better.",0,16,1
