"Drug","User","Date","Period","Review","Score","Likes","Page"
"Geodon","Grace","May 10, 2020","Taken for 1 to 6 months","I've had a very similar experience to the last post. Began taking Geodon for Bipolar disorder 1 and felt cured, energetic, happy. My depression was gone, as was my anxiety and I had much better work ethic. Fast forward a few weeks and the effects are subsiding. I upped my dose to 60mg but it's still not the same as initially. I've had some pretty low points. I'm hoping it still works to prevent manic episodes despite not having the antidepressant effects any longer. Considering switching to latuda, or adding an SSRI/SNRI to the mix.",5,1,1
"Geodon","RJ","April 30, 2020","Taken for less than 1 month","At first taking Geodon it was great, felt alive for the first time in so, so many years it was for my major depression disorder.  Then after three weeks of taking it, it stopped working.  Now increasing to 40 mg daily.  I’m hoping that works but kinda nervous it’s not going to.  Just my experience for taking it for 3 going on 4 weeks.  The side effects I had were nausea, lack of appetite, shaking and some vision issues.  Side effects seem to be subsiding.",5,4,1
"Geodon","She'll bell","April 21, 2020","Taken for 2 to 5 years","I just have one complaint: I put the pill in my mouth and immediately taste something awful.... It has a bad after-taste.... And I'm wondering why that is",10,1,1
"Geodon","bernie2020","February 6, 2020","-","I’ve been on this med Geodon for about a year for bipolar and bpd. I am on a dose of 160 mg and I take it all at night. I still have mania symptoms but the only symptom I have is not sleeping. A couple of weeks ago I was up for 60 hours non stop and this past week I've been getting 3-4 hours of sleep and have felt fully energized. The first time I took this medication I slept from 8pm to 5pm and was groggy for the 4 hours. I was awake before I went back to bed. I haven’t been tired because of it since, though. I also developed an acute dystonic reaction called an  oculogyric crisis  because of this med. I am on amandatine to stop it. This med has been a game changer for me despite this. I don’t get severely depressed anymore and my depressive episodes would be really terrible and my manic episodes would always end me up in the hospital because I'd go on a bender and overdose or I'd be up for days and be extremely irritable and cranky.",8,6,1
"Geodon","Anonymous","February 3, 2020","-","Three years ago I was put on Geodon for auditory hallucinations. It has been the only antipsychotic medication I have ever used that has no side effects and no weight gain, and I sleep like a baby at night. 80 mgs at bedtime is all I take. This drug has totally changed my life for the better, and has blessed me in a hundred ways. I felt so much better after my first month on it that I went out and got a job at McDonalds restaurant and have been in management there as a trainer for the last three years. This drug has been a huge success with me when all others failed and I plan to take it for the rest of my life. I would highly recommend it at low doses to anyone. The higher doses cause horrible dizziness, so the lower doses work better. I have not heard a single voice in three years and Geodon has made a believer out of me. Bravo!",10,28,1
"Geodon","Lobo","January 25, 2020","Taken for 1 to 6 months","I've been on geodon for several months now. I take it twice a day. So far, I have had no side effects whatsoever! It has really helped with my bipolar symptoms. I am calmer and clearer. I was scared to start it because of all the negative reviews. I finally decided to go ahead and take it. No sleepiness, no muscle stiffness, no anything! Just feel so much better! Haven't had any major depression, or psychotic episodes, or anger issues. I also take lamotrigine once a day. Great combo! Life is finally looking up for me! Been on all sorts of different meds. This is working for me! Very happy about the results!",10,13,1
"Geodon","Ran S","January 16, 2020","Taken for 1 to 6 months","I had bad mania and needed to be on something. I couldn't go to sleep, crazy focused on everything and felt so scattered. My doctor recommended Geodon, and it worked for the first 2 months, but then it gave me horrible anxiety. I had to get off it and get on an anti-anxiety. I also had some bad side effects from Geodon- lots of vomiting and nausea, cravings, and anxiety.",2,6,1
"Geodon","Pretty Good","January 10, 2020","Taken for 10 years or more","Geodon has consistently blocked auditory hallucinations for me for 13 1/2 years.  However, I ended up with ulcers that landed me in the emergency room about 6 years in.  After that everything went well until about 11 years in I began to develop what turned into about 10 side effects &amp; a few were serious.  Tried a side effect med and it worked for about 9 months.  Sadly, I'm looking for an alternative.  Sadly because Geodon carries almost no risk of Parkinson's which is a terminal illness",8,6,1
"Geodon","A","December 13, 2019","Taken for less than 1 month","This drug caused SEVERE muscle stiffness. Every muscle in my body, including my jaw was tight as tight can be. Subsequently I couldn't sleep because of this.",1,12,1
"Geodon","Insomniac Too","November 17, 2019","Taken for 2 to 5 years","I've been on this medication for years. My doctor prescribed me Geodon because I was really depressed and suicidal. At one point I was taking 160mg (two pills) a day, but it's been reduced to 80mg (one pill) a day. No drowsiness (I take it with dinner and I can drive on it just fine). No sadness. No suicidal thoughts. I don't have any complaints about brain fog either.  I was in a really bad place, where it took everything just to go to the appointment and admit I needed something changed. I did notice it messed with my menstrual cycle though? I've read that could happen, talked with my doctor, and the dose was lowered from 100mg to the current 80mg. Problem solved.",10,19,1
"Geodon","mag n cheese","November 15, 2019","Taken for 2 to 5 years","I've been on Geodon for several years now. After trying seemingly every medication as well as ECT, this combined with Lamictal finally seemed to even my bipolar out. However, it's not perfect and I still have periods of mania and depression when I mess with my dose. I'm currently thinking about switching antipsychotics, mostly because of the horrible withdrawal symptoms I get each morning and night before my next dose. Mostly bad nausea and vomiting almost every day. I also go through periods where I literally cannot stay awake because of this medication (falling asleep in the hallways of my college classes, and while driving). Overall, it has helped me tremendously but the combination of side effects, withdrawals, and still having manic symptoms is causing me to think about other options.",6,9,1
"Geodon","Not for me","November 14, 2019","Taken for less than 1 month","Ziprasidone made me feel like a zombie. It made me really tired all day. I had a hard time waking up and carrying out my daily activities. I am not sure whether it helped me with controlling mania. Also, it made my vision really blurry and dry. I had a hard time seeing things literally.",1,6,1
"Geodon","Geonot","November 2, 2019","-","Can’t say too much  as I was on Geodon maybe 3 weeks. However during that time I felt like I was seeing life through a bizarre perspective. I had no control over my voice levels and was yelling without realizing it. I think I almost walked into traffic. I remember being at a meeting and felt high and disjointed in thought. Couldn’t take the akasthasia. That’s about it. That was enough for me. Surreal. I currently don’t take any anti psychotics so that I can work and support my family which I have been doing now for several years.  Been off them for years. And that was the secret to my success.",1,15,1
"Geodon","Jen","October 2, 2019","Taken for 1 to 6 months","I take one 20 mg capsule every night. I have borderline personality disorder. Before starting this I never slept and this medication helps me sleep. I had some side effects when I started taking it. I was sick to my stomach, throwing up and wasn't able to keep any food down. This lasted a bit over two weeks. I've been on this medication for a few months now and it's helped me with mood and sleep. I take Prozac 40mg as well.",10,16,1
"Geodon","Gia","September 23, 2019","-","I've been taking Geodon for years and now take the generic Ziprasidone. I can't tell any differences and are unremarkable. It has NOT made me gain weight and that is one reason I started taking this particular antipsychotic. I sleep like a rock but am a little groggy when I first wake up but that goes away pretty fast. The only really remarkable slide affect is my emotions or lack there of. I have total radical acceptance on most issues in life. I'm never overly happy or overly sad. I'm just on cruise control and it takes a lot to make me angry. It has definitely slowed down my rapid cycling which I'm very grateful for. I am glad my doctor put me on this medication. It has literally been a lifesaver for me.",10,31,1
"Geodon","Lo","September 7, 2019","Taken for less than 1 month","I started taking this medication for my mania. I really didn’t notice a difference in my manic episodes while on it. At night the ziprasidone would make me uncomfortably drowsy, and even then I would be unable to sleep through the whole night. On nights where I barely slept, I would wake up so terribly drowsy that I couldn’t keep my eyes open. This impaired my driving and made work and school really difficult if not impossible. My manic episodes remained the same, until I tried stopping the ziprasidone, in which they became alarmingly worse than I’d ever had them before. One night without taking ziprasidone, I had a major manic episode and was awake for over 36 hours. I was only able to rest after taking the ziprasidone, but could only sleep 9 hours after being awake for so long. I’m still trying to get off the ziprasidone, but I’m unsure how to do this without sacrificing an entire nights sleep and my sanity.",1,7,1
"Geodon","Aflynn","August 23, 2019","Taken for 1 to 6 months","I absolutely hate this medication. I either feel numb or like it has dulled my personality. I feel anxious and restless on it. It really does nothing to help my mood swings.",3,10,1
"Geodon","random_nickname","August 21, 2019","Taken for 1 to 6 months","I was on Geodon and Depakote a dozen years ago for a few months. The whole time I was on Geodon I was so down on myself. It's a terrible drug. They gave me Klonopin for the anxiety caused by Geodon, but that made me fall asleep all the time, so I couldn't keep taking it. It gave me a blank, vacuous expression, too.",1,6,1
"Geodon","Rottiemom23","August 6, 2019","Taken for less than 1 month","I started taking this one week ago. I am taking it for bipolar disorder or borderline personality disorder (not sure about complete diagnosis yet. + insomnia. It has helped me sleep. The only thing is the side effects that come with it. I started taking it on a Wednesday and I started feeling sick Thursday. I have felt sick every day for a week. Nausea, throwing up, diarrhea. I have been on a lot of medications and I really want something that will work so how long do I go on with the side effects hoping they will disappear? Will the side effects eventually go away?",5,5,1
"Geodon","Anonymous","August 3, 2019","-","I was on this drug years ago when it was cover by a manufacturer patient plan, when they discontinued the plan I had to go off the drug because it had been cost prohibitive. Since then and many psych meds later my life a been a constant state of flux. My doctor is putting me back on Geodon, now that I have PART D. I couldn't be happier.",10,9,1
"Geodon","Dimitri","August 1, 2019","-","Worse anti psychotic ever. The first week of taking it was ok. It would give me the munchies but I wouldn’t eat so I didn’t gain weight ( btw if you get the munchies and you control it you won’t gain any weight. I was always on Zyprexa for years and I ignored the munchies and I maintained slim). Anyways, Geodon would make me sleepy and I was able to sleep on it. Then after a couple of weeks I was feeling so restless, I couldn’t sit still and was moving a lot and I hated that side effect. Then all of a sudden it would make me feel wired and I wouldn’t sleep well for days. Then one day I took the medication earlier and a couple hours later I had a severe panic attack that I almost called the ambulance. Never again will I ever take Geodon. This stuff reacts as a stimulant. I’ve been happy on Zyprexa and seroquel. Just exercise and control your diet and you’ll be fine.",1,4,1
"Geodon","Mary","July 15, 2019","Taken for 6 months to 1 year","I took Geodon for one year. While this drug did increase my motivation to exercise, I felt the side effects were too negative to continue using. It ruined my personality for some reason and interfered with my ability to make quick, witty jokes like I am normally able to do when not taking this med. For that reason, I did not like it because it turned me into a robotic, unemotional Stepford wife or something. It gave me such severe anxiety that I had frequent panic attacks and had to be treated with an anti-anxiety med to counteract the negative side effects of the Geodon. It made me have to frequently urinate or feel like I had to go at least every 20 minutes. If you want to flatline your personality, have severely agitated anxiety, and spend your life in the bathroom, take this drug.",6,14,1
"Geodon","fixxcer2019","July 7, 2019","Taken for less than 1 month","DO not take geodon, I cannot stress this enough. it's a terrible drug. for me it caused loss of appetite, bloating and easy bruising. when you come off of the drug it caused severe withdrawal such as brain fog, depression and flu like symptoms.",1,6,1
"Geodon","LJ","July 2, 2019","Taken for less than 1 month","I was on Latuda &amp; Lamictal &amp; was still having major irritability; I could feel the mania trying to breakthrough. My psych kept me on the Lamictal but switched me to Geodon. Within a day I could feel a difference. I no longer had the rage that had been bubbling under the surface for weeks  it had died down. I have rapid cycling Bipolar 1 but mania is my biggest problem.  The only side effect I’m having is a hard time falling asleep. For sleep I take gabapentin, trazodone &amp; last night I added in some benadryl to be safe. I’m sleeping 8 hours &amp; waking up without an alarm but I’m now foggy in the morning. But, halfway through my second cup of coffee I’m fine and awake. I’m on 20mg twice a day &amp; I’m hoping my psych will add in a third dose mid day because I feel like it’s wearing off a couple of hours before I take my evening dose. Overall I think Geodon is working for me &amp; I’m glad I gave it a try. Being angry all the time is exhausting.",9,25,1
"Geodon","Heymelisser","June 24, 2019","-","Been on Geodon over 2 yrs with lamictal for Bipolar 1 disorder.  Handled mania well for year at 120 mg of Geodon once a night. Summer came extreme mania hit and now take olazapine only when feeling nuttier than usual. Haven't been experienced extreme mania over a year now and take 120 mg Geodon once at night. Causes low libido for me and clonazepam daily needed for bad anxiety. Give it an 8.5",8,9,1
"Geodon","Brian","June 21, 2019","-","I started Geodon a few months ago. I like it much better than Abilify which I was previously on. Prior to Geodon I was waking up at 3:00 am 3-4 nights per week. Since I have been on Geodon I  consistently sleep through the night. Geodon is a great adjunct to Lithium. They together really quell my Mania. Overall Geodon is a great medication in my opinion.",10,17,2
"Geodon","Dani","April 27, 2019","Taken for less than 1 month","I was placed on Geodon while inpatient for Bipolar 1, rapid cycling, dysphoric mixed episodes. It helped within a few days and the dysphoria, rapid cycling and mixed state stopped. I take 40 mg at dinner and it starts to mellow me out and drowsiness kicks in at bedtime and I am ready to sleep. Works wonders because sedatives were not helping my insomnia. This has helped me maintain a healthy sleep schedule. I wake up refreshed and remain focused throughout the day. I have lost weight on Geodon as it seems to be suppressing my appetite, but after med after med that made me gain weight I am ok with this side effect. I have had zero side effects from this med thankfully, but know some people that do. I would say it either works great or it doesn’t. Everyone’s brain chemistry is different so that is probably why. If it doesn’t work for you, hang in there. I hope that you find something as effective as this has been for me.",10,37,2
"Geodon","Lady","March 27, 2019","-","Negative.",1,4,2
"Geodon","Fats","March 22, 2019","Taken for less than 1 month","Worst experience ever! Took this horrible medicine for bipolar disorder since zyprexa made me gain weight. The first dose was like something out of a nightmare.  I felt extremely drowsy, but anxious. Worst anxiety I have ever felt. Everything made me anxious. I wanted to sleep, but couldn't because of the anxiety. Worst feeling I have ever felt. I wanted to go to the hospital to flush it out, but just waited it out. 1 day later, still feeling slight anxiety and want to grind my teeth really badly.",1,9,2
"Geodon","Terrie","January 1, 2019","Taken for less than 1 month","I had to give up my latuda which works wonders because my insurance wouldn’t pay for it.  Geodon makes me beyond tired. I almost fell asleep at work a few times. So not worth this side effect. I’ll go on seroquel. I’d rather have weight gain then not be able to work!!!!",1,9,2
"Geodon","Sikkinixx","December 3, 2018","Taken for 1 to 6 months","I'd rate this a 10 but I am still fairly new to it and don't want to be overly optimistic.  However my life has turned completely around on this medication.  I did have a negative side effect that cause uncontrollable face and tongue movements but once the dosage was adjusted and another medication called cogentin, added to it, those movements have gone away. It was like night and day and I didn't have to wait weeks to feel different. There is a euphoria that comes with it , a sense of well being. It's helped my bipolar symptoms regarding concentration,  mood, sleep and over all well being. Yes I know many don't have a pleasant experience with anti or atypical psychotic drugs but for some of us it can really change your life. If the pros outweigh the cons then I'm down to keep using this medication.  I take it with lithium and this is the best I've felt in the 15 years that I've been diagnosed as bipolar.",8,24,2
"Geodon","...","August 9, 2018","Taken for less than 1 month","Worst drug I've ever taken. 5 days in and I'm getting seizures, three days after I'm still having them. Screw this drug. Stay away from it!",1,5,2
"Geodon","Muggzie","July 19, 2018","Taken for 5 to 10 years","I was on Geodon from 2004-2014.  The effect actually made me like a zombie.  My neurologist actually diagnosed me with Parkinson’s, drug induced.  Pale skin, stone face never smiled or showed expression, my tongue would be sticking out and I had no clue.  I stumbled and fell often.  My daughter researched it in College and her Psycopharmacology professor told her how bad it was.  Took me 2 months to be weaned off. Four years later and I am having extreme anxiety and trust issues.  Been on other psych meds for 15 yrs, new Psychiatrist researching to find answers.  Wish me luck",1,11,2
"Geodon","Diana","July 13, 2018","Taken for 10 years or more","I have been on Geodon since 2001. I am 62 yo. This drug has seriously saved my life! Before Geodon I attempted suicide several times starting when when I was 14 yo. I tried to get help all the time, but nobody listened. Finally out of desperation I found a psychiatrist who recognized what was wrong with me and put me on Geodon, 80 msg, always at bedtime. I also started therapy, for a year, and my life turned around!! Until about a year ago. Maybe 15 months! I started spending money, hiding it from my family! I am now almost $30 thousand in debt it is compulsive spending! And I can’t stop! Also, I can’t wake up! Even when one of my kids come and tries, they can’t wake me! When I do finally get up, I fall asleep when I sit down.",9,8,2
"Geodon","Dymphna23","July 12, 2018","Taken for 1 to 6 months","I'm surprised by the negative reviews for geodon it saved my life. I was given geodon two months ago when I was hospitalized for mixed episodes. If you've never had one I pray you never do. Geodon stopped the episode after one dose.  If you experience sleepiness ask your doctor if you can take it in one dose at dinner. Also when reading reviews remember that at some doses it is sedating and at others energizing. For me it has been weight neutral in fact I've lost weight while on it. YMMV (your mileage may vary) good luck finding something that works for you.",9,20,2
"Geodon","Karen","June 11, 2018","Taken for 1 to 6 months","I've been taking Geodon for about two months now and it isn't working well for me. The first 2 weeks I was completely euphoric and energized and saw some resemblance of my old self .I was hoping for the best but I knew deeply down I was experiencing short-term mania without all the risks .My doctor increased my medication and now I feel flat, hyper-aware of my surroundings and kind of dark .I also have been non-stop eating and I had trouble with nausea and dizziness. I don't feel depressed or suicidal but I do feel icky. I'm NOT going to continue this medication because the pros do not outweigh the cons. So my never ending search for the correction medication combo carries on.",3,5,2
"Geodon","kdjay","May 30, 2018","Taken for less than 1 month","THIS MEDICATION IS AWFUL. I took it for a week and had a complete schizophrenic melt down, I couldn't stop crying and hearing sirens and thinking that demons were growling at me and that a hideous voices in my room . I had seizures all day the next day. TAKE WITH CAUTION",1,8,2
"Geodon","t","May 17, 2018","Taken for 5 to 10 years","I've found Geodon to help my depression , concentration, and other issues of bipolar disorder. I Tried another manufacturer and lost some efficacy so I'm going back to Dr. Reddy's.",8,4,2
"Geodon","Anonymous","April 21, 2018","Taken for 1 to 6 months","Geodon worked really well in treating my psychosis, but experienced too many of the side effects. I gained 25lbs in a month. My normal headaches turned into migraines,  I had the stuffy nose thing nonstop. I wish I would have been able to continue taking it, it helped more than any of the other meds.",4,4,2
"Geodon","Anomymous","April 2, 2018","Taken for 2 to 5 years","I’ve had a fairly positive experience with this drug. Getting adjusted was a nightmare—almost fell asleep while driving a few times. But ironically raising the dose actually helped with my side effects. After four years on it with no episodes I’m now in the process of weaning myself off, but as soon as I decreased the dose I broke out in hives! The hives have now stuck around for 6 months and no amount of antihistamines will make them budge. Such a terrible end to an otherwise great experience with this drug.",7,8,2
"Geodon","Dovid","March 18, 2018","Taken for 1 to 6 months","Prescribed when I was having mixed episode. Did it's job at calming me down quite quickly. However, had some serious side effects: shaking of hands and at one stage, entire left side of body. Coming off it was a nightmare. Dizziness, anger, dark thoughts, shaking, rashes, headaches among others.",6,5,2
"Geodon","WillnBryant","November 15, 2017","Taken for 1 to 6 months","I was only on it for about 3 months! I was on the toilet all day with explosive diarrhea!! I lost 40 to 50 pounds within that time period. My weight was down to 125 pounds. I’m 42 years old now. The last time I weighed 125 pounds was in high school!",1,8,2
"Geodon","A11me","November 11, 2017","-","Geodon wasn’t good for me I couldn’t stop moving, felt uncomfortable and had tics all the time. I couldn’t sleep. It caused tremors and affected my speech too. I forget what dose I was on, but it was only 2 weeks and I ended up going to psychiatric ER for the side effects. A low dose of Latuda has been a good replacement but everyone is different.",0,6,2
"Geodon","Kelmo137","November 5, 2017","-","I started geodon with celexa nine years ago.  It worked amazing for the first couple of years. But then I started getting physical side effects.  I began to have tics on my face and I gained a total of 60 pounds on this med.  My vision became poor and I needed glasses. I became numb to my feelings.  I started to wake up at night half asleep, eating and doing really weird things.  I tapered off over a few months because stopping cold turkey causes me extreme mental withdrawal.  I was off it a year and couldn't handle the depression, anxiety and mood swings anymore.  I recently went back on a week ago and already my vision is blurry, I'm sleep walking and gained two pounds. I does wonders for me mentally but I can't handle the side effects.",8,10,2
"Geodon","Greensprings","August 31, 2017","Taken for 1 to 2 years","I was taking Geodon with Cymbalta and Clonazepam.  I was hospitalized 4 times in a year! Never has that happened  (I go inpatient maybe every 3-5 year's for a med adjustment). They kept increasing Cymbalta and Geodon.  I believe my last increase had me at 100mg of Geodon.  Not only did it MAKE me act bi-polar,  I also had full body tremors 24/7, heart palpitations and tachycardia  (mainly at bedtime). The last episode lasted 3 hour's.  I iced my body (to lower core temperature), took very deep breaths and massaged the main artery, left side of the neck. I was about to call 911 when it finally stopped. I seriously thought I was dying! I wouldn't recommend Geodon for anyone who doesn't require a mood stabilizer based on diagnosis.",1,10,2
"Geodon","FSE","August 9, 2017","Taken for 1 to 2 years","I guess drugs really do affect people differently. I have nothing but good things to say about Geodon. I've been on it for a year and a half and my mania has only revealed itself twice since, but didn't last as long. It has also helped with my anxiety. The only thing I wish it helped more of is my depression. I am not as depressed as I used to get, but it's still there. And I really don't laugh a lot on it. But as far as treating my bipolar episodes, it's a great drug. I have had no side effects with it.",0,14,2
"Geodon","cats007","August 6, 2017","-","I can't recommend this pill. It's only been two days and my IQ has gone way down, I promise it wasn't always this way... Anyway, within two days of taking this pill my mind became incredibly forgetful, I forgot my own phone number, and it took me 5 minutes to be able to recall it again. I made multiple big mistakes at work, mistakes that I've never made in my whole 2 years there. I was mortified, but thankfully my boss was really nice about it. Also, I gave a girlfriend a ride home and she told me I was driving awfully and it kind of scared her. Normally I'm a very cautious driver, and she told me that she'd never felt that way before with my driving. I can't continue taking this pill because it destroys my good work performance.",1,8,2
"Geodon","CM31","August 3, 2017","Taken for less than 1 month","When I was diagnosed with Bipolar Disorder my doctor prescribed Geodon at 40mg once daily to help with my mixed episodes. I immediately felt the effect of the drug. I had Insomnia. I was hallucinating, I would here voices at night. I was aggitated and yelling at my husband and children for no real reason. My mixed episodes got much worse. I quit taking it after 4 days of absolute hell. I know everyone reacts differently the these drugs but my experience was awful.",0,18,2
"Geodon","bipolarbunny","August 2, 2017","Taken for 1 to 6 months","I was prescribed this during a bad mixed episode and it did wonders for me. It worked within the day! My only complaint is the sedation side effect. I get knocked out within two hours of taking it, so I take it at night. I also find that you can't take it with carbonated drinks, or else you get nauseous.",8,15,2
"Geodon","5150Aries","July 29, 2017","Taken for less than 1 month","This basically affected me the same as latuda, did nothing to help my depression, and made my anxiety worse, also made me feel restless and kinda agitated, plus I was clenching my Jaws, and had jaw tightness and pain, something I normally do not have, stopped taking this.",1,11,2
"Geodon","imfatnow","July 10, 2017","-","I took this was great for sleeping helped me less manic. I started gaining too much weight so I decided not to take it for a couple of days.. lost 5 pounds so I'm trying to switch to something else",0,7,3
