"Drug","User","Date","Period","Review","Score","Likes","Page"
"Lamotrigine","ExHxW","June 17, 2020","Taken for 2 to 5 years","This was one of the first non SSRI's I was put on and it's been amazing. No side effects. Helps a lot with depression.",9,0,1
"Lamotrigine","kuno78","June 4, 2020","Taken for 6 months to 1 year","<b>Lamictal (lamotrigine):</b>			 I did quite well on lamictal  for my Bipolar on  150mg. Upon reaching 200mg, I had unbearable anxiety, constant panic attacks, headaches, horrible nausea, and vomiting. I would recommend easing up gradually and staying at a lower dose if possible.",0,8,1
"Lamotrigine","shura","June 1, 2020","Taken for 1 to 2 years","I have bipolar 2 with psychotic features (family prone to schizophrenia, I am being watched carefully). This drug has pretty much eliminated my hypomanic episodes. I still have episodes of time where I feel more hyper than others, but I do not have times where I don't sleep for 5 days straight or I try to jump off of a building because I think I'm invisible. This drug has not helped at all with depression, but I take 120 mg of latuda as well as 500 mg of lamictal and 300 mg 3x a day gabapentin. This drug cocktail is mostly working for me, but I might need to go on an antidepressant soon.",10,2,1
"Lamotrigine","Sunshine143","May 31, 2020","-","I was on lithium for a year or so, my dr kept upping it when I told him I was having symptoms of feeling numb (couldn’t even feel happy or laugh or cry) I was like a zombie.  I gained a ton of weight &amp; it gave me shakes so bad. My hands would just shake terribly. I was on 1200mg a day (600mg 2x a day) I got pregnant with my son &amp; switched drs. I had to do a quick detox off of the lithium because of the birth defects associated with lithium and pregnancy. It was a horrible few weeks coming off of it (I did a quick 2 weeks taper) and the few weeks after that were bad. My new dr put me on a low dose of lamictal in combination with buspar for my anxiety. I started on 25mg of lamictal and 10mg of buspar,I started feeling better in about 2-3 weeks. Then I moved up to 50mg of lamictal and 20mg of buspar(10mg 2x a day) I’ve been on that dose for almost 2 years &amp; it’s helped a lot.",10,3,1
"Lamotrigine","Doe","May 14, 2020","Taken for 1 to 2 years","<b>Lamictal (lamotrigine):</b>			 It worked well but over the course of a 1.5 years, I had hair loss on my head and even body hair was not growing back. My tests came back indicating minor hyperthyroidism and I had constant constipation/gas. I gained a lot of weight too which is weird. It turned out the lamictal was causing problems with my biotin/vitamin b intake. After talking to my psych and stopping lamictal and taking biotin supplements, I could finally pass stool easily and slowly my hair grew back... though I sort of missed my leg and underarm hair not growing. My weight and tsh level went back to normal after a few months too. Overall, it worked but the side effects weren't good for me. So again, it helped me a lot, but",0,5,1
"Lamotrigine","Tans","May 2, 2020","-","<b>Lamictal (lamotrigine):</b>			 Excellent drug for treatment of bipolar depression. When used in combination with venlafaxine , these drugs changed my life",0,12,1
"Lamotrigine","travelersheart","May 2, 2020","Taken for 1 to 6 months","<b>Lamictal (lamotrigine):</b>			 I was on 200 mg lamotrigine for about a half a year and did not like the way it made me feel. After voicing my concern that I felt flat lined, indifferent to everything, and lacked confidence, my doctor did not listen. I weaned myself off because it was too distressing for me and all this started to worsen my social anxiety. I know this is not the case for everyone, but if you have had the same struggles, then this may not be the drug for you.  Also, a more serious and medical side effect I had was heart palpitations, specifically tachycardia.",0,8,1
"Lamotrigine","Starlight","May 1, 2020","Taken for less than 1 month","<b>Lamictal (lamotrigine):</b>			 I was on buspar for anxiety and wellbutrin for depression. After getting on lamictal I was able to stop the buspar. I feel like this medication is good for anxiety and mood swings. I just overall feel better. I do have a history of peti mall seizures but was on no medications.",0,7,1
"Lamotrigine","Iz","March 10, 2020","Taken for 1 to 2 years","<b>Lamictal (lamotrigine):</b>			 Lamictal has completely changed my life. I take it in conjunction with a low dose of abilify, and the combination has kept me from having manic/depressive for about a year straight now, something I never thought possible. At first I was just on abilify— a pretty high dose— and while it kept me free from hypomania, it didn’t really do much for the depression. Lamictal, on the other hand, has worked wonders in that respect. Very little side effects— I wake up nauseous but it fades after about an hour, and it’s definitely worth it. Other than that, no weight gain, and I believe it may have actually increased my previously nonexistent sex drive. The best part of lamictal is that I don’t feel flat or subdued. I’m still having the normal ups and downs of life, but for the first time, I feel pretty confident that they’re not bipolar related. It’s really been a miracle drug for me.",0,52,1
"Lamotrigine","Jess","February 27, 2020","Taken for 1 to 6 months","I have been diagnosed with Bipolar 1 and have struggled with extreme year long manias followed by months of deep, compromising depression for years. My psychiatrist has been urging me to try Lamotrigine for years to address the depression but I resisted, not wanting to be prescribed more meds. Now that I have agreed to try Lamotrigine I feel so much better. I actually smile and laugh. I feel more engaged, focused, have more desire to be active and around people and I have not had suicidal ideation or feelings since the med kicked in. It did take several weeks for the med to begin to start working. For me it has been over a month before noticeable changes took effect. I hope it continues to work this well. It gives me hope for my functionality and ability to live a better life in the future just by having these aspects more under control.",7,17,1
