"Drug","User","Date","Period","Review","Score","Likes","Page"
"Lithium","Paulineeb","March 13, 2020","Taken for 10 years or more","I have been on Lithium for fifteen years and I can honestly say it didn't help all that much but I stayed on it because it's supposed to be the Gold Standard treatment for Bipolar Disorder. Now that I'm being weaned off from it I can see that it was actually making me worse. I was on 1200 mg. and I'm down to 600mg and feeling much better. Gone is my depression, my anxiety, my diarrhea, my lack of concentration etc. etc. etc. I wish I had known this years ago, I am going off from it now as my kidneys will fail if I stay on it much longer.   My previous Psych. Doc. would not use it as he saw way too many kidney failures at about the 15th-20th years while he was a resident.   Please know that this drug is not without dire consequences eventually in time your kidneys will fail, if you don't believe it see a kidney specialist don't let your doctor pooh pooh this statistic.  Please make an informed decision, and do what is right for you.",2,20,1
"Lithium","etherealmoon","February 4, 2020","Taken for 2 to 5 years","I can safely say that Lithium has changed my life for the absolute best and has been an absolute miracle pill for me. I'm a whole new person and finally I am always who I was supposed to be. I finally want to live and love life and myself again. I've been taking lithium for around 3 years and started off low with 300 mg, then 600 mg for a long time, and just now going to 900 as my blood tests show I am low on lithium. The only down side is having to get blood tests to check that everything is okay with your kidneys as that is where it is processed, but it's not a big deal at all at the cost of having my life back again. I'm no longer a crazy, mean, suicidal mess and now a nice, loving, stable, and content human being! Don't get me wrong, I'm not perfect and still deal with a lot but lithium just takes the edge off and makes me be able to tolerate my bipolar II. I also take Prozac at 60mg for depression and Klonopin 2mg for anxiety. So glad to have my life and myself back again!",9,31,1
"Lithium","Popstar","January 13, 2020","-","I have been on lithium for a year and it's made me depressed. I don't feel joy or love and am feeling disabled. I hope my psychiatrist does something to help me as I'm suicidal. Nothing works. I'm like a zombie.",1,24,1
"Lithium","hi","December 11, 2019","Taken for less than 1 month","I was prescribed 450mg of Lithium to take in conjunction with 200mg of Lamictal and 300mg of Wellbutrin due to still experiencing irritability, impulsivity, and paranoia from bi polar. The psychiatrist who prescribed this to me said that it was  the cure  for bipolar to combine Lithium and Lamictal so I was eager to try it. I was only on it for 5 days. I had to stop because my job requires me to drive a lot, and I was getting tired early on in the day, almost to the point of  being drowsy like I was on a high dose of Xanax or something. Also, after looking up all the long term side effects , I wasn’t too thrilled about taking it anymore anyway. However I will say my mind was much clearer on this medication and it made me more articulate. I was still pretty irritable though. My new psychiatrist added 100mg of Lamictal in the morning along with the  200mg of Lamictal at night so we’ll see if that helps.",6,20,1
"Lithium","Scooby","December 9, 2019","Taken for 5 to 10 years","Bipolar / adhd. I take Lithium, 300 mg morning, 900 mg night, Epival (Valproic Acid) to stabilise the Bipolar. It's amazing! If head ache, a dab of salt on the tongue, it's gone! No mood swings, no numbness, no memory loss, I got my life back. There's a 1 hr window to take bipolar pills, if forgotten, I'll get moody or excited, once taken, I'm back to calm and happy. For Adhd, I use Concerta. It's amazing! I'm learning to live with adhd  (my brains needs glasses (for children), My brains needs glasses again (for adults)). I learned about the VAGUS NERVE, a nerve directly linked from the stomach to the brain / vise-versa. Self-help books can heal you from head to toe. In conclusion. I adore Lithium, yes I gained some weight,   began a thyroid gland problem ,but will be off Synthroid, some doctors give it for prevention. No other issues with Lithium, nor Epival, nor Concerta. Perfect combination thanks to my psychiatrist!",9,18,1
"Lithium","XavierM","November 30, 2019","Taken for less than 1 month","I was diagnosed bipolar type I 9 years ago and had 3 acute mania during these 9 years. Most of the time I was very depressed with suicidal thoughts. Anger bursts, high irritability (light, noise especially). Tried aripiprazole, pregabalin, valproic acid, clopixol, quetiapine, even cbd, all more awful that each of them (except cbd which is a bit calming but not so efficient after a few days, very expensive and nothing compared to lithium). Lithium was a revelation and calmed my mind immediately without making me feel a zombie. I'm a more calm and relax person with far less anxiety while being even more focused. Lucky. I've even stopped cutting the skin under my feet. Miraculous drug for me at 600mg extended release of carbonate. Lithium is a powerful element, it might not suit you but you should discuss this option with your doctor if you feel no drug works for you.",10,28,1
"Lithium","Midnight","November 23, 2019","Taken for 1 to 2 years","Been on lithium for about 2 years now for bipolar 1 disorder this medication helped in the beginning but now it does nothing for my unstable mood the side effects get worse each day it also causes severe acne and weight gain I wouldn't recommend lithium to anyone lots of bipolar meds out there try something else!",4,12,1
"Lithium","A ROD","November 20, 2019","Taken for 2 to 5 years","I’m on lithium for my manic bipolar with psychosis and I don’t have episodes anymore- this the only good part about being on Lithium but now I cannot stomach much food without getting sick, if I don’t take it regularly I get awful headaches and not to mention it has taken my memories of childhood and I do try my best to grasp my memory of here and now but I honestly cannot tell you what I did even yesterday but the worst part is the muscle spaz and your body is in constant pain but I’ve gotten use to it been on it for two years now",6,13,1
"Lithium","Nuggets","November 19, 2019","Taken for 1 to 6 months","Diagnosed bipolar 2 in 2018 took Latuda 30mg and lamictal 150mg hated the teeth clenching and the skin crawling feeling. Quit medications January 2019. Manic episodes lasting 3 months until starting  meds  at the end of October 2019 lithium 300mg twice daily and latuda 30mg daily. Lithium side effects craving salt, slight hand tremors, numb feelings and acne little noticeable.  Lithium took effect almost immediately I love it. I was close to destroying my entire life until taking lithium. Don't give up! ??",8,25,1
"Lithium","Ashley","November 19, 2019","-","I was diagnosed with Bipolar Disorder II at 18 and I am now 27. Since my teens I’ve had debilitating, mostly  mixed  depression and with suicidal ideation, self harm behaviors (cutting), and a few hospitalizations from suicide attempts. I tried multiple antidepressants (Zoloft, Prozac, Cymbalta, Effexor), mood stabilizers (Lamictal, Latuda,  Depakote), atypical antipsychotics (Seroquel, Abilify), and finally, Lithium, which I discontinued after two weeks because I didn’t feel a change.  Five years later, I decide to try Lithium again as a last resort. I forced myself to stay on it for at least 3 months because I read it takes several weeks to notice a difference. Nine months later and I’m on Lithium 900mg and I have ZERO suicidal thoughts, no interest in self harm (completely foreign to me now), no crying spells, low mood, etc. I experienced it’s full efficacy at 4 months with minimal side effects. Lithium changed my life. For first time in my life I feel healthy emotionally.",10,43,1
"Lithium","BipolarMeds","November 18, 2019","Taken for 1 to 6 months","After being diagnosed with bipolar 2 in 2003, I have taken Lamotrigine, Divalproex Sodium, Clonazepam, Risperidone, Olanzapine, Abilify, and more recently Seroquel. I wish you the same luck with finding the best treatment plan, and even though Lithium didn't work for me, it may work very well for you. I recently tried Lithium and by the end of the first week I felt nauseated and had developed diarrhea at 150mg. Increasing the dose to 300mg worsened these side effects and I felt like I had a bad case of the flu that caused me to go back to bed several days after awakening and depression set in. Increasing to 450mg caused the most severe depression. After speaking with my doctor, we discussed to decrease to 300mg and then try to  maintain that, but unfortunately the depressive thoughts didn't end, even after reducing to 150mg for the final week for a total of a six week trial. It wasn't until about three weeks after I stopped Lithium that I broke out of the depression and feel better.",1,8,1
"Lithium","mag n cheese","November 15, 2019","Taken for 1 to 6 months","I was only on lithium for a couple months. My doctor prescribed it because he thought it would help with the suicidal thoughts related to my bipolar depression. While I was on it, I felt very strange and almost out of my body. I gave it a good go, but eventually I decided that the strange feelings in my body and brain were too much to take. I know lithium works for many people and is considered on of the best bipolar medications, but for me it just made me feel super weird and not myself.",1,16,1
"Lithium","Anonymous","November 12, 2019","Taken for 6 months to 1 year","Was on lithium for about 8 months for my bipolar. To be fair to lithium I was on a cocktail of meds at the time so I can’t say too much except that I was also on topamax, depakote, Effexor, ambien, all at once. I saw a picture of myself and I looked like I had had a stroke. My doc said I looked great. I think the depakote messed up my hormones because my stomach bloated like I was 7 months pregnant. The man at the store I bought cigs from said I sucked if I was smoking when pregnant and I said I am for sure I am not! Anyways the doc didn’t think to test my blood levels so who knows what that whole 8 months was a haze.  I was new to a bipolar diagnosis so I didn’t know that the doc was a quack. I can’t even remember what dose I was on. Anyways that was when I took lithium so I can’t say what I think truly experienced because of the cocktail. Otherwise it may have been a good fit. I wouldn’t take again because I have hashomotos.",1,4,1
"Lithium","Tan","November 9, 2019","Taken for 1 to 6 months","Lithium has definitely helped me.   At start  I had side effects but they went away after couple weeks .  I am currently on 900mg, I  have put on weight but that is better than being in  a bipolar depression.  I am also on seroqel and  lamotogen.  This combo works well but sleep still bad",10,5,1
"Lithium","Mack","November 8, 2019","Taken for 2 to 5 years","This medication started working immediately and successfully. My bipolar disorder was out of control when I finally received my diagnosis. Lithium was the first medication I was prescribed for this mental illness. I’ve added and subtracted additional medications over the years, but I’ve never left Lithium. My psychiatrist and I both agree it works extremely well in my case. It does manage mania better than depression, so I’m on another prescription for my  lows.  I did have side effects on the immediate release tablets, but once I switched to ER, the only thing I noticed was acne. It doesn’t bother me much though, and it has died down significantly, but I’d still take stability over clear skin any day.",9,19,1
"Lithium","KateCambridge","November 5, 2019","Taken for 10 years or more","I’ve been on lithium carbonate since I was 18 years old only coming off twice in my thirties for pregnancies. I can tell a major difference when I am off/on lithium. I am 100% sure that Lithium saved my life. 10/10",10,30,1
"Lithium","Qamr","October 31, 2019","Taken for 1 to 6 months","Lithium  is the only medicine that helped me with my bipolar disorder",10,23,1
"Lithium","notright","October 30, 2019","Taken for 6 months to 1 year","Doc in 1991 put me on lithium when I was first diagnosed with bipolar.  It didn't work.  He told me keep taking it, it'll work.  6 months later I was still manic...  I wound up getting another doctor, put me on Tegretol.  I was stable in a week.",1,11,1
