"Drug","User","Date","Period","Review","Score","Likes","Page"
"Olanzapine","bipolar one forever","June 1, 2020","-","<b>Zyprexa (olanzapine):</b>			 I just started Zyprexa from a new doc, it is for my bipolar one. Been doing ok mostly for over 10 years. I take 1200 of lithium daily. Trazodone 300mg for sleep . Last year trazodone stopped working last fall several occasions of auditory hallucinations barely sleep 2hrs nightly tried all kinds of meds from one doc he gave up.  Referred to new doc by pcp recently just started zyprexa up to 10mg. Sleeping about 5 or so hours at night so far no side effects but it is early days. Lithium made me fat and killed my thyroid which made me fat so no worries I just need sleep and calm my mind",0,4,1
"Olanzapine","Denis","May 24, 2020","-","olanzapin helps me sleep but gained 50 pounds though",8,0,1
"Olanzapine","Poppy","May 22, 2020","Taken for 10 years or more","I’ve been on olanzapine 2.5 mg for 8 years and it has been a fantastic medication for me. I suffer from anxiety and severe insomnia, and Olanzapine has worked perfectly well. My anxiety is non existent now, and best of all I am sleeping really well. I haven’t gained much weight (only 5 kg) . I tried to come off it a few times and I found it very difficult, mostly because the insomnia was so bad, and the anxiety came back with a vengeance. So for now I’m happy on a small dose. I might take it for the rest of my life if I can stay well with this medication.",10,3,1
"Olanzapine","Orfeus","May 1, 2020","Taken for less than 1 month","I'm bipolar type 1 and was recently admitted to the hospital for a manic episode when I got there I was on several medications for my symptoms. When I got to the hospital they gave me olanzapine kept me on Dexedrine took me off the others. I’m very pleased with the olanzapine : no paranoid thoughts I feel very calm and content. While I did gain 20lbs so far I also feel somehow more positive about myself regardless of weight gain.  The only real problem so far is I feel a bit sedated and tired and it is making it difficult to stay awake and do things all day without going to sleep. For a bit doctor told me to take it at night instead and my body should get used to it after a while anyway and the sedative effect will be less of an issue. Overall total game changer for my mental health and quality of life would recommend to any one who has issues with mania, paranoia, anxiety and/or negative thoughts as it makes me feel generally calm and positive :)",9,6,1
"Olanzapine","Bipolar Chick","May 1, 2020","Taken for 1 to 6 months","I’m bipolar 1 and have been through a bunch of different meds. Zyprexa was the first med I tried to get me down from a manic episode which worked but I went off of it because it was way too sedating. I was on 10 mg then 5 mg.  When I went off of it I had a lot of anxiety from withdrawal. I then tried Rexulti which messed up my sleep and gave me anxiety and even when I went off of it I was still waking up everyday at 4 am and had awful anxiety. Then tried seroquel and vraylar (bad restlessness) Finally decided to try zyprexa again but this time at 2.5 mg (subtherepeutic dose) and although I’m groggy in the morning I overall am really happy with my choice. I fall asleep at 12 and sleep like a baby till 9 and don’t have the awful anxiety in my chest anymore. I would say zyprexa can be a great drug at a very low dose. I’m def more chilled out but I prefer that to being anxious and unable to sleep.",8,2,1
"Olanzapine","yurioc","April 30, 2020","Taken for 1 to 2 years","I first started Olanzapine during a psychotic episode caused by mania. It does have some benefits: I was much calmer, slept amazingly well, my mind was as peaceful as a lake and the meditation induced telepathy stopped completely. However, the downsides were too much for me: it did nothing for my depression, I was feeling down all the time, no motivation for doing anything, no creativity and could easily sleep most of the day, which we can hardly call it  living . I also gained 4kg, which is nothing compared to a good part of people here. For a period, I used it with Lexapro, which did nothing for my depression as well. Another huge thing you all must be aware is how difficult it is to withdraw from it. That was easily the worst week of my life. Now I’m switching to Abilify.",5,0,1
"Olanzapine","j. Daniels","April 7, 2020","Taken for 1 to 6 months","<b>Zyprexa (olanzapine):</b>			 Zypresa made my husband a crazy man. He had minor Bipolar. His Pychiatrist prescribed an extremely expensive drug, Zyprexa, then insisted he remain on it for 6 months then left the country.  My husband ran track in our house, wore his ski parka even tho 85 degrees, took several family members to help calm him, on and on. He was uncontrollably crazed, When he developed smacking lips about 4 months in, usually permanent, we stopped Zyprexa triggering DT's. His Primary care doc stepped in and tried various meds adding up to 4 that completely incapacitated him. More crazy man, upchucking, couldn't get out of bed when beloved company visited.  We traveled to Portland, Or., finding a good Psychiatrist who understood meds, put him on 4 other meds to calm him, then began slowly toggling him off the mess. It took nearly 2 years to detox him. Worse yet, he was never the same again.  If you value your health, and the health of those who love you, then grab your hat and RUN FROM ZYPREXA!",0,9,1
"Olanzapine","Jorecovery","February 26, 2020","Taken for 1 to 6 months","Olanzapine at 20mg at night, pulled me out of a major depressive episode. It stopped psychotic symptoms and helped me feel normal again. Weight gain is difficult but trying to manage it. Would highly recommend this medication for getting good sleep and calming down thoughts. It also calms down the hypermanic side of bipolar for me",8,6,1
"Olanzapine","Yorkshire","January 12, 2020","Taken for 6 months to 1 year","Been on it for 7 month it's really good but I piled on weight. So now I'm stuck in a situation of a level head and more weight or messed up head n slim... think I prefer a level head anyday.",0,4,1
"Olanzapine","sj1428","December 30, 2019","Taken for less than 1 month","<b>Zyprexa (olanzapine):</b>			 I had a horrible, 6-day experience with this medication Zyprexa. While it was prescribed to me primarily for sleep, which 5 mg was effective, it made my anxiety 10x worse with paranoia and tremors. It was the worst. It has been three nights without it now and I still feel it's effects of increased anxiety and a fog-like head. The physical symptoms ceased 48 hours post-Zyprexa. I took 20 mg of Paxil with this medication for anxiety and was noticing some improvement with Paxil alone. Zyprexa made me feel as if I was never taking Paxil AND take five steps backwards. My official diagnosis is TBD but this was the first medication I've taken where I absolutely refuse to take again at any dosage",0,6,1
