"Drug","User","Date","Period","Review","Score","Likes","Page"
"Paliperidone","Tom","April 4, 2020","-","paliperidone is  the only medication I take for bipolar. A monthly injection of 100mg. It has single handily stopped me from going back to hospitals, there’s no psychosis.  I’m often on the side of depression though, feeling empty of emotions. This is where I try to think that this is how normal people feel without a condition of bipolar or schizophrenia. I’ve become more reliable. I don’t get suicidal thoughts, I’m no longer a danger to myself or others which I could be in psychosis. Relationships I have now are more secure. To summarise, it’s changed my life’ I no longer worry about hospitals and losing everything. Do I miss the highs? Yes. Do I miss the damage I inflicted on relationships and myself. No. Also there are benefits to an injection and a cto order. I know I would never agree to taking medication in the long run. I’d stop talking it to feel the highs - good luck",8,0,1
"Paliperidone","Kevin","March 19, 2020","Taken for 6 months to 1 year","I been taking paliperidone for 10 months and it was the worse thing of my life. Had the injection and it was awful. The drug shuts down your brain and your dopamine receptors. It takes away my sex drive and left my with no happiness. Takes away all the joy in your brain. Horrible drug that should be banned. Its a dirty drug with lots of horrible side effects.",1,1,1
"Paliperidone","ASpurr78","February 29, 2020","-","So I had initially went on Paliperidone around 2 years ago (April 2018) and I was on the 6mg pill for Schizo-Affective disorder bipolar type along with 300mg Trileptal.  I went from 236lbs to 293lbs as of present.  During this time, I switched from the pill to the injection, at 234mg IM.  So at one point, my doctor thought I may have just a case of bipolar disorder and so inpatient I went and got switched to Lithium.  That seemed to better treat my mood, and the decrease started from 234mgs to 117mgs.  The weight hasn’t come off yet, but I’m thinking more clearly and morning erections are coming back.  I do tend to sleep lightly.  Still, I don’t have much energy and much motivation to engage in hobbies, although I am going on vacation for a second time in 6 months so that’s a positive.  I think I’ll be on the 78mg injection of Invega sometime after next week.   I’m hoping to get my life back after 20 years of crappy antipsychotics.  I seem to tolerate lithium well enough.",5,1,1
"Paliperidone","Jellybaby_30","February 15, 2020","-","had 5 shots of  this paliperidone after I had a manic episode. Since going off of it I never feel tired. But get 12 hours sleep a night. Can’t zone out get high or drunk. I get a lot of headaches. Have no sex drive and feel numb. So I forget about sex, very low motivation. So it’s hard to get motivated to shower or do laundry it used to be really easy.  I used to clean the house all the time. But now no dopamine reward. Weight gain, lower intellect.  It's hard to have conversations now because I can’t think as fast. Thoughts of what to say don’t seem to come to me anymore. Long term and short term memory is screwed. Always forget things. Don't enjoy my hobbies and interests. Eg I watch a movie and my face and soul is just blank/numb. Couldn’t cry for 5 months now I finally can. Sadness, happiness, love, anger, fear, jealousy have come back a little bit. Hardly any food tastes nice anymore miss calling my friends and chatting but get scared because I hardly talk anymore.",1,9,1
"Paliperidone","Queen92","January 28, 2020","Taken for 1 to 6 months","I was on the injections for two  it made me gained a lot of weight and  felt uglier, I felt terrible about myself they took me off in August 2019 and put me on the pills in 2020 I would not recommend this medication!!",0,1,1
"Paliperidone","Queen","January 17, 2020","Taken for 1 to 6 months","I was put on invega in May of 2019 in my hospitalization stay. A few days later I was throwing up constantly. Exactly one month later, I was rushed to the emergency room with low count white blood cell and was diagnosed with sepsis. I almost went into septic shock twice. Invega caused me to have sepsis. DO NOT EVEN TAKE THIS MEDICATION.",1,1,1
"Paliperidone","Gaz 1111","December 31, 2019","Taken for 6 months to 1 year","I was forced on this injection when I was hospitalised and told that if I didn't take it I would stay in hospital indefinitely. I have put on a lot of weight and I sleep most of the time, I have no motivation to do anything I get jittery legs when I try and sleep and I can't be bothered to do anything. I used to be passionate about a lot of things but I now feel like everything is a chore I have lost all my social skills and lack my personality it has all been stripped away from me I've been on the injection for around 6 or 7 months and I am going to refuse to take it when I get my driving licence back as I had that taken away from me as well. I have lost my sex drive as well.  Totally against this horrible drug Do not take.",1,5,1
"Paliperidone","Bri’","December 10, 2019","Taken for less than 1 month","I’ve been going in and out of states of dissociation since taking Invega ER. Feeling terribly uncomfortable and depressed. Ugh",0,4,1
"Paliperidone","Jay","November 2, 2019","Taken for 1 to 6 months","So I was first was prescribed paliperidone whilst I was in hospital and I was receiving the injection. I believe my first was around the 75 dose, and at the start things were fine. It was only when they bumped up the dose to 150 is when I started to notice some unusual sensations throughout my body. Tingling like pain started through my legs and arms and over the months it has gotten worse. Even now, I can still feel pain within my legs and it annoys the hell out of me. My last shot of this drug was down to 100, and my condition hasn't improved. I don't know what's causing all this pain throughout my body, but it's gotta be the drug. On top of that, I've got really bad anxiety and agitation that is stopping my everyday life, something I haven't had before which again I blame this drug for it. I think people with Bi-polar should stay away from this drug, it causes a lot of harm if things don't go your way.",1,7,1
"Paliperidone","CaribbeanGirl","October 23, 2019","Taken for 1 to 6 months","Been on a monthly injection of InVega for 4 months now.  I agree with most of the other comments that while it stopped the hallucinations, it has left me void of all emotion or personality.  I feel numb most to all of the time, I’ve gained a lot of weight (maybe 30 lbs so far), it has sapped me of all energy, severe anhedonia, apathy, weakness and depressed.  I’m very torn, I don’t want to continue this medication but it has kept me out of the hospital for 4 months.",3,5,1
