"Drug","User","Date","Period","Review","Score","Likes","Page"
"Quetiapine","shura","June 1, 2020","-","<b>Seroquel (quetiapine):</b>			 This drug Seroquel made me feel like a zombie. Sure it would make me feel normal but it would completely knock me out. I was with some friends and I was going to give them a ride home from my house and accidentally took my medication too early and I literally passed out and they had to get a ride from a friend. I was only at a 50 mg dose. This medication was just not for me. I take Latuda now, which made me really drowsy when I first started taking it but I have since gotten over it.",0,3,1
"Quetiapine","Rezzy","June 1, 2020","-","I started taking quetiapine two weeks ago thinking they were just sleeping pills from my psychiatrist cause I had some days where I just couldn't sleep and didn't realize I was manic. She made it sound like they were just for sleep cause she knows how much I don't want to be on antipsychotics. Anyways I went through a tough breakup which didn't help the body or mind when I started taking these. I find I have great sleeps, great dreams, and my mood has significantly improved. Mind you I was put on other antipsychotics last year that zombified me to the point that friends were extremely concerned I'd never be myself again. I'd say the worst side effects for me on quetiapine has been runny poos, nauseous every morning to the point I can not eat solids, I've lost a bit of weight but am actively trying to maintain it, and I'll get extremely emotional suddenly without having a reason. I'm going to continue taking them and talk to my psychiatrist soon. ALSO MY DRY MOUTH IS AWFUL AT TIMES",8,0,1
"Quetiapine","Zully","May 2, 2020","-","<b>Seroquel (quetiapine):</b>			 I can, now, see my own sign of mania or depression (having had Dialectical Behavioral therapy for six months). With that said, the meds are not miracles and after some dialectical treatment to add to my  tool box ... seroquel really helps. When I am restless, racing thoughts and moody I feel well balance after about 48-72 hours after using  coping skills  plus adding seroquel to prevent lack of sleep which induces worsening of thoughts, moods, eating, etc. For me, it’s very helpful to have self-relaxation skills to level my reactions. I give this medication, after months of skill work, A++. My experience is not to say it is 100% fluent to all bipolar sufferers. Good thing DBT is not a medication so won’t hurt to try it as a  tool .  The side-effects are mild. It does make me drowsy and sometimes do get oily face... yet, I can accept that over extended episodes. I also have to keep drinking lots of water as dry mouth is mild and do feel thirsty.",0,8,1
"Quetiapine","Slim Chuggins","April 8, 2020","Taken for 6 months to 1 year","<b>Seroquel XR (quetiapine):</b>			 Finally was able to get back on Quetiapine after adding fiber pills to my diet and I am loving sleep.  Spent my whole life not sleeping well or at all lately (was up for almost a week a straight last year).  Quetiapine IR was a sure fire way of knocking me out within an hour and staying asleep to well into the morning. Pretty groggy though and had to keep increasing my dose.  My Pdoc recently sent the XR version into pharmacy instead and it is rather different. I don’t get knocked out right away which means I can create a better sleep hygiene routine.  If I am more relaxed I don’t need to be put to sleep but gradually work my way into it. It does take a minute to fully wake up but I have to say I feel my overall mood remains pretty stable for most of the rest of the day.",0,6,1
"Quetiapine","Alex Henderson","March 16, 2020","Taken for 5 to 10 years","I have been taking Seroquel since 2014 for unwanted, intrusive, negative thoughts during episodes of bipolar 2 depression.  At 500-600 mg per day, the drug works great.  The only time I have problems is when I attempt to lower the doze below 500 mg per day.  I sleep very well with Seroquel and it has given me my life back. Negative thoughts still happen but they are given proper perspective with no obsession.  I have not gained weight or noticed any other side effects.  Seroquel has been a game changer for me.",9,18,1
"Quetiapine","EmzIndy94","February 20, 2020","Taken for 1 to 6 months","I have been on 25-50mg seroquel now for about 3mths, I have Bipolar type 2 and a seperate diagnosis of insomnia, before, the mood stabilisers (epilim) were stabilising but I was still awake, couldn't get to sleep and when I did I'd wake up soon after. I was still irritable (because I was exhausted) and therefore becoming depressed again, the doctor gave me a script and initially said to half a 25mg tablet, just to get me over the edge. I agree in terms of the body adjusting to it, half a tablet didn't do anything for me after about a month, but 2 months on 1 tablet still works wonders. I am hoping to lose weight, through diet and exercise, so fingers crossed.  The only downside, if I don't take it at the exact same time every day, I don't sleep or have a bad nights sleep.",8,4,1
"Quetiapine","El","February 20, 2020","-","<b>Seroquel (quetiapine):</b>			 I suffer from Bipolar II, take 200mg Lamictal daily, and was prescribed 25mg Seroquel to take at night to help me sleep during hypomanic episodes. My psychiatrist claimed it would calm the racing thoughts, help me fall asleep, and hopefully make me think more clearly during the day. After taking it, I would still be awake for a couple hours trying to sleep and still having racing thoughts. In the morning, I had the worst experiences trying to wake up. I wasn’t trying to wake up early or anything, like 11 on my free days so I could sleep in, and even then I could barely open my eyes enough to turn off my alarm and would immediately fall back asleep. After finally waking up, I felt groggy and disoriented throughout the day. I couldn’t think straight, and was unable to focus during my classes. Not a good experience. I only took it a few times, and decided it was only having negative effects so I stopped taking it.",0,16,1
"Quetiapine","Knowsitall","February 20, 2020","Taken for 2 to 5 years","I take 100mg daily with Vraylar for my bipolar 1.    It cured my insomnia.   I’m no longer manic nor irritable.     I can work.  I feel great.  There is a head fog in the morning you have to push through it.   I can handle being a little tired in the morning because it makes me sleep at night.  I’ve heard it’s called the shut up drug.  My kids say it makes me quiet.",9,11,1
"Quetiapine","Travis","February 19, 2020","Taken for 1 to 6 months","<b>Seroquel (quetiapine):</b>			 I have been on Seroquel off and on for three years. I have tried other meds for my Bipolar Disorder but nothing has worked better for me. I feel the only drawback is waking up in the morning with a cloudy head and dry mouth.",0,14,1
"Quetiapine","Melvie","February 17, 2020","-","My experience of quetiapine is ok  I am up to 150mg &amp; need a higher dose as I still have racing thoughts &amp; still using zopiclone to sleep",8,3,1
