"Drug","User","Date","Period","Review","Score","Likes","Page"
"Risperdal","gatinha","May 14, 2020","Taken for 1 to 6 months","I've tried a lot of different meds, my favorite by far is Lamictal but it stopped working after 10 years. I started risperidone a year ago. It makes me calm, I hardly get angry, I have no anxiety, and I have not had an episode since I started it. I feel great on it in general. The down side -- It makes me lazy, I'm so chill now that I'm totally comfortable just sitting on the couch. I feel relaxed and balanced but without the anxiety I have no reason to get up and run it off. The biggest and worst issue I have with it is the damn weight gain. I've always been super fit and thin but now I have a belly that I just can't get rid of. If the it didn't work so well for my mood I would get off of it immediately to lose my weight. I would still recommend it and I won't be stopping it anytime soon.",8,3,1
"Risperdal","James","December 21, 2019","Taken for 2 to 5 years","Risperdal saved my life. I was hospitalized two times with psychosis and this is what they gave me. It took a few weeks to really kick in. At first I was tired. I have been on the med for almost five years now. I am able to live a normal life although I still have some depression. I take 4mg risperdal which I just increased from 3mg because at times I would have mild hallucinations or delusions when tired or the like. They are almost non existent now, really just coming on if I have caffeine. I did gain weight but not meaningfully so. The trick is to watch your calories and exercise as much as possible. I would recommend trying this for severe psychosis. I also take 600mg lithium which seems to help my mood. I like to think that the lithium helps the brain from the damage risperdal can cause. Without risperdal I wouldn't be here by now. Everyday is a blessing and a gift!",9,15,1
"Risperdal","John","November 29, 2019","Taken for 1 to 6 months","This drug makes it much harder to become aroused (or erect). It seems to reduce psychotic symptoms and other bad behaviors.",5,7,1
"Risperdal","Scott","November 19, 2019","Taken for 1 to 6 months","This stuff literally made me feel life wasn't for me anymore, there were the horrendous side effects, the worst being an uncontrollable need to MOVE somehow (Akathisia) and the dark dark dark thoughts. I was switched to  seroquel and then to abilify, but all these gave me the same side effects.",1,11,1
"Risperdal","LS","August 16, 2019","Taken for 6 months to 1 year","Risperdal was the first medication I ever tried for my bipolar type one and it was awful. They started me out on 8mg which is unusually high, it kept me from being manic or depressed but also completely stopped me from being able to feel any emotion. I was a zombie. I honestly felt like if my best friend died I'd feel absolutely nothing, it was that bad. Would not recommend, my current psychiatrist also says she hates Risperdal if that helps any.",1,21,1
"Risperdal","Nubie","August 9, 2019","Taken for 1 to 6 months","I take Resperdal 4 mg with 20 mg celexa. I was on invega sustena before. Since I changed I find that I sing a lot and my mood is sometimes loony sometimes doesn't want to deal with people.  I gained so much weight on both celexa and risperdal around 40lbs. I will talk to my Dr about decreasing the dose and get on a diet.  I hope that will lessen the symptoms.",7,12,1
"Risperdal","sadhadf","July 3, 2019","-","I've been taking this medication for about 9 months and I completely lost myself. I gain 40lbs I feel unmotivated all the time I feel sedated, it is not me anymore. I am a perfectionist and risperdal is definitely the deadliest medication ever for me. I hate taking it but I have no other choice. If another medication works for you just stay away from risperdal it is awful.",2,17,1
"Risperdal","Forabell","July 2, 2019","Taken for 2 to 5 years","I took Risperdal for three years for my Bipolar, and it seemed to work really well and that is why I stayed on it for so long but I eventually started to gain weight very rapidly I was 190 lbs (I am a 5'4 female) and I was completely lethargic all the time, I wasn't necessarily depressed but just apathetic and cold. My psychiatrist helped wean me off it (It is not addictive it just causes withdrawal symptoms) and even before I was completely off it I had lost 15 lbs. I am now 40 pounds lighter and its been about two months. My friends and family say my emotions are much more colorful and I seem more emotionally engaged. I know that it has worked for many people though and it helped me a lot when the symptoms started appearing.",6,14,1
"Risperdal","Jello","June 8, 2019","-","Have been taking Risperodal for almost a year now. I tried Seroquel before for some months but it made me super drowsy throughout the day and I couldn’t function. I take Risperdal for severe depression, mania, and extreme hallucinations. I would see cartoons and things appear before me, hear voices/sounds in my ears, or feel things on me for (someone patting my back or grabbing my legs when I’m alone in the room). I started off taking 0.5 mg once a day then upped it to 1mg. Was on 1mg for a while. It worked well for me. I stopped seeing hallucinations and for the most part my mania and depression and lessened or gone away. I woke up every day feeling refreshed. Even my period cramps were usually less painful than before. Everything would go downhill when I decided to stop the medication, all the symptoms would come back quickly and badly. Didn’t gain significant weight from the meds and I’ve had moderate acne. Seems like it’s going to be really hard to leave this medication.",9,19,1
"Risperdal","Jynxette","April 9, 2019","Taken for 6 months to 1 year","I started taking this few years after I had my son and after some months I started to notice it made me start too  lactate again with chest tenderness  and swelling.  Needless to say I had to stop taking this medication.",0,5,1
"Risperdal","Shereen","March 26, 2019","Taken for 1 to 6 months","After some months on Risperdal, I developed swallowing problems, which led to anxiety.  Lowering dose  improved but did not eliminate the problem.  Later I noticed that I was very tense all the time.  I would notice it and make myself relax and then in a few seconds I realized I was all tensed up again.  I developed frozen muscles in my forehead.  It felt like they had very little feeling..I don't know what you call it but I saw it was listed as a side effect once I looked it up.  It went away when I stopped the med.  When I stopped this medication, I discovered I had a problem with my tongue.  It is like it's too thick or something and doesn't form words as well, so I have a very mild speech impediment now.  It is more difficult to speak and I have to be very deliberate in speaking in order to speak clearly and without a lisp.",0,19,1
"Risperdal","Cara","February 4, 2019","Taken for 6 months to 1 year","Overall, I really like risperdal. It's easy to take with minimal side effects. I take the generic version for Bipolar 2 and have been trying over 30 meds for 5 years. I used to take Seroquel and Divlaprox but they stopped working for me and I was too tired. My mood is the most stable I've ever been and I am level headed and clear. I take .5 mg every night and find this is a good dose because I used to take more and was very out of it. This helps me sleep but not be drowsy. Honestly, it's not perfect as I'm dealing with depression currently. I tried prozac but it made me suicidal/dissociate and zombie like and less like myself. Because of this I just recently stopped prozac but I plan to try other antidepressants with this to help my depression. Overall, I love that I mostly feel like myself again. I just want to care about life more now and be less apathetic. DBT therapy helps. Also, acne on my body/face from this but no weight gain so I can't complain too much.",8,12,1
"Risperdal","AJ","January 16, 2019","Taken for less than 1 month","I took the lowest dose. Once. It caused parkinsonism and extremely slowed movement. I fell down a flight of stairs because of movement problems it caused. Needless to say I never took it again after that.",1,15,1
"Risperdal","DJetts","December 25, 2018","Taken for 1 to 6 months","I've been on this med for almost two months. I started on a low dose but lately I have had to increase the dose to get the most benefits from it. Initially it will make me tired but my acute mania would return after a couple weeks. Been on 4mg for 3 weeks but have noticed that weight gain has been an issue for me, but I'll just have to watch what I eat and exercise more. Currently jumped to 5mg and willing to give it a try. Not too many side effects like somnolence , anxiety, and fatigue which goes away within two weeks. However, I take other meds so I'm trying to figure out if I need a mood stabilizers or other meds that I'm taking. Just want to feel better and finish my degree as an adult student without the excessive tiredness. But I've on Seroquel before, but I got type 2 diabetes from it. For restlessness I take cogentin and it works great.",8,5,1
"Risperdal","Bsf","September 4, 2018","Taken for 1 to 6 months","I suffer from major depressive disorder and ended up in the psychiatric hospital with thoughts of suicide and extremely bad depression. They prescribed me risperdal 2mg I started off at 140lbs since being on the medication I am 230lb almost double my weight and have gained puffy tender breasts. As for the pill working it works 100% at what its suppose to do. If your extremely in need of help and don't care for the side effects go for it.",10,14,1
"Risperdal","Anonymous","August 26, 2018","Taken for 1 to 2 years","At the beginning of taking this medication I was on 0.5mg twice a day. Now my doctor upped it to 1.0mg twice a day...and boy do I feel drowsy all day long! I even took a pregnancy test because I was so tired. But no its the increase in the dosage. If I didn't have 2 young children dependent on me I would have never got out of bed since yesterday. I feel that exhausted. I will go back to the doctor ASAP, I can't walk around like a zombie. I don't know what feeling is worse.",6,7,1
"Risperdal","Cade","May 5, 2018","Taken for 1 to 2 years","Works quite well but beware of side effects. I'm an autistic person and also bipolar 1 with psychotic features. Before I started this I had horrible episodes of mania and depression and it made a huge difference. I had almost no maniac episodes, decreased irritability, and it almost completely eliminated the auditory hallucinations. However the weight gain was unbearable, I gained 80 pounds in a year that I still can't lose and diet and exercise did nothing to stop it. I didn't change medications sooner because it worked so well that I was scared to stop it and I was convinced eventually the weight gain would stop, but it didn't. Stopped my monthly cycle completely, though I wasn't complaining about that.",7,10,1
"Risperdal","M","March 16, 2018","Taken for less than 1 month","I have bipolar disorder, been hospitalised and prescribed risperidone 4mg. It made me very ill and  extremely paranoid. Experienced more panic attacks. My legs and arms would go numb.  I had such a bad experience on this, I currently am lithium now and finding this much better",1,7,1
