"Drug","User","Date","Period","Review","Score","Likes","Page"
"Risperidone","gatinha","May 14, 2020","Taken for 1 to 6 months","<b>Risperdal (risperidone):</b>			 I've tried a lot of different meds, my favorite by far is Lamictal but it stopped working after 10 years. I started risperidone a year ago. It makes me calm, I hardly get angry, I have no anxiety, and I have not had an episode since I started it. I feel great on it in general. The down side -- It makes me lazy, I'm so chill now that I'm totally comfortable just sitting on the couch. I feel relaxed and balanced but without the anxiety I have no reason to get up and run it off. The biggest and worst issue I have with it is the damn weight gain. I've always been super fit and thin but now I have a belly that I just can't get rid of. If the it didn't work so well for my mood I would get off of it immediately to lose my weight. I would still recommend it and I won't be stopping it anytime soon.",0,3,1
"Risperidone","Clarebear","May 6, 2020","Taken for 6 months to 1 year","This drug risperidone is absolutely the worst one I have ever taken for my bipolar. Made me feel very anxious and depressed. I will never recommend it. I hate this drug so much.",1,1,1
"Risperidone","hollowgirl39","April 2, 2020","Taken for 1 to 6 months","I was prescribed risperadone during October 2018 when I was suffering from a psychotic episode from Bipolar 1 disorder. I remember feeling very neutral, slowed down, apathetic and emotionless. I felt like a zombie. I was stiff in the way I moved. I gained 8 pounds in less than 2 weeks and gained even more after that going from 128lb to 148lb unfortunately. I had body issues my whole life and this drug has made me hate my body so much more. The nurses gave me this medication without my consent not telling me about the problems with weight gain. When I expressing concern about it, they did not care. I have no sexual drive at all. I slept 12 hours a day and still felt tired during the day. My prolactin levels were very high. I lost so much hair. I had acne. It was the absolute worst drug of my life. I do not recommend at all. Please avoid at all costs. It ruined my life.",2,6,1
"Risperidone","Leanna","February 9, 2020","-","Weight gain is a problem off the cuff. Take your dose at night otherwise you will sleep all day. Stops mania but keeps you quite numb to all emotions. I've found when depression kicks in it stops the serious lows but you still feel low which is hard to deal with when you don't get any mania. No real side effects for me apart from the weight gain and fatigue.",5,5,1
"Risperidone",".","January 31, 2020","-","<b>Risperdal Consta (risperidone):</b>			 Causes dizziness, makes me light headed, unable to think, gives me feeling of discouragement. Literally the worst drug ever.",0,6,1
"Risperidone","Jeff","January 18, 2020","Taken for 6 months to 1 year","Wow, it's doing the risperidone is doing its job for my bipolar, I am more level headed and my decision making is so better, I am however (I've noticed) more anti social..and I'm almost A-sexual I have zero interest in sex, I don't care how gorgeous someone is, zero desire I am however doing better, I'm not making crazy decisions or doing stupid stuff,...I'd rather be like this then the way I was before risperidone",9,7,1
"Risperidone","Rob","January 15, 2020","Taken for 10 years or more","Nervously headaches  anxiety",5,4,1
"Risperidone","James","December 21, 2019","Taken for 2 to 5 years","<b>Risperdal (risperidone):</b>			 Risperdal saved my life. I was hospitalized two times with psychosis and this is what they gave me. It took a few weeks to really kick in. At first I was tired. I have been on the med for almost five years now. I am able to live a normal life although I still have some depression. I take 4mg risperdal which I just increased from 3mg because at times I would have mild hallucinations or delusions when tired or the like. They are almost non existent now, really just coming on if I have caffeine. I did gain weight but not meaningfully so. The trick is to watch your calories and exercise as much as possible. I would recommend trying this for severe psychosis. I also take 600mg lithium which seems to help my mood. I like to think that the lithium helps the brain from the damage risperdal can cause. Without risperdal I wouldn't be here by now. Everyday is a blessing and a gift!",0,15,1
"Risperidone","Loz","December 2, 2019","Taken for 2 to 5 years","Made me spaced out and a bit existential. Very tired and hungry but overall did calm me down a lot. I eventually stopped and i realised i wasnt falling asleep in classes or in random places anymore. Still trying to get over the weight gain.",5,5,1
"Risperidone","John","November 29, 2019","Taken for 1 to 6 months","<b>Risperdal (risperidone):</b>			 This drug makes it much harder to become aroused (or erect). It seems to reduce psychotic symptoms and other bad behaviors.",0,7,1
"Risperidone","Tahereh","November 28, 2019","Taken for 1 to 6 months","I got insomnia on risperidone. I used it for two months and when I stopped taking it my insomnia didn't go away. Now it's 3 months since I quit risperidone and I still have severe insomnia. No medicine helps me to sleep. I cry all day and night. I hate my life. I wish I could sleep an hour. When I do sleep it's just a few minutes and I wake up. I wish I was dead. Do not take this stuff. Think if there is a chance you change your brain to be insomniac forever and suffer the rest of your life would you take the chance? Please I beg you don't do this to yourself. Learn from me.",1,13,1
"Risperidone","Scott","November 19, 2019","Taken for 1 to 6 months","<b>Risperdal (risperidone):</b>			 This stuff literally made me feel life wasn't for me anymore, there were the horrendous side effects, the worst being an uncontrollable need to MOVE somehow (Akathisia) and the dark dark dark thoughts. I was switched to  seroquel and then to abilify, but all these gave me the same side effects.",0,11,1
"Risperidone","Not for me","November 14, 2019","Taken for 1 to 6 months","Risperidone made me feel tired all day. I had a hard time waking up in the morning. Although it helped me control my agitation and mania, risperidone really made me lazy and slow and demotivated. I decided to decrease this med despite the fact it really helped me my anger/agitation/mania.",1,5,1
"Risperidone","Minnie","October 31, 2019","Taken for less than 1 month","Within 5 days of taking this medication I was already gaining so much weight. You'll always feel fatigued, tired, and sleepy, slow thinking /processing thoughts. Your body is suppressed depending on dosage, it slows levels of activity and energy.",8,4,1
"Risperidone","Tricia","October 3, 2019","Taken for 1 to 6 months","This medication  risperidone saved my life. I use Buspar for anxiety along with Risperdone. I take 2mg at night and I have never felt better in my life. I slept and I am much calmer and I feel happy for the first time in my life. I have tried everything you can imagine. Every class of drug to help with bipolar, depression and anxiety. It was hard to find someone that listened to me and was willing to work hard at getting the right fit for me.  I am beyond thankful for this medication! I can't imagine where I would be with my relationships If I had not tried this medication!",10,18,1
"Risperidone","vandalized corpse","September 16, 2019","Taken for 1 to 6 months","<b>Risperdal Consta (risperidone):</b>			 Again a terrible tragedy that I was subjected to this drug against my will because of a temporary behavioral anomaly. After a month of taking became very hallow and unbelievably slow, especially at tasks such as reading, thinking, and communicating. Periodically had some sort of dyskinesia and felt like all the memory was being sucked out of me and I would have to get stuck in a weird transition state . It was a very frightening and terrible experience, as if I could not take care of myself. The only way to get rid of that catatonia was to take sedatives and sleep it off. I am not sure how to label this symptom, but I will guess the most appropriate labelling would be either catatonia or severe delirium with dyskinesia. The symptom disappeared after 6 months of not taking this medicine.",0,9,1
"Risperidone","Anonymous","August 21, 2019","Taken for 2 to 5 years","I think there are two sides to risperidone. Mentally it is a fantastic medication, it slows down racing thoughts and really calms down manic symptoms and you sleep so well. I was oversedated when I first started taking it but after a few months got acclimated to it. Physically it's a disaster. Weight gain is hard to control (40 LBS in 2 years) although I have a desk job and don't get a lot of exercise. I would say if you start taking this to diet right out the gate, you will want to eat more. And watch out for uncontrollable muscle movements/spasms.",8,12,1
"Risperidone","LS","August 16, 2019","Taken for 6 months to 1 year","<b>Risperdal (risperidone):</b>			 Risperdal was the first medication I ever tried for my bipolar type one and it was awful. They started me out on 8mg which is unusually high, it kept me from being manic or depressed but also completely stopped me from being able to feel any emotion. I was a zombie. I honestly felt like if my best friend died I'd feel absolutely nothing, it was that bad. Would not recommend, my current psychiatrist also says she hates Risperdal if that helps any.",0,21,1
"Risperidone","Nubie","August 9, 2019","Taken for 1 to 6 months","<b>Risperdal (risperidone):</b>			 I take Resperdal 4 mg with 20 mg celexa. I was on invega sustena before. Since I changed I find that I sing a lot and my mood is sometimes loony sometimes doesn't want to deal with people.  I gained so much weight on both celexa and risperdal around 40lbs. I will talk to my Dr about decreasing the dose and get on a diet.  I hope that will lessen the symptoms.",0,12,1
"Risperidone","Andrea","July 6, 2019","-","I thank God for this medication. I sleep good whenever I take this. There's no racing thoughts and I can think clearly and do normal things. Whenever I forget to take this med, I always wake up in the wee hours of morning.",10,7,1
"Risperidone","sadhadf","July 3, 2019","-","<b>Risperdal (risperidone):</b>			 I've been taking this medication for about 9 months and I completely lost myself. I gain 40lbs I feel unmotivated all the time I feel sedated, it is not me anymore. I am a perfectionist and risperdal is definitely the deadliest medication ever for me. I hate taking it but I have no other choice. If another medication works for you just stay away from risperdal it is awful.",0,17,1
"Risperidone","Forabell","July 2, 2019","Taken for 2 to 5 years","<b>Risperdal (risperidone):</b>			 I took Risperdal for three years for my Bipolar, and it seemed to work really well and that is why I stayed on it for so long but I eventually started to gain weight very rapidly I was 190 lbs (I am a 5'4 female) and I was completely lethargic all the time, I wasn't necessarily depressed but just apathetic and cold. My psychiatrist helped wean me off it (It is not addictive it just causes withdrawal symptoms) and even before I was completely off it I had lost 15 lbs. I am now 40 pounds lighter and its been about two months. My friends and family say my emotions are much more colorful and I seem more emotionally engaged. I know that it has worked for many people though and it helped me a lot when the symptoms started appearing.",0,14,1
"Risperidone","Anonymous","June 11, 2019","Taken for less than 1 month","So a couple of years back, I was admitted into the hospital  UNIT, for extreme depression and anxiety.  I was admitted for 3 days and was prescribed risperidone, this medication made me go absolutely crazy.  I thought I was hearing/seeing things that weren't there, hallucinations etc, so on I  gave it a chance and there was no changes, so I had to go off the medication.  My body did not need the medication and I was only in the hospital for the extreme depression/anxiety, and did not know this medication was an antipsychotic, the psychiatrist made a mistake. Not all medications are for everyone but I would not go back on this medication if you paid me to. Scary what some meds can do!",1,6,1
