"Drug","User","Date","Period","Review","Score","Likes","Page"
"Saphris","Taterbug","March 3, 2020","Taken for 5 to 10 years","I've  been  on saphris for about 6 years or more, in my personal experience I believe I have  been exceptionally well,  when I miss a few days I realize how off I become but go back to normal while I'm on this medication. I think doctors should familiarize  themselves  with this medication  more because I think it would be great for others that suffer with bi-polar  disorder",10,3,1
"Saphris","Anonymous","February 16, 2020","Taken for 1 to 6 months","I suffer from Bipolar I Disorder with Psychotic Symptoms. This medication has completely taken away all the voices I was having! I take 20mg and have been for about 5 months. The only thing is my anxiety has increased, and sometimes I feel disconnected and out of it. Does anyone else feel these symptoms? Just curious. Overall though, this drug definitely works.",9,3,1
"Saphris","Peanut","January 14, 2020","-","I’m 59 and have been on and off meds since my 20’s. 10 years ago a new doctor I was going to had put me on Wellbutrin and ambilify. I was still crying all the time and very depressed so he doubled my dose of Wellbutrin to 300 mg.  I started imagining things and crying uncontrollably. Pristiq in the morning and Saphris at night. I had never heard of either one of those drugs and I had tried and failed with a lot of them.  I walked out of there 1 week later with a new lease on life! The Saphris may make your mouth a bit numb because it’s a disintegrating tablet you put under your tongue I don’t get so many highs and lows I stay level and calm. I feel mor patience. I’m not seeing things that I thought I might of caught a glimpse of.  I don’t cry out of frustration all the time.",10,11,1
"Saphris","Ree","December 6, 2019","-","Safris was extremely helpful for my IBS Irritible bowel syndrome but I was told from family members that it completely destroyed my personality.",10,4,1
"Saphris","Jahjah","December 4, 2019","Taken for less than 1 month","This medication gave me sleep apnoea and I would wake up in the middle of the night not breathing. It wasn’t required in the first place and the withdrawals from this medication are horrid. It might work for some people.. but this is a dangerous drug. Also people mention it makes their tongue numb, this is a common sign you are allergic to something.",1,2,1
"Saphris","ky134340","October 8, 2019","Taken for 1 to 6 months","I was prescribed asenapine 5mg 2x/day. Was assured by my psychiatrist that it would only make me mildly drowsy. The very first dose hit me hard. Within 40 minutes I was nodding off while trying to talk to people. I slept for ten hours after that. Side note, medications don't typically affect me like that! This made me scared to keep taking it at all, but my psychiatrist said I could just take it at night and see how it went. Over the course of a month, I began feeling extremely agitated (like a mixed episode but worse) and it put me in a dark place. Looking back, I'm honestly surprised that I didn't attempt suicide, that's how bad things got. I'm glad to see that this works for so many, but it's 100% a no from me. For those worried about the taste, it isn't good, but I got used to it after the first dose. It does make your tongue numb, which lasted about an hour for me, but I think it's definitely something you can get used to. I'm quite sensitive to taste and have a sensitive gag reflex, but that aspect was tolerable.",1,15,1
"Saphris","MoeG","September 30, 2019","Taken for less than 1 month","Just started this...helps me sleep...deep sleep Increase appetite and more balanced mood Its a tool in your tool box.",9,12,1
"Saphris","Stay strong","September 4, 2019","Taken for 2 to 5 years","I would really recommend this medication because I’ve tried almost every anti psychotic medication and I’ve never been able to stabilize my mood until I found this medication. The only side effect I get from this medication is twitching on my toes but it goes away a few minutes later. I’ve had worst side effects from Latuda which was making me sedated and giving me milk from my breasts and I wasn’t even pregnant. I really like this medication because it also helps me with sleep and without it I over think a lot at night. My mood has definitely improved with this medication I’ve been taking it for 4 years and it’s worked. I’ve only had to increase the dosage 2 times unlike other medications where I constantly have to increase the dosage.",8,17,1
"Saphris","needyyprincess","July 31, 2019","Taken for less than 1 month","First night I took it, sent me into a psychedelic dream. it was like a full psychedelic trip. I went into the 4th dimension and was communicating with my past/present/future self all at once. I was everything and everyone. I was matter. energy. I was the universe.  Before this drug, I never dreamt. I slept like a baby, but Saphris completely changed that.I was in full blown insanity, and on and off psychosis for days after the trip.  In my mind, we are all one. so death is nothing. I am everything anyway, this shell of a body I use is not me. waking up felt like I had just come out of a coma, I had no idea who I was, where I was, and how long had passed. one second in our time felt like millions of millions of years in my dreams. I took it for another 3 days, then stopped. to this day the nightmares have never left. Some nights are worse then other. From just this one 'dream', whatever was in that drug changed something in my brain forever.",1,16,1
"Saphris","Jordy","July 11, 2019","Taken for 1 to 6 months","I have Bipolar 1.  I am currently taking 1500mg of lithium, 300mg of lamictal, and 10mg of Saphris.   Since starting Saphris my paranoia has decreased, I’m not distracted with deluded thinking.  I sleep much better, have quit smoking cigarettes, and I’m exercising 4 days a week at the gym. I haven’t had any side effects. I also regularly see my psychiatrist and psychologist.",9,30,1
"Saphris","Seismic One","April 20, 2019","Taken for 2 to 5 years","Yes, Saphris allowed me to finally sleep at night. But after having taken the drug for 2 or 3 years, my speech had become so distorted that I was virtually impossible to understand. Thinking that I may have had a minor stroke (I was in my early 50s at the time), I went to see a neurologist. He is the one who asked me if I were taking any antipsychotic drugs, and told me he believed that I had developed tardive dyskinesia in my tongue from the saphris. I was compulsively moving my tongue constantly within my mouth, and it had destroyed my ability to speak coherently. I immediately stopped the Saphris, then spent the next year diligently and constantly training my tongue to stay put and stay relaxed. My speech is nearly perfect again, with just a very mild lisp that no one but me can hear. But I still spend every moment of every day monitoring where my tongue is, if it’s relaxed, and making sure that it’s not moving. And I’ll be doing that every day for the rest of my life.",1,19,1
"Saphris","AJ","January 16, 2019","Taken for less than 1 month","I was on saphris for less than a month. Made me feel like so bad. Like I had the flu. Also it gave me OCD. I was obsessing over finding pennies. I had a few jars at home too. I was so consumed by this penny obsession. I took off from work so I could organize all my pennies in chronological order. . . ??? This is so bizarre to me. I stopped the saphris not long after. I could not function at all because I was so obsessed with pennies.",1,17,1
"Saphris","HappyToBeHere","November 2, 2018","Taken for 1 to 6 months","First things first, I love this drug! I started out on 2.5 mg and the first time I took it, I actually sat down. And I was able to sit with family and have a conversation, rather than go be in my room to talk with my fantasy world. The first problem that appeared was ankle pain. I’m still unsure if that was the medicine or I actually had injured my ankles, but it went away once I was given 5mg. This medicine makes me feel in control of my emotions, and has actually helped me to feel a bit more organized. The side effects that I have seen is mainly the drowsiness, numb tongue, and weird dreams. Like, really weird dreams. The taste is a bit nasty, but you get used to it quick. I really enjoy this drug and it’s not only me that has noticed a change. It’s my family too, they were originally a bit wary about me going on an antipsychotic, but now they’re glad I did. For me, it’s a miracle drug.",9,31,1
"Saphris","Ksjev","September 23, 2018","-","I was put on Saphris in Jan '17 after I had a Roux-en-Y  Gastric Bypass. My doc wanted to make sure I was able to absorb my meds after surgery. I started at 5 mg and worked my way to 20 mg a night. After a bit it stopped working as effective and I needed a mood stabilizer added to my nightly meds. Using Saphris I found my sexual response and desire to be greatly diminished. Sex was painful while on this med. It took a lot more work to get a response out of me.  I became pregnant in April '18 and with morning (all day) sickness I had a lot of issues with taking meds. I would take it only twice a week or so. I stayed on as much as I could until July when Dr tried to put me on abilify. I've been off of all meds since July. My sexual response and desire has gone back to normal. I liked what it did for my symptoms and for the most part kept me level but after I deliver this baby I will not be going back on Saphris as I enjoy being able to enjoy being intimate with my partner.",6,13,1
"Saphris","TJ","August 31, 2018","Taken for less than 1 month","It’s actually pretty good for anxiety. I can definitely say it helped me with most of my anxiety symptoms. I am not manic or  depressed anymore, I’m just zoned out. It is a bit pricey as well.",7,23,1
"Saphris","Janedeb24","August 14, 2018","Taken for less than 1 month","I started on 5mg at night for 6 nights and then went on to 10mg and have been on this for another week.  So far no real problems.  It puts me to sleep straight away which is a godsend and I am much calmer.  The only issue is that I wake up after 4 hours sleep and am wide eyed but I still don't have much motivation or energy.",9,28,1
"Saphris","BipoPed","July 24, 2018","Taken for less than 1 month","Took Saphris for about 2 1/2 weeks for Bipolar one mixed w/ Psychotic features.  First time taking it hated black cherry  taste but after that it didn't bother me anymore.  First week was wonderful. High flying mania delight.  Cleaned my house like crazy.  Mania wasn't 'too high' though. Was in a great mood but no major shopping sprees.  Week 2, I started backing down on the cleaning and happiness and started getting agitated mania.  Moods were all over the place.  Cried for an hour after a death in a TV show and felt like I was going to die of grief.  Then it changed to anger and then depression.  Moods were a little scary and rapidly changing. After that, it lessened in intensity but I was still having depression so I decided to come off and try another med.  Also had bad heartburn and gained 5 lb in 2 weeks.  May work for some but not me.",5,18,1
"Saphris","Anonymous","June 26, 2018","Taken for 1 to 6 months","For the first time in 12 months I feel back on track.  My depression and anxiety are gone.  I take it an hour before bedtime.  No weight gain.  Dissolves under your tongue so you can take it anywhere.",10,25,1
"Saphris","Lisa Sears","May 27, 2018","Taken for less than 1 month","I only took Saphris for a very short time. It was good for mood but the blurry vision and headaches were more than I could deal with. If it hadn't been for those two side effects I would have stayed on it. I've tried so many meds but always have some side effect that makes me stop them.",8,20,1
"Saphris","Foureyedgrrl","May 18, 2018","-","I took this medication for a very short time.  Started at 5 mg for a week, then moved to 10mg.  My doctor prescribed it when I was struggling with a poor sleep cycle when I was sleeping only ever other night and eating very little. The taste is awful, but tolerable if the medication would have worked otherwise. It did interrupt the critical sleep cycle.  It worked for that.  I was literally out in 15 minutes. However, I would wake up after 4 hours, literally famished.  I wouldn't be able to fall back asleep until I ate.  I wasn't groggy the next day from the med, but constantly hungry.  Insatiably so. I developed a spasm in my eyelid after 6 days.  At first, I dismissed it.  However, it escalated to every hour.  We then discontinued the medication.  I have been off of it for a week, and still the eyelid twitching has continued every hour. I would avoid this medication due to the fact that tardive dyskenisia can be permanent and large number of patients have reported weight gain.",2,13,1
"Saphris","bpd789","May 17, 2018","Taken for less than 1 month","Saphris was the first drug I tried to treat my Bipolar II. The main reason for it was that weight gain was a big fear for me and I was not willing to jump into any medications that were not weight-neutral. Saphris was weight neutral, but it definitely did not work for me. I took it at night and some nights I would pass out to sleep and others I would sit up awake in my bed feeling like I had no control over my own body. During the day I had a edgy/off feeling like I was coming of a recreational drug. For an hour or two I felt at peace, but that would not last. Definitely not a good fit for me.",2,14,1
"Saphris","Jen","April 15, 2018","-","I recently started taking this medicine. I am having horribly VIVID nightmares and night sweats, am switching back to Abilify.",1,11,1
"Saphris","Bc","April 14, 2018","Taken for 1 to 6 months","Struggling with the medication. I get crazy thoughts and my mood is all over the place. Looking forward to seeing my doctor and changing meds",0,10,1
"Saphris","kenboy","February 25, 2018","Taken for 1 to 6 months","I don't know what the big deal is about the taste---I have the cherry and yeah, its not great, but if you want to feel better than you have to deal with it-----feeling better is all worth it to me...has helped me greatly------do not be afraid to try it---",10,28,1
"Saphris","mae77","February 1, 2018","Taken for 1 to 6 months","I don't currently take this prescription anymore because in the US it is expensive, when I was prescribed for panic attacks and anxiety at a low point in my life oh my god it helped so much, I felt so normal- not strung and feeling doomish, I had clarity mentally and emotionally (with bouts of panic attacks from heavy personal experience, for that I had clonazepam), I was in a good mood and living my own life on saphris, it felt like I had a sudden choice in feeling anxious or upset and I would mentally clear up my anxiety in seconds myself, and no more introspectiveness, the downside: I had anxiety sleeping and rapid crazy nightmares and waking up was a blur the first hour of waking.. I remember this helped a lot and I believe for bipolar (why I took it) it has a positive effect so much, but sleep is harsh on it and it was expensive",9,19,1
"Saphris","9 year old boy","January 13, 2018","Taken for 1 to 2 years","My son has Autism and Bi polar disorder  and had intense violent rages and breakdowns almost constantly. He didn't know how to interact with peers, he saw himself as superior to all and totally disconnected from reality. He would stay awake head banging every night. He had huge bags under his eyes and we tried everything we could to get him to sleep. He never slept through the night, and when he was an infant all he did was cry. He is nine now and has been on Saphris for about a year and a half. He is a different person. He was different the first day. He is actually loving towards me and family members and at least tries to interact with other kids. It is a godsend. He  now sleeps 10 hrs",10,32,2
"Saphris","crazydude81","December 2, 2017","Taken for 2 to 5 years","I rated this medication once before, I felt a need to update my review. I've taken Saphris since '13 @ 30 mg. Nightly and over the past 5 months I've slowly tapered down to 10 mg. With high hopes of discontinuing. Saphris got me out of a bad spot, I remember being horrified of answering the door let alone leaving the house I was so delusional. I got out of that spot, SLOWLY got on my feet and SOME WHAT rejoined society. My positive manic spirit is gone, I'm always tired &amp; feel like life goes on around me, not with me. Its very hard to discontinue, I have panic attacks daily now and am beyond stressed. I feel like I'm trapped, no worse--or better--on or off after all these years.",6,10,2
"Saphris","Mitch65","September 19, 2017","-","After trying several meds, which helped, I was introduced to Saphris @ 10mg/day. I experienced periods debilitating drowsiness, so decreased to 5mg. Problem disappeared. Mentally, emotionally I feel almost normal. Mood swings are slight, handleable. I like Saphris.",10,26,2
"Saphris","Jessie1382","September 13, 2017","-","After 15 years of trying different meds, this is the first one to give me a positive change.  I used to be suicidal everyday &amp; had a hard time leaving the house. Everything was overwhelming.  Since starting Saphris my mind finally feels like it has brakes and my thoughts feel lighter.  I'm feeling true happiness,  even happy to wake up.  Little to no side effects 3 months in. I take it at night because it does make me sleepy. Sugar cravings I've noticed but an trying to control that because honestly this med is giving me my life back.  Cons: 20 minutes of a nasty taste in your mouth because you dissolve it under your tongue. Sugar/carb cravings but no excess weight gain yet.",9,29,2
"Saphris","Finally free of Bp2","September 11, 2017","-","Amazing drug when combined with lexapro ( for my depressive side ). To say it has changed my life, saved my marriage and made me a better father is a sheer undersell of this medicine. I'm bipolar 2 with mixed episodes (Dysphoric).  I'm no longer filled with rage over nothing,   irritable , or depressed.  It has thus far been the magic bullet for me, after trying about 6 other combinations.  It's allowing me to be present in my own life without constantly overthinking or having racing and repeating thoughts.  Having a clear mind is allowing me the freedom to be the man I always knew I was.  There's a lot of horror stories on here but just remember when you find the right medication.  Its worth it.",10,30,2
"Saphris","Sky0bye","September 3, 2017","-","I have bipolar 1 with psychotic features, I got off of risperdal that I was only on for a couple of weeks and immediately started saphris. I'm an artist, and when I'm manic I create a lot. Within an hour in my first night of taking Saphris, I began to see colors very brightly , euphoria, hey dad I feel REALLY good. Then I drew up 12 doodles in under 30 minutes. That night I could not sleep well and began to hear laughing in my room. I was verrrrry manic. When I woke up the next day I worked out at the gym for 3 hours and then went to the park to walk a lap. When I looked in the sky I was seeing UFOs and wondering if they were communicating with me. (hallucinations) That night I was having more auditory hallucinations before bed.",1,11,2
"Saphris","Jamie567","June 8, 2017","-","I Gained 50 POUNDS in the first 2 months of taking it. Didnt Work At All. Still had insomnia.",1,9,2
"Saphris","lelydy15","May 19, 2017","-","When I take in am, I'm so tired for 3 hours to the point of dozing off and on. At night I'm like a fish in bed, flopping all over! Restless, up down can't sleep. Why?",3,12,2
"Saphris","Emilymarie96","April 23, 2017","-","Worst medication I've ever been on. It has made me very flat, depressed, quiet, overweight, and also a case of anhedonia. I can't even talk to people anymore, just short answers and no enthusiasm. I also don't even enjoy nature anymore and I used to LOVE the outdoors. I've been feeling like a robot ever since I went on it 6 months ago. I know I should have told my doctor sooner. Last week I started dosing down and am praying that once I'm completely off of it I'll be feeling better and hope to have more life in me. I'm glad to see that it works for most people. Has anyone else experienced any of these side effects?",1,23,2
"Saphris","Gone Bananas","April 22, 2017","-","Worked amazing for sleep for 5 of the 8 months I took it, and chronic insomnia, when left untreated, is a big trigger for my bipolar.  After the sleep side effect wore off &amp; it failed to do anything for a depressive episode (&amp; had not helped mixed mania episodes earlier), I discontinued it.  But those 5 months of sleep - they felt really natural, not drugged, easy to wake up from if you had to and go back to sleep, and no grogginess in the morning.  Side effects: slight pinky tremor at times, and it made me produce lots of alive - I would drool like a basset hound on my pillow at night.  If you go for this, ask your doc to prescribe the black cherry flavor - I did not find that to be too bad!",5,13,2
"Saphris","SyntaraDeb","April 20, 2017","-","I began Saphris after a 4-day stay in the hospital for depression.  Received no info on warnings or interactions.? At first, things seemed fine; neither good or bad. By the next spring, I found I could stay up without feeling tired for 24 hrs. By that summer I felt like superwoman, now having the ability to easily go 3-4 nights without sleep or sleepiness.  Explain this to the psychiatrist, he DOUBLED the dose of prescribed Saphris.  I had 4 car accidents that year. All my fault but totally unexplainable. I did not feel inebriated. My mood darkened and by November I tried to commit suicide. I spent 9 days in ICU.  I can't explain why I tried suicide. Saphris side effects continued. I took myself off it and within a yr, all side effects gone",1,12,2
"Saphris","&amp;","April 2, 2017","Taken for 1 to 6 months","Horrifying. Gave me side effects that mimicked a stroke. Lost my ability to write or make sense of computer keyboards and phone dialpads. Drooling, stuttering, slurring, walking sideways, walking into walls. A nightmare from hell.",1,13,2
"Saphris","Noone1","March 18, 2017","Taken for 2 to 5 years","Saphris changed my life - but not until I went to 10 mg.  I was finally normal - completely taking care of myself, my house, my business affairs .... I even realized I had hoarding tendencies and was able to rid my life of all the clutter.  Then the wheels came off :  Tardive dyskenisia.   I can't think of a more humiliating side effect, and it started a year before I finally got a second opinion and was diagnosed.  TD worsened when I stopped taking saphris, and unfortunately for me, all my old habits are back.    It was so nice to be normal for the time it lasted -- but TD is horrific, and a truly unfortunate side effect.",6,22,2
"Saphris","JoanJet","March 15, 2017","Taken for 2 to 5 years","My husband takes Saphris 5 mg twice a day for bipolar depression. He was having delusions and psychosis as well as paranoia. Since starting the Saphris these have stopped, but there are times when he is very stoned acting, like a zombie. He isn't responsive or talkative a lot of the time. His sex drive has also become non existent almost and he suffers from ED when we do have sex.  It's so difficult when you have a disease like BD and then you have to take these meds, which help some of the symptoms but bring on others that are unwanted. It's like what do you do? My husband says being stoned is better than what he was experiencing before though. Saphris is also pretty expensive, but they do have a card that you can use for discounts.",7,15,2
"Saphris","Erica A.","March 1, 2017","-","ABSOULTELY AWFUL!!!! I was given this for depression and it made everything so much worse! I only took it for 4 days and days 3-4 were so bad I was concerned. Day 3 I was manic and skipped a midterm, completely unable to control my emotions in any form. Day 4 I awoke confused and disoriented. As the day progressed I was manic, had numb hands, couldn't articulate well, had cognitive impairments, and stiff muscles. It was a LIVING NIGHTMARE. I am also an alcoholic and two years sober so feeling anything besides normal was such a detriment to the drug I don't care if I would have gotten over those symptoms - this drug is pure poison.",1,15,2
"Saphris","Anonymous","February 20, 2017","-","Is it addictive",0,5,2
"Saphris","Ozrach10","December 5, 2016","Taken for less than 1 month","I started taking this at 5mg for bipolar disorder. Firstly, the wafer I had to put under my tongue was horrendous! The taste can only be described as the taste of poison. It made my tongue numb. It made me extremely drowsy but it was hard to sleep because I had almost a painful restlessness in my legs so felt I couldn't stop moving yet I was so tired. It was a very uncomfortable feeling. This drug, an anti-psychotic MADE me psychotic. It dramatically changed my personally from the moment I took it. I became aggressive and angry at everyone. If I'd had a higher dose, i think I could have become homicidal. This was a terrible drug for me so I didn't last on it long at all, it was just too dangerous for me.",1,17,2
"Saphris","Lunabee77","December 2, 2016","Taken for 1 to 2 years","Have been on and off Saphris several times. For me, being on Saphris is like turning a light switch on. I go from being manic/depressed to functioning like a normal human. But.... the side effects have made me quit several times - irregular heartbeat, fainting, nausea, etc. Now back on at a low dose with Lamictal and clonezepam for panic disorder. Feel pretty good. Hope it will last. Without Saphris, I am non-functional - so doing my best to manage the side effects while getting the benefits of this medication. Best of luck to all.",8,27,2
"Saphris","831","November 30, 2016","-","I have been taking this med for years and I feel trapped. I don't think it really does anything for me. The problem is that I tried to stop taking it and I became completely useless, tired, irritable, and full of anxiety.  Right now I have not taken it for two days because I forgot it before I went out of town. I am tired, got insomnia and I feel like I am hung over and nauseous. The withdrawals from taking this medication is awful. So I think anyone that wants to start this med should seriously consider this when making a decision to ingest this. I am not the only one who has experienced this. There is a lot about withdrawing from this med on the net.",4,17,2
"Saphris","cookie 1234","November 17, 2016","-","Bad experience causes extreme restless leg syndrome and back aches, taste horrible also , only been on 20 mgs a day for 3 weeks so hopefully not much withdrawals I'm stopping cold turkey as I need my sleep gonna dry bendryl as I think its a allergic reaction.  Would never take again.",1,8,2
"Saphris","Aerh","November 12, 2016","Taken for 2 to 5 years","Helpful BUT it tastes TERRIBLE I absolutely hate the taste I would rather receive it through an injection than how I have to take it but my psychiatrist told me that it is okay to swallow it with a drink instead of the manufacturer directions also it is kind of like false advertising because it says that it tastes like black cherry but it does NOT at all when I was 5 I accidentally ate a small amount of poop and from what I remember it tastes almost exactly the same.",2,17,2
"Saphris","Pratt93","November 1, 2016","Taken for 6 months to 1 year","I'm currently on Saphris, I just starting working for the first time in 3 years.  Ive been on Saphris about 10 months.  2 days ago I woke up and had white canker sores in my mouth, tingling lips.  This drug is so great,  can take it and wake up 6 hours later and not feel tired all day.",9,23,2
"Saphris","Gizmo298","October 10, 2016","-","A side effect of this medication for me was tardive dyskinesia.",1,13,2
"Saphris","Jisduit","October 6, 2016","-","I am the mother of an adult son that has been taking this medicine for over 2 years.  It has done wonders !!!  He has remained stable on this medicine.  He takes 2 10 mg doses at night with trazadone, lamictle, welbutrin and valium.  Right after taking his meds he does get the munchies and right after he is asleep - He functions very well during the day - is attending college full time going for his bachlors - Because he has done so well he was determined no longer disabled and lost his health insurance - the cost of this out of pocket her in VA is 1300.00.  He has applied for the assistance program and we are hoping - he doctor did give him samples and he is good for at least 2 months - if not maybe I will check into a Canadian pharmacy",10,23,2
"Saphris","Andrea the cutter","September 21, 2016","-","I have Bipolar II and I couldn't sleep and was suffering from mania and cutting. It helped with all of that. I could fall asleep in 10 minutes which was a god send. I went through the pharmacutic patient assistance program to get it free because it cost me $200 a month. After taking it for a while I noticed it was causing neurological problems in the form of foot drop. I constantly tripped and fell and had to wear a bulky brace on my foot. I came of of saphris during a manic episode and noticed that my foot healed. Saphris is good in some was but bad in others.",2,10,2
"Saphris","Lovajule","September 14, 2016","Taken for 1 to 6 months","I had tried many medications to level out my bipolar disorder and relieve my GAD and it seemed that when I would get one symptom straight one of the others would reappear. Years it took, eventually my doc decided to try something new when the depression hit and nothing seemed to be helping. So I started trileptal, which helped noticeably but I wasn't sleeping so he recommended saphris to help me sleep, I was a little apprehensive but desired to feel better so I agreed to try it. I am beyond satisfied with it. I feel better than I have been in as long as I remember. I am back in school full time and working full time without the edginess if mania. I feel like myself again. My friends and family have commented on how well I seem to be.",8,31,3
"Saphris","48 yr old male","August 29, 2016","Taken for 2 to 5 years","Have been on Saphris, Trileptal, and Effexor for about 3 years now for Bi-Polar disorder and depression.  I take 5mg of Saphris before bed and I can only sleep about 2 hours if I miss a dose of Saphris.  Otherwise, I sleep about 9 hours of deep and restful sleep.  I do not function well.  Not sure which drug is responsible, but I have issues with focusing and memory that I never had before.  I still have thoughts of suicide almost daily, but this is the best I've functioned on any drug and I've been on them all except Lithium.",6,16,3
"Saphris","BrizeVegasGal","August 15, 2016","Taken for less than 1 month","This drug was an experience in itself. The 1st night I got the restless legs syndrome and kept getting out of bed to go to the bathroom because I had this urge to urinate but... when I got there, couldn't. Then, the next day in the morning I felt whacked. Stoned. Then, I'd pick up after breakfast and my mind would race. I'd become manic. Which was enjoyable. Like an uber high. That bit was good. But kinda defeats the purpose ... so goodbye Saphris.",2,8,3
"Saphris","JMSS","July 18, 2016","-","Taken by teen with schizoaffective disorder. 5mg didn't work so well, gradually increased to 15mg and then medication worked wonders. Happy, stable mood, very little side effects after three months. Diminished irritability and aggression. More friendly and overall happier.",10,17,3
"Saphris","Bipolar penguin","June 28, 2016","Taken for less than 1 month","I was put on 2.5 mg every night of saphris, about 2 weeks ago. It has been utter hell for me. Not only Did it make my tactile hallucinations worse, it caused more problems than before. I've had to go to the ER. I'm more agitated than before. I'm bipolar. Isn't this a bipolar med? I'm not schizophrenic. And what's worse is that even though I'm on the lowest possible dose and only taking once a day, after stopping it IM STILL GETTING WITHDRAWAL SYMPTOMS! And not small ones. Like I said before I had to go to the ER. I'm drinking a lot of water but I still had a extremely low amount of electrolytes. I ended up using two full bags of fluid. This drug is not safe. It does more harm than good.",1,17,3
"Saphris","D Jones","June 2, 2016","Taken for 1 to 6 months","Used it for six weeks. Cluster headaches, Not able to sleep. Foggy all day from lack of sleep. Mind raced 1000 miles per hour. bm several times a day. muscle cramps in feet dosage 5 mg to start 2 days 10 mg 2 days 15 mg on day 5 at night.this went on for 6 weeks doctor saying it would get better. it didn't. finely stopped and went back to depakote. I can live with the small tremors. back to being able to sleep no headache",1,8,3
