"Drug","User","Date","Period","Review","Score","Likes","Page"
"Seroquel XR","Slim Chuggins","April 8, 2020","Taken for 6 months to 1 year","Finally was able to get back on Quetiapine after adding fiber pills to my diet and I am loving sleep.  Spent my whole life not sleeping well or at all lately (was up for almost a week a straight last year).  Quetiapine IR was a sure fire way of knocking me out within an hour and staying asleep to well into the morning. Pretty groggy though and had to keep increasing my dose.  My Pdoc recently sent the XR version into pharmacy instead and it is rather different. I don’t get knocked out right away which means I can create a better sleep hygiene routine.  If I am more relaxed I don’t need to be put to sleep but gradually work my way into it. It does take a minute to fully wake up but I have to say I feel my overall mood remains pretty stable for most of the rest of the day.",10,6,1
"Seroquel XR","pika2334","September 7, 2019","Taken for 2 to 5 years","This drug Seroquel extended release is amazing. Way better than the regular serequel. It really helps my mood. It helps me sleep and less sedating. I don't feel like a zombie in the morning",9,14,1
"Seroquel XR","Sofie","September 4, 2019","Taken for 10 years or more","I have Bipolar Disorder Type 2. I'm on Seroquel XR 150mg for 10 years now. Before I was on Seroquel 300mg for more than a year. I have tried different antipsychotic medicines combination for years but only Seroquel works for me. Changed my life for the better. I have chronic insomnia, tried all sleeping pills but only lasted for weeks then I couldn't sleep anymore. But Seroquel put me to sleep, deeper sleep and wake up feeling better. I just need to sleep every night on the same time. Also I gained weight, and the side effect when I feel groggy at night I feel hungry so I ended up eating at midnight. I know it sucks that I gained weight. Tried to stop taking it for few days then my depression attack me very sudden and my mood fluctuations. From then I never stop taking Seroquel and I feel better. I told to my psychiatrist that Seroquel is my best friend, without it I feel horrible. It is indeed a lifesaver.",0,13,1
"Seroquel XR","Mimzy","March 26, 2019","-","I have Bipolar. Been on 175 mg Quetiapine for many years. Tried other antipsychotics they didn't work at all.  Was sectioned 2016, was changed to 700 mg Quetiapine XR. Yes a very high dosage. My weight was 49 kg gained weight very fast to 67 kg, not happy at all, I have put myself on a diet (carbs are the problem with this medication)  I have all the side effects that are on the leaflet that you get with the medication. I guess many of you know the side effects. Shortness of breath, Fatigue, Memory loss, Dizziness, Lightheaded, Vertigo, Tinnitus, Agitation, Itchy skin, Weak muscles, Aches &amp; pains, Blurred vision, poor Judgement, Awful constipation, Restlessness, Hand &amp; leg tremors, Evil Weight gain... On the plus side I am stable. Along with the Quetiapine XR, I am on a cocktail of medication.  Lamotrigine, Promethazine, Valium, Procyclidine, Cyclizine. I have many side effects &amp; other health issues.",7,5,1
"Seroquel XR","BeforeMidnite","February 7, 2019","-","I've taken this med in the past. I required a higher dosage because I was feeling paranoid. A few months ago, I weaned myself off of it, but I took other meds. I started to lose weight, and I was feeling healthy physically, but mentally my mind was active. I don't feel paranoia like I did in the past, but lately I'm taking a low dose of 150mg compared to 600mg several months ago. If I take it too soon before bedtime, I tend to feel groggy in the morning, and it takes me 9 hours of sleep. It can cause weight gain, and diabetes. Make sure you have your blood sugar monitored every 3 months. Eat small snacks, less carbs and exercise. Healthy sleep make you happy.",8,9,1
"Seroquel XR","Chica","June 29, 2018","Taken for 2 to 5 years","I take 400mg Seroquel XR once at night and 100mg of Lamictal 2x a day and Ativan 1mg 2x PRN. I have found that Seroquel XR has been a life saver. The immediate release made me sleep walk and sleep eat and would wear off halfway through the night. The XR stays in my system longer and helps me fall asleep and stay asleep. Only downfall is if I don't set an alarm on the weekends I could easily sleep 12+ hours.",8,4,1
"Seroquel XR","KTS","May 29, 2018","Taken for 1 to 6 months","Within 2 months, at a dose of 300mg, it completely changed my life. I have been on many meds and combinations for 20 years, but this (along with much soul- searching, personal responsibility and facing truth, therapy, and DBT skills) has stabilized my Bipolar I and almost cured by borderline personality disorder. I had resigned myself to a difficult and tragic life before this happened. I was inspired to move to a single med, because I was a long time user of Lithium, SSRI, Lamictal combo and wanted to try for a baby. This ended up giving me new life- my own.",10,16,1
"Seroquel XR","Felix99","February 13, 2018","Taken for less than 1 month","Tried Seraquel ten years ago. Ended up driving when my body when into SEVERE convulsions. Was barely able to turn around and drive back home.  Then, recently, ten years later I was prescribed SEROQUEL XR. Again. I didn’t make the connection to the first time.  Took the 100mg dosage two nights ago. Uncontrollable convulsions and seizures. I have restless leg syndrome and my legs were flying all around.  No way to lie down and sleep, so I walked around the house for four hours, occasionally I sitting at my desk for a bit.  No sleep. Then, the next day I suffered the entire day suffering from cognitive dissonance. I kept going in and out of  the moment.  And I would spend  about thirty seconds in this state, then return for a minute or two. This cycle went on all day long.  Third day now and back to  normal.  Not taking anything now.",1,1,1
"Seroquel XR","VC8","December 22, 2017","-","Seroquel XR saves my life! No more mania and no more suicidal thoughts in the past year of taking this med!it completely squashed my mania and stopped my racing thoughts better than any other medication!  I still had some depression for a while, but not nearly as bad! My doctor recently added Lamictal for additional help on the depressive side, and I’ve never felt so stable in my life! Not to mention that Seroquel helps me sleep well for the first time in my life!:)",9,6,1
"Seroquel XR","Longhorn Grad","November 18, 2017","Taken for 6 months to 1 year","I was taking 300 mg of Seroquel XR for 6 months. The best part was being able to get a good night’s sleep. I had only been getting 2-3 hrs rest each night. My mind would race and it was a struggle to stay in bed. I would get up and start cleaning. Additionally, I would spend hours creating plans to organize my life. I had not actually followed any of those plans and I was depressed. I took Latuda for a short period but it made my inability to sleep worse. That’s when I was switched to Seroquel. I loved the way it helped me feel normal. The bad - I gained 30 lbs in 6 months. I asked to be taken off and started taking Geodon. Once again I cannot sleep. I am going to ask to go back to Seroquel XR and focus on following a healthy diet.",9,9,1
"Seroquel XR","cute nut","September 27, 2017","Taken for 1 to 6 months","I had the worst side-effect from this medication.  I was originally prescribed it about a year ago for insomnia related to my Bipolar 2.  It worked to get me to sleep, but eventually I started to have enormous amounts to rectal pain, so I went off of it when I stopped cycling.  I was put on it again this year when my cycling started again, and I again had the same pain.   It was absolutely awful.  So I am off of it now and never want to be put on it again.",3,5,1
"Seroquel XR","Musician8907","August 17, 2017","-","I have been taking this drug for a year and a half and it has changed my life. I've tried various drugs and lifestyle treatments over 5 years of great instability and desperation, going between breakdown after breakdown. Finding the right dose and preparation (slow release) has not only lifted me from crisis, but improved my wellbeing to an all time level. (It took a little while to adjust.) In particular it guarantees me a good night sleep and I can up the dose slightly if things slip. It has done wonders for my anxiety and given me the stability to really be what I want to be. I feel it is important to note that the drug is one part of the picture, and mindfulness, exercise, social/professional support etc. are important where possible",10,17,1
"Seroquel XR","BipolarBear24","July 31, 2017","-","I have to say I've this medicine a 7 out of 10 because it has brought me out of both some wicked manias and depressive episodes. The sedation is a love-hate relationship with me- It's nice for my anxiety, but is also a nuisance. I MUST take this medicine 12 hours before I need to wake up, or I have trouble waking up. I feel it does interfere with my creative and intellectual abilities a tad bit. Overall, however, it's good med.",7,12,1
"Seroquel XR","Anonymous","July 7, 2017","Taken for 1 to 6 months","Great med, weight gain yes 50 lbs over 8 months started working out at the gym and watching what I eat and feeling good and hopeful for the future down 30 lbs does feel little of loss motivation at 500mg trying to lower dose to 300mg update later",10,9,1
"Seroquel XR","mgoldapp","June 23, 2017","Taken for 2 to 5 years","Recently able to get the XR in generic form.  This has been a complete life changing medication for me.  It has improved all areas of my condition to a point I am fully capable to manage life without any other assistance.",10,7,1
"Seroquel XR","Darkness^6","June 17, 2017","-","Only take when needed. Mainly for it's sedative effects, though that doesn't always seem to work. Especially if I've been taking them for a few days in a row.",6,2,1
"Seroquel XR","Bipolarity Guy","May 31, 2017","Taken for less than 1 month","I was on immediate release version of Seroquel 200mg and the side effects were horrible! Everlasting hungover and craving for foods like if it's a drug or I would be going withdraw aka blood sugar crashes. So my Dr switched to seroquel 200mg extended release and it was a GODSEND form of drug! Barely any of sedating effects and even lack of any hungover.... And the best part was that I forgot to eat breakfast by accident several times in a week.... If for immediate release I would be going crazy for missing breakfast. Imagine that!",10,7,1
"Seroquel XR","Beltane","May 27, 2017","Taken for 2 to 5 years","This drug is a wonder drug. After 15 years of brutal bipolar symptoms (undiagnosed/ untreated) which destroyed my whole life, I now take 300mg at night and now I can have a normal life free of anxiety, mood swings, bipolar symptoms etc, I hold down a responsible full-time job, healthy relationships and friendships, I have hobbies. I never had any of that before; my bipolar destroyed my whole life. Seroquel gave it back. I hear of people wanting to go off Seroquel.. I'm the opposite.  I would go to any lengths to make sure I never have to go off it. I'll gladly spend the rest of my life on it, because it gives me a normal life, and I won't risk that for anything. I've been on it 3 years, no side effects.",10,31,1
"Seroquel XR","Anonymous","May 23, 2017","Taken for 1 to 2 years","Gained probably 80 pounds, constantly was ravenous, felt horrible, drowsy and disconnected, and my symptoms were not any better. No thanks",0,5,1
"Seroquel XR","B303","May 13, 2017","-","SeroquelXR has changed my life for the better. I am currently on 400mg once daily. (I also take klonopin before I go to work). For the last 6 months, I have not had to call out sick from work, which was a monthly occurrence before Seroquel.  I have not had to take a leave of absence in  the last year. I used to have to take 2 six week leaves a year. I feel much more positive about my job and my life in general. It has been a game changer for me. The only down side is the weight gain. It seems to slow your metabolism down and increase your appetite after taking it, making it difficult to loose weight. I am currently not overweight, so the weight gain is a small price to pay. I do have to exercise  regularly and watch more carefully what I eat",9,17,1
