"Name","Generic","HTML","Reviews","NumReviews","Score","Popularity","Classes","Off Label"
"Lamictal","lamotrigine","https://www.drugs.com/lamictal.html","https://www.drugs.com/comments/lamotrigine/lamictal-for-bipolar-disorder.html",519,"8.1",106,"triazine anticonvulsants ","No"
"lamotrigine","lamotrigine","https://www.drugs.com/mtm/lamotrigine.html","https://www.drugs.com/comments/lamotrigine/for-bipolar-disorder.html",815,"8.1",68,"triazine anticonvulsants ","No"
"Seroquel","quetiapine","https://www.drugs.com/seroquel.html","https://www.drugs.com/comments/quetiapine/seroquel-for-bipolar-disorder.html",336,"6.8",61,"atypical antipsychotics ","No"
"Abilify","aripiprazole","https://www.drugs.com/abilify.html","https://www.drugs.com/comments/aripiprazole/abilify-for-bipolar-disorder.html",274,"5.5",51,"atypical antipsychotics ","No"
"lithium","lithium","https://www.drugs.com/lithium.html","https://www.drugs.com/comments/lithium/for-bipolar-disorder.html",286,"7.4",40,"antimanic agents ","No"
"Latuda","lurasidone","https://www.drugs.com/latuda.html","https://www.drugs.com/comments/lurasidone/latuda-for-bipolar-disorder.html",549,"6.4",34,"atypical antipsychotics ","No"
"Depakote","divalproex sodium","https://www.drugs.com/depakote.html","https://www.drugs.com/comments/divalproex-sodium/depakote-for-bipolar-disorder.html",148,"6.1",28,"fatty acid derivative anticonvulsants ","No"
"quetiapine","quetiapine","https://www.drugs.com/mtm/quetiapine.html","https://www.drugs.com/comments/quetiapine/for-bipolar-disorder.html",559,"7.0",26,"atypical antipsychotics ","No"
"gabapentin","gabapentin","https://www.drugs.com/gabapentin.html","https://www.drugs.com/comments/gabapentin/for-bipolar-disorder.html",118,"8.2",21,"gamma-aminobutyric acid analogs ","Yes"
"clonazepam","clonazepam","https://www.drugs.com/clonazepam.html","https://www.drugs.com/comments/clonazepam/for-bipolar-disorder.html",84,"8.6",20,"benzodiazepines, benzodiazepine anticonvulsants","Yes"
"Risperdal","risperidone","https://www.drugs.com/risperdal.html","https://www.drugs.com/comments/risperidone/risperdal-for-bipolar-disorder.html",77,"6.4",20,"atypical antipsychotics ","No"
"Seroquel XR","quetiapine","https://www.drugs.com/mtm/seroquel-xr.html","https://www.drugs.com/comments/quetiapine/seroquel-xr-for-bipolar-disorder.html",92,"7.5",19,"atypical antipsychotics ","No"
