"Drug","User","Date","Period","Review","Score","Likes","Page"
"Symbyax","Twotammies","January 13, 2020","-","I have been taking for five years now. I was in a manic out of control state when I was given this med.  From day one I was a different person. All my obsessiveness went a way. My original psychiatrist retired and it gets harder to find someone who still uses this drug. It saved my life. I swear",10,7,1
"Symbyax","Bowensss","August 5, 2019","Taken for 1 to 6 months","I figured I would wait a couple months to leave a review so I had actual experience urging this medicine. I have come to the conclusion that this medicine is a GOD SEND. I'm able to handle life a lot better now, I知 not sad, aggravated, upset and bitter towards the world anymore. I知 happy, content and excited for what life brings. I started on 3.5/25mg and now I知 at 5mg/20mg. This is the perfect dosing, I知 able to sleep through the night (I do sleep at lot harder now then I did) &amp; I知 not near as anxious as I was. This is a great medicine .  I have gained 10 lbs in just a few months but it痴 worth every pound.",9,8,1
"Symbyax","Von","January 14, 2019","Taken for less than 1 month","Day 4. Wow!!! I feel alive for the first time in 25 years. Tired first few days but am full of energy. No excess hunger yet either. Just feel great after feeling at the end of the road for so long. Wish I would have been put on this much sooner!",10,24,1
"Symbyax","Loglady","May 26, 2017","Taken for less than 1 month","Day one.  Exhausted/lethargic  Mild Headache  Brain fog Slight elevation in mood. Less irritated.  Pooped my pants. Seriously. Just as company rang the doorbell. Hopefully this junk passes and gets better.",0,16,1
"Symbyax","Kjlowe","March 17, 2017","-","All I can say is Wow!!!          I am myself again after all this time &amp; trying so many different meds.     I kept doing more research &amp; finally found my dream drug.       Symbyax.         Thanks everyone for sharing your experiences.         I tiny capsule instead of a handful of drugs.",10,27,1
"Symbyax","sweet baby","October 23, 2016","-","depression and listlessness loss of appetite",0,8,1
"Symbyax","Mulgrew","January 27, 2016","Taken for 5 to 10 years","Symbax is like gold It has done wonders for my bipolar I can sleep at night with no racing thoughts my manic episodes no longer happen my depression is gone and my anxiety level is down I don't have that constant worry in my every day life that I use to have it keeps me level headed",10,55,1
"Symbyax","anonymous fox","December 21, 2015","Taken for 1 to 2 years","the zyprexa part of this mix means it will work you WILL have weight gain no matter what. But it works I went from daily suicide attempts to being normal within a week of going on this combo. I wouldn't go on this first I would say its a last resort for those who are treatment resistant.",9,32,1
"Symbyax","Tbirdnurse","August 11, 2015","Taken for 2 to 5 years","I have been on Symbyax for about 3 yrs.and it works great. Slept like a log, my emotions were suppressed (not sure if that's good or bad).  I was recently changed to generic and I am having problems with mood swings and even worse weight gain.",8,26,1
"Symbyax","labajista","February 18, 2015","Taken for 1 to 6 months","I've been on this medication for 2 months and this is the best I have felt in the 4 years since I was diagnosed with bipolar I. Only problem is I've gained about 10 pounds.",8,36,1
"Symbyax","Yors","February 8, 2015","Taken for less than 1 month","Great medicine. I used Symbyax 3/25 before for depression and it helped a lot. I am taking it now for bipolar it has helped a lot really. The bad thing is the excess appetite, weight gains. But I don't care about the weight as long as it helps me out.",8,30,1
"Symbyax","Jeff1994","January 16, 2015","-","While it helped with the disorder, I gained 40 lbs in 5 months. I stopped taking it 6 months ago and I already lost 30 lbs.",1,27,1
"Symbyax","Anonymous","August 13, 2013","Taken for 1 to 2 years","I don't get majorly depressed any more or suicidal. My only problem is being so tired all the time. I used to work a lot and be up for days sometimes and required only 3-5 hours of sleep per night. Now sometimes I do nothing but sleep for as long as 5-6 days only getting up to eat, shower and use the bathroom. My energy level has gone from 9 to 3 on a good day. Marriage is in trouble too.  I've had dosage adjustments all over the place and am back to my starting dose of 3/25. 6/50 was the worst. Now taking an additional 20mg of fluoxetine during the day but it doesn't help so I'm stopping that. I'll stick with the lowest dose and start drinking coffee or something to get me going. I'm a 52 year old male in good shape. No reason for the tiredness.",8,32,1
"Symbyax","Hanging in there.","May 23, 2013","-","I have been on this medication for over 4 years now. I was able to go to Nursing school and have been working in the field now for almost 2 years. I'm less anxious, I don't get frustrated. I'm calmer. I did gain almost 60 pounds. This has been an issue for me. I also noticed that I'm not in tune as much spiritually which is an issue for me. I stay on the medicine because I have never functioned as well on anything else. I don't cry much, seems like my emotions are hidden somewhat. I'm not sure I like that. I have thought about getting off of the medicine for a while just to see what happens, but afraid of what might happen, so I continue to take it. All in all it has been a good experience.",8,46,1
"Symbyax","Mr.Satisfied","May 15, 2013","Taken for 1 to 6 months","After years of feeling as though I were slowly losing my mind to ruminations, agitation, depression, lack of focus and general brain-cooties, it finally dawned on me that I was bipolar and I sought treatment. You may read the other positive reviews on here and think they could be written by manufacturers, but you may be underestimating the efficacy of this medication, it is truly amazing. I feel like I did when I was a younger man, before mental illness took hold in my life. My mind is unencumbered and clear. I feel normal! I still can get sad, I still get annoyed by things, I still feel enthusiasm, but it's tempered, appropriate emotion. Symbyax is great. Try it. Minimal weight gain, by the way.",10,73,1
"Symbyax","pito1982","February 13, 2013","-","I took Symbyax a few years ago for a month. It  was great made me feel happy again and happy about life. Since I suffer real bad mood swings and other stress related issues I stop taking it and it and have not been good without it. Started taking it again. The only knock is you get a crazy appetite and can gain weight if you don't workout and Cotton mouth for days but other than that its a miracle.",10,42,1
"Symbyax","~My Girl Friday~","January 11, 2013","-","I've been on Symbyax for over 5 years, off and on, but consistently for the last 3. I have found that when I'm on it, I feel like me again. I am not moody, snappy, or self-destructive. When I was manic I engaged in promiscuous activity, large spending and shopping sprees, when I didn't have the money I would turn to stealing. When I was down I could be bed ridden for days, sometimes weeks. I would not go into work, was suicidal and ultimately hospitalized on different occasions at my worst. I was started on many different medications and combinations, but also being an epileptic (also caused some depression) my Dr's and I had to be careful with medicines Symbyax, Depakote, and Trazodone worked! I feel great.",9,43,1
"Symbyax","Happy Customer","August 25, 2011","-","I've been on Symbyax for almost two weeks. It has been a tremendous help. Only thing I'm worried about is the cost! But this seems to be my wonder drug, I'm happier, healthier, more energetic, on and on. It's amazing! Only problem I would say is I sleep like a rock and it's hard to wake me up, so that can be a good and a bad thing. Good because I need more sleep, bad because if something were to happen you wouldn't be able to wake me up! I still love it though. 9/10 for inability to wake up and cost. I've been on several other medications for months waiting for it to take effect. On this one I felt better after 4 days.",9,39,1
"Symbyax","Anonymous","February 2, 2011","-","Miracle medicine.  I am not the same person.  My mind stopped racing, thought I had OCD but that hyperness is gone.  I am easier to be with and around, sleep better.  Have had no weight gain.  I forget a bit more it seems but can live with that. Don't snap at people, calmer, overall just better.",10,42,1
"Symbyax","Anonymous","November 23, 2010","-","I have been taking Symbyax for 3 weeks. I cannot believe the difference its made in my life. I was always against anti-depressants since all I had tried made me feel worse. I haven't had energy or motivation like this in, I cant remember how long! It is hard to wake up if I take it too late in the evening. I'm afraid of the weight gain but I think it would be worth it. I am only giving it a 9 since it is so expensive and I have no insurance.",9,33,1
"Symbyax","Anonymous","October 17, 2010","-","Helps against sadness, and strongly counters moderate urges to drink at a stressful, confusing time in my life.",8,28,1
"Symbyax","Mr. Ed","August 11, 2010","-","I have been taking this medication for over a year. One excellent side effect is that my insomnia is gone.  I almost gave up on trying antidepressants as nothing seemed to work for me. Then I was prescribed Symbyax and my life changed for the better in just a few days!  This medication is definitely worth a try if you have depression or bi-polar disorder.",10,40,1
"Symbyax","timmay","June 3, 2010","-","I was diagnosed with bipolar I, four years ago. I have been on Symbyax for two years. This medicine is really awesome but after a while it loses effectiveness. Will see about increasing dosage.",8,27,1
"Symbyax","Anonymous","November 15, 2009","-","The first couple of weeks I was flying high on this medicine.  The high does eventually come down, but overall I am able to function much better in my everyday life.  The weight gain is an issue. If I wasn't a pretty lean person already the weight would be an issue.  Thankfully the weight gain has been good for me.  The only thing is, I wish, the sweet cravings are unbearable at times. I could eat two pints of ice cream in a sitting--I know scary.  For now, the medicine is working. I am not a big on medicine but I would have to say it is doing the job.   Good luck to anyone who is skeptical, as I was at one time.  But if life can me a little better, why not?",8,43,1
"Symbyax","Times2","June 17, 2009","-","I was on this for several months and my mentality improved 100%. I have not felt so good in years. I was absolutely amazed by this medicine.  I am only giving it a 7 for the simple fact that not only did it cause weight gain, but my ankles and fingers stayed swollen and was painful. I tried taking Lasix to get rid of the swelling, but it just never worked. I really hated to come off this medicine.",7,26,1
