"Drug","User","Date","Period","Review","Score","Likes","Page"
"Valproic acid","Bjay","April 9, 2020","Taken for less than 1 month","Have used this medication before with great results but due to alcoholism have always stopped taking it I also have Crohn's disease and ulcerative colitis which during severe flare ups have to use corticosteroids to control  it, which make my bipolar symptoms uncontrollable especially the mania. Have started this medication again and this time I will stay on it because I feel it will literally save my life. Some minor side effects like weight gain, dry mouth etc but that's nothing compared to the symptoms of my illness. All the best to everyone in a similar situation.",10,3,1
"Valproic acid","veronikanchad","February 29, 2020","-","Once diagnosed with bipolar 2 they switched me from seroquel to sodium valporate. Initially 200mg am &amp; pm. Difference was amazing! Sure bit of loose bowel but that went away. I was clear focused &amp; calm. We did base line blood levels. But whilst waiting to see psychiatrist next I went slightly high then crashed next week. Fortunately I managed to get a message to Psychologist &amp; psychiatrist. Dr wanted to increase dose but when you've lived with lows it becomes normal. I didn't know how bad I was. Luckily my appointment with psychiatrist was about 4-5ndays later. He realised I could hardly tell what day it was. I little memory of the previous few days. He wanted to admit me but I have no care for my son. So he increased my dose immediately to 500am &amp; pm. Bit groggy first am but came good extremely fast. Absolutely an amazing drug. Acts so fast. Little bit of dry mouth but think that'll pass. It's a life saver. I really wanted to stay working &amp; it got me back to normal very quick.",10,5,1
"Valproic acid","Lucky","February 8, 2020","Taken for 1 to 2 years","Valproate sodium has been very, very helpful with the symptoms from bi polar have tried lots of other medications for this with no success until I was put on sodium valproate",10,3,1
"Valproic acid","Crys","January 9, 2020","-","I was prescribed this medication after being diagnosed with bipolar. After a few weeks I found I was in the most depressive state I’ve ever been in - no hope, no will to live, the most insecure I have ever felt in my entire life. Did I mention the weight gain aspect of it? - actually water weight, not fat but it isn’t pleasant regardless. I work from 6am-5pm every day. I go to the gym from 6pm-9pm every night, yet I couldn’t sleep for the life of me. The insomnia it caused had me sleeping less than 3 hours a night which when dealing with bipolar is just asking for trouble. I don’t like this medication, the side effects I had a problem with may seem  stupid  but to me, feeling that way in general and about myself is not a life worth living. This medication made every day more of a struggle to get through than ever before. I have talked with my Dr. and am going to explore more natural supplements along side my healthy lifestyle and therapy.",1,2,1
"Valproic acid","Miss P.","December 23, 2019","Taken for 10 years or more","Have been on Valproic acid 1000 mg. Recently was told lower to 750mg at bedtime for insomnia. Feel flat affect; would like my feelings back. Tremors were a problem. Less after lowered meds. Diarrhea aplenty! Thinning hair, depression, nightmares. Sharp pain right abdomen wakes me up from sleep.",7,5,1
"Valproic acid","Bipolarbear","May 25, 2019","Taken for 1 to 6 months","Not for me. Didn’t do much to stabilize me at low levels and sedated me at high levels. Also the side effects of Nausea, hair loss, zero sex drive etc didn’t help. There were periods where I thought it was working but those never lasted.",3,11,1
"Valproic acid","Casanova","March 6, 2019","Taken for less than 1 month","Wow. Quick acting and highly effective in stabilizing bipolar II disorder. Some initial side effects were vivid dreams, trouble sleeping, racing thoughts and upset stomach. All of which have passed. That being said, this is my first mood stabilizer but it has been really effective none the less. Turns out I’ve had bipolar and not just manic depression. Really worked for me. I’m on 500mg CR per day",9,13,1
"Valproic acid","M33gzz","October 17, 2018","-","Awful awful medication. Give me anger like I've never had and at very random times. Also I am not an angry person in the slightest. Secondly also gave me very depressive tendencies and sent me to the ER.",1,20,1
"Valproic acid","Pally5","October 6, 2018","Taken for 1 to 6 months","I’ve been on it for about 3 months now. I can’t say it has been good at all. Last month has been the worst - aside the lack of efficacy I experienced weight gain, thinning hair, tremors, diahrrea. From a ‘mind’ point of you I have never been so confused, one minute good the next very anxious and with lots of irrational racing thoughts (and I’ve been prescribed it over lithium for its supposed anti- anxiety properties). I’m trying to convincing my doctor it’s not the drug for me. Best wishes to you all",2,15,1
"Valproic acid","Anonymous","September 14, 2018","Taken for 2 to 5 years","The jury is still out on this medication (branded as Epilim). I was prescribed 1.5g a day to act as a mood stabiliser. It's hard to tell if it's any better than previous medications. I didn't suffer any immediately obvious side effects and my mood does appear to have been mostly 'stable' since using it. Though I have suffered from increasing memory loss in the years since taking this drug so there could be possibly be a link there? I have read on some of the epilepsy (a condition this medication is usually prescribed for) forums that some 'users' have also experienced short term memory loss. Perhaps one day (probably after I'm long gone, or at least after my mind has faded away) evidence will come out to support this? For this reason I can only rate this drug as a neutral 5, with not much firm evidence either way. It's unlicensed for my condition and hence I am (as we all are) being experimented on to some degree.",5,10,1
