"Drug","User","Date","Period","Review","Score","Likes","Page"
"Venlafaxine","Zak","May 24, 2020","Taken for 1 to 6 months","Excellent drug",10,1,1
"Venlafaxine","Ovey50","March 25, 2020","Taken for 2 to 5 years","Been on this medication venlafaxine for 2 years now along with  quetiapine for bi polar and the antidepressant works.  I've only had one bad manic episode I’ve been on different antidepressants over a 20 year period but vena works for me",10,3,1
"Venlafaxine","sampsy345","March 20, 2020","Taken for 6 months to 1 year","I'm a 21 year old female and I've been suffering an undiagnosed bipolar spectrum disorder for several years. I finally got diagnosed about 6 months ago and I started 200 mg Lamictal which changed my life almost instantly. However, my depressive episodes were still fairly debilitating, although less intense than before. I started 150 mg Venlafaxine in addition to the Lamictal and it took about 7 weeks to fully kick in, and so began the happiest time of my life. These drugs saved my life and the Venlafaxine, especially, made me happy again. The only side effects I had were decreased appetite and lowered sex drive. I didn't mind the decreased appetite, but the low sex drive sucked. I recently doubled my dose to 300 mg b/c some life stuff happened that was bringing out my depression. It's been 1 week and it’s made my sex drive fly through the roof. I really hope this isn't a temporary side effect because it feels amazing after years of not having a sex drive from the depressive episodes",10,3,1
"Venlafaxine","Super Exhausted Merchandiser","February 29, 2020","Taken for 10 years or more","I have been on Venlafaxine for about 14 years now. I started at 150 mgs. I did try to ween myself off to 75 mgs because I hate having to take meds daily. But with major depression I have had to go back up to the 150 daily. I have not become any better. I have become worse. I cry daily. I think about suicide numerous times a day. All of the above comments are 100% correct. The withdrawals are horrifying!",3,3,1
"Venlafaxine","Ms J","February 4, 2020","Taken for 10 years or more","Saved me from severe insomnia anxiety rage and mania.",10,4,1
"Venlafaxine","Janice","November 8, 2019","-","I have been using high presciption doses of 350mg venlor and 450mg Epitec due to having years of anxiety and my main concern is constantly tired. I wake up a zombie and can't function at work till 1 pm. The effects are good but I am beyond tired and battle with tasks at home and work. I really need more energy I take meds in morning and  evening sleeping pills still wake. I feel blunt with little hope to make it through the day with Husband also on medication",0,1,1
"Venlafaxine","carinab","August 10, 2019","Taken for 5 to 10 years","I've been on venlafaxine 300mg a day.  I take this with alongside Quetiapine 100mg, a day. I've been on these 2 drugs, for a few years now after being sectioned twice. Without it I would not function. I was on several drugs before venlafaxine, eg trazadone etc but they didn't work hence being sectioned. Since being on this drug for a few years now am stable and have not had a hospital admission for my mental health which is a relief to my family. They are no longer out looking for me on bridges or train tracks etc. I could not function without this combination of tablets and go out shopping with my family and take my dogs out. So I think this is a great drug",8,8,1
"Venlafaxine","bipolarlass","July 2, 2019","Taken for 1 to 6 months","I have rapid cycling bipolar and this along with metazapine has been fantastic. The only side effect I have recognised is weight gain but this was minimal.",10,5,1
"Venlafaxine","NikNak","December 16, 2018","-","I was prescribed 150 mg a day. But I decided to start myself at 75mg. The first day my anxiety was super bad, I was shaking, didn’t eat, had to leave my classes because I was so irritable and couldn’t sit still. I got home and my pupils were HUGE. The second day I had a migraine, dilated pupils, shaking uncontrollably, nauseous, no appetite, random muscle spasms, lost feeling in my legs randomly, bad anxiety, chest pains. My migraine got worse throughout the day and while on this you can’t take many pain relievers, so I tried to sleep it off. After an hour I woke up. I knew something felt wrong. I had felt out of body for the 2 days I was on it but I had my friend rush me to the hospital and I passed out multiple times, threw up, still had all the same symptoms as previously listed. I was super dehydrated. The doctors hooked me up to an IV for a few hours to get rid of my symptoms. Not saying you shouldn’t try it but I would recommend trying something else before this.",1,2,1
"Venlafaxine","FirstLady","March 21, 2018","-","It will energise you  that's for sure but it will nudge you towards hypomania or mania. Coming off this drug is an absolute nightmare. I quit it 9 years ago &amp; I still remember the withdrawals. Horrendous.",2,9,1
"Venlafaxine","vics2002","March 8, 2018","Taken for 5 to 10 years","I took this for severe mood disorder/bipolar",6,7,1
"Venlafaxine","Functioning","January 31, 2018","-","I’ve been taking Effexor XR and now the  generic brand veneflaxine for 20 years this year. I have a love hate relationship with this medication. It has helped me wonderfully with my depression but the side long term effects make me hate it. I have become dependent on it. I believe It has ruined my short term memory. If I miss one dose, immediately after the next dose I get sick. I’m nauseous for the day, I have a migraine and the worst is the muscle and bone aches. My body hurts so bad. If I miss two doses, I become psychotic. I can’t speak normally. I repeat the same thing over and over. I shake terribly. I feel trapped in my head. I hallucinate. I get brain zaps too.  I’m terrified to come off of this drug in search of an alternative but I am at the highest dose and it’s not working anymore.  I am incredibly stable mentally. I’m a busy mother of 4 and I take the mental health in my life very seriously. I don’t recommend this drug unless it is for short term use.",5,13,1
"Venlafaxine","ert","June 13, 2017","Taken for 2 to 5 years","While effective for bipolar depression,this drug gave me constant daily migraines, that does not respond to any medication, that was agonizing pain. Couldn't tolerate this any more.",1,4,1
"Venlafaxine","TheNoob","June 7, 2017","Taken for 1 to 6 months","This drug was the worst experience of my life watching my partner take it! He was prescribed it by his GP for cycling moods (later diagnosed with BPL and Rapid cycling Bi Polar). After a week he begun to run away from home, sat in the road in the rain,  ran away from work. (before he had held a job for 9 years despite awful mood swings). GP felt this was 'normal' and upped his dose. He then begun to plan his own suicide and was only stopped thanks to a security guard at the car park. He stopped caring about me or anyone else. He then two days later turned psychotic with a knife (we are taking about a gentle animal loving world peace advocate I might add). Stayed in a mental hospital to detox, now on quetrapine, much better. Awful drug!",1,14,1
"Venlafaxine","chgoman","May 28, 2017","Taken for 2 to 5 years","Venlafaxine is a good drug.  It helps with depression and anxiety.  What it doesn't work so well with is the mania.  If anything, it can make the mania worse.  I find adjusting my dose works the best.  So anywhere from 150mg to 200mg.  I know that is not the wisest course, but it does help keep the mania from being too strong.  Olanzapine also helps me.",8,9,1
"Venlafaxine","Chicgirl","April 19, 2017","Taken for 2 to 5 years","Drug maybe ok for other conditions but made me worse and caused more side effects than lithium.",1,3,1
"Venlafaxine","cw33","December 19, 2016","Taken for 2 to 5 years","Took 150mg/d. Everything was fantastic, then started constant fatigue, I was very drowsy. I thought it's winter here everyone is fatigued, but  I felt that this is from Effexor XR, So I slowly weaned myself and I'm no longer fatigued. Can focus on studying, now I take zoloft 100mg.",1,4,1
"Venlafaxine","Peter Pan and Wendy","November 11, 2016","-","Chemotherapy brought on Bipolar disorder and several years of meds and regular sessions of therapy has made me feel some what normal. I take 300mg of Effexor, along with 800 mg of Seraquel. My side effects are some memory loss, thirst, and fatigue. I do have an issue with staying engaged. However, my unrealistic fears are not something I think about as often, and my anxieties are minimal. I had some income issues, and I did not take my meds, all my symptoms returned. I suspect that I will need this drug for my entire life.",10,14,1
"Venlafaxine","Yrruc","October 17, 2016","-","Ineffective. Shouldn't have been prescribed as I am bi polar, diabetic and in dire need of anger management.  I wasn't 100% honest with the doctor. Therefore the drugs prescribed for me, erroneously,were my fault.  Thanks for understanding, my bad.  :(  :(",7,9,1
"Venlafaxine","Sezthet","April 12, 2016","-","Brilliant medication. I know Venlafaxine is contraindicated in people who experience mania and I have had some issues with that but overall, with other medications that stabilise my mood, I have found Venlafaxine to be a life saver. I am 23, been hospitalised before for a long time and it was the first med I agreed to go back on after a period of desperation following a year of refusal to take meds due to extreme anti-psychiatry views. Now my anxiety is massively decreased, I feel much more on a level, less irritable, far less lethargic. This medication has done so much for me. No side effects apart from the initial week or two of starting it I got some insomnia and occasionally I get a very dry mouth. Sometimes a bad tremor.",10,26,1
"Venlafaxine","Mum24","March 22, 2016","Taken for 5 to 10 years","I have been on venlafaxine for almost 10 years. After being diagnosed with severe depression when I was in my twenties, I was prescribed Prozac on which I couldn't function, and then Paxil which worked okay at first.  Several years later after years of both manic and depressive episodes,  the worst  full-blown manic episode got me re-diagnosed as bi-polar. I was prescribed venlafaxine, a very small dose which made me violently ill for over 2 weeks, but after that, it improved and I felt better. My dosage has been upped numerous times. I am now at 225 mg and have been for a couple of years. It has been a life saver. I feel like I have a new life; one without rages, anxiety, and depression. My family is much more stable now that I am stable.",9,35,1
"Venlafaxine","Faithy161","February 3, 2016","Taken for 10 years or more","Started out on 300 mgs 1 x per day. Can't say it helped or didn't. The dose was lowered to 75 mgs at one point to see if it was the reason for my memory loss. Supposedly I had an acute stroke with partial blockage in my neck. I have been on it 15 years doctors recomendations. Last 7 years have been on 150 mg's 1 x per day. Mind comes and goes. Sometimes I can't remember my husbands name. I had no visual signs of stroke. They said it was an old stroke I never noticed. I also take xanax 2 mgs per day. Gabapentin 300 mgs per day. Geodon 40 mgs per day. Bisoprolol 10 mgs 1 x a day. Diabetic. Take insulin. Anxiety is gone. I do need to figure out what is causing my memory to come and go. Wondering if anyone else has this problem on Effexor ER.",1,2,1
"Venlafaxine","Blckft","November 26, 2015","Taken for 1 to 6 months","This medicine was a God send for the depression. Shortly after beginning it I developed sores on my tongue.The next week my face began hurting and swelling, first at the jaw hinges, then up to my temples. The pain got so bad I couldn't open my mouth to eat. I realized I was grinding my teeth, clenching my jaws and flexing my facial muscles. Long story short, I am off the meds and on a different antidepressant. The 2 weeks of being off my meds nearly killed me (suicidal alcoholic). I now know that other medical issues combined with the drug to cause the extreme reaction. Please be careful with this medicine. My doctors can't say that the teeth grinding will go away, but the pain is getting better and I have hope again.",3,5,1
"Venlafaxine","DizzyStable","September 24, 2015","Taken for 1 to 6 months","Started it in March 2015 . Decreases my appetite , withdrawal over 3 days ..terrible . Feels like my head is swimming . Sense of well being has noticeably improved .",7,6,1
"Venlafaxine","Carr92","July 23, 2015","-","I was misdiagnosed with Major Depressive Disorder and it turned out that I had Bipolar 2 Disorder. I take Effexor 150 mg for my Depression and Abilify 10 mg for my mood swings and anxiety. It works pretty well, but I do have restlessness and random hyperness at times, especially around my period. I'd recommend it.",7,27,1
"Venlafaxine","Solosis","July 10, 2015","-","I have been in Effexor for twelve years and it's been very effective until just recently. (I think my body has grown too used to it.) When it was still able to effect me, it was super useful. The bad part is that you'll suffer from withdrawal symptoms if you don't take it for over 24 hours. I ran out in college for FIVE DAYS (I lived in one city and my psychiatrist was in another) and I was miserable - chills, weird dreams, everything. Never let it run out and never forget to take it. Otherwise it's a good medicine.",8,19,2
"Venlafaxine","Pelixue","May 29, 2015","-","I started on this after trying most of the SSRI's and Mirtazapine. Only the Mirtazapine worked for my mood but I had horrific side effects with it so doctor suggested Venlafaxine. I started on 37.5mg twice a day and got quite bad nausea for about a week. After that had gone it was great. My mood dropped a bit from being happy on Mirtazapine to being on such a low dose of Venlafaxine but now I'm on 150mg a day it seems to be improving again. I'm very careful not to miss a dose though from what I've read about the withdrawal symptoms. This should be a long term medication for me as it works and I've got no long term side effects.",10,17,2
