"Drug","User","Date","Period","Review","Score","Likes","Page"
"Vraylar","BB","June 7, 2020","Taken for less than 1 month","I’ve only been on it for 3 days, I get so tired the first few hours until I try to actually go to sleep then I’m restless, can’t stop moving. Overheating with chills, and I feel sick the whole time I’m on it. Nausea and headaches are very bad, consistently thirsty, and body aches! I don’t know if this is normal starting out, I know that some medications make you feel sick at first but this is unbearable.",1,2,1
"Vraylar","Younggun123","June 1, 2020","-","Vraylar is a terrible drug. Gave me akasthia and made me really tired, felt like I couldn’t think. Withdrawal symptoms are worse, I feel terrible and nauseous",1,2,1
"Vraylar","Vicky","March 7, 2020","Taken for 1 to 6 months","I was prescribed this Vraylar for bipolar 2, mainly depression. I have been on it for a few weeks and I think this is the one that will change my life. I have a good level of mental energy for the first time ever (but not wired, like a stimulant), I suddenly have no problem motivating myself to do the things I want to do, I don’t have the urge to overeat, and I am a happier, more cheerful person. I have had none of the extra pyramidal or cognitive side effects, but it did make me a little bit hypomanic at first and has made my sleep very fragmented, so I have had to take Saphris some nights to bring me down and help me sleep. All of the bad reviews and potential side effects made me scared to try it for a while, after having had a bad experience with another atypical antipsychotic, but the benefits have far outweighed any mild side effects I’ve experienced.",9,37,1
"Vraylar","Kp111","March 1, 2020","Taken for 6 months to 1 year","This is the worst medicine I have ever taken. It actually made my manic and compulsive buying worse. It messed with my sleep schedule and my blood sugar. I’m normally 103-105 lbs. I was constantly hungry on this and my blood sugar would plummet between meals. I gained 7 lbs in 2 months after my doc put me on 3mg. I have switched to lithium and feel like a new person.",1,12,1
"Vraylar","Hen247","February 29, 2020","Taken for 1 to 6 months","I’ve been on Vraylar for about 4 weeks. First few days I was really tired, day 4 I felt better, improved mood. Then I started to get cognitive impairment. Couldn’t keep up with conversations, could hardly string a sentence together. My doctor wanted to increase to 3mg, so I did. Depression got a lot better, but had anxiety attacks, and fidgeting, restlessness, didn’t find any pleasure in watching TV, couldn’t concentrate. Could barely work cos I couldn’t concentrate or talk to people. I have weaned off 3mg to 1.5mg, but it wasn’t easy. Now I don’t know if I’ve got the courage to completely stop, I know depression will kick in. Any thoughts?",3,16,1
"Vraylar","Anonymous","February 27, 2020","Taken for less than 1 month","I took two weeks of samples and started on week three when the side effects seriously started. First major hot flashes. Then the over eating and always thirsty. Then I started noticing I was constantly moving. I could not sit or stand still. My feet, my hands and hyperactivity. I also was constantly talking and over talking people. I couldn't wait. Everything had to be now. I stopped taking it and after two days was feeling much better. I have taken other medications and this was one of the worst.",1,13,1
"Vraylar","Ruthy","February 26, 2020","Taken for less than 1 month","I was on it for about two weeks after switching from trileptal to treat my bipolar. I was on both trileptal and vraylar at the time. The vraylar made me feel suicidal and all around horrible. I would not recommend it. It only helped initially during the first couple of days like during the first 3 days.",3,6,1
"Vraylar","mark","February 23, 2020","Taken for less than 1 month","I do not really like how this drug made me feel. It did not do much for my depression. It has a lot of side effects and just made me very sleepy. Most likely won't take again!",4,9,1
"Vraylar","Knowsitall","February 19, 2020","Taken for 2 to 5 years","I have bipolar 1 and have been taking 3 mg of Vraylar w 200mg of Seroquel.  I’m in heaven.  No more irritability. I sleep (thanks to the Seroquel).  No side effects.  I love it.  I’m a normal person.  I can work.   I’ve been on this mix for over three years.",10,26,1
"Vraylar","Moesha","February 18, 2020","Taken for 1 to 6 months","I have been dealing with bipolar for 20 years and this med is by far the worst. Started on 1.5 mg 3 x week and then to every other day.It spiralled me into the worse mania I have ever had .Was awake for 4 days straight .",1,13,1
"Vraylar","mercury3298","February 16, 2020","Taken for less than 1 month","I just started taking Vyraylar and so far so good. I will see how it's going in a few weeks. No more high's and low's I like it so far.",9,7,1
"Vraylar","KD","February 16, 2020","Taken for less than 1 month","I started to help me the 2nd day I took Vraylar (  have bipolar) . It keeps me from hitting the low - lows. However,  I can no longer sleep more than 4 hours at a time. It's great as a mood stabilizer but not sleeping is starting to get to me. Is this normal?",8,14,1
"Vraylar","Crazybutsane","February 13, 2020","Taken for 1 to 6 months","I must say.  15 years bipolar with a personality disorder and extreme anxiety.  I am on many medications for many things.  Vraylar has been WONDERFUL.  The first week was the worst week ever.  The sweating, I couldn't sit still at all, and I thought I was losing it... I made it to week two and all of that went away.  It was tough.  I still can't sit still well and get bored of things way faster then usual. I don't even care for my TV shows anymore... too hard to sit through.  However, the benefits FAR outweigh the cons.  Give it more then one week for sure...",8,26,1
