"Drug","User","Date","Period","Review","Score","Likes","Page"
"Ziprasidone","westcoastfam","May 12, 2020","Taken for 2 to 5 years","I've suffered from rapid, mixed episode bipolar disorder for many years and have been prescribed depakote, lamictal, oxcarbazepine and aripiprazol  all of which helped to some degree but stopped working effectively. For the last 5 years I have been using low dose (20-30 mg) ziprasidone.  It really helps prevent manic symptoms  from getting out of hand without significantly dulling my mental acuity.  Side effects have been minimal.",8,0,1
"Ziprasidone","Grace","May 10, 2020","Taken for 1 to 6 months","<b>Geodon (ziprasidone):</b>			 I've had a very similar experience to the last post. Began taking Geodon for Bipolar disorder 1 and felt cured, energetic, happy. My depression was gone, as was my anxiety and I had much better work ethic. Fast forward a few weeks and the effects are subsiding. I upped my dose to 60mg but it's still not the same as initially. I've had some pretty low points. I'm hoping it still works to prevent manic episodes despite not having the antidepressant effects any longer. Considering switching to latuda, or adding an SSRI/SNRI to the mix.",0,1,1
"Ziprasidone","Megan","May 8, 2020","Taken for 6 months to 1 year","I take ziprasidone 40mg at night and it works great. I’m free from depression and mania. Only downside is side effects such as; tremor and feeling of crawling under back of my skin. I think the medicine doesn’t last until next dose. I’m planning on asking my doctor if she would prescribe it for twice a day instead of once a day.",9,0,1
"Ziprasidone","RJ","April 30, 2020","Taken for less than 1 month","<b>Geodon (ziprasidone):</b>			 At first taking Geodon it was great, felt alive for the first time in so, so many years it was for my major depression disorder.  Then after three weeks of taking it, it stopped working.  Now increasing to 40 mg daily.  I’m hoping that works but kinda nervous it’s not going to.  Just my experience for taking it for 3 going on 4 weeks.  The side effects I had were nausea, lack of appetite, shaking and some vision issues.  Side effects seem to be subsiding.",0,4,1
"Ziprasidone","She'll bell","April 21, 2020","Taken for 2 to 5 years","<b>Geodon (ziprasidone):</b>			 I just have one complaint: I put the pill in my mouth and immediately taste something awful.... It has a bad after-taste.... And I'm wondering why that is",0,1,1
"Ziprasidone","bernie2020","February 6, 2020","-","<b>Geodon (ziprasidone):</b>			 I’ve been on this med Geodon for about a year for bipolar and bpd. I am on a dose of 160 mg and I take it all at night. I still have mania symptoms but the only symptom I have is not sleeping. A couple of weeks ago I was up for 60 hours non stop and this past week I've been getting 3-4 hours of sleep and have felt fully energized. The first time I took this medication I slept from 8pm to 5pm and was groggy for the 4 hours. I was awake before I went back to bed. I haven’t been tired because of it since, though. I also developed an acute dystonic reaction called an  oculogyric crisis  because of this med. I am on amandatine to stop it. This med has been a game changer for me despite this. I don’t get severely depressed anymore and my depressive episodes would be really terrible and my manic episodes would always end me up in the hospital because I'd go on a bender and overdose or I'd be up for days and be extremely irritable and cranky.",0,6,1
"Ziprasidone","Anonymous","February 3, 2020","-","<b>Geodon (ziprasidone):</b>			 Three years ago I was put on Geodon for auditory hallucinations. It has been the only antipsychotic medication I have ever used that has no side effects and no weight gain, and I sleep like a baby at night. 80 mgs at bedtime is all I take. This drug has totally changed my life for the better, and has blessed me in a hundred ways. I felt so much better after my first month on it that I went out and got a job at McDonalds restaurant and have been in management there as a trainer for the last three years. This drug has been a huge success with me when all others failed and I plan to take it for the rest of my life. I would highly recommend it at low doses to anyone. The higher doses cause horrible dizziness, so the lower doses work better. I have not heard a single voice in three years and Geodon has made a believer out of me. Bravo!",0,28,1
"Ziprasidone","Lobo","January 25, 2020","Taken for 1 to 6 months","<b>Geodon (ziprasidone):</b>			 I've been on geodon for several months now. I take it twice a day. So far, I have had no side effects whatsoever! It has really helped with my bipolar symptoms. I am calmer and clearer. I was scared to start it because of all the negative reviews. I finally decided to go ahead and take it. No sleepiness, no muscle stiffness, no anything! Just feel so much better! Haven't had any major depression, or psychotic episodes, or anger issues. I also take lamotrigine once a day. Great combo! Life is finally looking up for me! Been on all sorts of different meds. This is working for me! Very happy about the results!",0,13,1
"Ziprasidone","Ran S","January 16, 2020","Taken for 1 to 6 months","<b>Geodon (ziprasidone):</b>			 I had bad mania and needed to be on something. I couldn't go to sleep, crazy focused on everything and felt so scattered. My doctor recommended Geodon, and it worked for the first 2 months, but then it gave me horrible anxiety. I had to get off it and get on an anti-anxiety. I also had some bad side effects from Geodon- lots of vomiting and nausea, cravings, and anxiety.",0,6,1
"Ziprasidone","Pretty Good","January 10, 2020","Taken for 10 years or more","<b>Geodon (ziprasidone):</b>			 Geodon has consistently blocked auditory hallucinations for me for 13 1/2 years.  However, I ended up with ulcers that landed me in the emergency room about 6 years in.  After that everything went well until about 11 years in I began to develop what turned into about 10 side effects &amp; a few were serious.  Tried a side effect med and it worked for about 9 months.  Sadly, I'm looking for an alternative.  Sadly because Geodon carries almost no risk of Parkinson's which is a terminal illness",0,6,1
